time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
63667378621.9335,-0.02898184,0.739741,1.660238,-0.07569191,0.5913707,1.697725,0.09487744,0.4459932,1.792031,0.1375498,0.2003443,1.843965,0.2144937,0.0098285,1.798288,-0.2159913,0.4620094,1.664344,-0.2959329,0.2354977,1.638245,-0.3043486,0.02001396,1.555725,0.006035729,-0.05639152,1.741076,-0.0194639,-0.4455351,1.741957,-0.04681896,-0.8357106,1.794861,-0.1372562,-0.04950095,1.690976,-0.1658627,-0.4099411,1.656866,-0.1970031,-0.7994617,1.789082,-0.0272891,-0.9122214,1.71865,-0.1784515,-0.8859061,1.74542,0.2555276,-0.06707793,1.76784,-0.3070658,-0.04781229,1.533907,0.2860079,-0.1280521,1.736357,-0.2919143,-0.1168129,1.526027,-0.06703173,-0.05414006,1.754653,-0.07176144,0.2766685,1.733009,-0.07483158,0.5148951,1.708748,0,-1,High,High,0.2791985,-0.0604961,1.731821,-0.2763136,-0.06056421,1.523778,-0.01848241,0.9808199,-0.06930629,0.1812383,0.8078572,0.5496091,0.1363345,0.1634306,0.5121085,0.1317543,0.8485379,-0.01921459,0.8935494,0.1267338,0.392604,-0.177116,0.8011354,-0.5728196,0.1626417,-0.0600616,0.9186085,-0.1371657,-0.353408,-0.1115653,0.7258436,-0.1362774,0.6631545,-0.1216792,0.7121094,0.6951293,-0.08966918,-0.04067881,0.5799238,-0.01806009,0.8140129,0.027297,0.6006953,0.03271146,0.7958894,0.06822936,-0.6381555,0.6808218,-0.2613768,0.2468228,0.8108461,-0.004619416,-0.5820292,-0.06123035,0.8055628,-0.1249921,-0.5684944,0.1107228,0.8783199,0.1444464,0.3808079,-0.2503494,0.7296852,-0.1186526,0.6657274,-0.1014299,-0.01243858,0.9856841,-0.03102952,0.1652551,-0.01268936,0.9843141,-0.03092781,0.1732289,-0.01552639,0.9820722,-0.04871021,0.1814399,0,0,0
0.0428646,-0.03182198,0.7370249,1.679675,-0.0762682,0.5877498,1.720035,0.09638628,0.4455341,1.802102,0.1379665,0.2014077,1.857963,0.2103335,0.007607074,1.817992,-0.2193262,0.4586215,1.699996,-0.2934067,0.2255052,1.68096,-0.3096408,0.00673806,1.615371,0.008350662,-0.06141236,1.772669,-0.02330675,-0.4543852,1.75616,-0.0475898,-0.8397478,1.797951,-0.1377427,-0.05629873,1.735711,-0.1527755,-0.4420618,1.740196,-0.1686936,-0.8503053,1.901501,-0.02207129,-0.8755194,1.687466,-0.1605538,-0.910552,1.838207,0.2405723,-0.07657891,1.79789,-0.312333,-0.06556914,1.59791,0.2630585,-0.1395496,1.773197,-0.2948763,-0.1382405,1.58978,-0.06598325,-0.06016046,1.792754,-0.07162681,0.2716877,1.763079,-0.07525231,0.510915,1.732969,0,-1,Low,Low,0.2702834,-0.08573611,1.762167,-0.2897762,-0.08549144,1.554462,-0.01857219,0.9859312,-0.08145117,0.1447778,0.8105646,0.5575961,0.09778091,0.1500347,0.5251908,0.1380359,0.8396401,-0.01119455,0.8743913,0.1127588,0.4419761,-0.1654769,0.8042186,-0.5765082,0.1414523,-0.02936014,0.9181589,-0.127701,-0.3634079,-0.09279712,0.8971609,-0.09343129,0.4157342,-0.1163523,0.7016692,0.698702,-0.1256526,-0.06072288,0.616834,-0.04126696,0.7857893,0.01865551,0.6177014,0.02295556,0.7839376,0.05796573,-0.6460854,0.6885062,-0.2480504,0.2168037,0.7873322,-0.01891501,-0.6161941,-0.007426086,0.7353963,-0.1377351,-0.6510788,0.1277418,0.8755137,0.1003742,0.4388519,-0.1755276,0.9001985,-0.06634285,0.4187539,-0.09943158,-0.01381869,0.9916002,-0.04321601,0.1211217,-0.0143273,0.9901031,-0.04305007,0.1328054,-0.01653452,0.987439,-0.06079981,0.1448933,0,0,0
0.0797639,-0.03943409,0.7331182,1.716603,-0.07653747,0.5812632,1.761859,0.09714288,0.4465602,1.826776,0.1354482,0.198361,1.888434,0.1921486,-0.01525182,1.850806,-0.2266408,0.4558011,1.754671,-0.2893683,0.2120371,1.738206,-0.3102055,-0.00453725,1.68284,0.0133023,-0.07268243,1.822029,-0.04010478,-0.4702939,1.795941,-0.04550258,-0.8399904,1.799568,-0.1358726,-0.06891238,1.791496,-0.1339518,-0.479116,1.818132,-0.1403989,-0.8667455,1.972045,-0.07898773,-0.922404,1.806711,-0.1583252,-0.9360352,1.925781,0.201834,-0.08605247,1.833085,-0.3131866,-0.07786267,1.665766,0.2257006,-0.1585226,1.81808,-0.2945866,-0.151509,1.664515,-0.06257138,-0.07231785,1.845551,-0.0700083,0.2618262,1.812448,-0.07506872,0.5035697,1.776732,0,-1,Low,High,0.2443146,-0.0866731,1.822,-0.2946008,-0.09832308,1.619708,-0.01892324,0.9902782,-0.0929718,0.1017212,0.8055431,0.576146,0.0507658,0.1287592,0.5968603,0.1411912,0.7897187,0.01292545,0.5791176,0.006189692,0.8006452,-0.1534656,0.7970647,-0.5925682,0.1164072,0.0002874709,0.8980023,-0.09960881,-0.4204568,-0.08298222,0.9180832,-0.09024549,0.3734348,-0.09759869,0.6944947,0.7019664,-0.141322,-0.07034469,0.6346202,-0.06748251,0.7692609,0.03067368,0.6344419,-0.0008402748,0.7729206,0.008753905,-0.6512353,0.6914614,-0.2391865,0.201404,0.773,-0.01874066,-0.6335729,0.0265525,-0.6053127,0.1527791,0.7734654,-0.1095731,0.5902291,-0.05799689,0.7952687,-0.1257526,0.9188723,-0.06174231,0.3771795,-0.09796506,-0.01589571,0.9938561,-0.04801103,0.09844944,-0.01597047,0.9937016,-0.04798622,0.09999723,-0.01779664,0.9920608,-0.07182413,0.1016853,0,0,0
0.1046968,-0.0417031,0.7321413,1.725234,-0.07634332,0.5804877,1.772069,0.09691103,0.4466489,1.826199,0.1348537,0.1973104,1.898366,0.1872303,-0.02420899,1.859574,-0.2270112,0.4563148,1.7649,-0.2876196,0.2114369,1.754429,-0.3093688,-0.008931062,1.702894,0.01436731,-0.07402579,1.827318,-0.04079935,-0.4711999,1.802909,-0.04192805,-0.8380467,1.802508,-0.1358265,-0.07019225,1.798653,-0.1213392,-0.5002473,1.840249,-0.1370451,-0.8704718,1.984024,-0.0789583,-0.9193547,1.814414,-0.1555054,-0.9354517,1.933171,0.1885272,-0.08915963,1.85087,-0.3133739,-0.07996832,1.696826,0.2076185,-0.169358,1.838781,-0.3001942,-0.1520523,1.690775,-0.0619674,-0.07365727,1.851779,-0.0696145,0.2609179,1.819146,-0.07480112,0.5027264,1.786019,-1,-1,Low,High,0.2263298,-0.07178682,1.854971,-0.2951899,-0.09810237,1.655081,-0.01754425,0.9921671,-0.08741881,0.08749018,0.8063595,0.5802358,0.03609275,0.1086661,0.6234742,0.1542493,0.765844,0.03114481,0.4948986,-0.01620235,0.8571718,-0.1416665,0.7956143,-0.5961819,0.1075203,-0.002110402,0.8888844,-0.0990271,-0.4413862,-0.07250006,0.9084587,-0.09007652,0.3991665,-0.08517757,0.6939166,0.7015727,-0.1441475,-0.07414281,0.6394919,-0.06753523,0.7651017,0.03329393,0.6397741,-0.001404418,0.7685612,0.0008325512,-0.652495,0.6928021,-0.2349927,0.197621,0.7679895,-0.01789243,-0.6384278,0.04776897,-0.6125186,0.1564508,0.768469,-0.09899139,0.5129873,-0.05197706,0.8557554,-0.04271922,0.9154952,-0.04274129,0.3990867,-0.02777785,-0.01580659,0.9945192,-0.04733272,0.09187718,-0.01569863,0.9947261,-0.04736864,0.08960938,-0.01656704,0.9937901,-0.06681646,0.08742078,0,0,0
0.1964573,-0.0492241,0.7267145,1.76124,-0.07610726,0.5735317,1.809341,0.09468169,0.4450229,1.865414,0.1334436,0.1924418,1.926833,0.1795112,-0.03239384,1.891377,-0.2321404,0.4503508,1.812019,-0.2883519,0.207044,1.805752,-0.3081698,-0.01815008,1.761557,0.02061652,-0.08189867,1.85938,-0.04043141,-0.4753983,1.831619,-0.04019079,-0.8388513,1.806558,-0.130198,-0.07962009,1.835413,-0.1098424,-0.5051063,1.860837,-0.1278008,-0.8907553,2.026928,-0.02322021,-0.8707547,1.673555,-0.1020686,-0.9336038,1.881321,0.1745271,-0.1006588,1.883658,-0.3133654,-0.08910768,1.758028,0.1875104,-0.1839176,1.879908,-0.3022135,-0.1618536,1.7516,-0.05590455,-0.08244391,1.886378,-0.06640928,0.2531046,1.854652,-0.0738093,0.4955227,1.822913,-1,-1,High,High,0.2184332,-0.08875939,1.907,-0.2930318,-0.1045052,1.7215,-0.02102451,0.9933341,-0.08464594,0.07536799,0.7986982,0.5887982,0.04019863,0.1173965,0.6468147,0.1379948,0.7497733,0.0206908,0.407502,-0.02908765,0.9044466,-0.12277,0.7937605,-0.6022279,0.08259267,0.02107664,0.8978277,-0.09694278,-0.4253465,-0.05989872,0.9085495,-0.07873807,0.4041771,-0.0705618,0.6878609,0.7043795,-0.1532572,-0.08490708,0.6512373,-0.07656799,0.754177,0.03527553,0.6596153,-0.02563553,0.750815,-0.02296148,-0.6580168,0.6921573,-0.2266055,0.1912643,0.7585286,-0.001288839,-0.6505198,0.03816675,0.7495448,-0.1465502,-0.6300672,0.1404313,0.4296025,-0.06629895,0.9005405,0.008547297,0.9144439,-0.04339659,0.4023001,-0.007993564,-0.01917496,0.9958043,-0.04575935,0.07689125,-0.01913185,0.9958763,-0.0457774,0.07595326,-0.020018,0.994931,-0.06369704,0.07519507,0,-15,-10
0.243326,-0.05453752,0.7194326,1.794134,-0.07706129,0.5655879,1.843869,0.09276445,0.4363769,1.897318,0.1323138,0.1782404,1.957316,0.1717905,-0.06598324,1.909863,-0.2364596,0.444955,1.853135,-0.2907439,0.1965047,1.854993,-0.3091013,-0.03269335,1.81336,0.02738797,-0.09791572,1.896024,-0.03920627,-0.4852114,1.863336,-0.03849763,-0.8441128,1.809126,-0.1237606,-0.09402053,1.874252,-0.1035882,-0.5237505,1.899531,-0.1266543,-0.8947541,2.034518,-0.02450106,-0.8720151,1.673029,-0.1513193,-0.9713831,1.985316,0.1674873,-0.1204121,1.908249,-0.3120403,-0.1013724,1.811104,0.1852111,-0.1920992,1.904243,-0.3009832,-0.1733344,1.806386,-0.04916271,-0.09796213,1.924257,-0.06367269,0.241275,1.891062,-0.07387596,0.4865865,1.857966,-1,-1,High,High,0.2166056,-0.1300902,1.923667,-0.281212,-0.1134155,1.790526,-0.02526852,0.9940434,-0.08674113,0.06095338,0.7998266,0.5882996,0.03118708,0.1149272,0.6874158,0.1330542,0.7135427,0.0247559,0.454069,-0.04826602,0.8823704,-0.1136405,0.7869341,-0.6121995,0.06865055,0.03512307,0.8840653,-0.09713395,-0.4548536,-0.04584423,0.81751,-0.08347055,0.5675445,-0.05102228,0.6883266,0.7019148,-0.1610033,-0.08717769,0.658011,-0.08730336,0.7470571,0.03613082,0.6666433,-0.05503757,0.741605,-0.05079063,-0.6551632,0.6971855,-0.2209923,0.1893572,0.7532901,-0.001629932,-0.6566156,0.03751462,-0.5933109,0.1561963,0.7855241,-0.08085059,0.4689785,-0.03156384,0.8822052,0.02787078,0.8222124,-0.02690799,0.5685428,-0.001334325,-0.02460304,0.9962102,-0.04713407,0.06883588,-0.02440257,0.9964936,-0.04723817,0.06460296,-0.02467404,0.9956985,-0.06558098,0.06062058,0,-15,-10
0.2902046,-0.05726615,0.7148213,1.809758,-0.07800281,0.5614076,1.859376,0.09084586,0.431354,1.913352,0.1320322,0.1736224,1.971453,0.1707564,-0.0685579,1.920371,-0.2383869,0.4400702,1.869923,-0.2927027,0.1946153,1.877087,-0.3104253,-0.03620169,1.835268,0.02681326,-0.09171738,1.916434,-0.04153919,-0.4910098,1.873487,-0.03567408,-0.8471653,1.81222,-0.1225965,-0.0974839,1.892921,-0.1028836,-0.5268598,1.909275,-0.1251168,-0.8958042,2.03586,-0.02165806,-0.8734907,1.677492,-0.1502097,-0.971348,1.986575,0.1665764,-0.124772,1.918502,-0.3107909,-0.1081495,1.835891,0.186373,-0.1933819,1.909519,-0.2987898,-0.1792459,1.834155,-0.04883924,-0.0967153,1.9433,-0.06399806,0.2395084,1.908146,-0.07466666,0.4829576,1.873848,-1,-1,High,High,0.2105025,-0.1082311,1.938765,-0.2840275,-0.1141093,1.810594,-0.02640241,0.9938373,-0.0895987,0.05968618,0.8026495,0.5841158,0.02931517,0.1170605,0.6944704,0.1326787,0.7068588,0.02139903,0.4490778,-0.05637008,0.884129,-0.1160488,0.7886031,-0.6097798,0.06909373,0.03872878,0.8767905,-0.1025815,-0.4682206,-0.03853593,0.8558781,-0.07812873,0.5080006,-0.05747997,0.6671654,0.7240231,-0.1543467,-0.08281318,0.6520518,-0.09526733,0.7516071,0.0289718,0.6669233,-0.05774742,0.7402099,-0.06299127,-0.6716996,0.6787924,-0.2304818,0.1869189,0.7593881,0.005049474,-0.6499556,0.02935596,-0.5894921,0.1489583,0.790361,-0.07509977,0.463352,-0.03188459,0.8852428,0.02517136,0.8607741,1.535231E-05,0.5089625,0.005017487,-0.02644036,0.9953261,-0.0501083,0.07820535,-0.02596079,0.9960273,-0.05035843,0.06869981,-0.02585326,0.9955526,-0.06845956,0.0593286,0,-15,-10
0.3091504,-0.0595993,0.7108043,1.823003,-0.08005785,0.5568749,1.873287,0.08879558,0.4283171,1.929684,0.1305355,0.1716937,1.982788,0.1712265,-0.07293337,1.933288,-0.2406361,0.4351922,1.885582,-0.296932,0.1859737,1.898807,-0.3092979,-0.0433487,1.858643,0.02818936,-0.09164756,1.933022,-0.04382754,-0.4982946,1.889872,-0.0334682,-0.8480749,1.813269,-0.1207079,-0.1028337,1.911598,-0.1021484,-0.5319919,1.924075,-0.1215648,-0.9023482,2.043514,-0.0738423,-0.9292358,1.850322,-0.1487298,-0.9738376,1.986398,0.1659544,-0.1297817,1.928537,-0.3098744,-0.117159,1.859151,0.1813603,-0.200307,1.918605,-0.2972098,-0.1888014,1.859574,-0.04717119,-0.09920329,1.961383,-0.06430633,0.2358605,1.924188,-0.07630925,0.4786131,1.888299,-1,-1,High,High,0.2129081,-0.1254819,1.940769,-0.2839097,-0.1246199,1.832621,-0.02932467,0.9933912,-0.09292313,0.0606578,0.8004699,0.5857649,0.03060159,0.1232507,0.6922948,0.127602,0.7101123,0.01364787,0.4954431,-0.04496442,0.8591961,-0.119568,0.7892296,-0.6085977,0.06952713,0.04348967,0.886241,-0.1105421,-0.4490398,-0.02684581,0.8735107,-0.0648985,0.4783188,-0.06307329,0.6538002,0.7341808,-0.1607248,-0.08770079,0.6559793,-0.09674709,0.7479065,0.03109567,0.8956029,0.05978174,-0.4314106,-0.0905894,0.6827824,-0.6680809,0.2328774,-0.18233,0.7561055,0.006839258,-0.653932,0.02511378,-0.5844411,0.1400407,0.7960546,-0.07151345,0.5171775,-0.05942519,0.853625,0.01789949,0.878323,-0.001783796,0.4780393,0.004891003,-0.02941513,0.9954534,-0.05317834,0.07334366,-0.02905727,0.9959236,-0.05337472,0.06665567,-0.02888175,0.9951909,-0.07164419,0.0602331,0,-15,-10
0.3699893,-0.06200149,0.7064779,1.835078,-0.08209432,0.5515164,1.888214,0.08717535,0.4231849,1.946751,0.1291644,0.1691109,1.997496,0.175185,-0.09069607,1.944095,-0.2426366,0.4309264,1.900081,-0.2959739,0.1766576,1.913995,-0.3081295,-0.04680204,1.880101,0.02834907,-0.09283032,1.951757,-0.03893018,-0.4990105,1.894596,-0.02641301,-0.8547626,1.818046,-0.1202357,-0.1067961,1.927951,-0.1013695,-0.5425112,1.953202,-0.1150618,-0.9180894,2.057065,-0.01115681,-0.8792994,1.683228,-0.1499641,-0.9817795,1.990852,0.1664918,-0.1405173,1.939919,-0.3080283,-0.1233594,1.883273,0.1857295,-0.1962733,1.92225,-0.294182,-0.1969157,1.888721,-0.04684247,-0.1018595,1.978949,-0.06514518,0.2317462,1.94051,-0.07804769,0.4735361,1.903598,-1,-1,High,High,0.2142089,-0.1374914,1.944167,-0.2850414,-0.1264647,1.853878,-0.03172619,0.9928963,-0.09530699,0.06377237,0.800211,0.5850905,0.03273538,0.1275138,0.6853124,0.126164,0.7171807,0.009027278,0.556688,-0.03436285,0.8201525,-0.1275441,0.7874023,-0.6106118,0.07267924,0.04322652,0.8872268,-0.1041277,-0.448863,-0.02254121,0.8807809,-0.05897399,0.4667518,-0.05375631,0.6475904,0.7412386,-0.1565905,-0.08167903,0.6512902,-0.1055704,0.7512746,0.01620311,0.6635305,-0.0672005,0.7404391,-0.08343468,0.686005,-0.6619833,0.2386904,-0.1849384,0.7619223,-0.002239084,-0.6466615,0.03603008,-0.5529265,0.1214368,0.8221236,-0.06031642,0.5945078,-0.08454177,0.7984034,0.04432999,0.884776,0.01022524,0.465556,0.01801335,-0.03188499,0.9946029,-0.05482624,0.08211303,-0.03135941,0.9953424,-0.05512856,0.07260115,-0.03117222,0.9947756,-0.07376192,0.06331597,0,-15,-5
0.3959528,-0.06384536,0.7023481,1.848184,-0.08389717,0.5468318,1.899955,0.08645847,0.4211614,1.964967,0.1292802,0.1675425,2.011943,0.1764057,-0.09818258,1.95179,-0.2441988,0.4275844,1.913525,-0.2992615,0.176095,1.933263,-0.309741,-0.04969711,1.904139,0.02998637,-0.09372608,1.969165,-0.0282877,-0.4982826,1.89891,-0.01189273,-0.8580698,1.826376,-0.1196592,-0.1078608,1.943691,-0.1109164,-0.5409505,1.986678,-0.1135715,-0.9194241,2.06185,-0.04870605,-0.9521484,1.835938,-0.1453198,-0.982702,1.991939,0.1673617,-0.1454749,1.948966,-0.3064556,-0.1267593,1.90311,0.166321,-0.2013038,1.933188,-0.2920488,-0.1987011,1.905792,-0.04572104,-0.1028266,1.995561,-0.06556275,0.228734,1.954463,-0.0795154,0.4692389,1.915859,-1,-1,High,High,0.2107637,-0.1289234,1.950842,-0.2841863,-0.1244512,1.872486,-0.03478172,0.9920635,-0.09859127,0.06985725,0.7950616,0.5883635,0.04115485,0.1414626,0.6890815,0.1224292,0.7142589,0.003465215,0.5258043,-0.04738747,0.8390802,-0.1312584,0.7855883,-0.6123919,0.07380196,0.04878867,0.8970068,-0.1134433,-0.4270592,-0.01139839,0.889021,-0.04960003,0.4527791,-0.04661093,0.6475418,0.7422454,-0.1558815,-0.07390771,0.6496894,-0.1107044,0.7520927,-0.002216944,0.7671123,-0.04588397,0.6333951,-0.09079768,0.6852051,-0.6617191,0.2414954,-0.1852075,0.765491,-0.02404729,-0.6414657,0.04435185,-0.5623724,0.08270337,0.8210639,-0.05245589,0.5659726,-0.0777877,0.8184941,0.06075696,0.8900925,0.01592731,0.4552332,-0.01563766,-0.03496172,0.9938666,-0.05871768,0.08694257,-0.03443328,0.994607,-0.05902911,0.07801844,-0.03415386,0.9940123,-0.07720617,0.06937052,0,-15,-5
