time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0236517,0.008905407,0.1808371,1.89279,0.01215962,0.03371959,1.919297,0.1845291,-0.09039427,1.93547,0.2507788,-0.3478063,1.94257,0.3172676,-0.5562155,1.84113,-0.1496571,-0.08840647,1.913602,-0.1874834,-0.3607247,1.917475,-0.2012458,-0.5844525,1.833591,0.1254135,-0.5612929,1.847726,0.1536733,-0.852827,1.814118,0.1965782,-1.278508,1.809261,-0.02374981,-0.5660915,1.8321,-0.03716923,-0.8576998,1.801775,-0.05681805,-1.28585,1.801718,0.2080488,-1.307346,1.673804,-0.0516811,-1.316923,1.666487,0.3298745,-0.637949,1.809808,-0.1924563,-0.6371671,1.811787,0.3263294,-0.705438,1.791763,-0.1863304,-0.7194805,1.815324,0.05174378,-0.573899,1.873232,0.03161499,-0.266138,1.90368,0.01695422,-0.04018351,1.917834,-1,-1,Low,High,0.3046439,-0.6458161,1.776207,-0.1287981,-0.6207418,1.817482,-0.03203254,0.9988632,0.0109639,0.03355496,0.799368,0.5974393,0.06163829,0.01667057,0.658521,0.09343368,0.7418879,-0.0849864,0.8644201,0.2248871,-0.430027,-0.1314557,0.7992833,-0.6004035,-0.01078224,-0.02335893,0.7702825,-0.05772551,-0.6339249,-0.03836445,0.7549075,-0.136649,0.6304876,-0.118013,0.6426669,0.7459209,-0.08465696,-0.1530177,0.6670997,-0.01033278,0.7412161,-0.0739592,0.6838256,0.03023198,0.7278942,-0.0404797,-0.6620929,0.7037014,-0.1281077,0.2236646,0.7398998,0.0177725,-0.6703331,-0.05372233,0.7238358,-0.01655474,-0.6895912,-0.01586319,0.8724816,0.1471394,-0.4482172,-0.1273862,0.7331291,-0.06948151,0.6474316,-0.1962816,-0.02993273,0.9969127,0.05083144,0.05181988,-0.03042305,0.9973673,0.05053951,0.04217382,-0.03129766,0.9984472,0.03227396,0.03289567,-20,10,5
0.0595162,0.009638282,0.1801952,1.892901,0.01342313,0.03327665,1.919694,0.1855248,-0.09068885,1.936061,0.2515802,-0.3483452,1.942672,0.3180432,-0.5570555,1.842035,-0.1489652,-0.08871239,1.914834,-0.1865291,-0.3601326,1.917264,-0.1989104,-0.5830721,1.830709,0.1258654,-0.5613409,1.848114,0.1540019,-0.8527708,1.814302,0.1967632,-1.278511,1.809153,-0.02324809,-0.5661652,1.83288,-0.0366882,-0.8577112,1.802353,-0.05635854,-1.285859,1.802006,0.2079794,-1.307317,1.673641,-0.05144889,-1.316865,1.666723,0.3296459,-0.6392632,1.813494,-0.1908441,-0.6389299,1.806163,0.3252714,-0.7084283,1.798248,-0.1796194,-0.7209894,1.809324,0.05223292,-0.5739578,1.873802,0.03245313,-0.2663599,1.904177,0.01810465,-0.04056544,1.918261,-1,-1,Low,High,0.3059452,-0.6488267,1.779459,-0.1296534,-0.6219292,1.819945,-0.03131462,0.9989204,0.01071514,0.03259777,0.7992981,0.5975214,0.06155525,0.0173701,0.6578185,0.09234128,0.7426048,-0.08535814,0.8673422,0.2232709,-0.425013,-0.1312688,0.7989252,-0.6009211,-0.01221438,-0.02152294,0.7733465,-0.05606777,-0.630234,-0.03995807,0.6007891,-0.1616234,0.7775171,-0.0916382,0.6425321,0.7457706,-0.08542414,-0.1538876,0.66805,-0.01063918,0.7403439,-0.07407383,0.6844901,0.02990072,0.7272786,-0.0405595,-0.6622019,0.7039905,-0.1276522,0.2226906,0.7389944,0.01805263,-0.6713023,-0.05398632,0.7232554,-0.01632578,-0.690199,-0.01613954,0.8783321,0.1344121,-0.4435468,-0.1171855,0.5915588,-0.1218259,0.7770858,-0.1770718,-0.02945951,0.9970016,0.05067498,0.05051605,-0.02993903,0.9974361,0.05039316,0.04105333,-0.0306686,0.9985032,0.03209341,0.03195067,-20,5,5
0.092692,0.0105896,0.1790109,1.893078,0.01511865,0.03250621,1.920482,0.1859376,-0.09079228,1.936284,0.2520696,-0.3485634,1.942738,0.3185924,-0.5579583,1.843677,-0.148012,-0.08899648,1.91635,-0.1858764,-0.3599079,1.917001,-0.1970482,-0.5816371,1.826734,0.1263655,-0.5616002,1.84841,0.1544614,-0.8527023,1.81474,0.1972461,-1.278672,1.809803,-0.02271597,-0.5666069,1.833844,-0.03602496,-0.8588884,1.803268,-0.05541203,-1.286235,1.80281,0.2080386,-1.307565,1.674266,-0.0509083,-1.317203,1.667487,0.3286488,-0.6408339,1.816755,-0.1915595,-0.6346341,1.802122,0.3256675,-0.7095684,1.801121,-0.1815671,-0.7187229,1.804928,0.05275923,-0.5742984,1.874384,0.03352522,-0.2669002,1.904873,0.01964105,-0.04127752,1.919028,-1,-1,Low,High,0.3032506,-0.647262,1.783222,-0.1234823,-0.6116057,1.8137,-0.0302806,0.9990068,0.01077391,0.03086136,0.7989517,0.5981129,0.0604982,0.01664348,0.6576647,0.09215437,0.7427315,-0.08564249,0.8635011,0.2230971,-0.4344904,-0.1257442,0.7979144,-0.6022722,-0.0139502,-0.020158,0.7763076,-0.05473807,-0.6265235,-0.04264301,0.6262069,-0.1629279,0.7552859,-0.104224,0.6420762,0.7457218,-0.08632741,-0.1555149,0.6697129,-0.0103513,0.7388546,-0.07396828,0.6856413,0.03014743,0.7261955,-0.04034078,-0.6627757,0.7041543,-0.1265702,0.2210771,0.7374824,0.01835068,-0.6729761,-0.05372252,0.7221756,-0.01600265,-0.6913382,-0.01606019,0.8746517,0.1234302,-0.4553967,-0.11119,0.6172011,-0.136125,0.7553528,-0.1731331,-0.02870596,0.997132,0.05078306,0.04821697,-0.02917151,0.997533,0.05051707,0.03904989,-0.02971925,0.9985821,0.03219385,0.03023333,-20,5,0
0.1258148,0.01126772,0.1784288,1.892812,0.01586418,0.03226238,1.920762,0.1862881,-0.09069537,1.936709,0.2527831,-0.3497978,1.942832,0.3187003,-0.558637,1.845158,-0.1472789,-0.08890742,1.917914,-0.1855816,-0.3599427,1.916621,-0.1966071,-0.5804434,1.822952,0.1267328,-0.5616273,1.848726,0.1548186,-0.8525458,1.815094,0.1679004,-1.24474,1.966206,-0.02238963,-0.5666716,1.834172,-0.035777,-0.8591746,1.803892,-0.0552403,-1.286239,1.803847,0.1761348,-1.328186,1.876358,-0.05113139,-1.3173,1.668541,0.3276539,-0.6433151,1.81814,-0.1913767,-0.6312042,1.795802,0.3254912,-0.7111248,1.804216,-0.1856211,-0.7109376,1.791975,0.05311871,-0.5743461,1.87472,0.03409764,-0.2670429,1.905193,0.02034841,-0.04149645,1.91932,-1,-1,Low,High,0.3038598,-0.6497008,1.783293,-0.1244265,-0.6118161,1.812819,-0.03005305,0.9990637,0.0106422,0.02924544,0.7986113,0.5985662,0.06030157,0.01738749,0.6586714,0.09178561,0.7418427,-0.08600379,0.8794416,0.2168581,-0.4025494,-0.1323221,0.7973753,-0.6030098,-0.01636396,-0.01743624,0.7761393,-0.05308341,-0.6266443,-0.0459017,0.6314675,-0.1675286,0.7489731,-0.1105547,0.6419888,0.7457647,-0.0863221,-0.1556729,0.6684464,-0.01044795,0.7400019,-0.07394101,0.6760901,0.1435712,0.7136121,0.1142247,-0.6628462,0.7041277,-0.1266536,0.2209025,0.7374813,0.01790156,-0.6730149,-0.05340302,0.7211854,-0.01638883,-0.6923677,-0.01580703,0.8911085,0.1117005,-0.4241088,-0.1165356,0.6186814,-0.156726,0.745868,-0.1906596,-0.02837693,0.9971467,0.0507565,0.04813362,-0.02888045,0.9975762,0.05047171,0.03821176,-0.02948576,0.9986399,0.03208752,0.02862153,-20,10,5
0.1589651,0.01169554,0.1776588,1.893067,0.01726108,0.03160302,1.921099,0.1866304,-0.09074259,1.937214,0.2532688,-0.3512502,1.942912,0.3189275,-0.5606873,1.846524,-0.1464965,-0.08867987,1.919972,-0.1854804,-0.3599295,1.916359,-0.1966672,-0.5794324,1.820081,0.1272515,-0.5617446,1.849414,0.1550275,-0.8526658,1.815652,0.2214252,-1.254229,1.929427,-0.02199529,-0.5670731,1.834715,-0.03552661,-0.8596943,1.804471,-0.05516817,-1.286583,1.804469,0.2423354,-1.318925,1.819308,-0.05158601,-1.317644,1.669141,0.3259301,-0.6442944,1.82059,-0.1939901,-0.6293375,1.790016,0.3255954,-0.7119418,1.806359,-0.1874069,-0.7091172,1.788913,0.05357941,-0.5746107,1.875337,0.03498655,-0.2674822,1.905687,0.02161283,-0.04209805,1.919703,-1,-1,Low,High,0.3007086,-0.6541438,1.792515,-0.1235776,-0.6081107,1.810222,-0.02921299,0.9991524,0.01025257,0.02713028,0.7981595,0.5991738,0.05993284,0.01844458,0.6589243,0.09091379,0.7416958,-0.08625921,0.8295159,0.228288,-0.4987395,-0.1051043,0.7956985,-0.6052217,-0.01947124,-0.01384011,0.7764207,-0.05135737,-0.6261331,-0.04990613,0.5612181,-0.1816207,0.8015155,-0.09808692,0.6413754,0.7463968,-0.0858109,-0.1554534,0.6695289,-0.0108611,0.7390392,-0.07371701,0.6611907,0.1545134,0.7334277,0.03218837,-0.6633736,0.7036387,-0.1271968,0.2205651,0.7377085,0.01765391,-0.6727641,-0.05350689,0.7198676,-0.01655032,-0.6937308,-0.0159531,0.8354886,0.1138951,-0.5272487,-0.1048594,0.5455626,-0.2070337,0.7938461,-0.1711927,-0.02769638,0.9971603,0.05056606,0.04844968,-0.02825801,0.9976382,0.05025436,0.03733758,-0.02875341,0.9987291,0.03178184,0.02652054,-20,10,5
0.1916847,0.01189021,0.1775451,1.892893,0.01729421,0.03160768,1.921132,0.1871629,-0.09081392,1.938068,0.2536641,-0.3520499,1.943729,0.3187522,-0.5620478,1.848304,-0.1459765,-0.08845249,1.92158,-0.1854801,-0.3599008,1.916319,-0.1977383,-0.5777794,1.816102,0.1276236,-0.5617899,1.850053,0.1554792,-0.8529535,1.816605,0.1791559,-1.25847,1.932227,-0.02178826,-0.5669836,1.835167,-0.03551162,-0.8597822,1.804798,-0.05539846,-1.286459,1.804609,0.1888849,-1.326743,1.823216,-0.05208521,-1.317482,1.669248,0.3237604,-0.6446425,1.82318,-0.198106,-0.6266438,1.785072,0.3253011,-0.7130387,1.809342,-0.1903012,-0.7068736,1.785121,0.05387183,-0.5745798,1.875889,0.03514041,-0.2674728,1.905904,0.02166979,-0.04209258,1.919767,-1,-1,Low,High,0.2997601,-0.6520811,1.7925,-0.1976248,-0.681827,1.8282,-0.02939198,0.999181,0.01001466,0.02594518,0.7979651,0.599296,0.06059741,0.02058874,0.6601616,0.09059808,0.7406931,-0.08574598,0.8607475,0.2188317,-0.4440859,-0.118382,0.7954693,-0.6055055,-0.02206263,-0.01024331,0.7718558,-0.04977635,-0.6316136,-0.05315362,0.04426144,-0.2146433,0.9755508,0.01642474,0.6417849,0.7462524,-0.08575182,-0.1544867,0.6690971,-0.01040882,0.7394685,-0.07339557,0.6807071,0.1198622,0.7188318,0.07451089,-0.6630898,0.7038384,-0.1275938,0.2205518,0.738085,0.01751246,-0.6723268,-0.053858,0.7192191,-0.01659759,-0.6943929,-0.01633336,0.8680255,0.09605709,-0.4733785,-0.1149673,0.03564904,-0.2790557,0.959587,-0.00705716,-0.02791904,0.9971489,0.05005911,0.0490768,-0.02851963,0.9976675,0.0497194,0.03706957,-0.02901488,0.9987639,0.03141499,0.02533456,-20,10,5
0.2248141,0.01226823,0.1766654,1.892923,0.0183138,0.0311706,1.921853,0.1873897,-0.09086782,1.938473,0.253862,-0.3531766,1.944658,0.3182716,-0.5640104,1.850835,-0.1455702,-0.08837585,1.922659,-0.1855032,-0.3598807,1.91628,-0.1989935,-0.5764661,1.813137,0.1280421,-0.5618733,1.850681,0.1557719,-0.8536067,1.817626,0.1609378,-1.250175,1.957052,-0.02133943,-0.567111,1.835889,-0.03541112,-0.8596838,1.805247,-0.05580303,-1.286538,1.804675,0.1656764,-1.329036,1.85992,-0.05277785,-1.317466,1.669259,0.322447,-0.6446333,1.825458,-0.200055,-0.6230265,1.782188,0.3229433,-0.713477,1.808649,-0.1975255,-0.6971118,1.774795,0.05431966,-0.5746863,1.876579,0.03590319,-0.2677446,1.906629,0.02263364,-0.04249019,1.920493,-1,-1,Low,High,0.2982623,-0.6531121,1.794125,-0.2004163,-0.6759195,1.8176,-0.02904014,0.9992132,0.009955534,0.02510865,0.7978116,0.5995749,0.05999501,0.02017843,0.6619384,0.09113383,0.7391824,-0.08450802,0.8702939,0.2134566,-0.4272957,-0.1201799,0.7943911,-0.6068992,-0.02286957,-0.009650445,0.7672514,-0.04867057,-0.6370791,-0.05555831,-0.02327357,-0.2193832,0.974767,0.03403796,0.6416504,0.7462505,-0.08588735,-0.1549784,0.6686212,-0.01009008,0.7399767,-0.07265224,0.6851676,0.1252763,0.7086647,0.1124525,-0.6631731,0.7038352,-0.1276004,0.2203079,0.7377959,0.01742031,-0.6725842,-0.05462913,0.7185568,-0.01668853,-0.6950583,-0.01707392,0.8759986,0.09233542,-0.4571416,-0.1229716,-0.02982681,-0.2886427,0.9567851,0.01891828,-0.0274394,0.9971765,0.05010942,0.04873735,-0.02805266,0.9976997,0.04976869,0.03648841,-0.02861322,0.9987966,0.03140178,0.02450457,-25,15,0
0.2599627,0.01246618,0.1760661,1.892881,0.01876059,0.0308674,1.922293,0.1875575,-0.09099793,1.938967,0.2539221,-0.3537894,1.945242,0.3177117,-0.5650827,1.852123,-0.1454599,-0.08824543,1.923405,-0.185817,-0.3593419,1.916364,-0.2011678,-0.574504,1.810225,0.12847,-0.5619135,1.851277,0.1558892,-0.8537299,1.817911,0.1651183,-1.261013,1.927985,-0.02095177,-0.5670606,1.836339,-0.03532836,-0.8598261,1.805627,-0.05611709,-1.286432,1.804945,0.170678,-1.327645,1.81678,-0.05322243,-1.31734,1.669508,0.3204758,-0.6452335,1.82668,-0.2021969,-0.6221761,1.780857,0.3208155,-0.7130901,1.809149,-0.2005811,-0.6943394,1.767742,0.05473815,-0.5746777,1.877108,0.03636985,-0.2679027,1.907118,0.02309091,-0.04275966,1.920945,-1,-1,Low,High,0.2954866,-0.6511843,1.795902,-0.2011594,-0.6780246,1.821594,-0.0291292,0.9992185,0.009867995,0.02482844,0.7977158,0.5996927,0.06000461,0.02043511,0.6636879,0.09116734,0.7376781,-0.08389235,0.8739998,0.2105918,-0.4208824,-0.120969,0.7935429,-0.607996,-0.0234202,-0.009065161,0.7606595,-0.04797247,-0.6448132,-0.05754664,-0.02292201,-0.2259473,0.973123,0.03813051,0.6419085,0.7461277,-0.08562984,-0.1546434,0.6690239,-0.01079331,0.7396079,-0.0725993,0.6883842,0.1023314,0.713228,0.08343507,-0.6629731,0.7039128,-0.1278268,0.2205308,0.7381017,0.01707917,-0.672224,-0.05503547,0.7182882,-0.01693532,-0.6953192,-0.01750547,0.8781514,0.08492254,-0.4529426,-0.1283796,-0.0301451,-0.2721035,0.9616258,0.01808435,-0.02735489,0.9971558,0.0500821,0.04923254,-0.02798713,0.9976994,0.04973156,0.03659681,-0.0286591,0.9988045,0.03132826,0.02422261,-15,15,5
0.2925925,0.01251714,0.1758109,1.892699,0.01892576,0.03074893,1.922317,0.1878477,-0.09100556,1.939788,0.2537044,-0.3541289,1.945824,0.3168794,-0.566175,1.854195,-0.1455506,-0.08826046,1.923971,-0.1859936,-0.3590474,1.91642,-0.2021822,-0.5736658,1.809198,0.1286099,-0.5620085,1.851683,0.1560367,-0.8536844,1.818155,0.1676949,-1.261273,1.927452,-0.02079508,-0.5670227,1.83683,-0.03517715,-0.859735,1.805954,-0.05597574,-1.286383,1.80504,0.1739483,-1.327469,1.815878,-0.05300021,-1.317251,1.66958,0.318648,-0.647117,1.827979,-0.2046689,-0.6204673,1.779624,0.319107,-0.7128538,1.811146,-0.2032278,-0.693238,1.767951,0.05488956,-0.5747087,1.877561,0.03653536,-0.2679877,1.907298,0.02325326,-0.04286797,1.921003,-1,-1,Low,High,0.2949643,-0.6504751,1.795181,-0.202199,-0.6735342,1.80925,-0.0291166,0.9992121,0.009652166,0.0251831,0.7973553,0.5999897,0.06116872,0.02225563,0.6643586,0.09019393,0.7372556,-0.0833472,0.879489,0.2065329,-0.411365,-0.1209216,0.7932491,-0.6083732,-0.02403956,-0.007734442,0.757825,-0.04728427,-0.648096,-0.05862751,0.04845639,-0.2306368,0.971557,0.02314469,0.6421505,0.7458909,-0.08613833,-0.1544977,0.669188,-0.01097645,0.7394344,-0.07282738,0.6873125,0.1037597,0.7143916,0.0804982,-0.6626484,0.7043055,-0.1279139,0.220202,0.7379145,0.01727662,-0.6724069,-0.05525066,0.7184955,-0.01675831,-0.6951043,-0.01770193,0.8818699,0.07962558,-0.4448325,-0.1344963,0.04314658,-0.2786072,0.9593741,0.01085577,-0.02737156,0.9971882,0.04964457,0.04901062,-0.027984,0.9977185,0.04930194,0.03666292,-0.02866519,0.9988036,0.03107285,0.02457863,-25,5,0
0.328935,0.01256696,0.1756173,1.892684,0.01907883,0.03072837,1.92257,0.187934,-0.09079694,1.940632,0.2536227,-0.355144,1.946684,0.3159456,-0.5677027,1.855757,-0.1454708,-0.08799972,1.924475,-0.18621,-0.3588061,1.916391,-0.2032662,-0.5727102,1.807738,0.1287616,-0.5619467,1.852242,0.1561317,-0.8536476,1.818354,0.1450198,-1.250645,1.956308,-0.02072713,-0.5669126,1.837009,-0.03517793,-0.8597715,1.806199,-0.05605306,-1.286235,1.805371,0.1450549,-1.329229,1.858448,-0.05297336,-1.317135,1.669918,0.3170705,-0.6479658,1.830006,-0.2058057,-0.6187755,1.780613,0.3189247,-0.7139339,1.814659,-0.2041321,-0.6944234,1.768416,0.05499677,-0.5746101,1.877904,0.03668838,-0.2679565,1.907605,0.02341023,-0.04287763,1.92127,0,-1,Low,High,0.2912163,-0.6555091,1.80141,-0.2231469,-0.6422459,1.796584,-0.02914483,0.9991989,0.009572352,0.02570058,0.7969078,0.6004241,0.06224256,0.02354911,0.6663607,0.08983599,0.7355858,-0.08250156,0.8580233,0.209975,-0.4556937,-0.109771,0.7927485,-0.6090212,-0.02433344,-0.007129062,0.755055,-0.04679976,-0.6512397,-0.05990488,-0.166163,-0.2227318,0.9576294,0.07567257,0.6424305,0.7459636,-0.08519217,-0.1535041,0.6647773,-0.01192648,0.7433622,-0.07308481,0.6922271,0.1090817,0.7021067,0.1263685,-0.6625399,0.7041641,-0.1284436,0.2206717,0.7387626,0.01703747,-0.6714819,-0.05524155,0.7187788,-0.01690751,-0.6948081,-0.01769209,0.8571554,0.08273471,-0.4912612,-0.1307749,-0.1687535,-0.2543716,0.9496798,0.07018334,-0.02724498,0.9971308,0.04962836,0.05024806,-0.02787496,0.99769,0.04927729,0.03754212,-0.02864802,0.9987934,0.03100385,0.02509583,-25,15,0
