time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.027033,0.05531483,0.2002156,1.959102,0.05621565,0.03134596,1.993227,0.227119,-0.08812398,2.02609,0.2932653,-0.3510547,2.034757,0.3402784,-0.5656413,1.939921,-0.1041625,-0.08360399,1.994869,-0.1544949,-0.352884,1.980694,-0.1619984,-0.5666739,1.879828,0.1550636,-0.5572956,1.929892,0.1860859,-0.8471577,1.888132,0.2003053,-1.231031,2.007853,0.006758276,-0.5629479,1.92017,-0.001819728,-0.8596734,1.888558,0.01025776,-1.237551,2.009943,0.2132629,-1.30008,1.897502,0.02520122,-1.30736,1.900323,0.331465,-0.6420557,1.900248,-0.1524071,-0.6264808,1.862872,0.3257783,-0.7162358,1.892659,-0.1443022,-0.7024364,1.850046,0.0823674,-0.5703768,1.960376,0.06883801,-0.2656635,1.984213,0.05935504,-0.04185761,1.993486,-1,-1,High,High,0.327971,-0.6286974,1.861334,-0.0898312,-0.5758485,1.860208,-0.02148632,0.9987169,-0.0007794415,0.04585152,0.7899808,0.6053001,0.08115411,0.05437128,0.7231866,0.1005714,0.6794446,-0.07239939,0.9729322,0.09187566,0.04262026,-0.2077142,0.7896626,-0.6134419,-0.01061699,-0.003059636,0.8145584,-0.06050309,-0.5721243,-0.07421508,0.6740836,-0.1692397,0.7053947,-0.1392394,0.6371543,0.7434744,-0.1103693,-0.1705842,0.6803706,-0.01586873,0.7274838,-0.08724207,0.6675485,0.1230754,0.7289757,0.08846494,-0.6623966,0.7065086,-0.1342286,0.2099024,0.7267685,0.02588819,-0.6846815,-0.04846327,0.734405,-0.09203612,-0.6606599,0.1253288,0.9702716,-0.05367718,0.004942512,-0.2359394,0.6696105,-0.04797522,0.725974,-0.1492714,-0.02087479,0.9984832,0.03968452,0.03194685,-0.02061684,0.9982549,0.03981914,0.03842508,-0.02019587,0.9985295,0.02162855,0.0454232,-20,5,5
0.0615089,0.05584207,0.2001472,1.958977,0.0565011,0.03143837,1.99321,0.2281369,-0.08890884,2.025574,0.2932062,-0.3519413,2.03404,0.3383227,-0.5655138,1.93691,-0.1038872,-0.08357628,1.994873,-0.1532116,-0.3520687,1.980989,-0.1613449,-0.5664874,1.8817,0.1551532,-0.5574988,1.929448,0.1860828,-0.8472769,1.888175,0.1994979,-1.230969,2.008732,0.006849524,-0.562942,1.919846,-0.001956653,-0.8594736,1.88837,0.008793981,-1.237718,2.009358,0.2121035,-1.300453,1.898775,0.02322476,-1.307502,1.89962,0.3303642,-0.6429611,1.896503,-0.1511603,-0.6246446,1.864653,0.3245836,-0.7158748,1.887044,-0.1452269,-0.7032108,1.853507,0.08246426,-0.5704696,1.959979,0.0690402,-0.2656465,1.984073,0.0596163,-0.04178571,1.99344,-1,-1,High,High,0.3261343,-0.6252855,1.859723,-0.0875876,-0.5801032,1.857773,-0.02130607,0.9987632,-0.0006084263,0.04491892,0.7912211,0.6039456,0.0800216,0.05305999,0.725342,0.09910219,0.6775036,-0.07103958,0.9723937,0.08891097,0.03746961,-0.2124651,0.7897415,-0.6133333,-0.01099001,-0.003158775,0.8127449,-0.0592542,-0.5749622,-0.07316545,0.7500525,-0.1512159,0.625195,-0.1539035,0.6376904,0.7429126,-0.110373,-0.1710257,0.6806622,-0.01534882,0.7272982,-0.08660737,0.6681492,0.1230843,0.7282303,0.09004063,-0.6620602,0.7069133,-0.1337106,0.2099317,0.7265355,0.02548636,-0.6849353,-0.04858269,0.7336069,-0.09306561,-0.6617227,0.1236232,0.9702882,-0.04728008,0.002151166,-0.2372778,0.7350802,-0.03117534,0.657901,-0.1607843,-0.0206953,0.9984828,0.04007464,0.03158941,-0.02044631,0.9982676,0.04020224,0.0377825,-0.02007,0.99857,0.02180779,0.04449252,-20,5,5
0.0956007,0.05620061,0.2003547,1.959097,0.05665725,0.03148481,1.992974,0.2282222,-0.08891672,2.025496,0.2929829,-0.352066,2.033651,0.3368323,-0.5667154,1.933068,-0.1033469,-0.08346114,1.994776,-0.1522554,-0.3516066,1.981341,-0.1600105,-0.5666963,1.883672,0.1552041,-0.5575621,1.929251,0.1860817,-0.8472755,1.888174,0.1990767,-1.230891,2.009181,0.006887989,-0.562947,1.919783,-0.002104117,-0.8596274,1.888206,0.008929244,-1.238106,2.008101,0.2116082,-1.30056,1.899407,0.0234462,-1.30742,1.897879,0.3295105,-0.6425734,1.894338,-0.148863,-0.6247368,1.867473,0.3238528,-0.7155041,1.887906,-0.1421411,-0.7067456,1.860265,0.08251432,-0.5705001,1.959849,0.06917021,-0.2656381,1.983905,0.05976902,-0.04174872,1.993225,-1,-1,High,High,0.319506,-0.6208787,1.857982,-0.08740519,-0.5822136,1.859148,-0.02128669,0.9987627,-0.0007584846,0.04493864,0.7912979,0.6037896,0.08017748,0.05345568,0.7285644,0.09860035,0.6741573,-0.07059696,0.9671947,0.1148448,-0.09868427,-0.2039767,0.7897761,-0.6132881,-0.01111424,-0.002797249,0.8147465,-0.05944009,-0.5722558,-0.07196125,0.7516052,-0.1480395,0.6245851,-0.1518794,0.6378161,0.7427078,-0.1106723,-0.171252,0.6809774,-0.01513498,0.7270386,-0.08634678,0.6681437,0.1231337,0.7281307,0.09081677,-0.6619799,0.707122,-0.1335168,0.2096054,0.7262137,0.02538477,-0.6852589,-0.04888276,0.7338547,-0.09185196,-0.6617621,0.1228478,0.9619473,-0.01114677,-0.13542,-0.2370538,0.7340463,-0.02093628,0.6593441,-0.161254,-0.02058189,0.998502,0.03999469,0.03115111,-0.02032429,0.9982812,0.0401262,0.03757099,-0.0200212,0.9985724,0.02170032,0.04451293,-20,5,5
0.1286887,0.05668049,0.2004758,1.959072,0.05703649,0.03151631,1.99241,0.2286381,-0.08907165,2.025442,0.292652,-0.352133,2.033289,0.3353468,-0.5674275,1.930556,-0.1026894,-0.08322147,1.994794,-0.1515663,-0.3510687,1.981755,-0.1596948,-0.5664034,1.884734,0.1552464,-0.5576068,1.92899,0.1860636,-0.8472833,1.888143,0.1981983,-1.23139,2.007982,0.006903278,-0.5629047,1.919664,-0.002442125,-0.8596258,1.88792,0.01047877,-1.235352,2.015042,0.2104814,-1.300598,1.89767,0.02562394,-1.307387,1.907919,0.3281184,-0.6416968,1.892501,-0.1487067,-0.6251447,1.869084,0.3206387,-0.7119277,1.878486,-0.1415355,-0.7077385,1.862097,0.08254407,-0.5704941,1.959657,0.06937928,-0.265613,1.983569,0.06010638,-0.04171723,1.992728,-1,-1,High,High,0.2932582,-0.6444781,1.880556,-0.08733409,-0.5821634,1.858123,-0.02102182,0.9987769,-0.001231486,0.04473392,0.7914987,0.6033736,0.0805088,0.05466636,0.7304243,0.09745683,0.6723832,-0.06988051,0.7520905,0.208286,-0.6152721,-0.1114321,0.78954,-0.613584,-0.01180515,-0.001388,0.8141972,-0.05981053,-0.5730595,-0.071472,0.7735215,-0.142317,0.597712,-0.1554051,0.6380244,0.7424443,-0.1110385,-0.1713817,0.6813441,-0.01488029,0.7267379,-0.08602837,0.6687344,0.1212085,0.7279328,0.09064574,-0.661829,0.7074265,-0.1334367,0.2091049,0.725854,0.02516561,-0.6856056,-0.0494706,0.7338813,-0.09622291,-0.6593883,0.1317814,0.722508,0.1232564,-0.6490816,-0.203674,0.7592008,-0.01280929,0.6317101,-0.1561806,-0.02031435,0.9985321,0.03974125,0.03068575,-0.02005311,0.9983092,0.03987371,0.03723795,-0.01975584,0.9985946,0.02132582,0.04431331,-20,10,5
0.1622283,0.05693226,0.2004835,1.958949,0.05738826,0.03141207,1.992198,0.2287999,-0.08915962,2.025346,0.292409,-0.3523841,2.03297,0.3338466,-0.5690854,1.927675,-0.1022218,-0.08303574,1.994808,-0.1508818,-0.3507737,1.982386,-0.1589963,-0.5664811,1.886308,0.1552568,-0.5576597,1.92879,0.1860202,-0.847293,1.888106,0.1981213,-1.231483,2.007845,0.006913254,-0.5629267,1.919577,-0.002577142,-0.8595306,1.887808,0.01251493,-1.236413,2.011933,0.2103799,-1.300645,1.897479,0.02817382,-1.307096,1.903402,0.3262402,-0.6419375,1.892207,-0.1457424,-0.6254609,1.871044,0.3195743,-0.7109476,1.876082,-0.1401837,-0.7042056,1.861132,0.08255678,-0.5705336,1.959506,0.06955663,-0.2656713,1.983402,0.06041417,-0.04180798,1.992529,-1,-1,High,High,0.2743508,-0.6460366,1.899429,-0.08650084,-0.5846667,1.855933,-0.02073008,0.9987895,-0.001338419,0.0445875,0.7915394,0.603272,0.08061562,0.0550387,0.7335073,0.09690396,0.6691675,-0.0692202,-0.5801895,-0.2299589,0.7788416,0.06248819,0.789115,-0.6141239,-0.01219193,-0.0008836391,0.8144658,-0.06020021,-0.5727784,-0.07033045,0.7878589,-0.1373153,0.5794407,-0.1570713,0.638074,0.7423207,-0.1112001,-0.1716275,0.6816171,-0.01471415,0.7265126,-0.0857963,0.6688104,0.1210625,0.7278944,0.09058893,-0.6617705,0.7076002,-0.1332971,0.2087909,0.7255917,0.02504439,-0.685873,-0.04967598,0.7348168,-0.09139816,-0.6592478,0.1307013,-0.5713745,-0.1530551,0.7881096,0.1702603,0.7685498,0.006167114,0.6183202,-0.1642354,-0.02006263,0.9985502,0.03970165,0.03031195,-0.01979697,0.9983254,0.03983479,0.03698182,-0.01947465,0.9986082,0.02124094,0.04417286,-15,30,0
0.195608,0.05725298,0.200495,1.959058,0.05756487,0.03156291,1.992186,0.2288777,-0.08917252,2.025283,0.2923627,-0.3534034,2.031976,0.3329085,-0.5701113,1.926069,-0.1021619,-0.08304177,1.994907,-0.1504484,-0.3506245,1.982823,-0.1584112,-0.5669245,1.888265,0.1552607,-0.5576613,1.928657,0.1860204,-0.8472881,1.888083,0.1967494,-1.232634,2.004682,0.006909381,-0.562852,1.919444,-0.002749634,-0.859362,1.887761,0.01190942,-1.235459,2.014277,0.2085355,-1.300655,1.893047,0.02744671,-1.307145,1.906836,0.3250167,-0.6423254,1.892546,-0.1440523,-0.6254264,1.873848,0.3189946,-0.7119346,1.877572,-0.1430479,-0.7063947,1.865724,0.08255833,-0.5704988,1.959367,0.06965201,-0.2655899,1.983336,0.06057074,-0.04167609,1.992502,-1,-1,High,High,0.2591581,-0.6203488,1.90425,-0.08535256,-0.586363,1.854272,-0.02058348,0.9988027,-0.001246452,0.04436219,0.791822,0.6029121,0.08056155,0.05499776,0.7354936,0.09543238,0.6671329,-0.06982441,-0.6104818,-0.2270421,0.7551954,0.07378051,0.7893108,-0.6138668,-0.01247664,-0.0006321792,0.8158034,-0.06019837,-0.5709923,-0.06934506,0.804416,-0.1306525,0.5574854,-0.1582874,0.6382657,0.7421575,-0.1110929,-0.1716901,0.6816073,-0.01458476,0.7265394,-0.08566824,0.6701559,0.1167622,0.7275249,0.08924643,-0.6616142,0.7077547,-0.1332116,0.2088171,0.7256027,0.02474812,-0.6858643,-0.04978311,0.7343464,-0.09391534,-0.6590273,0.1326578,-0.6036139,-0.1374256,0.7661307,0.1726502,0.7836714,0.02179719,0.5984229,-0.1651487,-0.0199022,0.9985489,0.03981056,0.03031991,-0.01964034,0.9983281,0.03994039,0.03687656,-0.01933485,0.9986191,0.02131381,0.04395072,-15,5,5
0.2287206,0.05769517,0.2007722,1.95941,0.05780594,0.0316145,1.992025,0.2291512,-0.089235,2.025328,0.2920722,-0.3535235,2.031709,0.3324663,-0.5700645,1.925944,-0.1019733,-0.08308782,1.994908,-0.149229,-0.3492718,1.984446,-0.1566235,-0.5660928,1.891186,0.1552509,-0.5576807,1.928585,0.1860233,-0.8472941,1.88806,0.2014498,-1.236206,1.993385,0.006872837,-0.5628217,1.919383,-0.003101295,-0.8593398,1.887707,0.01267487,-1.235323,2.014366,0.2141757,-1.299583,1.877431,0.02853167,-1.306977,1.90695,0.3244745,-0.6434128,1.893321,-0.1417068,-0.6259233,1.876465,0.3159315,-0.71634,1.87867,-0.1400441,-0.7087221,1.867886,0.08253628,-0.5704945,1.959298,0.06974456,-0.2655644,1.98324,0.06077288,-0.04163075,1.992361,-1,-1,High,High,0.2593766,-0.6216276,1.903125,-0.08384239,-0.5934607,1.855268,-0.02032235,0.9988075,-0.001385563,0.04436952,0.7919335,0.6027004,0.08073584,0.05545459,0.7347276,0.09419666,0.6681663,-0.06968473,-0.6200877,-0.2258551,0.7473844,0.07679383,0.7894634,-0.6136681,-0.01261206,-0.0001977064,0.8159926,-0.06071182,-0.571043,-0.06618191,0.8148111,-0.1251597,0.5432971,-0.1588904,0.6383903,0.7420539,-0.1110841,-0.1716803,0.6816198,-0.01450808,0.7265337,-0.08563157,0.6705999,0.1100923,0.7297653,0.07495384,-0.6615024,0.707892,-0.1332236,0.2086985,0.7255649,0.0243562,-0.6858928,-0.05013358,0.7347409,-0.0928972,-0.6584963,0.1338226,-0.6144406,-0.129015,0.7596501,0.1695575,0.794799,0.02653341,0.5832515,-0.1655546,-0.01971651,0.9985555,0.0397589,0.03028745,-0.01945405,0.9983342,0.03988797,0.0368677,-0.01909363,0.9986257,0.02119962,0.04396324,-15,0,5
0.261587,0.05793448,0.2007983,1.959508,0.05794094,0.03169027,1.992025,0.2294531,-0.08928058,2.025296,0.2916121,-0.3552554,2.030305,0.3320095,-0.5705974,1.925394,-0.101747,-0.08301458,1.994977,-0.1484851,-0.3481592,1.985294,-0.1558172,-0.5650738,1.89226,0.155179,-0.5576716,1.928066,0.1857027,-0.8469129,1.887857,0.19443,-1.232808,2.004205,0.006768123,-0.562739,1.919166,-0.00340665,-0.8586372,1.88776,0.01315382,-1.235066,2.014766,0.2056741,-1.300871,1.892518,0.02921124,-1.306847,1.907533,0.3233261,-0.6431965,1.892063,-0.13935,-0.626278,1.875778,0.3163178,-0.7172193,1.880965,-0.1412615,-0.7074757,1.869631,0.08244232,-0.570442,1.958938,0.06980558,-0.2655075,1.98314,0.06088445,-0.04156325,1.992337,-1,-1,High,High,0.2587443,-0.6210926,1.899672,-0.08113492,-0.6455716,1.8618,-0.02015309,0.9988204,-0.001232614,0.04416147,0.7920362,0.6025811,0.08072402,0.05530221,0.7321126,0.09064239,0.6714238,-0.07060468,-0.6101556,-0.2267707,0.7556092,0.07307474,0.7894992,-0.6136155,-0.01292955,-8.553338E-05,0.8150445,-0.06089151,-0.5725319,-0.06482346,0.7535206,-0.1406819,0.6257025,-0.1446082,0.6386036,0.7416087,-0.1114106,-0.1725965,0.6823853,-0.01433985,0.7258818,-0.08508902,0.6710432,0.1145981,0.7268453,0.09090831,-0.6614905,0.7081321,-0.1325106,0.208375,0.7248932,0.02390124,-0.6866198,-0.05011923,0.7349657,-0.0922666,-0.6581604,0.1346741,-0.6036978,-0.1327254,0.7663463,0.1750609,0.7208798,0.006658437,0.6690441,-0.1807431,-0.01949024,0.9985745,0.04015337,0.02927256,-0.01920912,0.9983455,0.04028861,0.03625129,-0.01897696,0.9986336,0.02136016,0.04375714,-15,20,5
0.2966996,0.05803634,0.2008082,1.959544,0.05815165,0.03171473,1.991672,0.2297648,-0.08924463,2.025265,0.2915524,-0.3554765,2.029512,0.3316115,-0.5706422,1.925425,-0.1016694,-0.08306326,1.994975,-0.1476627,-0.3480901,1.986019,-0.1555571,-0.5650129,1.893064,0.1550643,-0.5576884,1.927602,0.1854354,-0.8465809,1.887582,0.2011148,-1.237278,1.989539,0.006673818,-0.5626636,1.918868,-0.003762918,-0.8581308,1.887911,0.0148857,-1.236004,2.011883,0.2137567,-1.299412,1.872452,0.03141332,-1.306433,1.90324,0.3226456,-0.6434627,1.893836,-0.1388018,-0.6260667,1.875686,0.316168,-0.7168833,1.880082,-0.1362294,-0.7100762,1.869217,0.08233704,-0.5704105,1.958546,0.06989562,-0.2654713,1.982789,0.06106814,-0.04153435,1.991988,-1,-1,High,High,0.2592365,-0.6225238,1.900149,-0.08302895,-0.5970542,1.851093,-0.01997159,0.9988295,-0.001274237,0.04403557,0.7918957,0.6026449,0.08115068,0.05599047,0.732549,0.08916707,0.6710949,-0.07108369,-0.6220059,-0.224255,0.7463363,0.07616121,0.7895756,-0.6135033,-0.01354077,0.0007397615,0.811191,-0.0601511,-0.5782153,-0.06338786,0.8351029,-0.1195568,0.5117891,-0.162423,0.6388093,0.7413034,-0.1116394,-0.1729983,0.6827814,-0.01425696,0.7255455,-0.08479413,0.6713341,0.1068762,0.7298933,0.07172092,-0.6613343,0.7084267,-0.1322309,0.2080471,0.7245684,0.02312147,-0.6870024,-0.049938,0.7358542,-0.08745079,-0.6580901,0.133373,-0.6169275,-0.1206667,0.7584222,0.1721504,0.8116427,0.03143476,0.5533632,-0.1844919,-0.01919074,0.998594,0.04020016,0.02873437,-0.01890094,0.9983614,0.04033722,0.0359201,-0.01877156,0.9986429,0.02135392,0.04363529,-15,5,5
0.3348788,0.05821376,0.2007602,1.959696,0.05840441,0.03178016,1.991552,0.2300185,-0.08908952,2.025073,0.2910214,-0.3549721,2.028515,0.3311137,-0.5710021,1.924983,-0.1015402,-0.08306831,1.994973,-0.1473284,-0.3477446,1.986248,-0.1552024,-0.5648664,1.893822,0.1549157,-0.5575927,1.926782,0.1849746,-0.8452427,1.886354,0.1954001,-1.234338,1.997923,0.006515762,-0.5624295,1.918385,-0.003769861,-0.8575684,1.887606,0.01485147,-1.236526,2.009533,0.2068577,-1.300506,1.8844,0.03125023,-1.306211,1.900061,0.3227559,-0.6431968,1.893437,-0.1382376,-0.6257906,1.874393,0.3163749,-0.7173266,1.881259,-0.1361945,-0.7110852,1.871536,0.08218192,-0.5702396,1.957894,0.07001564,-0.265367,1.982498,0.06128544,-0.04146148,1.991835,-1,-1,High,High,0.2597105,-0.6229745,1.899291,-0.08302396,-0.5973342,1.851127,-0.01972211,0.9988475,-0.001068975,0.04374433,0.7917397,0.602859,0.08123007,0.05577526,0.7318916,0.08717404,0.6720369,-0.07142729,0.6980927,0.213559,-0.6762953,-0.09840673,0.7896634,-0.6133786,-0.01405997,0.0008962577,0.8113798,-0.06019404,-0.5780008,-0.06288467,0.8512589,-0.1136798,0.484926,-0.1651721,0.6391772,0.7406837,-0.1118966,-0.1741239,0.6835268,-0.01510246,0.7247725,-0.08525247,0.67176,0.1110397,0.7274688,0.08483957,-0.6612002,0.708806,-0.1313654,0.2077295,0.7238523,0.02317942,-0.6877808,-0.04957852,0.7358326,-0.08568887,-0.6587878,0.1311735,-0.6592112,-0.1139963,0.7218409,0.1771763,0.827513,0.03019855,0.5250312,-0.1966022,-0.01877306,0.9986107,0.04076507,0.02761444,-0.01846239,0.9983717,0.04090671,0.03521059,-0.01855012,0.9986532,0.02164982,0.04334679,-15,0,5
