time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0097247,0.1872188,0.1819307,1.95634,0.1983846,0.03973897,1.981294,0.3609155,-0.07548605,1.989536,0.452493,-0.3282197,2.037146,0.5087635,-0.5491214,1.947434,0.03047305,-0.07054137,2.017097,-0.02641058,-0.341216,2.04118,-0.07937828,-0.5593582,1.978089,0.280446,-0.5487258,1.920051,0.3230631,-0.8444065,1.879722,0.3695428,-1.210813,1.972427,0.1364263,-0.5551538,1.930183,0.1269986,-0.8526045,1.90653,0.1376091,-1.216164,2.02143,0.3672864,-1.269798,1.857723,0.1295106,-1.282872,1.913777,0.5018532,-0.6193571,1.920354,-0.09373818,-0.6250805,1.955742,0.4994498,-0.6891724,1.908422,-0.0951781,-0.6971384,1.961366,0.2119197,-0.5611754,1.957235,0.206047,-0.2571254,1.975973,0.2005505,-0.03350333,1.982239,-1,-1,Low,High,0.5049694,-0.6606888,1.9335,-0.1170137,-0.6248956,1.961,-0.01452395,0.9991457,-0.00700952,-0.03804986,0.791376,0.61093,0.01521532,0.01603803,0.7413834,0.187357,0.6428356,-0.04483695,0.07843135,-0.1776951,0.9719652,-0.1325015,0.7735993,-0.6256654,-0.076584,0.06497593,-0.6690468,0.1016803,0.7347405,0.04683941,-0.3791682,-0.08239424,0.907739,0.1595382,0.6323363,0.7331944,-0.1459739,-0.2031462,0.7262034,0.005869995,0.6804894,-0.09761342,0.7215149,0.129076,0.6786147,0.04730403,-0.6734637,0.7178891,-0.09491039,0.1485727,-0.6796777,-0.01830993,0.7322679,0.03855757,-0.6712975,0.1022879,0.7252118,-0.1138624,0.1128927,-0.1865184,0.9756166,0.0252673,-0.3821539,-0.1077394,0.9041715,0.1575582,-0.01074639,0.9988291,0.03039799,-0.03606852,-0.01078309,0.9987848,0.03038499,-0.03727454,-0.01281094,0.9990923,0.01352172,-0.03831089,-20,5,5
0.0417464,0.186806,0.1817594,1.957113,0.1976046,0.03982771,1.98259,0.3600753,-0.07553483,1.990299,0.4510599,-0.3279166,2.036101,0.5070692,-0.5489463,1.946802,0.03000742,-0.07049589,2.017078,-0.02762604,-0.3407678,2.039855,-0.07999477,-0.5590397,1.976698,0.2800206,-0.548709,1.920543,0.3229636,-0.8444613,1.879868,0.3699296,-1.210177,1.974342,0.1360718,-0.5551689,1.930426,0.1269826,-0.8525935,1.906574,0.1378336,-1.216343,2.021044,0.3681823,-1.269811,1.8602,0.1300716,-1.282985,1.913304,0.499362,-0.6196172,1.919045,-0.09403643,-0.6272092,1.954301,0.4963413,-0.6906055,1.910991,-0.0972964,-0.6983546,1.960829,0.2115236,-0.5611733,1.957598,0.2053993,-0.2570826,1.976803,0.1997902,-0.03342662,1.983426,-1,-1,Low,High,0.4999984,-0.6572762,1.927784,-0.09068471,-0.6620991,1.985,-0.01469086,0.9991857,-0.006249554,-0.03705562,0.7916452,0.6106208,0.01523064,0.01442541,0.7426071,0.1848683,0.6420237,-0.04651956,0.03796951,-0.1822352,0.9746093,-0.1244403,0.7739954,-0.6256468,-0.07510164,0.06210482,-0.6744888,0.1013459,0.7296697,0.04874495,0.06027294,-0.1443742,0.9820368,0.1054846,0.6323717,0.7333312,-0.1452111,-0.2030887,0.7255673,0.005784472,0.6810601,-0.09836557,0.7202386,0.1313311,0.679459,0.04841302,-0.6735474,0.7175723,-0.09488095,0.149738,-0.6802775,-0.01890977,0.7317044,0.03838689,-0.6722607,0.1014869,0.7244402,-0.1138086,0.07190803,-0.188589,0.9786927,0.03773761,0.05569597,-0.161107,0.9813634,0.08870371,-0.01115872,0.9988308,0.03115112,-0.03524384,-0.0111939,0.9987904,0.03113849,-0.03637216,-0.01307626,0.999115,0.01431977,-0.03732346,-15,0,5
0.0725385,0.1862826,0.1818051,1.95758,0.1966616,0.04002826,1.983413,0.3595603,-0.07568743,1.990682,0.4481901,-0.3268485,2.040322,0.5047847,-0.5478683,1.945962,0.02953227,-0.07052077,2.015569,-0.028374,-0.3408935,2.039017,-0.0810775,-0.5587541,1.974483,0.2799083,-0.5486889,1.92057,0.322719,-0.8449221,1.880105,0.3690343,-1.209685,1.976567,0.1358365,-0.5552069,1.93037,0.126758,-0.8524972,1.906675,0.1379627,-1.216312,2.02129,0.3679432,-1.269988,1.863019,0.130974,-1.283095,1.913641,0.4970009,-0.6193331,1.916478,-0.09404334,-0.6271116,1.95136,0.495225,-0.6900948,1.90979,-0.0958559,-0.7015812,1.959192,0.2113597,-0.5611763,1.957594,0.2048919,-0.2570117,1.977106,0.1989577,-0.03326266,1.984106,-1,-1,Low,High,0.493512,-0.6310443,1.936333,-0.1103735,-0.602407,1.962556,-0.01548579,0.9992706,-0.005260765,-0.03450964,0.7920548,0.6101115,0.01577484,0.01282053,0.7336097,0.1865465,0.6521804,-0.04096349,-0.07002543,-0.2042673,0.9709262,-0.1033132,0.7749316,-0.6253453,-0.07173183,0.05726099,-0.6739542,0.1024773,0.730034,0.04831538,-0.2844605,-0.1014297,0.9413251,0.1506696,0.6323651,0.7334281,-0.1448552,-0.2030136,0.725462,0.005835558,0.6812509,-0.09781615,0.7182271,0.1328604,0.6811253,0.05065796,-0.6737807,0.7172804,-0.09456903,0.1502832,-0.6804968,-0.0187281,0.731514,0.03821908,-0.6743535,0.1009469,0.7224513,-0.1145472,-0.04183105,-0.1912944,0.9788435,0.05934742,-0.2901061,-0.1267283,0.939154,0.1332973,-0.01172684,0.99882,0.03162983,-0.03493771,-0.01172777,0.998819,0.03162949,-0.03496707,-0.01378834,0.9991845,0.01516093,-0.03478938,-15,0,5
0.1182431,0.1855431,0.1822214,1.958517,0.1958058,0.04015964,1.983888,0.3587103,-0.07570513,1.991243,0.4471224,-0.3269675,2.041137,0.502514,-0.5475022,1.944891,0.02919568,-0.07055529,2.015517,-0.02933933,-0.3413103,2.037567,-0.08173167,-0.5590741,1.972347,0.2796407,-0.548674,1.920694,0.3225422,-0.8449897,1.880336,0.3736407,-1.211452,1.968201,0.1354963,-0.5551966,1.930395,0.1267438,-0.8524638,1.906683,0.1389441,-1.216846,2.019661,0.3733937,-1.268676,1.852139,0.1323916,-1.283063,1.91142,0.4968721,-0.6169866,1.918036,-0.09336922,-0.6271907,1.951193,0.4939371,-0.6886887,1.907095,-0.09731007,-0.7016724,1.957555,0.2110543,-0.5611628,1.957674,0.204271,-0.2569388,1.977405,0.1981512,-0.03314519,1.984544,-1,-1,Low,High,0.5233973,-0.6061484,1.9185,-0.1034439,-0.6176831,1.967875,-0.01583149,0.9992932,-0.005012756,-0.03372423,0.7923012,0.6097759,0.01634447,0.01284863,0.7347498,0.1865726,0.650948,-0.04000358,0.4899386,-0.1150109,0.8405596,-0.2004803,0.7754636,-0.6248435,-0.07111391,0.05629908,-0.6771234,0.1014644,0.7270987,0.05036178,-0.2131343,-0.1140361,0.9598523,0.1423133,0.6324353,0.7334799,-0.1445611,-0.2028176,0.7252502,0.006034583,0.6814818,-0.09776607,0.7173671,0.129511,0.6835166,0.03763546,-0.6738371,0.7171389,-0.0943982,0.150812,-0.6807662,-0.01910955,0.7312726,0.03784896,-0.6755568,0.09825071,0.7217689,-0.114103,0.536111,-0.1742913,0.8231844,-0.06763879,-0.2192584,-0.1266051,0.9608321,0.1126887,-0.0122422,0.9988157,0.03196804,-0.0345755,-0.0122367,0.9988216,0.03197015,-0.03440366,-0.01419811,0.9992008,0.0154658,-0.03401327,-15,0,5
0.1479998,0.1848184,0.1825753,1.95899,0.1943382,0.04015972,1.983892,0.3579751,-0.07565419,1.991685,0.4460501,-0.3269008,2.039712,0.5010704,-0.5472766,1.944231,0.02879537,-0.0706664,2.01527,-0.03068712,-0.3424975,2.035398,-0.08241278,-0.5605791,1.970859,0.279471,-0.5486705,1.920782,0.3224654,-0.8452768,1.880576,0.3698196,-1.211735,1.969261,0.1352465,-0.5552261,1.930277,0.1267475,-0.8524573,1.906627,0.1440706,-1.218405,2.014441,0.3689975,-1.269239,1.853391,0.1389297,-1.282764,1.904325,0.4957793,-0.616874,1.916931,-0.09200547,-0.6260912,1.949341,0.4933901,-0.6884268,1.906641,-0.09507402,-0.701094,1.956127,0.2108648,-0.5611728,1.957671,0.2035255,-0.2569418,1.977446,0.1968755,-0.03314516,1.984569,-1,-1,Low,High,0.5164942,-0.6183752,1.916938,-0.098881,-0.6342819,1.962667,-0.01713741,0.9992973,-0.005181003,-0.03292903,0.7919322,0.6102135,0.01717408,0.01371016,0.7363161,0.1840952,0.6497626,-0.041904,0.4150937,-0.1311409,0.8802847,-0.1886744,0.7760462,-0.624175,-0.07069044,0.05622125,-0.682486,0.1000859,0.7220684,0.05303657,-0.1603065,-0.120405,0.9704682,0.1341489,0.6323894,0.7337309,-0.1443844,-0.2021775,0.7248114,0.006248924,0.6819701,-0.09760167,0.717963,0.1267123,0.6831635,0.04196134,-0.673939,0.7168908,-0.0945378,0.1514473,-0.6813062,-0.01929839,0.7307833,0.03748615,-0.6786757,0.08809136,0.7200861,-0.1145225,0.458948,-0.1807655,0.8681452,-0.05490267,-0.1691891,-0.1425284,0.9705032,0.09583487,-0.01313145,0.9988286,0.03201515,-0.03382399,-0.01312595,0.9988344,0.0320174,-0.03365254,-0.01536713,0.9992105,0.01539971,-0.03324221,-15,5,5
0.1744617,0.1842988,0.1827825,1.959364,0.1932788,0.0401778,1.984035,0.3572767,-0.07566808,1.992563,0.445674,-0.3267303,2.039248,0.5002579,-0.5472689,1.944217,0.02862007,-0.07065653,2.01519,-0.03161229,-0.3436785,2.034451,-0.08249474,-0.5617027,1.968906,0.2792907,-0.548655,1.920939,0.3224323,-0.8453674,1.880726,0.3706939,-1.212055,1.967664,0.1350122,-0.5552416,1.930234,0.1267728,-0.8524526,1.906612,0.1444831,-1.218225,2.014975,0.3703083,-1.268898,1.851285,0.1397752,-1.282789,1.90504,0.4958096,-0.6175324,1.918836,-0.09124541,-0.6276262,1.949869,0.4929432,-0.6902152,1.91076,-0.09385424,-0.7013652,1.95838,0.2106714,-0.5611724,1.957724,0.2029019,-0.2569283,1.977582,0.1959221,-0.03312746,1.984718,-1,-1,Low,Low,0.5217482,-0.6100618,1.917146,-0.08210727,-0.6405529,1.960917,-0.01786324,0.9993244,-0.005223853,-0.03169094,0.7918187,0.6102794,0.01871537,0.01522701,0.7389994,0.1832434,0.6468455,-0.04350469,0.5042491,-0.1105693,0.8327639,-0.2000291,0.7764068,-0.6237715,-0.07031496,0.05619214,-0.6879357,0.09984723,0.7168328,0.05408998,0.2386596,-0.165478,0.9541188,0.07291098,0.6323568,0.733974,-0.1440735,-0.2016183,0.7243497,0.006352915,0.6824396,-0.09774161,0.7170377,0.1260453,0.6844185,0.03925312,-0.6740234,0.716677,-0.09462611,0.1520276,-0.6818214,-0.01953761,0.7303133,0.03715326,-0.6796744,0.08810528,0.718979,-0.1155391,0.5468027,-0.1599894,0.8188,-0.07054668,0.2348816,-0.1504728,0.9598662,0.02907572,-0.0138173,0.9988393,0.03213507,-0.03311365,-0.01380383,0.9988531,0.03214086,-0.03269489,-0.01608443,0.9992388,0.01542361,-0.03201921,-15,5,5
0.2202401,0.183763,0.182987,1.959748,0.1924779,0.04012854,1.98402,0.3565787,-0.07560931,1.993265,0.4443895,-0.3263441,2.040897,0.4994963,-0.5472631,1.943822,0.02796241,-0.07066055,2.015387,-0.03173749,-0.3435776,2.033702,-0.08239469,-0.5617774,1.968655,0.2791195,-0.5486261,1.920963,0.3223647,-0.845364,1.880853,0.3711216,-1.211961,1.967732,0.1347427,-0.5552004,1.930049,0.1267907,-0.8523539,1.906585,0.1483375,-1.218698,2.012735,0.3710165,-1.268754,1.851326,0.1446953,-1.282484,1.902035,0.4952656,-0.6167792,1.917605,-0.08964352,-0.6269572,1.946383,0.4935276,-0.6899807,1.909479,-0.09327354,-0.7005815,1.952731,0.2104586,-0.5611389,1.957665,0.2023764,-0.2569173,1.977557,0.1951846,-0.03315915,1.984704,-1,-1,Low,Low,0.5204831,-0.6074142,1.921352,-0.1030414,-0.6278639,1.959445,-0.01830306,0.9993408,-0.005228507,-0.03091332,0.7915876,0.6104914,0.02017725,0.01679954,0.7359773,0.1836202,0.6502526,-0.04233871,0.4124458,-0.1340498,0.8809971,-0.1891117,0.7763501,-0.6237574,-0.0705747,0.05680146,-0.6873721,0.09799189,0.7175817,0.05471361,-0.2449312,-0.1097919,0.952751,0.1421972,0.6324413,0.734108,-0.1437909,-0.2010662,0.7238591,0.006524685,0.6829597,-0.09773111,0.7163956,0.1265181,0.6850387,0.03863296,-0.6739839,0.7165517,-0.09488628,0.1526299,-0.682393,-0.01964946,0.729802,0.03664382,-0.6816945,0.08214232,0.7174775,-0.1173515,0.45346,-0.1722729,0.8726128,-0.05694659,-0.2573742,-0.1436566,0.950948,0.09391047,-0.01430807,0.9988557,0.03218701,-0.03235329,-0.01429459,0.9988691,0.03219299,-0.03193497,-0.01654918,0.9992552,0.01544663,-0.0312513,-15,0,5
0.2392875,0.1832424,0.1830937,1.959809,0.1919005,0.04006628,1.983792,0.3560114,-0.07567146,1.993414,0.4439229,-0.3262466,2.040754,0.49874,-0.5468555,1.943465,0.02757942,-0.07079243,2.01504,-0.03168279,-0.3435007,2.033132,-0.08159686,-0.5614765,1.9665,0.2790906,-0.5486367,1.920946,0.3223229,-0.8452739,1.880867,0.3718179,-1.211957,1.967429,0.1346447,-0.5552161,1.929822,0.126648,-0.8519109,1.906201,0.146576,-1.217324,2.016863,0.3720142,-1.268597,1.850917,0.1428095,-1.282753,1.907737,0.4953024,-0.617155,1.917759,-0.08883797,-0.6288822,1.943399,0.4912057,-0.6899164,1.909939,-0.09014502,-0.7051027,1.950363,0.2103963,-0.561154,1.957574,0.2020867,-0.2569499,1.97742,0.1946811,-0.03321319,1.984502,-1,-1,Low,High,0.5123814,-0.6197665,1.930429,-0.08466052,-0.6625227,1.970333,-0.01880699,0.9993526,-0.005413724,-0.03018908,0.7916057,0.6104224,0.02083353,0.01762972,0.7367309,0.1835616,0.6493922,-0.04269067,0.2296224,-0.1696384,0.9451867,-0.1584885,0.7765856,-0.6235238,-0.0701131,0.05671822,-0.6893387,0.09740249,0.7158108,0.05421979,0.1230668,-0.1576601,0.9756767,0.08973859,0.6324615,0.7342744,-0.1435891,-0.2005385,0.7233683,0.00647553,0.6834819,-0.09771825,0.7157565,0.1269361,0.6856906,0.03752469,-0.67395,0.7164059,-0.09533943,0.1531807,-0.682907,-0.0197927,0.7293019,0.03694694,-0.6810931,0.08795214,0.7169372,-0.1199064,0.2614575,-0.174176,0.9490709,-0.02381412,0.1129189,-0.1685002,0.9786825,0.03221126,-0.01465518,0.9988772,0.03211036,-0.03160099,-0.01464246,0.9988896,0.03211616,-0.03120544,-0.01701209,0.9992718,0.01530275,-0.03053652,-15,0,5
0.2737211,0.1827267,0.1831619,1.959866,0.1911535,0.04002064,1.983688,0.3555225,-0.07576374,1.993644,0.4436007,-0.326231,2.040141,0.4984301,-0.5468053,1.94336,0.02733019,-0.07091177,2.014959,-0.03186302,-0.3435642,2.031627,-0.08092785,-0.5613949,1.963675,0.2791302,-0.5486389,1.920885,0.3223005,-0.8452876,1.880849,0.366069,-1.212327,1.968899,0.134689,-0.5553019,1.929608,0.1266852,-0.8517962,1.905979,0.1464422,-1.217298,2.017004,0.3651552,-1.269521,1.852771,0.142744,-1.282849,1.908,0.495708,-0.6159598,1.917224,-0.08841155,-0.6279321,1.941842,0.4934275,-0.6910767,1.91223,-0.09070292,-0.7020163,1.945701,0.2104375,-0.5611886,1.95745,0.2018782,-0.2569828,1.977327,0.194093,-0.03325668,1.984399,-1,-1,Low,High,0.487221,-0.6298785,1.9334,-0.08598981,-0.6694869,1.9805,-0.01989141,0.9993436,-0.005439039,-0.02978522,0.7916212,0.6103588,0.02143594,0.01840169,0.7376835,0.1829251,0.6484112,-0.04386629,-0.1066979,-0.2126483,0.9669852,-0.09130052,0.776848,-0.6231698,-0.07011675,0.05701004,-0.6929403,0.09579275,0.7124478,0.05545964,0.0025878,-0.1483399,0.9831799,0.1065172,0.6323205,0.7345164,-0.1434053,-0.200228,0.7230545,0.00640414,0.6838318,-0.09759806,0.7172945,0.1227005,0.6844399,0.04444423,-0.6741558,0.7160775,-0.09560026,0.1536474,-0.6832667,-0.01979068,0.7289621,0.03700086,-0.6812973,0.08837876,0.7166661,-0.1200533,-0.09023476,-0.1771228,0.9794146,0.03510321,-0.006568259,-0.1568332,0.9860747,0.05492623,-0.01504907,0.998886,0.03215592,-0.03108425,-0.01503861,0.9988961,0.03216081,-0.03075951,-0.01785287,0.9992695,0.01525913,-0.03014807,-15,0,5
0.3162285,0.1823154,0.183275,1.959947,0.1908213,0.04014972,1.98379,0.3551311,-0.0758175,1.993936,0.4436572,-0.3264718,2.040231,0.4980498,-0.5468866,1.943254,0.02712841,-0.07103255,2.014957,-0.03184788,-0.3434782,2.030863,-0.08059465,-0.561313,1.962645,0.2790398,-0.5486369,1.920832,0.3222721,-0.8452218,1.880774,0.3647889,-1.212352,1.969258,0.1345125,-0.555357,1.929434,0.1266845,-0.8518382,1.905895,0.1453871,-1.215518,2.022358,0.3637123,-1.269706,1.853251,0.1416496,-1.283149,1.915443,0.4958384,-0.6161808,1.918256,-0.08726332,-0.6284833,1.939699,0.4938509,-0.6916607,1.913846,-0.08894169,-0.7033558,1.942697,0.2102997,-0.5612113,1.957341,0.2016139,-0.2569389,1.977319,0.1937708,-0.03315005,1.984472,-1,-1,Low,High,0.5104225,-0.6361933,1.941,-0.104844,-0.6169851,1.946471,-0.01996077,0.9993559,-0.005239188,-0.02935994,0.791915,0.6099452,0.02200822,0.0187898,0.7392257,0.183239,0.64654,-0.04421402,0.17108,-0.1788363,0.9576775,-0.1469792,0.7773073,-0.6226187,-0.07005102,0.05685131,-0.693847,0.09469713,0.7116629,0.05607674,-0.3167116,-0.1064966,0.9307641,0.1484265,0.6322936,0.7346807,-0.1430449,-0.1999682,0.722761,0.006415081,0.6841251,-0.09771486,0.717405,0.1218709,0.6843685,0.04601592,-0.6743125,0.715848,-0.09567181,0.153984,-0.6835898,-0.01986747,0.7286729,0.0366923,-0.6804626,0.09471076,0.7159469,-0.1241794,0.1974984,-0.1717452,0.9649423,-0.01960371,-0.3291415,-0.1380719,0.9288411,0.09927858,-0.01524432,0.998891,0.03231459,-0.03066171,-0.01523385,0.9989009,0.03231953,-0.03033803,-0.01797574,0.9992771,0.01544054,-0.02972526,-15,5,5
