time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0245431,0.05164761,0.2000488,1.975078,0.06309838,0.03003771,2.010051,0.2311127,-0.0893595,2.018826,0.2999491,-0.3577487,2.018805,0.3393994,-0.5696444,1.920812,-0.108058,-0.09090088,2.014226,-0.1417124,-0.3560914,1.992217,-0.1524961,-0.5729065,1.897417,0.1637837,-0.5680935,1.932718,0.2000938,-0.8733395,1.897861,0.142654,-1.205498,2.20167,0.0132916,-0.5767834,1.927696,0.00831434,-0.8846428,1.904143,0.004094661,-1.262096,1.982608,0.1809221,-1.142389,2.046801,0.004599913,-1.317656,1.858732,0.3342782,-0.6458493,1.895521,-0.144916,-0.6340728,1.871523,0.3330741,-0.7208977,1.886883,-0.1420494,-0.7195446,1.869859,0.09014823,-0.5828615,1.965338,0.07657322,-0.2723757,1.995263,0.06647868,-0.04449865,2.008889,-1,-1,High,High,0.2668379,-0.6156838,1.90375,-0.147776,-0.6954976,1.913,-0.02258917,0.9996771,0.007981872,0.008474904,0.7934113,0.6072459,0.04156594,0.004823337,0.7509172,0.09473907,0.648419,-0.08185786,-0.6074858,-0.2195288,0.7605506,0.06580825,0.7921544,-0.6095645,-0.0300418,-0.004473549,0.7777082,-0.02331572,-0.6241145,-0.07146633,-0.0244467,-0.2038327,0.9782895,0.0283607,0.6305125,0.7456483,-0.1107834,-0.1849045,0.6032568,-0.009355003,0.7933595,-0.08108289,0.6240997,0.2212141,0.690275,0.2916925,-0.6711628,0.7031873,-0.1188214,0.2023602,0.71636,0.02082534,-0.6966397,-0.03298333,0.7059649,-0.07597297,-0.7007986,0.06872431,-0.6072354,-0.1057004,0.7777225,0.1234522,-0.04048467,-0.2001454,0.977667,-0.04969955,-0.02105436,0.9985003,0.04830796,0.01483671,-0.02122774,0.9985473,0.04823203,0.0112502,-0.02186375,0.9992784,0.03001302,0.007997001,-15,5,5
0.0591339,0.05215925,0.2000385,1.975952,0.06333611,0.03012932,2.010245,0.231475,-0.08946655,2.01913,0.3000997,-0.3580905,2.01902,0.3393218,-0.5699418,1.920815,-0.107888,-0.09099527,2.01447,-0.1409176,-0.3559966,1.992592,-0.1514005,-0.573113,1.89674,0.1638755,-0.5682103,1.933046,0.200152,-0.8733383,1.897931,0.1423642,-1.206302,2.200831,0.01336334,-0.5768535,1.928095,0.008427877,-0.8832867,1.904215,0.006833469,-1.262284,1.982424,0.181825,-1.14279,2.046509,0.00795781,-1.317698,1.858443,0.3342156,-0.6451242,1.895469,-0.1446173,-0.6347016,1.87263,0.3335948,-0.721298,1.889117,-0.1384556,-0.7200056,1.869557,0.09023224,-0.5829551,1.9657,0.07674174,-0.2723719,1.995537,0.06669917,-0.04442888,2.009102,-1,-1,High,High,0.2661014,-0.6146967,1.902805,-0.1460941,-0.6927563,1.912919,-0.02246782,0.9996802,0.007847621,0.008544615,0.7936434,0.6069372,0.04161074,0.005100579,0.7509268,0.0942711,0.6484986,-0.08167855,0.70126,0.2090614,-0.6749805,-0.09449415,0.7924029,-0.6092469,-0.02995674,-0.004294334,0.7762406,-0.02240646,-0.6260629,-0.07066688,-0.03283166,-0.2053517,0.9776936,0.02946242,0.630605,0.7455326,-0.1109802,-0.1849375,0.6026308,-0.009787302,0.7938065,-0.08131129,0.624556,0.2199556,0.6904891,0.29116,-0.6710651,0.7033646,-0.1187899,0.2020863,0.716161,0.02134999,-0.6968054,-0.03346378,0.7068884,-0.07294314,-0.6999907,0.07071897,-0.6752825,-0.09550241,0.718899,0.134377,-0.04643026,-0.1869981,0.9803119,-0.04317987,-0.02092579,0.9985142,0.04814531,0.01461423,-0.02109148,0.9985586,0.04807295,0.01117523,-0.02174305,0.9992846,0.02987202,0.008069652,-15,0,5
0.0922296,0.05249342,0.1999013,1.976344,0.06349,0.03012799,2.01039,0.2316994,-0.08947022,2.019353,0.3002663,-0.3583943,2.019115,0.3391445,-0.5704137,1.921168,-0.1077024,-0.09096056,2.014965,-0.1402423,-0.3559813,1.992889,-0.1494203,-0.5763169,1.895607,0.1638175,-0.5682801,1.933466,0.2001666,-0.8733125,1.897946,0.1420591,-1.204791,2.202355,0.01328686,-0.5768108,1.928441,0.008397292,-0.8833038,1.904257,0.005764397,-1.261921,1.983855,0.181744,-1.142262,2.047736,0.006559731,-1.31782,1.860237,0.3339309,-0.6460655,1.89554,-0.1417522,-0.6325738,1.872958,0.3322569,-0.7215154,1.887162,-0.1409887,-0.7182578,1.867833,0.09016417,-0.5829639,1.96608,0.07680823,-0.2723773,1.99578,0.06683229,-0.0444309,2.009269,-1,-1,High,High,0.2661243,-0.6146291,1.902922,-0.1461744,-0.6881922,1.9056,-0.02233303,0.9996879,0.007693742,0.008144232,0.7936091,0.6069887,0.04147609,0.005386631,0.7520252,0.09407975,0.6472694,-0.08154465,0.6996226,0.2083537,-0.6769579,-0.09404695,0.792343,-0.6093059,-0.0304414,-0.003518019,0.7803341,-0.02192052,-0.6210189,-0.07024124,-0.01305581,-0.2060031,0.9782121,0.02221256,0.6308942,0.7453731,-0.1109252,-0.1846271,0.60292,-0.01020765,0.7935293,-0.08182002,0.6237235,0.2213566,0.6900782,0.292852,-0.6708029,0.7035818,-0.1190547,0.2020449,0.716327,0.02173382,-0.6966084,-0.03376279,0.7061937,-0.07525699,-0.7004163,0.07101989,-0.6745527,-0.09583024,0.7194,0.1351251,-0.02853798,-0.1908472,0.9794608,-0.05847627,-0.02070074,0.9985251,0.04793091,0.01489072,-0.02088161,0.9985742,0.04785239,0.01111969,-0.02161055,0.9992959,0.02969423,0.007672755,-15,-5,5
0.1253364,0.05284993,0.1999102,1.977104,0.06351795,0.03022956,2.010507,0.2320085,-0.08948615,2.019693,0.3002554,-0.3582443,2.019241,0.3390296,-0.570501,1.921832,-0.1072048,-0.0909203,2.015335,-0.1396694,-0.3559416,1.993129,-0.148242,-0.5763748,1.895611,0.1637731,-0.568362,1.934132,0.2001379,-0.8731879,1.897927,0.1419871,-1.204629,2.202369,0.01326572,-0.5768145,1.928824,0.00854769,-0.8823267,1.90444,0.00429785,-1.261701,1.984991,0.1814021,-1.142187,2.047627,0.0047219,-1.317902,1.861598,0.33383,-0.6457499,1.894206,-0.1412796,-0.6321205,1.873101,0.3328163,-0.7206786,1.885416,-0.1405673,-0.7169391,1.867192,0.09013225,-0.5829999,1.966597,0.07682231,-0.2723217,1.996067,0.0668588,-0.0443381,2.00942,-1,-1,High,High,0.264809,-0.6134768,1.898628,-0.07946499,-0.590151,1.882846,-0.0223235,0.9996906,0.007460645,0.008048005,0.7936558,0.6069191,0.04151965,0.005980993,0.7522853,0.09348871,0.647059,-0.08149373,0.7150819,0.2051622,-0.6610234,-0.09805305,0.7926243,-0.6089354,-0.03060324,-0.002814003,0.7822921,-0.02188095,-0.6185482,-0.07027447,0.616061,-0.1719663,0.7598903,-0.1160307,0.6311055,0.7454472,-0.1105966,-0.1838008,0.6030555,-0.01106415,0.7933388,-0.08255398,0.6232804,0.2215381,0.6904483,0.292786,-0.6705491,0.7036216,-0.1197795,0.2023201,0.7169798,0.02219904,-0.6959137,-0.03393003,0.7056118,-0.07748942,-0.7008419,0.07019956,-0.6895914,-0.1016108,0.7020319,0.1459113,0.6091977,-0.1121616,0.767742,-0.1639211,-0.02058148,0.9985299,0.04756903,0.01586051,-0.02078598,0.998589,0.04748003,0.01156364,-0.02158548,0.9993061,0.02939238,0.007578651,-15,5,5
0.1593495,0.05312074,0.2000972,1.977698,0.0637356,0.03042095,2.010666,0.2320921,-0.0895612,2.019824,0.3002118,-0.3583404,2.01943,0.3388636,-0.5706797,1.92217,-0.1070508,-0.09106787,2.015696,-0.1392025,-0.356082,1.993223,-0.1469534,-0.5772041,1.895613,0.1636262,-0.5684903,1.934402,0.2001268,-0.8732179,1.897943,0.1420183,-1.204911,2.202127,0.01304483,-0.5769452,1.929239,0.008478764,-0.8818225,1.904552,0.0122773,-1.258963,1.996113,0.1835838,-1.144925,2.047249,0.01450334,-1.319189,1.875994,0.333746,-0.6465943,1.893283,-0.1406433,-0.6302564,1.875337,0.3315489,-0.7205216,1.885763,-0.1405881,-0.7181559,1.868677,0.08994679,-0.5831318,1.966938,0.07684927,-0.2722937,1.99626,0.06701516,-0.04420057,2.009586,-1,-1,High,High,0.264979,-0.612388,1.899819,-0.07947476,-0.5894529,1.882187,-0.02190057,0.999703,0.007403241,0.007708671,0.7940648,0.6063976,0.04131223,0.006042784,0.7524781,0.0934036,0.6468791,-0.08124025,0.6996235,0.2069514,-0.6775025,-0.09321218,0.793074,-0.6083367,-0.03089591,-0.002341584,0.7848558,-0.02140421,-0.6153148,-0.07021987,0.6092502,-0.1715998,0.7655032,-0.1156387,0.6310945,0.7453832,-0.1108755,-0.18393,0.6029133,-0.01127336,0.793398,-0.08299381,0.6184226,0.223394,0.6949991,0.2909036,-0.6705558,0.7038,-0.1197131,0.2017158,0.7166109,0.02278388,-0.696263,-0.03416854,0.7068386,-0.07992295,-0.6973103,0.08803284,-0.670993,-0.1101038,0.7184397,0.1465944,0.603407,-0.1079877,0.7746569,-0.1553875,-0.0202589,0.9985572,0.04729688,0.01536814,-0.02045824,0.9986131,0.047211,0.01115551,-0.02130276,0.9993171,0.02930773,0.007247073,-15,0,5
0.1919772,0.05351479,0.2001961,1.978612,0.06391973,0.0305071,2.010658,0.2322765,-0.08970821,2.020081,0.300078,-0.3584328,2.019734,0.3387198,-0.5708125,1.922571,-0.1069147,-0.09130809,2.016028,-0.1389007,-0.356384,1.993301,-0.1461601,-0.5781183,1.895614,0.1635444,-0.5685538,1.934541,0.2000695,-0.8734801,1.897984,0.1416433,-1.20486,2.20244,0.01294651,-0.5770815,1.929602,0.008060891,-0.8823498,1.904778,0.008025676,-1.259801,1.99385,0.182724,-1.143363,2.047923,0.009302394,-1.31909,1.872928,0.3328894,-0.6471754,1.894036,-0.1399602,-0.6299791,1.87414,0.3292297,-0.7237286,1.886276,-0.1406413,-0.7173551,1.868264,0.08985284,-0.5832288,1.967177,0.07688671,-0.2722935,1.996333,0.0671449,-0.04414549,2.009606,-1,-1,High,High,0.2648734,-0.6157997,1.902101,-0.07929903,-0.5898076,1.881765,-0.02153041,0.9997134,0.007202026,0.00759387,0.7943631,0.6059816,0.04157797,0.00669961,0.7518662,0.09297559,0.647691,-0.08092682,-0.6464077,-0.2132308,0.7285157,0.07716597,0.7935365,-0.6077148,-0.03130754,-0.001553648,0.7865728,-0.02105927,-0.6131181,-0.07032698,0.741885,-0.1458697,0.6379372,-0.1461666,0.630901,0.7454146,-0.1113326,-0.1841905,0.6027058,-0.01139047,0.7935467,-0.08306359,0.6225538,0.2216384,0.6910546,0.2928256,-0.6707434,0.7038659,-0.1195245,0.2009726,0.7160527,0.02256406,-0.6968214,-0.03463136,0.7057823,-0.08138332,-0.6989314,0.08211607,-0.6442703,-0.1103545,0.7430276,0.1436927,0.7298769,-0.08767436,0.6530316,-0.1820508,-0.02008312,0.9985862,0.04699992,0.01460754,-0.0202659,0.9986355,0.04692139,0.01072063,-0.02110034,0.9993259,0.0291826,0.007136451,-15,0,5
0.2262524,0.05391376,0.2003203,1.979427,0.06403222,0.03060161,2.010703,0.2324176,-0.08972062,2.020277,0.3000391,-0.3584025,2.019747,0.3385651,-0.5708683,1.922744,-0.1063982,-0.09124759,2.016705,-0.1385799,-0.3567845,1.993595,-0.1453747,-0.5790656,1.895923,0.1634887,-0.5685787,1.934651,0.2000649,-0.8734841,1.897977,0.1418784,-1.205051,2.202279,0.01286556,-0.5770542,1.92988,0.00792429,-0.8822282,1.904763,0.004950109,-1.259875,1.993502,0.1823123,-1.143232,2.047657,0.005371337,-1.319027,1.872458,0.3321675,-0.6461486,1.891941,-0.1410432,-0.6329772,1.876168,0.3305733,-0.7175916,1.880903,-0.1422055,-0.7176889,1.868977,0.0897833,-0.5832325,1.967363,0.07691418,-0.2722547,1.996438,0.06723366,-0.04406783,2.009667,-1,-1,High,High,0.2646195,-0.6121257,1.903648,-0.07951365,-0.5904469,1.882315,-0.02137285,0.9997228,0.007082018,0.006884144,0.7944896,0.605812,0.0415481,0.007206341,0.7520876,0.09256025,0.6474893,-0.08095899,-0.6432441,-0.2131273,0.7314446,0.07617468,0.7936993,-0.6074476,-0.03238528,-0.0001618492,0.7892436,-0.02118106,-0.6096066,-0.0708932,0.6062928,-0.170136,0.7681063,-0.1160839,0.6309788,0.7452501,-0.1116619,-0.1843901,0.6028746,-0.01147246,0.793398,-0.08324813,0.6236587,0.2212284,0.6902055,0.292787,-0.6706433,0.7041343,-0.1192809,0.2005106,0.7156407,0.02285876,-0.6972148,-0.03503389,0.7044468,-0.0839136,-0.700345,0.07893168,-0.639231,-0.1199148,0.7434502,0.1558396,0.6029227,-0.1143492,0.7775794,-0.1370359,-0.01995299,0.9986035,0.04685156,0.01406468,-0.02013892,0.9986515,0.04677194,0.01009834,-0.02098433,0.9993365,0.02906692,0.006429475,-15,0,5
0.2609625,0.05419498,0.2004429,1.979942,0.06417911,0.03067503,2.010898,0.2324505,-0.08977107,2.020347,0.2998572,-0.3585928,2.01985,0.3384778,-0.5710232,1.922806,-0.1063153,-0.09132113,2.017128,-0.1383152,-0.3567529,1.993704,-0.1448815,-0.5799015,1.896014,0.163357,-0.5686386,1.934799,0.1999887,-0.8737822,1.898016,0.1422082,-1.205408,2.202324,0.01269885,-0.5770816,1.930067,0.007846188,-0.8815131,1.904977,0.009718295,-1.260896,1.990028,0.1788184,-1.140072,2.047773,0.0111507,-1.31864,1.867854,0.3317122,-0.6463415,1.891269,-0.1404038,-0.6315858,1.876846,0.3295931,-0.7166979,1.878687,-0.1423094,-0.7182014,1.87031,0.08963138,-0.5832769,1.967532,0.0769146,-0.2722445,1.996612,0.0673416,-0.04401109,2.009855,-1,-1,High,High,0.2643888,-0.6120946,1.904043,-0.07916814,-0.592247,1.880614,-0.0211111,0.9997314,0.007114284,0.006376272,0.794727,0.6055238,0.04123871,0.007034818,0.751143,0.09214736,0.6486671,-0.08077109,-0.6404994,-0.2136195,0.7337973,0.075291,0.7938764,-0.6071903,-0.03286413,0.0002951284,0.7902651,-0.02068155,-0.6082698,-0.0711415,0.7284321,-0.1470285,0.6536452,-0.1432386,0.6310742,0.7451437,-0.1116641,-0.1844924,0.6033008,-0.01150401,0.7930611,-0.08336555,0.624853,0.2210532,0.6891745,0.2928014,-0.670576,0.7042439,-0.1192568,0.200365,0.7155571,0.02299051,-0.6972989,-0.03498232,0.7060529,-0.07573142,-0.6995527,0.07987662,-0.635959,-0.1220683,0.7451066,0.159598,0.7221835,-0.08938681,0.6676143,-0.1573283,-0.01971182,0.9986104,0.04684455,0.0139357,-0.01990626,0.9986597,0.04676226,0.009786983,-0.02075967,0.9993438,0.02908096,0.005927046,-15,0,5
0.3006261,0.0544248,0.2003755,1.980626,0.06434835,0.03074528,2.01119,0.2324403,-0.0898394,2.020369,0.299842,-0.3587587,2.01981,0.3383539,-0.5712397,1.922844,-0.1062778,-0.09138779,2.01765,-0.1380528,-0.3568215,1.993891,-0.1446563,-0.5803834,1.895972,0.1633308,-0.568668,1.934768,0.1998659,-0.8745041,1.897952,0.14179,-1.206185,2.202148,0.01267465,-0.5770994,1.9301,0.007616372,-0.8814993,1.905012,0.008352065,-1.260541,1.991486,0.1795339,-1.14165,2.047647,0.009347872,-1.318842,1.869753,0.3302288,-0.6463152,1.890987,-0.1400566,-0.6334713,1.878914,0.3273692,-0.72342,1.88297,-0.1414196,-0.717986,1.868976,0.08961292,-0.5832937,1.967533,0.07694601,-0.2722429,1.996708,0.06747295,-0.04396072,2.010093,-1,-1,High,High,0.2645156,-0.6135232,1.900309,-0.07999882,-0.5942934,1.882258,-0.02085523,0.9997386,0.007456583,0.005675721,0.7950181,0.6051683,0.04092652,0.006522679,0.7515317,0.09208298,0.6482263,-0.0807681,0.6985386,0.2064322,-0.6788646,-0.09258701,0.7939863,-0.6070024,-0.03366506,0.0006621106,0.7897308,-0.0199045,-0.6089594,-0.07139721,0.730791,-0.1466034,0.650978,-0.1438039,0.6311313,0.7450277,-0.1117015,-0.1847432,0.6031303,-0.01163554,0.7932181,-0.08308788,0.6249334,0.2206863,0.6891434,0.2929796,-0.6706117,0.7042601,-0.1190635,0.2003038,0.7153976,0.02275724,-0.6974586,-0.03521338,0.7050923,-0.0781853,-0.7002279,0.08007965,-0.6578806,-0.1129797,0.724708,0.1709596,0.7267592,-0.07384529,0.6680118,-0.1418734,-0.01963862,0.9986082,0.04698813,0.01371806,-0.01984455,0.9986587,0.04690153,0.009337496,-0.02055507,0.9993435,0.02936969,0.00523216,-15,5,5
0.3367265,0.0548609,0.2005809,1.981341,0.06447184,0.03082388,2.01157,0.2326558,-0.08989539,2.021002,0.2997263,-0.358871,2.019962,0.3381618,-0.5713742,1.923018,-0.1062412,-0.0914105,2.018265,-0.1378125,-0.3568244,1.994152,-0.1445469,-0.5804306,1.896135,0.1632509,-0.5686766,1.934833,0.1997246,-0.8748308,1.897829,0.1413491,-1.205269,2.203271,0.01258579,-0.5770514,1.930186,0.007534765,-0.8814912,1.904945,0.006019255,-1.260863,1.990045,0.179609,-1.142923,2.048111,0.006500264,-1.318684,1.867923,0.3295195,-0.646868,1.890199,-0.1405288,-0.6322654,1.880741,0.3254378,-0.7212895,1.878347,-0.1462741,-0.7147335,1.87084,0.08952799,-0.5832754,1.967608,0.07694069,-0.2721994,1.996926,0.0675641,-0.04388861,2.010433,-1,-1,High,High,0.2645226,-0.612682,1.901917,-0.07926895,-0.5935181,1.880749,-0.02063555,0.999741,0.007723312,0.00570922,0.7951331,0.6049646,0.04161151,0.007046481,0.7512519,0.09101631,0.6486616,-0.08108463,-0.6227005,-0.2149338,0.7490705,0.07029185,0.7940841,-0.6068388,-0.034291,0.001135617,0.7888693,-0.01909993,-0.6100631,-0.07171869,0.7134859,-0.1506083,0.6698512,-0.1398374,0.6312843,0.7448645,-0.1115915,-0.1849441,0.6034561,-0.01189104,0.7929641,-0.0831103,0.6243417,0.221774,0.6887045,0.2944485,-0.6705124,0.7043568,-0.1188993,0.2003934,0.7153419,0.0229397,-0.6975015,-0.03537748,0.7045463,-0.07905532,-0.7010612,0.07666831,-0.6171196,-0.1235736,0.7584203,0.1693856,0.7107652,-0.07288092,0.6876064,-0.129223,-0.01950913,0.9986011,0.04720993,0.01365088,-0.01971343,0.998651,0.04712498,0.009325317,-0.02033892,0.9993401,0.02963012,0.005270393,-15,5,5
