time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0020981,0.05052206,0.2039395,1.956061,0.05382888,0.03365478,1.985049,0.2253557,-0.08869473,2.002037,0.2856289,-0.3572913,2.000096,0.3224126,-0.5719352,1.899664,-0.1117342,-0.08779737,1.983671,-0.141984,-0.3615381,1.96767,-0.1457956,-0.5813524,1.878785,0.1483672,-0.5580244,1.913523,0.1845142,-0.8475758,1.87947,0.2061737,-1.228469,2.005607,0.0006547921,-0.5643114,1.905498,-0.003019348,-0.8577394,1.882481,0.03048216,-1.235179,2.009985,0.2164291,-1.300956,1.898646,0.04653928,-1.307483,1.903471,0.3168104,-0.6453701,1.875883,-0.1304378,-0.6344967,1.853605,0.3188259,-0.720594,1.865473,-0.1282492,-0.7126737,1.837316,0.0758773,-0.5715171,1.944738,0.06447174,-0.2649705,1.972214,0.05649203,-0.03993081,1.984312,-1,-1,High,High,0.3476587,-0.6273898,1.873426,-0.1788834,-0.6480517,1.8486,-0.0179423,0.9994497,0.005499344,0.02735323,0.796776,0.6012988,0.05628591,0.02048549,0.7412378,0.07978214,0.6621343,-0.07602286,0.6564013,-0.1057178,0.7187876,-0.2032379,0.797897,-0.6024932,-0.01401587,-0.01287993,0.7927188,-0.02597487,-0.6064116,-0.05645523,-0.6038188,-0.1454956,0.7738737,0.1239087,0.6354802,0.7430799,-0.1091326,-0.1791292,0.6843446,0.0001307027,0.7242079,-0.08482567,0.6771997,0.1344292,0.7178863,0.08926712,-0.664028,0.706023,-0.1294392,0.2093888,0.7240599,0.02243829,-0.688598,-0.03265727,0.7283205,-0.07761975,-0.6645181,0.1481222,0.697969,-0.1359891,0.6980467,-0.08412414,-0.6273419,-0.247533,0.7373114,0.03926163,-0.01737365,0.9984944,0.04512352,0.02590282,-0.0173563,0.9984844,0.0451302,0.02628684,-0.0169709,0.9991186,0.0273064,0.02698947,-10,20,0
0.0329612,0.05079397,0.2041153,1.957584,0.05414876,0.03403048,1.985518,0.2257456,-0.08859948,2.002519,0.2859474,-0.3577654,2.000379,0.3225505,-0.5719601,1.900293,-0.1119168,-0.0875938,1.983744,-0.141924,-0.3616069,1.967671,-0.1456501,-0.5816024,1.878285,0.1485256,-0.5579776,1.91353,0.1845987,-0.8469934,1.879446,0.2059102,-1.228436,2.005619,0.0008758382,-0.5642933,1.905516,-0.002972757,-0.8578211,1.882469,0.02893382,-1.235496,2.009437,0.216198,-1.30099,1.898742,0.04468143,-1.307711,1.902757,0.3165407,-0.6439041,1.874662,-0.1303884,-0.6339905,1.853122,0.3201268,-0.7157018,1.860105,-0.1266985,-0.7115637,1.837794,0.07607014,-0.5714822,1.944749,0.06478102,-0.264786,1.972441,0.05681743,-0.03960505,1.984725,-1,-1,High,High,0.3470283,-0.6280769,1.87124,-0.1765366,-0.6480783,1.848727,-0.0179535,0.9994308,0.005887404,0.02794909,0.7970821,0.6008485,0.05682271,0.02030591,0.7412276,0.07927804,0.6622018,-0.0760607,0.6624319,-0.1039777,0.713329,-0.2037998,0.797866,-0.6025229,-0.01362824,-0.01379631,0.7918832,-0.02544356,-0.6075416,-0.05627437,-0.5997395,-0.1468985,0.7768393,0.1235077,0.6354299,0.7430608,-0.1089499,-0.1794979,0.6843593,6.090655E-06,0.7241821,-0.08492675,0.6769866,0.1340155,0.7181411,0.08945569,-0.6641105,0.7059182,-0.1293391,0.209543,0.7240207,0.02225283,-0.6886345,-0.03288624,0.7282317,-0.07870713,-0.664907,0.1462281,0.7028402,-0.1474165,0.6896135,-0.093366,-0.6232745,-0.2500984,0.7399025,0.03903911,-0.01716883,0.9984848,0.04544498,0.02584958,-0.0171367,0.9984663,0.0454571,0.02655532,-0.01689635,0.9990925,0.02770919,0.02758575,-15,5,0
0.0658186,0.05119108,0.204368,1.95855,0.05439612,0.03424226,1.986011,0.2261094,-0.0888163,2.002935,0.2861506,-0.3575673,2.000802,0.3227764,-0.5724136,1.900614,-0.1118179,-0.08758843,1.983881,-0.1417541,-0.3615814,1.967614,-0.1455415,-0.5817031,1.878144,0.1486153,-0.5579657,1.91351,0.1848048,-0.8469699,1.879493,0.2056548,-1.228438,2.005649,0.001005562,-0.5643284,1.905501,-0.002604911,-0.8578935,1.882361,0.0288936,-1.236157,2.007766,0.2159285,-1.301056,1.898845,0.04457877,-1.307802,1.900431,0.3172301,-0.644352,1.875208,-0.1302119,-0.6337231,1.853769,0.3195609,-0.7153932,1.859725,-0.1267536,-0.7119107,1.838688,0.07618041,-0.5714915,1.94473,0.06498477,-0.2647095,1.972625,0.05706052,-0.03943013,1.985138,-1,-1,High,High,0.347476,-0.6304923,1.871485,-0.1780292,-0.6360712,1.856797,-0.0178979,0.9994173,0.006429814,0.02834396,0.7976349,0.6000854,0.05725545,0.01994953,0.7414246,0.07921517,0.6620011,-0.07595373,0.657466,-0.1052481,0.7180365,-0.2026943,0.7980804,-0.6022233,-0.01344054,-0.01462749,0.7915937,-0.02510208,-0.607913,-0.05649054,-0.5772787,-0.1503449,0.7936563,0.1193964,0.6353479,0.7430828,-0.1087462,-0.1798201,0.6843654,0.0002274111,0.7241683,-0.08499467,0.6768585,0.1336179,0.7182882,0.08983683,-0.6642361,0.7057759,-0.1292365,0.2096875,0.7240019,0.02265329,-0.688649,-0.03271755,0.7285041,-0.07771622,-0.6651347,0.1443529,0.6962161,-0.145279,0.6967809,-0.09313197,-0.6034668,-0.2485402,0.7571532,0.02783401,-0.01700506,0.9984744,0.04575602,0.02580709,-0.01696265,0.9984501,0.04577176,0.02673236,-0.01677597,0.9990695,0.02820813,0.02798273,-15,0,0
0.0986895,0.0516226,0.2042394,1.958718,0.05456856,0.03447378,1.986578,0.226716,-0.08904901,2.003902,0.2862022,-0.3572538,2.001053,0.3228398,-0.5724311,1.900882,-0.1116604,-0.0875909,1.984026,-0.1415899,-0.361311,1.967544,-0.1453515,-0.5817487,1.877779,0.1486969,-0.5579429,1.913542,0.1848141,-0.8468992,1.87952,0.2055956,-1.228333,2.005928,0.001182063,-0.5643509,1.905557,-0.002499537,-0.8579904,1.882298,0.03038866,-1.236265,2.007174,0.2161606,-1.301083,1.899327,0.04673415,-1.307616,1.899651,0.3179091,-0.6452509,1.874954,-0.128879,-0.6338876,1.85503,0.3169018,-0.7196414,1.862521,-0.1275081,-0.7134073,1.841643,0.07630629,-0.5714868,1.944771,0.06518716,-0.2646035,1.972912,0.05724791,-0.03923037,1.985639,-1,-1,High,High,0.3473553,-0.6331442,1.870725,-0.1725315,-0.6301419,1.844567,-0.01797088,0.9993804,0.006895218,0.0294679,0.7980237,0.5994257,0.05855524,0.02045114,0.7408818,0.07769627,0.662726,-0.07649692,0.6567403,-0.1052876,0.7188017,-0.2023136,0.7984064,-0.6017798,-0.01295074,-0.0155118,0.7918017,-0.02489841,-0.6076179,-0.05683859,-0.618733,-0.1440553,0.7617017,0.1273895,0.635259,0.7430778,-0.1085814,-0.1802536,0.6844298,0.0001436169,0.7241156,-0.08492596,0.6759562,0.1338901,0.7190728,0.08994931,-0.6643617,0.7056161,-0.1291073,0.2099065,0.7239304,0.02270062,-0.6887125,-0.03293467,0.7297961,-0.07569125,-0.663766,0.1452008,0.6957185,-0.1431177,0.6971745,-0.09716366,-0.6481389,-0.2431934,0.7211874,0.02572182,-0.01686851,0.9984618,0.04613354,0.0257131,-0.01679795,0.9984213,0.04615928,0.02723992,-0.01675599,0.999024,0.02868986,0.02910568,-15,10,5
0.140095,0.0518967,0.2042934,1.958799,0.05466788,0.03450261,1.986603,0.2269172,-0.08919388,2.004009,0.2861819,-0.3577017,2.001016,0.3228908,-0.5725391,1.900902,-0.1114972,-0.08756349,1.984092,-0.1414105,-0.3611239,1.967555,-0.1449526,-0.581238,1.877699,0.148757,-0.5579271,1.913501,0.1848384,-0.8469175,1.879512,0.2055847,-1.228437,2.005615,0.001242762,-0.5643739,1.905555,-0.002542979,-0.8577777,1.88193,0.03101718,-1.237658,2.002982,0.2161577,-1.301066,1.898877,0.04740298,-1.30741,1.893714,0.3163314,-0.6443081,1.872563,-0.1276768,-0.6346928,1.854915,0.3167668,-0.7193676,1.86179,-0.1253634,-0.7134144,1.841214,0.07636466,-0.5714912,1.94475,0.06528891,-0.2645846,1.972932,0.05734956,-0.03920289,1.985668,-1,-1,High,High,0.3472263,-0.6319568,1.870416,-0.1733411,-0.6290463,1.850294,-0.01798643,0.9993787,0.006879482,0.02951775,0.7982429,0.599116,0.05868527,0.0205951,0.7397721,0.07701088,0.6640458,-0.07648382,0.6583072,-0.1047869,0.7172861,-0.2028595,0.7984347,-0.601743,-0.01301175,-0.01542512,0.7924248,-0.0248882,-0.6067994,-0.05690543,-0.5882826,-0.1495684,0.7853571,0.1215206,0.6351693,0.7431147,-0.1085914,-0.1804118,0.6845422,0.0001545129,0.72402,-0.08483511,0.6759597,0.1335824,0.7191567,0.08970959,-0.664452,0.7055622,-0.1290441,0.2098408,0.7237873,0.0230237,-0.6888235,-0.03352722,0.7303257,-0.07167912,-0.6643366,0.1419276,0.7010526,-0.161291,0.6869584,-0.1029497,-0.620985,-0.2428675,0.7451632,0.01117502,-0.0168019,0.998464,0.04619187,0.02556491,-0.01672676,0.9984211,0.04621913,0.02718863,-0.01675365,0.9990222,0.02870672,0.02915502,-10,0,5
0.1673446,0.05228895,0.2042183,1.958981,0.05513442,0.0346136,1.987308,0.2274315,-0.08903356,2.004915,0.2861422,-0.3573791,2.001247,0.3229928,-0.5730115,1.901144,-0.111193,-0.08761027,1.984259,-0.1413807,-0.3611982,1.96752,-0.1446968,-0.5813912,1.877802,0.1488684,-0.5578914,1.913612,0.1848427,-0.8469012,1.879526,0.2036953,-1.230059,2.00146,0.001297381,-0.5643535,1.90557,-0.00251246,-0.8577009,1.881851,0.01174304,-1.242939,1.990902,0.2138869,-1.301133,1.892911,0.02297457,-1.308975,1.876955,0.316671,-0.6459031,1.87468,-0.1274459,-0.6350864,1.858072,0.3145408,-0.7213748,1.864587,-0.1271641,-0.7119564,1.840479,0.07644588,-0.5714633,1.944802,0.0655812,-0.2644965,1.973293,0.05777483,-0.03909422,1.986291,-1,-1,High,High,0.3467408,-0.6352934,1.869722,-0.1753751,-0.6231588,1.863316,-0.01768242,0.9993493,0.007439376,0.03054538,0.7980191,0.5992994,0.05981027,0.0206996,0.7388792,0.0753879,0.6651769,-0.07690286,0.6636623,-0.1027413,0.7125407,-0.2031806,0.7986401,-0.6014506,-0.01245597,-0.01661595,0.7943726,-0.02524252,-0.6041851,-0.05740654,-0.5627467,-0.1534139,0.8039342,0.1160616,0.6352479,0.7431064,-0.1079293,-0.1805661,0.6843236,-0.0001168594,0.7242297,-0.0848098,0.6769103,0.1279093,0.7195311,0.08778728,-0.6645187,0.7054369,-0.1289449,0.2101118,0.7239797,0.0230984,-0.6886112,-0.03368351,0.7256344,-0.08036163,-0.6739779,0.1129185,0.7067779,-0.1499007,0.6847592,-0.09539151,-0.6006868,-0.2247645,0.7671426,-0.01218306,-0.01642966,0.9984406,0.04667775,0.02583933,-0.01633603,0.9983867,0.0467106,0.02784133,-0.01640988,0.9989801,0.02929338,0.03018838,-15,5,5
0.1987727,0.05259509,0.2043647,1.959927,0.05549231,0.03475283,1.987849,0.2276639,-0.08903287,2.005527,0.2861451,-0.3573524,2.001291,0.3230295,-0.5733504,1.901434,-0.1106477,-0.08742735,1.984463,-0.1413136,-0.3612808,1.967641,-0.1442756,-0.5812567,1.878272,0.148882,-0.557905,1.913676,0.1848765,-0.8467924,1.879558,0.2047417,-1.229853,2.001943,0.001331543,-0.5643764,1.905745,-0.002507061,-0.8576756,1.881837,0.01554112,-1.241183,1.995813,0.2153846,-1.301085,1.893648,0.02802709,-1.309035,1.883857,0.314729,-0.6462772,1.875465,-0.1272892,-0.6353332,1.859451,0.313547,-0.7204093,1.862298,-0.1276657,-0.7125918,1.843042,0.07647028,-0.5714812,1.944914,0.06577197,-0.2644446,1.973652,0.05809079,-0.03897704,1.986796,-1,-1,High,High,0.3468859,-0.6342874,1.870898,-0.1743289,-0.6277195,1.857137,-0.01738125,0.9993341,0.007681336,0.03114961,0.7981998,0.599003,0.06037068,0.02068647,0.7387875,0.07438207,0.6653316,-0.07742281,0.6538461,-0.1049888,0.721787,-0.2012118,0.7986447,-0.6014308,-0.01204632,-0.01739218,0.7972533,-0.0260946,-0.6002985,-0.0578621,-0.5817037,-0.1506645,0.7904528,0.1187662,0.6352504,0.7429822,-0.1078367,-0.1811233,0.6845817,-0.0001025366,0.7239742,-0.08490693,0.675923,0.1292898,0.7202986,0.08707556,-0.6645954,0.7054461,-0.1285911,0.2100548,0.7236961,0.02330199,-0.6888894,-0.03394625,0.7269583,-0.08082256,-0.6710637,0.1211317,0.6993011,-0.1577311,0.6923306,-0.08232368,-0.6193641,-0.2172141,0.754389,-0.01016867,-0.01616371,0.9984375,0.04705345,0.02544266,-0.01604578,0.9983706,0.0470938,0.0279439,-0.01610013,0.9989573,0.0296078,0.03079766,-15,10,0
0.2368662,0.05292144,0.2044224,1.960758,0.05608768,0.03494652,1.988551,0.2280494,-0.08929819,2.0061,0.2861077,-0.3577053,2.001499,0.3229247,-0.573369,1.901614,-0.1105268,-0.0874159,1.984631,-0.1412116,-0.3614428,1.967777,-0.1438413,-0.5813069,1.878822,0.1489351,-0.5578758,1.91383,0.1849151,-0.8468695,1.879583,0.202162,-1.229505,2.003232,0.001378575,-0.5643447,1.905746,-0.002513007,-0.8576824,1.881842,0.01677083,-1.240425,1.997768,0.212293,-1.301451,1.895649,0.02979315,-1.309054,1.886697,0.3144788,-0.6460577,1.874797,-0.1271265,-0.6364335,1.861176,0.3132927,-0.7198069,1.860742,-0.1260333,-0.7118655,1.841186,0.07651702,-0.5714526,1.944965,0.06607538,-0.264322,1.974012,0.05861016,-0.03879902,1.987414,-1,-1,High,High,0.3448364,-0.6363389,1.868184,-0.1747107,-0.6283709,1.86179,-0.0168403,0.9993199,0.008243177,0.03175319,0.7989464,0.5979726,0.06086422,0.02022167,0.7377858,0.07322903,0.6665593,-0.07751236,0.6532664,-0.1054155,0.7222161,-0.2013316,0.7987341,-0.6012848,-0.01157371,-0.01860964,0.7988563,-0.02622544,-0.5981618,-0.05782198,-0.5683874,-0.1524808,0.8002549,0.1152277,0.6353563,0.7430003,-0.1070279,-0.1811573,0.684196,-0.0003238125,0.7243271,-0.08500625,0.676259,0.1282053,0.7197305,0.09069317,-0.6645873,0.7053444,-0.1286087,0.2104113,0.72404,0.02321098,-0.6885279,-0.03400946,0.7276564,-0.08121699,-0.6696961,0.1242057,0.6980446,-0.1623685,0.6921456,-0.08546718,-0.6063726,-0.2053107,0.7679954,-0.01852028,-0.01570633,0.9984097,0.04753286,0.02592166,-0.01558379,0.9983396,0.04757317,0.02849442,-0.01558181,0.9989296,0.03016767,0.03141159,-15,5,0
0.2658352,0.05313006,0.2044377,1.960989,0.05611904,0.03507512,1.988819,0.2265558,-0.09021914,2.002418,0.2861405,-0.3575339,2.001863,0.3227785,-0.573347,1.902053,-0.1102526,-0.08746085,1.984745,-0.141075,-0.3614608,1.968096,-0.1435183,-0.5815956,1.879447,0.1491396,-0.5580899,1.913997,0.1849745,-0.8464288,1.879551,0.201334,-1.229576,2.003742,0.001472442,-0.5644266,1.905813,-0.002296583,-0.8574835,1.881719,0.0185662,-1.240032,1.998826,0.2099569,-1.301939,1.896399,0.03078501,-1.309207,1.888208,0.3121985,-0.6466533,1.874849,-0.1274217,-0.6363531,1.86259,0.3128536,-0.7209396,1.862406,-0.1281032,-0.7152977,1.848482,0.07666703,-0.5715955,1.945078,0.06618498,-0.2643258,1.974219,0.05866295,-0.03870621,1.987668,-1,-1,High,High,0.3454489,-0.6340543,1.869776,-0.1796369,-0.6454604,1.874143,-0.01701643,0.9994664,0.008254318,0.02663458,0.8020559,0.5947223,0.05342029,0.01256653,0.7412249,0.08092948,0.6622748,-0.07367592,0.6524783,-0.1057462,0.7230454,-0.2007363,0.7990519,-0.6008112,-0.01238808,-0.01971419,0.8002036,-0.02678009,-0.5963531,-0.05761952,-0.523513,-0.1581401,0.8304904,0.1058843,0.6357722,0.7427635,-0.1067127,-0.1808549,0.6839196,-0.0007739151,0.7245595,-0.08524688,0.6802297,0.127234,0.7159147,0.09254798,-0.6643606,0.7055066,-0.1285294,0.2106315,0.7242721,0.02359495,-0.6882641,-0.0341403,0.7247691,-0.08124211,-0.672429,0.1262887,0.7022955,-0.1715164,0.6865204,-0.07780078,-0.5605894,-0.1975138,0.8036152,-0.03050529,-0.01574336,0.9983932,0.04767083,0.02627832,-0.01575,0.9983969,0.04766863,0.02613935,-0.01585233,0.999073,0.03017939,0.02628757,-15,10,0
0.2993555,0.05343308,0.2045822,1.961352,0.05611797,0.0351361,1.988829,0.2270205,-0.09034465,2.003728,0.2860931,-0.3574767,2.002506,0.3226989,-0.5732628,1.902276,-0.1099245,-0.08756727,1.984778,-0.1409653,-0.3617683,1.968434,-0.1430459,-0.5816064,1.880368,0.1492349,-0.5581317,1.914117,0.1850916,-0.8465697,1.879654,0.2017062,-1.229221,2.004876,0.001567323,-0.5644909,1.905896,-0.002260113,-0.858226,1.881773,0.02122798,-1.240031,1.998613,0.2108786,-1.301936,1.898016,0.03458275,-1.308909,1.887863,0.3114305,-0.6463194,1.875266,-0.126698,-0.6363753,1.863248,0.3125587,-0.7202708,1.860669,-0.1286051,-0.7127979,1.846949,0.07676648,-0.5716499,1.94518,0.06623051,-0.264305,1.974278,0.0586716,-0.03865958,1.987688,-1,-1,High,High,0.341741,-0.6373094,1.86552,-0.1756192,-0.6312126,1.867717,-0.0170664,0.9994173,0.008211111,0.0283962,0.8018867,0.5946679,0.05584215,0.01514616,0.7402939,0.07937637,0.6634498,-0.07415342,0.6715813,-0.1009588,0.705106,-0.2039885,0.7994617,-0.6002863,-0.01196277,-0.01934894,0.8022669,-0.02760763,-0.5935701,-0.05727365,-0.5482624,-0.1545892,0.8145754,0.1094411,0.6357045,0.7428539,-0.1067079,-0.1807245,0.6838338,-0.0007795476,0.7246383,-0.08526462,0.6785946,0.1286608,0.7171522,0.09299689,-0.6643913,0.7054533,-0.128621,0.210657,0.7243542,0.0234977,-0.6881797,-0.03416748,0.7268075,-0.07831302,-0.6701042,0.128757,0.7220883,-0.172041,0.6653811,-0.07911015,-0.585306,-0.2010659,0.7851014,-0.02459788,-0.01582295,0.9983925,0.04759404,0.02640129,-0.015791,0.9983745,0.04760465,0.02707151,-0.01588131,0.9990264,0.03012057,0.02804895,-10,0,5
