time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0129534,0.005674557,0.2011196,1.915334,0.01000535,0.02889869,1.954047,0.182772,-0.08572659,1.978208,0.2523398,-0.3468173,1.977675,0.3000698,-0.5594754,1.87944,-0.1525299,-0.09050804,1.95317,-0.1836015,-0.3571852,1.93857,-0.1915979,-0.5760299,1.850667,0.1216327,-0.5660178,1.887446,0.1542981,-0.8408524,1.853302,0.187658,-1.232037,1.98579,-0.03005095,-0.5746515,1.87713,-0.03742411,-0.8595094,1.854051,-0.0095933,-1.247208,1.973681,0.203175,-1.30552,1.881435,0.00706942,-1.315605,1.863394,0.3051754,-0.6410074,1.85306,-0.1790511,-0.6275612,1.829895,0.3025041,-0.7132124,1.843596,-0.181349,-0.714361,1.825344,0.0465259,-0.580995,1.917511,0.02775337,-0.2719147,1.943457,0.01435114,-0.04520332,1.953949,-1,-1,Low,High,0.2261373,-0.6007889,1.858196,-0.1986761,-0.6388454,1.796944,-0.02924015,0.9988742,0.001753858,0.0373128,0.7818258,0.6188152,0.06770325,0.03510692,0.7313773,0.09509646,0.6694996,-0.08839791,0.7146,0.2187913,-0.6588764,-0.08578498,0.7942877,-0.6073635,-0.01018527,-0.0106238,0.7814287,-0.02841547,-0.6207067,-0.05731447,0.8628163,0.07532878,-0.4682434,-0.1749904,0.6310178,0.7506569,-0.103914,-0.1659299,0.6802935,-0.00475786,0.7279907,-0.08489762,0.665467,0.1472044,0.7274562,0.07932365,-0.6682822,0.7011942,-0.1298458,0.2118151,0.7280868,0.01826031,-0.6841716,-0.03828039,0.7340742,-0.07392371,-0.6616547,0.1337281,0.7135079,0.1293277,-0.6824837,-0.09163449,0.8619571,0.1872922,-0.457584,-0.1121089,-0.02886529,0.998135,0.0427712,0.03262049,-0.02879047,0.9980764,0.04282159,0.03436542,-0.02862799,0.9986244,0.02415762,0.03669041,-15,5,5
0.0449328,0.007624762,0.2011544,1.91554,0.01172913,0.02876495,1.953854,0.1844896,-0.08631401,1.978566,0.2533156,-0.3472321,1.978396,0.3009309,-0.560667,1.880434,-0.1513828,-0.09060925,1.953418,-0.1819222,-0.3576193,1.938347,-0.1866101,-0.5747223,1.84529,0.1222908,-0.5661649,1.88713,0.1550836,-0.8406083,1.853244,0.1826132,-1.230641,1.990635,-0.02941308,-0.5746779,1.877244,-0.03708212,-0.8593238,1.854114,-0.01412233,-1.249519,1.968071,0.1967148,-1.306489,1.888862,0.001147118,-1.315938,1.8555,0.3048624,-0.6406533,1.855953,-0.1737529,-0.6245541,1.824743,0.3025458,-0.712323,1.843948,-0.1783539,-0.7105784,1.81652,0.04718042,-0.5810772,1.917409,0.02897946,-0.2720364,1.943324,0.0159599,-0.04533667,1.953775,-1,-1,Low,High,0.2260078,-0.5963215,1.858057,-0.1884955,-0.6323441,1.78325,-0.02847231,0.9988929,0.001599439,0.03741328,0.7824659,0.6178482,0.06848135,0.03634498,0.730638,0.09452928,0.6705452,-0.08718716,0.7437304,0.2135814,-0.6262785,-0.09499215,0.7940139,-0.6077284,-0.01079935,-0.009565173,0.7869261,-0.02756973,-0.6137829,-0.05707695,0.9137224,0.0630023,-0.3529632,-0.1912044,0.631274,0.7501229,-0.1046243,-0.1669209,0.6807004,-0.004221299,0.7276165,-0.08487273,0.6668405,0.1466678,0.7251751,0.08906922,-0.6681131,0.7017689,-0.1293452,0.2107491,0.7271115,0.018011,-0.685191,-0.03870177,0.732991,-0.07390253,-0.6647636,0.1239028,0.7439274,0.1152433,-0.6512699,-0.0955951,0.9135553,0.1778224,-0.3391929,-0.1369095,-0.02801268,0.9982089,0.04265961,0.03121457,-0.02790545,0.9981275,0.04272983,0.03372151,-0.02779044,0.9986464,0.02404449,0.03680857,-15,5,5
0.0802177,0.009916923,0.2015819,1.916031,0.01235141,0.0289882,1.954097,0.1860874,-0.08673356,1.979215,0.2541632,-0.3479272,1.978992,0.3013661,-0.5614192,1.881062,-0.1502889,-0.09059116,1.953622,-0.1786545,-0.3567378,1.937047,-0.1820152,-0.5739496,1.844179,0.1223735,-0.5663473,1.887102,0.1559955,-0.8401577,1.853049,0.1784962,-1.229739,1.993564,-0.02926157,-0.5747125,1.877368,-0.03650712,-0.8596749,1.854185,-0.009965285,-1.247462,1.973547,0.1913773,-1.307196,1.893612,0.006566651,-1.315802,1.863175,0.3029536,-0.6413575,1.856775,-0.1684931,-0.622222,1.820469,0.3016253,-0.7137067,1.847044,-0.168839,-0.7145752,1.817334,0.04728882,-0.5811703,1.917445,0.02930794,-0.2720317,1.943445,0.01650495,-0.04518014,1.953985,-1,-1,Low,High,0.2264849,-0.6003391,1.858521,-0.1845056,-0.6373308,1.772698,-0.02791944,0.9988937,0.001809112,0.03779731,0.782939,0.6171465,0.06913733,0.03683568,0.7300204,0.09328884,0.6714957,-0.08637626,0.7165546,0.2167393,-0.6573502,-0.08639657,0.7945009,-0.607092,-0.01077976,-0.009560665,0.787177,-0.02275258,-0.6136659,-0.05699784,0.936443,0.05197931,-0.2877002,-0.1939106,0.6316568,0.7496819,-0.1048205,-0.16733,0.6792323,-0.003590211,0.7288194,-0.08632911,0.6680291,0.1450716,0.7234542,0.09646347,-0.6678823,0.702095,-0.1291078,0.2105397,0.7268265,0.01861132,-0.6855048,-0.03821189,0.7342423,-0.07488036,-0.661622,0.1324296,0.7110368,0.1090383,-0.6875662,-0.0989444,0.9293154,0.1823174,-0.267606,-0.1775395,-0.02766534,0.9982286,0.04276077,0.03075335,-0.0275394,0.9981338,0.04284199,0.03369034,-0.02727978,0.9986416,0.02421865,0.03720472,-20,0,5
0.1173143,0.01190248,0.2013616,1.916295,0.01376174,0.02892493,1.953748,0.1876733,-0.08714636,1.979927,0.2549115,-0.3490525,1.979718,0.3016328,-0.5625141,1.882028,-0.1491241,-0.09035531,1.95412,-0.1760679,-0.3540351,1.936345,-0.177088,-0.5708864,1.842374,0.1225215,-0.5663978,1.887112,0.1565787,-0.8401892,1.852807,0.1782329,-1.230032,1.992718,-0.02893277,-0.5746931,1.87725,-0.03593759,-0.8598048,1.854139,-0.01675047,-1.247939,1.973316,0.1909387,-1.307238,1.892398,-0.00205615,-1.316596,1.862931,0.3014444,-0.6415927,1.857732,-0.1628277,-0.6190487,1.814505,0.300654,-0.7135816,1.844901,-0.1686436,-0.7064614,1.80108,0.04753346,-0.5811949,1.917396,0.03009808,-0.2720758,1.943286,0.01775829,-0.04523776,1.953692,-1,-1,High,High,0.2276538,-0.6046903,1.859412,-0.1777576,-0.6241924,1.766316,-0.02688145,0.9989167,0.001398313,0.03795958,0.7832251,0.6164868,0.07049437,0.0391535,0.7290843,0.09183049,0.6728529,-0.08527736,-0.6589952,-0.2223073,0.7152836,0.06836752,0.7939467,-0.6078247,-0.01187919,-0.007536671,0.7921172,-0.01992633,-0.6073266,-0.05751313,0.9425662,0.05287255,-0.2652189,-0.1960418,0.6317107,0.7496527,-0.1046481,-0.1673655,0.6785465,-0.003463507,0.7293553,-0.087198,0.6683012,0.1437823,0.7234234,0.09674139,-0.6675406,0.7022638,-0.1298239,0.2106204,0.7271753,0.01880188,-0.6851513,-0.03782051,0.7321053,-0.08197491,-0.6644279,0.1258471,-0.6624088,-0.1094881,0.7342768,0.1003227,0.9284437,0.1884949,-0.2391903,-0.2127202,-0.02677772,0.9982469,0.04257486,0.03119837,-0.02665756,0.9981551,0.0426502,0.03401311,-0.02627253,0.9986696,0.02389462,0.03738774,-20,0,5
0.1472092,0.01360414,0.2012116,1.916227,0.01481894,0.02886819,1.953922,0.1897416,-0.08772787,1.98127,0.2555692,-0.3528553,1.981258,0.3014276,-0.5637662,1.882832,-0.1480036,-0.09014794,1.954372,-0.1745333,-0.3521281,1.934717,-0.1728521,-0.5678906,1.837864,0.1230565,-0.5664141,1.887012,0.1570393,-0.840214,1.852615,0.1777868,-1.229698,1.993499,-0.02819201,-0.5747431,1.877054,-0.03530756,-0.8599938,1.853862,-0.01055389,-1.247051,1.974784,0.1906638,-1.30735,1.893812,0.006058535,-1.316052,1.865132,0.298876,-0.6422642,1.858326,-0.1600404,-0.6163153,1.808039,0.2962007,-0.714667,1.844416,-0.161711,-0.70513,1.795085,0.04821247,-0.5812287,1.917237,0.0310425,-0.2721185,1.943283,0.01879925,-0.04529022,1.953822,-1,-1,High,High,0.2275248,-0.6046872,1.85877,-0.1744265,-0.6251724,1.756164,-0.02676042,0.9988689,0.001726094,0.03926571,0.7834189,0.6158538,0.07273041,0.04110066,0.7240075,0.08852131,0.6790283,-0.08305233,0.742736,0.2136749,-0.6268073,-0.09898852,0.7935379,-0.6083567,-0.01211614,-0.007282711,0.7992031,-0.01797087,-0.5977877,-0.06001011,0.9498293,0.05327729,-0.2322995,-0.2025407,0.6315424,0.7497612,-0.104366,-0.1676905,0.6778331,-0.003761216,0.7300161,-0.08720583,0.6672496,0.1440748,0.7241374,0.09821177,-0.6675547,0.7021307,-0.1300453,0.2108825,0.7273937,0.01873645,-0.6849088,-0.03804357,0.7348787,-0.07775366,-0.6605439,0.1326252,0.7317084,0.08968483,-0.6645722,-0.1220785,0.9341927,0.1698332,-0.2064193,-0.2362877,-0.02632958,0.9982383,0.04282338,0.03151678,-0.02618749,0.9981283,0.04291042,0.03482546,-0.02601871,0.9986187,0.02421145,0.03869961,-20,5,5
0.1774254,0.01561121,0.2008129,1.917066,0.01561979,0.02883188,1.954051,0.1914317,-0.08840337,1.982434,0.255542,-0.3564973,1.982029,0.3012394,-0.5661008,1.882918,-0.1470021,-0.09029357,1.954572,-0.1737463,-0.3514339,1.933881,-0.1690553,-0.5654335,1.832736,0.1234281,-0.5665371,1.886924,0.1574156,-0.8402839,1.852355,0.1979527,-1.235491,1.974859,-0.02767858,-0.5747774,1.87681,-0.03469689,-0.8598052,1.853498,-0.01467778,-1.247982,1.972698,0.2159107,-1.304247,1.86582,0.0009918706,-1.316575,1.862438,0.29705,-0.642234,1.858697,-0.1560405,-0.6135005,1.803422,0.2967178,-0.7154327,1.846652,-0.1590065,-0.7005615,1.784146,0.04867707,-0.5813152,1.917067,0.03171328,-0.2721819,1.943252,0.01957385,-0.04533318,1.953909,-1,-1,High,High,0.2291837,-0.6110188,1.858272,-0.1746736,-0.6137114,1.754862,-0.02656857,0.9988291,0.002026997,0.04037922,0.7838556,0.6149498,0.07465842,0.04281904,0.7174221,0.08407663,0.6867272,-0.08150175,0.729784,0.2172617,-0.6410132,-0.09651387,0.7938139,-0.6079969,-0.01227167,-0.006979022,0.8057646,-0.01786169,-0.5887306,-0.06181126,0.9287546,0.07675101,-0.2989607,-0.2052965,0.6316744,0.7496884,-0.1039943,-0.167749,0.6802427,-0.003692649,0.7277426,-0.08744733,0.6617925,0.1438157,0.7330328,0.06333017,-0.6672755,0.702212,-0.1303101,0.2113313,0.7277651,0.0189975,-0.6845028,-0.03811917,0.7343888,-0.08077177,-0.6618652,0.1268205,0.7134176,0.08684932,-0.6832649,-0.1290019,0.9164704,0.1890237,-0.2756653,-0.2199106,-0.02596513,0.9982209,0.04304818,0.03205771,-0.02580982,0.9980989,0.04314148,0.03565501,-0.02575061,0.9985748,0.02449008,0.03981951,-20,10,5
0.2195632,0.01739883,0.2012847,1.917589,0.01758077,0.02913375,1.954422,0.1925699,-0.08869862,1.983175,0.2553271,-0.3579471,1.982756,0.3003766,-0.5677247,1.88374,-0.1462083,-0.09022306,1.954726,-0.17271,-0.3524138,1.931486,-0.1663165,-0.5650771,1.827295,0.1237343,-0.5666004,1.886831,0.1577115,-0.8401214,1.852137,0.1957152,-1.235797,1.974666,-0.02706489,-0.574598,1.876271,-0.03451232,-0.8596998,1.853296,-0.05704214,-1.258178,1.937906,0.2132317,-1.304777,1.865758,-0.05169903,-1.315207,1.815907,0.2950357,-0.6418638,1.858906,-0.1549028,-0.6113957,1.79773,0.2931677,-0.7166582,1.843564,-0.1551033,-0.6992619,1.780386,0.04913578,-0.5812848,1.916786,0.03281156,-0.2720416,1.943202,0.02130443,-0.04507534,1.954155,-1,-1,High,High,0.2293326,-0.6132569,1.855233,-0.1717404,-0.6126857,1.749421,-0.02496959,0.9988306,0.002829905,0.04130255,0.784842,0.6134406,0.07620583,0.04366111,0.7157341,0.08178031,0.6889642,-0.07978065,0.7518566,0.2125033,-0.6152896,-0.1047501,0.7937021,-0.6081366,-0.01234189,-0.007385159,0.8086526,-0.01489814,-0.5844852,-0.06508449,0.936379,0.07552068,-0.2683984,-0.2131978,0.6320808,0.7494749,-0.1030832,-0.1677353,0.6790262,-0.00401819,0.7288519,-0.08764886,0.6622568,0.1416427,0.7328311,0.06566483,-0.6664043,0.7024376,-0.1314532,0.2126189,0.7288755,0.01798155,-0.6833419,-0.03822493,0.7234849,-0.09174833,-0.6818498,0.05685629,0.734385,0.08151544,-0.6585487,-0.1426451,0.923168,0.1737934,-0.245792,-0.2390458,-0.02484824,0.9981828,0.0434111,0.03360118,-0.02470352,0.9980654,0.04349362,0.03692565,-0.0242996,0.9985573,0.02509777,0.04077854,-20,-5,0
0.2455242,0.01881813,0.2015374,1.918136,0.01898866,0.02917234,1.954672,0.1933776,-0.08910209,1.983712,0.2551477,-0.3595198,1.983361,0.3001043,-0.5692375,1.884174,-0.1451336,-0.09025243,1.954597,-0.1721407,-0.3524898,1.930171,-0.1646542,-0.5640727,1.823598,0.1240936,-0.5667242,1.886714,0.1578956,-0.8400785,1.852057,0.2011966,-1.239254,1.963551,-0.02659966,-0.5745,1.875947,-0.03438925,-0.8596154,1.853133,-0.05547899,-1.257817,1.938993,0.2197476,-1.303495,1.850126,-0.04956912,-1.31532,1.817404,0.2928288,-0.643774,1.860448,-0.1513616,-0.6109589,1.795659,0.2933176,-0.7180337,1.846989,-0.1510949,-0.6975801,1.77697,0.04956051,-0.5813065,1.916565,0.03372148,-0.2720318,1.943174,0.02259297,-0.0450429,1.954331,-1,-1,High,High,0.2270181,-0.6097707,1.852975,-0.1936745,-0.6321164,1.777783,-0.02414195,0.9988059,0.003326047,0.04234249,0.7856264,0.6122413,0.07742435,0.04424184,0.7128342,0.07993502,0.6923234,-0.07852398,0.7793658,0.2075225,-0.5799399,-0.1148609,0.7937161,-0.608117,-0.01191235,-0.008161063,0.8112937,-0.01466833,-0.5805607,-0.06735546,0.7324007,0.1643226,-0.6402484,-0.1633075,0.6325731,0.7491306,-0.1024752,-0.1677902,0.6784695,-0.004255448,0.7293955,-0.08742586,0.6618705,0.1356291,0.7354513,0.05141476,-0.6658167,0.7027658,-0.1318392,0.2131354,0.7293927,0.0173231,-0.6827946,-0.03844084,0.7245395,-0.09144413,-0.6805556,0.05936797,0.7618073,0.06107916,-0.6277316,-0.1478918,0.7274652,0.2627168,-0.6229914,-0.1168588,-0.02402323,0.9981655,0.04370955,0.0343214,-0.02386974,0.9980389,0.04379356,0.03782302,-0.02342078,0.9985235,0.02553318,0.04183845,-20,5,0
0.2767967,0.02020803,0.2013686,1.918332,0.01954631,0.02934966,1.954921,0.1942484,-0.08949021,1.984338,0.2548568,-0.3612143,1.983868,0.2994561,-0.5711394,1.885018,-0.1444008,-0.0901038,1.954383,-0.1712362,-0.3521776,1.928539,-0.1636846,-0.5638227,1.822103,0.1245548,-0.5667918,1.886552,0.1584173,-0.840332,1.851927,0.201281,-1.23934,1.963468,-0.02596003,-0.5744851,1.875414,-0.03372244,-0.8589082,1.852492,0.001537808,-1.245962,1.97339,0.2200618,-1.303622,1.850147,0.02208102,-1.314169,1.863817,0.2909074,-0.644877,1.859831,-0.1501796,-0.6107364,1.794116,0.2910228,-0.7191414,1.84824,-0.1491905,-0.6957625,1.772339,0.05013455,-0.5813367,1.916222,0.03430047,-0.2719522,1.943158,0.02315736,-0.04489048,1.954512,-1,-1,High,High,0.2262104,-0.6099073,1.848237,-0.1899939,-0.6276058,1.774941,-0.0241558,0.9987552,0.003800649,0.04347623,0.7862488,0.6112595,0.07861369,0.04466169,0.7106225,0.07769683,0.6949982,-0.07717645,0.7771068,0.2069117,-0.5833796,-0.1138453,0.7938076,-0.607994,-0.01135115,-0.009162211,0.8124712,-0.01299683,-0.5787171,-0.06934131,0.7474166,0.1603169,-0.6227649,-0.1668259,0.6327374,0.7491481,-0.1016343,-0.1676035,0.6775298,-0.004249059,0.7302712,-0.08740269,0.6610631,0.1354359,0.7361913,0.05172123,-0.6655468,0.7025845,-0.1322725,0.2143042,0.7302489,0.0174802,-0.6818624,-0.03866125,0.7413417,-0.0664389,-0.6525932,0.141847,0.7546694,0.06241033,-0.6330964,-0.1605242,0.7421283,0.2612397,-0.6050547,-0.1220995,-0.02393104,0.9980998,0.04424685,0.0355859,-0.0237786,0.9979714,0.04432896,0.03902123,-0.02339679,0.9984642,0.02598771,0.04297261,-20,5,5
0.3239171,0.02192177,0.2012609,1.919175,0.02072635,0.0294259,1.955558,0.1948954,-0.08973941,1.984791,0.2545139,-0.3621639,1.984185,0.2990944,-0.5719676,1.885045,-0.1434202,-0.08998843,1.954026,-0.1705128,-0.3520817,1.92718,-0.162771,-0.5638532,1.821038,0.1249972,-0.5668617,1.886467,0.1587247,-0.8403003,1.851758,0.1999081,-1.239621,1.963245,-0.02528792,-0.5743405,1.874897,-0.03349089,-0.8584166,1.852205,-0.03828117,-1.257164,1.941899,0.218604,-1.30404,1.85004,-0.0279884,-1.315705,1.821528,0.2895223,-0.6445318,1.861336,-0.148671,-0.6098725,1.793193,0.2888407,-0.7191058,1.847223,-0.1449079,-0.7006666,1.774938,0.05069913,-0.5813128,1.91594,0.03515776,-0.2718973,1.943272,0.02425899,-0.04481792,1.955004,-1,-1,High,High,0.2265602,-0.6113194,1.849674,-0.1651676,-0.616278,1.736643,-0.02357945,0.9987075,0.004785075,0.04477199,0.786885,0.6103623,0.07955127,0.04406364,0.7077157,0.07576604,0.6982676,-0.07629056,0.7838076,0.205918,-0.5741053,-0.1168192,0.7936935,-0.6081242,-0.01026754,-0.01141427,0.8148477,-0.01259233,-0.5751622,-0.07108506,0.9481891,0.06800972,-0.2183929,-0.2204917,0.6331841,0.748924,-0.1006081,-0.1675372,0.6764031,-0.004662731,0.7313184,-0.08735304,0.6608146,0.1339947,0.7365791,0.05311234,-0.6648984,0.7026361,-0.1329451,0.2157274,0.731291,0.01660097,-0.6807492,-0.03896637,0.7312831,-0.0790997,-0.6730549,0.07723656,0.7602211,0.0508263,-0.6274114,-0.1607338,0.9362543,0.1827716,-0.1929558,-0.229762,-0.0233668,0.9980299,0.04489507,0.03707892,-0.02321586,0.9978997,0.04497331,0.04043126,-0.02278704,0.9983989,0.02682064,0.04428334,-20,15,-5
