time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0156238,-0.01799392,0.178264,1.925964,-0.01269835,0.02884206,1.938624,0.1509727,-0.09611061,1.958692,0.206071,-0.3703837,1.959224,0.2435375,-0.5829027,1.862857,-0.1832075,-0.09609529,1.946646,-0.2180811,-0.3660949,1.929957,-0.2281355,-0.5803751,1.830025,0.08180916,-0.5688196,1.865494,0.1187152,-0.9142024,1.817656,0.1686909,-1.377665,1.795284,-0.0674116,-0.5750051,1.854688,-0.08813471,-0.9211568,1.827969,-0.1166769,-1.385876,1.833593,0.1772665,-1.403001,1.65729,-0.1153551,-1.417941,1.697851,0.2370604,-0.6503867,1.839667,-0.2241717,-0.6296322,1.809373,0.2343753,-0.7249133,1.82371,-0.2357629,-0.7068395,1.797795,0.007330278,-0.5825627,1.894751,-0.003393701,-0.2727644,1.923834,-0.01044272,-0.0454609,1.937343,-1,-1,High,High,0.17822,-0.6257486,1.821063,-0.1611701,-0.6267318,1.803755,-0.01499806,0.9996516,0.008912745,0.01980401,0.8028047,0.5920375,0.06342453,0.03120209,0.7219316,0.07245465,0.6848505,-0.06741536,0.7938468,0.1876034,-0.565172,-0.1232599,0.7995737,-0.5995914,-0.03347765,0.00716632,0.7731377,-0.03029717,-0.6302457,-0.06426869,0.7274403,-0.1604498,0.6508194,-0.146699,0.6372179,0.7455201,-0.09653474,-0.1698061,0.6779569,-0.01422507,0.7299966,-0.08530513,0.691651,0.01984763,0.7198371,-0.05531202,-0.6619473,0.7059274,-0.1320648,0.2145955,0.7293923,0.004492133,-0.6823623,-0.04846146,0.7151069,-0.02616048,-0.698316,-0.01710052,0.7790971,0.06427735,-0.603268,-0.1579361,0.7191895,-0.1059057,0.6652923,-0.1701081,-0.01560462,0.9981514,0.047336,0.03477767,-0.01596779,0.9983891,0.04721474,0.02710897,-0.01489798,0.9992498,0.02996279,0.01949801,-10,5,0
0.0489193,-0.01722666,0.1780341,1.926912,-0.01179478,0.02844993,1.939194,0.1512123,-0.09631664,1.95888,0.2062201,-0.3706826,1.959309,0.2439096,-0.5831675,1.862962,-0.1829299,-0.09607861,1.946961,-0.2180824,-0.366125,1.929985,-0.2289356,-0.5804257,1.830208,0.08189419,-0.5688099,1.865457,0.1188075,-0.914185,1.816922,0.1687942,-1.377635,1.793625,-0.06729219,-0.5749657,1.854547,-0.0880608,-0.921104,1.828041,-0.1166601,-1.385807,1.83395,0.1773308,-1.402761,1.655552,-0.115387,-1.417926,1.69823,0.2383164,-0.6509113,1.841948,-0.2254094,-0.6294574,1.811124,0.2359014,-0.7266821,1.827356,-0.2370934,-0.7084528,1.802378,0.007433507,-0.5825405,1.894668,-0.002947797,-0.2728707,1.923995,-0.009657251,-0.04577027,1.93781,-1,-1,High,High,0.1781272,-0.6264663,1.820759,-0.1622121,-0.6114327,1.805674,-0.01420664,0.9996578,0.009601404,0.01975569,0.8029199,0.5919095,0.06358052,0.03033763,0.7208883,0.07208508,0.6859764,-0.06753006,0.7936937,0.1880089,-0.565329,-0.1229074,0.7988079,-0.6006042,-0.03377355,0.006310217,0.7713752,-0.03017426,-0.6323264,-0.06506253,0.7473491,-0.1569215,0.6279092,-0.1502498,0.6373275,0.7454317,-0.09601939,-0.1700756,0.6776157,-0.01498109,0.7302203,-0.08596985,0.6917197,0.01914592,0.7197368,-0.0560031,-0.6618476,0.7058883,-0.1322143,0.214939,0.729648,0.004216468,-0.682103,-0.04828599,0.7149917,-0.02641557,-0.6984286,-0.01692958,0.7830356,0.05961302,-0.6024362,-0.1427308,0.7419652,-0.09501141,0.6437353,-0.1614479,-0.01503049,0.99813,0.04773147,0.03510397,-0.01540475,0.9983748,0.047612,0.02726694,-0.01415256,0.9992406,0.03064559,0.01946508,-10,5,5
0.0806001,-0.01674484,0.1780466,1.927345,-0.01160862,0.02843643,1.939587,0.1513366,-0.09640288,1.958939,0.2062893,-0.3707116,1.959404,0.2441282,-0.5831987,1.86313,-0.1826313,-0.09592476,1.947756,-0.2180577,-0.3660943,1.930068,-0.2295243,-0.5804428,1.830492,0.08197418,-0.5687782,1.865445,0.1188857,-0.9141488,1.816464,0.1688716,-1.377591,1.792574,-0.06712119,-0.5748543,1.8545,-0.08800641,-0.9209829,1.828089,-0.1167545,-1.385672,1.834125,0.1771721,-1.402603,1.654438,-0.1157417,-1.417802,1.698409,0.238832,-0.6509221,1.841718,-0.2254587,-0.6303005,1.812845,0.2383584,-0.7273333,1.831481,-0.2365243,-0.7091454,1.803652,0.007557973,-0.582473,1.89464,-0.002742855,-0.2728338,1.924178,-0.009458333,-0.04577034,1.93816,-1,-1,High,High,0.1781805,-0.6253088,1.822307,-0.1622237,-0.6149924,1.805436,-0.01429936,0.9996735,0.009881393,0.0187268,0.8031595,0.5916693,0.06310246,0.02967038,0.7202632,0.07201234,0.6866435,-0.06749709,0.7684436,0.1933203,-0.5992105,-0.1143173,0.7985436,-0.6008781,-0.03500663,0.006937684,0.7704919,-0.02962659,-0.6332906,-0.06638841,0.7422989,-0.158855,0.6339703,-0.1477807,0.6374887,0.7452628,-0.09580588,-0.1703311,0.6774576,-0.01546471,0.7303074,-0.08638972,0.6923209,0.01873405,0.7191363,-0.05642563,-0.6616505,0.7059655,-0.1321666,0.2153213,0.7297562,0.003992558,-0.6819875,-0.04830235,0.7143449,-0.02661001,-0.6990818,-0.01696826,0.7553676,0.06925823,-0.6362696,-0.1406555,0.7370673,-0.0828996,0.6532166,-0.1522082,-0.01488293,0.9981107,0.04807213,0.03524994,-0.01528782,0.9983725,0.04794491,0.026831,-0.01419247,0.9992486,0.03100168,0.01843369,-10,0,0
0.1177,-0.01620862,0.17804,1.928578,-0.01097646,0.02825491,1.940428,0.1521112,-0.09659342,1.959649,0.2063821,-0.3706999,1.959582,0.2446841,-0.5831379,1.863399,-0.1821292,-0.09583288,1.948443,-0.2180044,-0.3661963,1.930255,-0.2302092,-0.5806677,1.831091,0.0822075,-0.5687214,1.865384,0.118899,-0.91412,1.816725,0.1686028,-1.377599,1.793265,-0.06690178,-0.5746978,1.854474,-0.0879939,-0.9208058,1.828279,-0.1170075,-1.385466,1.8346,0.1769172,-1.402667,1.655147,-0.1160232,-1.417652,1.698906,0.2397857,-0.6507019,1.842624,-0.2272256,-0.6298457,1.814559,0.2408624,-0.7226708,1.826045,-0.238958,-0.7085105,1.804524,0.007786753,-0.5823667,1.894594,-0.002280327,-0.2728279,1.924517,-0.008860839,-0.04589907,1.938877,-1,-1,High,High,0.1787452,-0.6313604,1.82226,-0.1625389,-0.609436,1.805923,-0.01405972,0.9996678,0.01072367,0.01875185,0.8031248,0.5916798,0.0636937,0.02913042,0.7171009,0.07022472,0.6901051,-0.06774735,0.7722476,0.1932728,-0.5942224,-0.1148002,0.7981204,-0.601411,-0.0356126,0.006353084,0.7696554,-0.02956942,-0.6341826,-0.06759217,0.7538295,-0.1567992,0.6204626,-0.1489339,0.6377853,0.7449294,-0.09543402,-0.1708873,0.6775708,-0.01533098,0.7302687,-0.08585151,0.692256,0.01884937,0.7192376,-0.05589059,-0.661506,0.7060996,-0.1317823,0.2155611,0.7296889,0.003568615,-0.6820632,-0.04828231,0.7143129,-0.027029,-0.699099,-0.01694979,0.7607302,0.06777136,-0.630923,-0.1365018,0.7522278,-0.08212152,0.638208,-0.1417734,-0.01449517,0.9980911,0.04868733,0.03512194,-0.01490129,0.9983497,0.04856457,0.02678479,-0.01388687,0.9992259,0.03184314,0.01846393,-10,5,0
0.1476696,-0.01587336,0.1778645,1.929095,-0.01082017,0.02808813,1.940959,0.1521294,-0.09662432,1.959691,0.2064317,-0.3707322,1.959732,0.2450209,-0.5831047,1.863516,-0.1817829,-0.09572247,1.948955,-0.2180037,-0.3662867,1.93053,-0.230388,-0.5808709,1.831672,0.08229529,-0.5687134,1.865357,0.1186273,-0.9141555,1.81718,0.1678634,-1.377693,1.794357,-0.06687306,-0.5746844,1.854472,-0.0880011,-0.9207935,1.828218,-0.117061,-1.385454,1.834463,0.1760054,-1.402892,1.656269,-0.1162347,-1.417608,1.698755,0.2408887,-0.6508975,1.842628,-0.2270122,-0.6291071,1.816691,0.2384143,-0.7276031,1.830275,-0.2404424,-0.7030944,1.79923,0.007842368,-0.582354,1.894581,-0.002127343,-0.2728803,1.924736,-0.008697444,-0.04603681,1.939335,-1,-1,High,High,0.1787983,-0.6302688,1.823257,-0.1630162,-0.609836,1.807483,-0.0141111,0.9996739,0.01120467,0.01809458,0.8030826,0.591837,0.0632705,0.02800185,0.7160975,0.07030034,0.6911385,-0.06774702,0.778673,0.192553,-0.5856576,-0.1166055,0.7977749,-0.6018322,-0.0362862,0.006059323,0.7702928,-0.02982873,-0.6333269,-0.06823721,0.7469015,-0.1583253,0.6289999,-0.1463917,0.6378734,0.744817,-0.09518195,-0.1711892,0.6777227,-0.01516632,0.7302287,-0.08501694,0.6926705,0.01902432,0.718899,-0.05504434,-0.6615631,0.7060657,-0.131518,0.2156582,0.7296105,0.003593402,-0.6821402,-0.04837768,0.7139109,-0.02699657,-0.699508,-0.01705928,0.7694505,0.07044148,-0.6204588,-0.1342185,0.7449467,-0.07294362,0.6492248,-0.1350584,-0.01433328,0.9980791,0.04906065,0.03501011,-0.01475577,0.9983439,0.04893524,0.02640302,-0.01388008,0.9992209,0.03237101,0.01780523,-10,0,0
0.179665,-0.01559677,0.1779018,1.929751,-0.0103681,0.02825401,1.94187,0.1522745,-0.0967693,1.959847,0.2064832,-0.3707338,1.959749,0.2452933,-0.5831249,1.863684,-0.1814589,-0.09556769,1.949547,-0.2179341,-0.3664341,1.931111,-0.2307199,-0.5810328,1.832354,0.08250049,-0.5686882,1.865347,0.1184904,-0.9141689,1.817416,0.1672841,-1.377756,1.79492,-0.06676085,-0.5746487,1.854525,-0.08794585,-0.9207578,1.828226,-0.1170776,-1.385416,1.834409,0.1752709,-1.403012,1.656836,-0.1163978,-1.417541,1.698689,0.2416768,-0.650986,1.842969,-0.2282367,-0.6291951,1.818219,0.2397235,-0.7275559,1.831017,-0.2374482,-0.7122127,1.812596,0.007997403,-0.5823222,1.894604,-0.001754819,-0.2728008,1.92518,-0.008257495,-0.04589676,1.940137,-1,-1,High,High,0.1804316,-0.6366103,1.825871,-0.164102,-0.606039,1.809378,-0.01401768,0.999677,0.01192851,0.0175265,0.803803,0.5910058,0.06263679,0.02625696,0.7152106,0.06995733,0.6920723,-0.0679379,0.7657686,0.1952213,-0.602478,-0.1118367,0.7976873,-0.6019365,-0.03663368,0.005047562,0.7695122,-0.03005781,-0.6342356,-0.06850325,0.7650602,-0.1545067,0.6068202,-0.1502659,0.6380128,0.7446117,-0.09476814,-0.1717905,0.6779484,-0.01521926,0.7300867,-0.08442545,0.6930299,0.01897283,0.7185993,-0.05444981,-0.661649,0.7060381,-0.1310462,0.2157723,0.7294313,0.003590942,-0.6823245,-0.04848016,0.7135426,-0.02699712,-0.6998809,-0.0171739,0.7564818,0.07525001,-0.6366557,-0.1293913,0.7670999,-0.07042549,0.6250878,-0.1259497,-0.01396968,0.9980614,0.04971051,0.03474321,-0.01440508,0.9983277,0.04958609,0.02598936,-0.01373191,0.9992078,0.03313666,0.01723861,-15,5,-5
0.2304765,-0.01532079,0.1780247,1.930671,-0.0100908,0.02810309,1.942204,0.1525747,-0.09689658,1.960123,0.2065909,-0.3707986,1.959775,0.2456386,-0.5832037,1.863858,-0.1814072,-0.09566844,1.949959,-0.2179405,-0.3667944,1.931644,-0.2310991,-0.5814258,1.833034,0.08269758,-0.5687425,1.865442,0.1187322,-0.9142228,1.818229,0.167589,-1.377812,1.796686,-0.06662291,-0.574627,1.854579,-0.08794323,-0.9207307,1.828238,-0.1172486,-1.38538,1.834366,0.1755631,-1.403256,1.658666,-0.1166424,-1.417486,1.698638,0.2413193,-0.6503209,1.84231,-0.2280949,-0.6294453,1.820683,0.2427824,-0.7226473,1.826904,-0.2401876,-0.7071009,1.808831,0.008165563,-0.5823338,1.894674,-0.001454042,-0.2728947,1.925464,-0.007969685,-0.04603735,1.940472,-1,-1,High,High,0.1808314,-0.6368579,1.829842,-0.1626047,-0.6025522,1.806167,-0.01409265,0.999679,0.01191618,0.01735975,0.8037823,0.5910477,0.06258455,0.02607591,0.7139756,0.06929362,0.6933904,-0.06816892,0.74569,0.1989616,-0.6271948,-0.1048204,0.7975019,-0.6021668,-0.03687833,0.005078864,0.7682683,-0.03011805,-0.6357507,-0.06839485,0.7970444,-0.1465593,0.5642325,-0.1577412,0.6382828,0.7444003,-0.09439281,-0.1719103,0.6778904,-0.01443704,0.73023,-0.0837877,0.6931,0.01976103,0.7185601,-0.05379029,-0.6615496,0.7061053,-0.1308772,0.2159598,0.7295117,0.003483636,-0.6822266,-0.04865722,0.7133778,-0.02708487,-0.7000409,-0.01735315,0.7317446,0.08079001,-0.6631181,-0.1352667,0.8016151,-0.04914621,0.5837529,-0.1192909,-0.01374119,0.9980428,0.05005986,0.03486926,-0.01418718,0.9983141,0.0499353,0.02596528,-0.01376677,0.9992064,0.0332542,0.01706896,-10,0,0
0.2470245,-0.01516011,0.1780389,1.931188,-0.009725944,0.02816994,1.942814,0.1527142,-0.09703079,1.96024,0.206741,-0.3708537,1.959803,0.2458055,-0.5832402,1.863846,-0.1811998,-0.09552931,1.950511,-0.2180129,-0.3671361,1.93246,-0.2315799,-0.5818831,1.834209,0.08285879,-0.5687659,1.865619,0.1185513,-0.9142866,1.819172,0.1669647,-1.377929,1.798645,-0.066415,-0.5745319,1.854923,-0.08801463,-0.9206349,1.828326,-0.1176798,-1.385277,1.834115,0.1747898,-1.403592,1.660689,-0.1172522,-1.417295,1.698347,0.2410746,-0.6493908,1.841888,-0.2280897,-0.6307456,1.823093,0.2413576,-0.7227114,1.826671,-0.2396732,-0.7088457,1.812864,0.008352375,-0.5823037,1.894922,-0.001104704,-0.272854,1.926013,-0.007604521,-0.04597852,1.941084,-1,-1,High,High,0.1798154,-0.6319852,1.82738,-0.163298,-0.6118199,1.807794,-0.01410022,0.9996889,0.01189558,0.01678551,0.8043202,0.5904521,0.06172182,0.02501318,0.7139856,0.06921531,0.6933736,-0.06831517,0.7568517,0.1971258,-0.6136442,-0.108433,0.7972968,-0.6024336,-0.03699963,0.004746379,0.7675202,-0.03068524,-0.6366408,-0.06826196,0.7666741,-0.1547827,0.6050907,-0.1487224,0.638535,0.7440251,-0.09439593,-0.1725952,0.6783606,-0.01392327,0.7299266,-0.08270516,0.6934685,0.0202411,0.718273,-0.05268284,-0.6613478,0.7064018,-0.1303187,0.2159461,0.7291136,0.003468913,-0.6826134,-0.04919546,0.7129675,-0.02709479,-0.7004448,-0.01789944,0.7422149,0.07913047,-0.6500516,-0.142437,0.7692448,-0.04337851,0.6281922,-0.1084214,-0.01348836,0.9980412,0.05052409,0.0343395,-0.01393984,0.9983085,0.05040138,0.02540891,-0.01374759,0.999212,0.03338053,0.01649289,-10,0,0
0.2797523,-0.01508198,0.1779574,1.931424,-0.009414983,0.02809496,1.943038,0.1530723,-0.09730297,1.960398,0.2069275,-0.3702232,1.959857,0.2458223,-0.5827019,1.864043,-0.1810814,-0.09552939,1.950778,-0.2180105,-0.3673827,1.932892,-0.232052,-0.5823914,1.835381,0.08295757,-0.5687744,1.86586,0.1187123,-0.9142926,1.820773,0.1672097,-1.377936,1.80205,-0.06634048,-0.5744725,1.855009,-0.08803692,-0.920576,1.828315,-0.1178267,-1.385215,1.833977,0.1750679,-1.40397,1.664227,-0.1174376,-1.417202,1.698195,0.2408387,-0.6495272,1.84098,-0.2280656,-0.6312702,1.824176,0.2404898,-0.721566,1.823254,-0.2385934,-0.7122867,1.818195,0.008439477,-0.5822703,1.895069,-0.0008732458,-0.2728762,1.926269,-0.007313261,-0.04604166,1.941323,-1,-1,High,High,0.1809337,-0.6351087,1.830929,-0.1629297,-0.6126018,1.80749,-0.01397329,0.9996945,0.01179123,0.01663617,0.8046569,0.5900244,0.0614863,0.02485975,0.7147084,0.06916363,0.6926267,-0.06838629,0.732006,0.2007694,-0.6432354,-0.1005336,0.7971142,-0.6026724,-0.03704409,0.004769433,0.766553,-0.03090933,-0.6378061,-0.06815015,0.7710204,-0.1535715,0.6000691,-0.1478519,0.6387903,0.7439283,-0.09386826,-0.1723549,0.6780691,-0.01248332,0.7303623,-0.08146956,0.6934471,0.02169519,0.7183435,-0.05141026,-0.6612225,0.7064135,-0.1304565,0.2162078,0.7294561,0.003436873,-0.6822334,-0.04939256,0.7128854,-0.02709186,-0.7005233,-0.01809434,0.7140533,0.08795566,-0.6794116,-0.1441927,0.772041,-0.03950493,0.6243215,-0.1123158,-0.01322621,0.9980176,0.05070542,0.03485409,-0.01369597,0.998298,0.05058056,0.02559523,-0.01362418,0.9992174,0.03334569,0.01634535,-10,5,0
0.3178934,-0.01506079,0.1780816,1.931739,-0.009361391,0.02818226,1.943276,0.1533269,-0.09723883,1.960705,0.2069813,-0.3702624,1.959836,0.2460159,-0.5827218,1.864039,-0.1810158,-0.09545463,1.951005,-0.2180068,-0.3675177,1.933837,-0.232502,-0.5825449,1.836456,0.08315255,-0.568765,1.866054,0.1187748,-0.9142975,1.821538,0.1671035,-1.377959,1.803573,-0.0661257,-0.5744017,1.855265,-0.08833582,-0.9204818,1.82843,-0.1187915,-1.385085,1.833903,0.1749841,-1.404153,1.665808,-0.1184639,-1.41703,1.698102,0.2408781,-0.6493805,1.840823,-0.2294476,-0.6317545,1.825898,0.2397848,-0.7210599,1.824215,-0.2390272,-0.7132943,1.82042,0.008650821,-0.5822294,1.895294,-0.0007119646,-0.2728131,1.926566,-0.007235616,-0.04596006,1.941581,-1,-1,High,High,0.1796187,-0.6300088,1.827281,-0.1638459,-0.6104177,1.809956,-0.01413545,0.9996922,0.01165933,0.01672859,0.8045891,0.5901116,0.06149851,0.0249535,0.7136796,0.06836756,0.69374,-0.06864617,0.7405665,0.1996122,-0.6333305,-0.1029988,0.7971265,-0.6026642,-0.0369143,0.00475787,0.7646675,-0.03161072,-0.6401247,-0.06726736,0.7860221,-0.1503951,0.5803288,-0.1508936,0.6389178,0.7437619,-0.09398537,-0.1725371,0.6782665,-0.01199755,0.7302629,-0.08078837,0.69339,0.02215007,0.7184337,-0.05071928,-0.6611269,0.7065359,-0.130238,0.2162319,0.7292851,0.003047263,-0.6823704,-0.05004486,0.7128234,-0.02745982,-0.7005552,-0.01874169,0.7227077,0.0861299,-0.669798,-0.1471256,0.7913678,-0.03946882,0.6014274,-0.1022949,-0.01331059,0.9980171,0.05081755,0.03467419,-0.01377485,0.9982924,0.05069367,0.02554404,-0.01380551,0.9992162,0.03326122,0.01643362,-10,5,0
