time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0114203,0.04513548,0.1726322,1.941273,0.05064601,0.02810362,1.968819,0.217325,-0.09077036,1.980963,0.2747785,-0.3564763,1.976394,0.321654,-0.5645034,1.874199,-0.1192212,-0.08823209,1.980622,-0.1481743,-0.36374,1.964962,-0.1581945,-0.5814314,1.87634,0.1416266,-0.5550328,1.893663,0.182724,-0.8816463,1.854618,0.1298301,-1.185249,2.177,-0.004422887,-0.5638475,1.890771,-0.009056101,-0.8924428,1.868904,0.001905778,-1.317967,2.017124,0.1671501,-1.127007,2.021598,0.007201432,-1.396108,1.932645,0.3194219,-0.6459441,1.845936,-0.1440418,-0.6341931,1.856093,0.3181925,-0.7149158,1.832049,-0.1413767,-0.7068614,1.845494,0.06976356,-0.5694351,1.925889,0.06000964,-0.2669885,1.954492,0.05300973,-0.04468774,1.967616,1,-1,Low,High,0.2925829,-0.6559963,1.815971,-0.0918447,-0.6048597,1.839542,-0.01620816,0.9998313,0.008297195,0.002415631,0.7953115,0.6043088,0.04566832,0.01431779,0.6970846,0.06847362,0.7090203,-0.08169832,0.8477026,0.1975461,-0.4703892,-0.1452919,0.7875963,-0.6145104,-0.04383292,0.01215224,0.7629797,-0.02171972,-0.6436855,-0.05530985,0.8028609,-0.128111,0.5639949,-0.1446087,0.6305835,0.7448398,-0.111456,-0.1874981,0.6143087,-0.008174659,0.784385,-0.08542926,0.6198883,0.2467165,0.6753606,0.314257,-0.6726304,0.7041754,-0.1166577,0.1951834,0.7117837,0.01830457,-0.7015775,-0.02859651,0.7093957,-0.1069409,-0.684685,0.1285606,0.84727,0.07372987,-0.5043197,-0.1495298,0.7706849,-0.01100231,0.5990587,-0.2169154,-0.01569895,0.9987304,0.04723429,0.007750598,-0.01583787,0.9987488,0.04718789,0.004811868,-0.01565637,0.99944,0.0295016,0.002085524,-20,5,5
0.0435114,0.04625959,0.173882,1.942004,0.0508433,0.02872325,1.968603,0.2182064,-0.09090745,1.981311,0.2746522,-0.3574688,1.976008,0.3211493,-0.5653138,1.875211,-0.1173773,-0.08799414,1.979889,-0.147622,-0.3633796,1.964758,-0.1574706,-0.5811737,1.876396,0.1421698,-0.5551314,1.893719,0.183277,-0.881741,1.8546,0.131864,-1.187223,2.175473,-0.003820519,-0.5636986,1.890603,-0.008882091,-0.8922642,1.869146,0.008629865,-1.317121,2.018544,0.1683454,-1.127649,2.020281,0.01684446,-1.395371,1.934443,0.3191906,-0.6465482,1.847196,-0.1432836,-0.6326426,1.855017,0.320044,-0.7170116,1.837081,-0.1398742,-0.7059219,1.843773,0.07033603,-0.5694094,1.925833,0.06037536,-0.2667023,1.954401,0.05325116,-0.04416845,1.967447,-1,-1,Low,High,0.2924947,-0.653615,1.819344,-0.09136286,-0.6026722,1.839668,-0.01647872,0.9998254,0.007987701,0.003727505,0.7960495,0.6032431,0.04655517,0.01534749,0.6950548,0.06577912,0.7113082,-0.0813164,0.8270721,0.2019389,-0.5069444,-0.1348326,0.7888355,-0.6130165,-0.04261994,0.01153596,0.7676877,-0.02453902,-0.6379086,-0.05591028,0.789485,-0.1308292,0.5827755,-0.1413147,0.6311446,0.7445536,-0.1112932,-0.1868434,0.6152685,-0.008148588,0.7836228,-0.08551932,0.6207637,0.2462154,0.6761034,0.3113112,-0.6720206,0.704518,-0.1170145,0.1958327,0.7123996,0.0173816,-0.7009744,-0.02862857,0.7155585,-0.1013294,-0.6777217,0.1356525,0.8244661,0.08101551,-0.5411227,-0.1444935,0.7540323,-0.02259538,0.6155608,-0.2280561,-0.01598528,0.9987227,0.04715081,0.008615335,-0.01611377,0.9987425,0.04710705,0.005892488,-0.01588093,0.9994382,0.0293168,0.003390859,-15,0,5
0.0770153,0.04716165,0.1746189,1.94243,0.05099398,0.02912844,1.96854,0.2191847,-0.09106132,1.981775,0.274652,-0.3577608,1.975984,0.3206783,-0.5660587,1.876001,-0.1165492,-0.08781742,1.979626,-0.1472756,-0.3633349,1.964528,-0.1566657,-0.5812341,1.876402,0.1424488,-0.5551844,1.893851,0.1833604,-0.8818185,1.854692,0.1330159,-1.188961,2.174183,-0.003487959,-0.5635915,1.890523,-0.008885615,-0.8921399,1.869285,0.03879318,-1.316114,2.015105,0.1690264,-1.128188,2.019278,0.05826257,-1.390916,1.927781,0.3179265,-0.6455691,1.849224,-0.1419716,-0.6333277,1.854959,0.3172745,-0.7151791,1.832846,-0.1383263,-0.7055987,1.84314,0.07063002,-0.5693822,1.925858,0.06060947,-0.2665017,1.954402,0.0534248,-0.04381801,1.967407,-1,-1,Low,High,0.2938095,-0.6480977,1.817508,-0.08985855,-0.6054994,1.838778,-0.01661727,0.9998205,0.007839398,0.004614847,0.7964475,0.6026279,0.04738603,0.01629818,0.6943084,0.06377617,0.7122852,-0.08073529,0.8574486,0.1913521,-0.4548157,-0.1459756,0.7894492,-0.612269,-0.04203978,0.01136749,0.7711674,-0.02554168,-0.6336283,-0.0562456,0.8232074,-0.1209727,0.5343088,-0.1490271,0.6315296,0.7444041,-0.1110081,-0.1863065,0.6160482,-0.008294213,0.7830293,-0.08532909,0.6215445,0.2455246,0.6767474,0.3088898,-0.6715925,0.704708,-0.117427,0.1963695,0.7129483,0.01676372,-0.7004258,-0.02876516,0.7371871,-0.06870542,-0.6532382,0.1584752,0.8574419,0.06554838,-0.4882521,-0.1486826,0.7894955,-0.005496557,0.5692886,-0.2292969,-0.01603823,0.9987172,0.04709978,0.009395536,-0.01616422,0.9987388,0.04705669,0.006722859,-0.0159803,0.999436,0.02922014,0.004275277,-20,5,5
0.127574,0.04776836,0.175289,1.943109,0.05128156,0.02935177,1.968488,0.219868,-0.09095906,1.982249,0.2745543,-0.3580025,1.975807,0.3203883,-0.5666177,1.876475,-0.1160407,-0.0877255,1.979334,-0.1466398,-0.3624147,1.96402,-0.1553276,-0.5808337,1.87681,0.142753,-0.5553522,1.893898,0.1838442,-0.8819443,1.855819,0.1413421,-1.198147,2.167683,-0.003104635,-0.5634263,1.890277,-0.008697274,-0.8919422,1.869523,0.01989724,-1.311446,2.030723,0.1739594,-1.131855,2.013943,0.03332634,-1.392781,1.95503,0.3167344,-0.6466372,1.849387,-0.1406668,-0.6342441,1.85308,0.3181816,-0.7167597,1.838326,-0.1329177,-0.71138,1.846218,0.07093999,-0.5693917,1.925778,0.06093447,-0.2663782,1.954349,0.0537222,-0.04361451,1.967359,-1,-1,Low,High,0.3187671,-0.6366049,1.810938,-0.08778992,-0.6093433,1.83657,-0.01667201,0.9998145,0.007829486,0.005648325,0.7963479,0.602648,0.04845867,0.01724379,0.6928434,0.06168225,0.7139087,-0.08060748,0.9426993,0.04524756,0.2326535,-0.2348254,0.7897682,-0.6119044,-0.04145057,0.01100742,0.7750239,-0.02553899,-0.6288906,-0.05641251,0.796409,-0.1256156,0.5742559,-0.1420692,0.6323101,0.7439522,-0.1106066,-0.1857024,0.6210124,-0.006312234,0.7791956,-0.08460436,0.6279342,0.2424644,0.6782822,0.2946912,-0.6706988,0.705187,-0.1180458,0.1973315,0.713755,0.01600746,-0.6996335,-0.02847093,0.7258162,-0.09892701,-0.6625533,0.1562924,0.9599904,-0.05869225,0.2271045,-0.1529617,0.7611671,-0.02775184,0.6031774,-0.2367098,-0.01595377,0.9987057,0.04714061,0.01050308,-0.01608167,0.9987304,0.04709712,0.00779201,-0.01600613,0.9994303,0.02923653,0.005307703,-20,5,5
0.1435814,0.04816148,0.1758512,1.943338,0.05133988,0.02968386,1.968359,0.2207852,-0.09111418,1.983053,0.2744245,-0.3586326,1.975682,0.3201615,-0.5674703,1.876839,-0.1152676,-0.0876748,1.978884,-0.1461626,-0.3616815,1.963784,-0.1547174,-0.5807855,1.876615,0.1431143,-0.555565,1.893921,0.1839105,-0.882188,1.855982,0.1401347,-1.194147,2.171788,-0.002833026,-0.5634484,1.890272,-0.008590284,-0.8919652,1.869459,-0.01515912,-1.317843,2.016974,0.1733205,-1.130523,2.01715,-0.01487221,-1.395906,1.931771,0.3159754,-0.6460893,1.848899,-0.1394785,-0.6356004,1.852291,0.3168338,-0.7156139,1.834233,-0.1307687,-0.7109529,1.844733,0.07127075,-0.5694967,1.92578,0.06108963,-0.2662849,1.954314,0.05380948,-0.04335899,1.967265,-1,-1,Low,High,0.3442224,-0.6288751,1.853389,-0.08867513,-0.6088866,1.838029,-0.01684159,0.9998028,0.007607566,0.007275834,0.7965011,0.6022602,0.05009265,0.01895661,0.6900852,0.05871317,0.7168305,-0.08055452,0.649901,-0.09365769,0.7217765,-0.2188508,0.7904762,-0.6110609,-0.04047506,0.01066574,0.7769528,-0.02643699,-0.6264604,-0.05650369,0.7955117,-0.1252326,0.5757074,-0.1415589,0.6328324,0.7435921,-0.1106757,-0.1853235,0.6213484,-0.006391006,0.7789787,-0.08412752,0.6253123,0.2460445,0.677251,0.2996294,-0.6703726,0.7055166,-0.1178862,0.1973573,0.7138563,0.01588763,-0.6995229,-0.02871259,0.7012682,-0.1219167,-0.6932769,0.1128117,0.6900313,-0.1389589,0.7031354,-0.1007373,0.7597353,-0.02685174,0.6047702,-0.237348,-0.01622457,0.9987035,0.04705457,0.01066982,-0.01631833,0.9987229,0.04702214,0.008679141,-0.01610001,0.9994225,0.02911086,0.006931582,-20,5,5
0.1769167,0.04849865,0.1761653,1.943388,0.05164751,0.02989048,1.968235,0.2211565,-0.09116692,1.983391,0.2744723,-0.3591006,1.975487,0.3199517,-0.5681079,1.876919,-0.1146386,-0.0874807,1.978383,-0.14581,-0.3616787,1.963292,-0.1535032,-0.5817266,1.875782,0.1435892,-0.5556831,1.893949,0.1842434,-0.8823112,1.856601,0.1401082,-1.194297,2.172321,-0.002317964,-0.56337,1.889964,-0.008506849,-0.8918562,1.869503,0.003698735,-1.316253,2.020508,0.173221,-1.130341,2.017788,0.01146889,-1.395082,1.937593,0.3154604,-0.645359,1.848702,-0.1378332,-0.6357662,1.849893,0.3136406,-0.7158648,1.834475,-0.1309066,-0.7090663,1.837264,0.07176652,-0.5695174,1.925648,0.06151818,-0.2661597,1.954198,0.05414485,-0.04316465,1.967146,-1,-1,High,High,0.3444793,-0.6294759,1.854162,-0.08646642,-0.6012429,1.834931,-0.01701946,0.9997904,0.007597747,0.00846913,0.7968102,0.6017386,0.05110298,0.01981497,0.6899751,0.05749665,0.717018,-0.08070794,0.6327423,-0.09871339,0.7371283,-0.2157191,0.7906605,-0.6108888,-0.03962848,0.01002141,0.7812638,-0.02720983,-0.621036,-0.05657462,0.7923568,-0.1244293,0.5801149,-0.1419677,0.6333179,0.7434297,-0.1101675,-0.1846184,0.6209543,-0.005872978,0.7793739,-0.08341279,0.6246396,0.2459737,0.6778969,0.2996298,-0.6698421,0.7056853,-0.1184757,0.1982,0.7147145,0.01501076,-0.6986614,-0.02881057,0.7164822,-0.1067379,-0.6764244,0.1330803,0.67266,-0.145974,0.7186654,-0.09869202,0.7537038,-0.03361116,0.6067836,-0.2502291,-0.01626961,0.998688,0.04707771,0.01188272,-0.01636408,0.9987099,0.04704496,0.00987802,-0.01626885,0.9994106,0.02911734,0.008121165,-15,5,5
0.2172593,0.04896104,0.1765673,1.943515,0.05178642,0.03018559,1.96821,0.2219117,-0.09140525,1.983945,0.2744378,-0.3596906,1.975402,0.3196253,-0.5689015,1.877177,-0.1140956,-0.08718365,1.97797,-0.1453965,-0.3613587,1.962658,-0.1521731,-0.5823194,1.874724,0.1439576,-0.5556926,1.894023,0.1843762,-0.8823451,1.856965,0.1414387,-1.199471,2.167838,-0.001843985,-0.563257,1.889763,-0.008166129,-0.8917486,1.869214,0.01435196,-1.31266,2.027851,0.1741746,-1.132385,2.014456,0.02664867,-1.393373,1.950501,0.3147933,-0.645786,1.850276,-0.136659,-0.6333469,1.849454,0.3140751,-0.7174473,1.836377,-0.1308228,-0.7094141,1.839619,0.07219449,-0.5694669,1.925591,0.06179739,-0.2659698,1.95417,0.05431613,-0.04289296,1.967123,-1,-1,High,High,0.3452075,-0.6340311,1.856238,-0.0837652,-0.6110919,1.832634,-0.01722544,0.999775,0.007607295,0.009769783,0.7972777,0.6009874,0.05224668,0.02080309,0.6886873,0.05543907,0.718439,-0.08050963,0.6124465,-0.1043933,0.7543857,-0.2119281,0.7908364,-0.6107268,-0.03876382,0.009371553,0.7854211,-0.02752926,-0.6157304,-0.05685009,0.813583,-0.1174049,0.549962,-0.147786,0.6335741,0.7433881,-0.1098256,-0.1841098,0.6206481,-0.005787598,0.779677,-0.08286282,0.6268869,0.2416927,0.6800082,0.2935751,-0.6694807,0.7057235,-0.1189657,0.1989899,0.7153966,0.01492931,-0.6979544,-0.0290604,0.7255072,-0.1021492,-0.6640238,0.1492555,0.6533832,-0.145142,0.7377036,-0.08841681,0.7735876,-0.02362642,0.5778146,-0.2591029,-0.01645849,0.9986705,0.047123,0.01287819,-0.01654614,0.9986927,0.0470923,0.01102016,-0.01646631,0.9993953,0.02914034,0.00941756,-15,0,10
0.2442726,0.04943231,0.1770734,1.943632,0.05209645,0.03059077,1.968182,0.2226342,-0.09143918,1.984733,0.2744792,-0.359858,1.975419,0.3194866,-0.5692613,1.877567,-0.1140673,-0.08713066,1.97793,-0.1449173,-0.3612369,1.961969,-0.1508331,-0.5829177,1.873447,0.144185,-0.5557215,1.894105,0.1849103,-0.8823228,1.85762,0.1297165,-1.17493,2.189383,-0.001482215,-0.5631617,1.889561,-0.008188449,-0.8916239,1.869357,-0.006737644,-1.313442,2.027207,0.1664436,-1.122696,2.031901,-0.002297439,-1.394812,1.94949,0.3140255,-0.6460565,1.850391,-0.135514,-0.6342542,1.848338,0.3141688,-0.7170374,1.836457,-0.1303518,-0.7097642,1.838652,0.07247823,-0.5694399,1.925547,0.06211669,-0.2657615,1.954142,0.05463064,-0.04253386,1.967096,-1,-1,High,High,0.3455534,-0.636301,1.857676,-0.08383421,-0.6132445,1.834262,-0.01723662,0.9997628,0.007604763,0.01092312,0.7975922,0.6003789,0.05375991,0.02240125,0.6873522,0.05338236,0.7198531,-0.08067596,0.6141067,-0.1035682,0.7533293,-0.2112854,0.7912429,-0.6102178,-0.03845271,0.009503094,0.7876812,-0.02637709,-0.6128554,-0.05719231,0.7867691,-0.1230608,0.5875363,-0.1437063,0.6338242,0.7433363,-0.1094392,-0.1836881,0.6152433,-0.005393298,0.7839723,-0.08266808,0.6107712,0.2574636,0.6746446,0.3248471,-0.6690484,0.705789,-0.1196641,0.1997917,0.7161187,0.0141178,-0.6972283,-0.02911123,0.7101458,-0.1220934,-0.6811578,0.1296539,0.6558982,-0.14866,0.7349146,-0.08716836,0.7474431,-0.03556122,0.6125066,-0.2547545,-0.01634214,0.9986581,0.04713617,0.01389442,-0.01642661,0.9986814,0.04710681,0.01210411,-0.01643224,0.9993843,0.02914325,0.01057142,-15,15,0
0.2765183,0.04973242,0.1773614,1.943736,0.05213729,0.03076333,1.968106,0.222857,-0.09145973,1.984941,0.2744613,-0.3600074,1.97538,0.3192642,-0.5695254,1.877699,-0.1137519,-0.08705855,1.977762,-0.1445436,-0.361197,1.961262,-0.1497675,-0.5820308,1.872023,0.1444583,-0.5557307,1.894121,0.185622,-0.8822703,1.85782,0.1401745,-1.18694,2.180236,-0.001185058,-0.5630998,1.889468,-0.00809054,-0.8915506,1.869389,0.01761097,-1.313834,2.024232,0.1726778,-1.127711,2.023809,0.03151356,-1.393044,1.943726,0.3126276,-0.6457996,1.849097,-0.1346998,-0.6324321,1.847139,0.3123701,-0.714747,1.833794,-0.1289205,-0.7071806,1.833682,0.0727846,-0.56941,1.925504,0.06227434,-0.2656488,1.954092,0.05469818,-0.04237652,1.967031,-1,-1,High,High,0.333405,-0.6402633,1.827035,-0.08299677,-0.6073688,1.831169,-0.0174123,0.9997547,0.00754622,0.01142283,0.7977635,0.6000863,0.05425841,0.02293531,0.687403,0.0527323,0.7198568,-0.08063836,0.7737268,-0.051264,0.5884202,-0.2290864,0.7915142,-0.6098852,-0.03816523,0.00941762,0.7894378,-0.0258572,-0.6105547,-0.0578126,0.8339467,-0.1101227,0.5176886,-0.1562192,0.6339819,0.7432873,-0.1093519,-0.1833936,0.6212668,-0.004122876,0.7791735,-0.08306196,0.6195305,0.2531285,0.6766121,0.3070896,-0.6688992,0.7058418,-0.1197526,0.2000514,0.7164035,0.01375698,-0.6969393,-0.02919314,0.7293613,-0.09576137,-0.6608356,0.1488562,0.7886766,-0.1393921,0.5870341,-0.1181104,0.7967103,-0.01460859,0.546165,-0.2583468,-0.01656222,0.9986493,0.04712351,0.01430346,-0.01664472,0.9986728,0.04709443,0.01255436,-0.01661626,0.9993768,0.02911111,0.01106703,-15,25,5
0.3172029,0.04989244,0.1777682,1.943689,0.05212084,0.03102963,1.967837,0.2231476,-0.09123098,1.985429,0.2744908,-0.3600959,1.975393,0.3190959,-0.5697157,1.877857,-0.1133054,-0.08688669,1.977338,-0.1442456,-0.3612293,1.960284,-0.1489248,-0.5822342,1.871312,0.1448014,-0.5556901,1.89412,0.1860103,-0.8822239,1.857808,0.1403376,-1.189931,2.177385,-0.0007711886,-0.5630545,1.889274,-0.007819346,-0.8914986,1.86926,0.02026474,-1.316589,2.016584,0.1727464,-1.128523,2.021703,0.03512821,-1.393034,1.93061,0.3118074,-0.645515,1.8497,-0.1340089,-0.632598,1.845545,0.3121633,-0.7159132,1.835493,-0.129082,-0.7066218,1.832655,0.07318421,-0.5693617,1.925405,0.06244602,-0.265503,1.953947,0.05473386,-0.0421458,1.966805,-1,-1,High,High,0.3359029,-0.6411381,1.831681,-0.08307385,-0.6068917,1.831561,-0.01775405,0.999736,0.00727041,0.01265119,0.7975203,0.600234,0.05555502,0.02437373,0.6872418,0.0516958,0.7200654,-0.08082064,0.7525421,-0.05945637,0.615468,-0.2265933,0.7918356,-0.6095113,-0.03749255,0.00931695,0.7926289,-0.02574413,-0.6063369,-0.05858495,0.8075659,-0.1163571,0.5581865,-0.1507516,0.6339685,0.7434337,-0.1091995,-0.1829364,0.619971,-0.004231027,0.7801982,-0.08311934,0.620405,0.2500104,0.6782885,0.3041663,-0.6688637,0.7056965,-0.120081,0.2004856,0.7168757,0.01351442,-0.6964546,-0.02928469,0.7318403,-0.08759035,-0.6602454,0.1442696,0.7675622,-0.1458607,0.6145418,-0.1091388,0.7690969,-0.03241237,0.5821568,-0.2617878,-0.01689931,0.9986372,0.04704824,0.01498712,-0.01696932,0.9986584,0.04702303,0.01350064,-0.01688047,0.9993629,0.02894665,0.0122879,-15,5,5
