time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0090224,0.03561319,0.1754761,1.877132,0.05021321,0.0349616,1.91095,0.2160115,-0.08080598,1.926296,0.2757913,-0.3497692,1.912929,0.317964,-0.5510046,1.796528,-0.1222103,-0.08257617,1.920581,-0.1440144,-0.353247,1.903125,-0.1417592,-0.5786927,1.805431,0.1480274,-0.5474807,1.834389,0.1940891,-0.8788982,1.790021,0.1521301,-1.180428,2.115306,0.001407226,-0.5580092,1.83176,-0.002338685,-0.8921585,1.807406,-0.007274987,-1.347434,1.815147,0.1789746,-1.110474,1.961558,-0.006052515,-1.38007,1.679849,0.3171074,-0.6215063,1.761012,-0.1335827,-0.6299778,1.781107,0.3183045,-0.69073,1.740484,-0.1370229,-0.7133107,1.77979,0.07616542,-0.5628724,1.866651,0.0633769,-0.260006,1.895988,0.05353159,-0.03772128,1.909611,-1,-1,High,High,0.249006,-0.5794377,1.785371,-0.1596682,-0.6329058,1.733302,-0.02270439,0.9996369,0.009449105,0.01100875,0.7902639,0.609972,0.05488184,0.02012967,0.712715,0.0612125,0.6924981,-0.09347093,0.6955316,0.2439462,-0.6649023,-0.1209583,0.7885823,-0.6136102,-0.03955118,0.007501149,0.7864878,-0.01180035,-0.6154641,-0.05001821,0.9336975,0.0656163,-0.2949023,-0.1921878,0.6258563,0.7487407,-0.1114404,-0.187809,0.6235108,-0.008535182,0.7760006,-0.0947873,0.6205534,0.2583106,0.6732852,0.3080195,-0.6765733,0.7010938,-0.1132502,0.1946548,0.7106811,0.02158881,-0.7025515,-0.02979529,0.7111289,-0.009830598,-0.7029895,0.002234312,-0.6747015,-0.1627042,0.700922,0.1643583,0.9312966,0.1333627,-0.2825505,-0.18726,-0.0207125,0.998594,0.04836529,0.006455147,-0.02062396,0.9985806,0.04840311,0.008282524,-0.02177451,0.9992324,0.03081075,0.010544,-20,15,5
0.0428853,0.03584589,0.1756718,1.877678,0.05004103,0.03513631,1.911538,0.2160122,-0.08090314,1.927132,0.2756815,-0.3496822,1.913163,0.3179011,-0.5508315,1.796616,-0.1222395,-0.08259325,1.920367,-0.1439954,-0.3529389,1.901719,-0.1421982,-0.5785899,1.803184,0.1479726,-0.5474775,1.834411,0.1940311,-0.8788956,1.790022,0.152328,-1.181351,2.114512,0.001299531,-0.5578436,1.83155,-0.002590425,-0.8919814,1.807424,-0.007720162,-1.347249,1.815471,0.1785569,-1.109994,1.961236,-0.006164906,-1.379952,1.680205,0.3166136,-0.6216974,1.760091,-0.1343774,-0.6286547,1.779328,0.3177829,-0.6904375,1.738744,-0.1383924,-0.7116212,1.776067,0.07609453,-0.5628217,1.866605,0.06326614,-0.2599162,1.896136,0.05337128,-0.03756803,1.910069,-1,-1,High,High,0.2490269,-0.5790752,1.785525,-0.1827126,-0.6200545,1.78252,-0.02275332,0.9996093,0.01037739,0.0124868,0.7905061,0.6095166,0.05635246,0.02034459,0.7124357,0.06030423,0.692766,-0.09420261,0.6764803,0.2475712,-0.6841342,-0.1142078,0.7889749,-0.6131771,-0.03870589,0.005859431,0.7850504,-0.01027425,-0.6171797,-0.05176339,-0.604767,-0.1630293,0.7697161,0.1233511,0.6261474,0.7485957,-0.1110151,-0.1876684,0.6234907,-0.008564452,0.7760145,-0.09480182,0.620716,0.2577344,0.6738929,0.3068437,-0.6760453,0.7013127,-0.1135087,0.1955478,0.7112749,0.02117419,-0.7019659,-0.02972516,0.7120219,-0.01021506,-0.702079,0.002337089,-0.6526252,-0.1690534,0.7200427,0.1644375,-0.614296,-0.2150348,0.7547131,0.08251482,-0.02073234,0.998572,0.04869409,0.007274047,-0.02062711,0.998554,0.04873877,0.009431097,-0.02182395,0.9991923,0.03152579,0.01202461,-20,20,0
0.0754617,0.03615239,0.1758465,1.878573,0.04991081,0.03509584,1.91218,0.2160455,-0.08097257,1.928003,0.2755929,-0.3496715,1.913649,0.3177957,-0.5506098,1.796696,-0.1222408,-0.08253771,1.920327,-0.1440618,-0.3525708,1.900435,-0.1428227,-0.5762578,1.801113,0.1479298,-0.5474108,1.834457,0.1939922,-0.87883,1.790022,0.1476156,-1.172064,2.122101,0.001269928,-0.5578541,1.831508,-0.002618405,-0.8919886,1.807434,-0.007746698,-1.347258,1.815551,0.1783333,-1.109077,1.966485,-0.005878067,-1.379973,1.680295,0.316708,-0.6221488,1.759671,-0.1348089,-0.6281875,1.778201,0.3179837,-0.6908261,1.739744,-0.1396188,-0.7120755,1.774864,0.07606864,-0.5628053,1.866601,0.06317981,-0.2599008,1.896345,0.05324848,-0.03758927,1.910593,-1,-1,High,High,0.2490534,-0.5789811,1.784939,-0.1848358,-0.6273826,1.776845,-0.02278517,0.9995825,0.01121754,0.01377457,0.7903994,0.6095183,0.0577685,0.02047416,0.7121353,0.05963303,0.693078,-0.0946047,0.6945751,0.2450258,-0.6653948,-0.1215636,0.7889417,-0.6132687,-0.03812396,0.004370125,0.7829044,-0.008778719,-0.6197564,-0.05371764,-0.6256635,-0.1611015,0.7520087,0.1306688,0.6259412,0.748803,-0.1106296,-0.1877574,0.6215624,-0.008849571,0.7775537,-0.09482616,0.6144925,0.2635158,0.6719767,0.3184425,-0.6761845,0.701091,-0.1134252,0.1959096,0.7114679,0.02111357,-0.7017742,-0.02967437,0.7128306,-0.01026533,-0.7012569,0.00240502,-0.6719047,-0.166038,0.7018237,0.1685791,-0.6382189,-0.2017307,0.7386707,0.0796674,-0.02081512,0.9985511,0.04904603,0.007536687,-0.02068401,0.9985275,0.04910147,0.01020433,-0.02185765,0.9991515,0.03226751,0.01331282,-15,10,10
0.1172056,0.03640881,0.1759897,1.879108,0.04987896,0.0351849,1.912681,0.2160549,-0.08106518,1.928461,0.2753201,-0.3501922,1.914057,0.3177762,-0.5507746,1.79654,-0.1222898,-0.08254452,1.920141,-0.1441512,-0.3524739,1.899287,-0.1431293,-0.5753814,1.79985,0.1479129,-0.5473463,1.834579,0.1938266,-0.8787883,1.790017,0.1502763,-1.178757,2.116547,0.001254519,-0.5578524,1.831387,-0.002797452,-0.8919766,1.807452,-0.008143152,-1.347241,1.815757,0.1770266,-1.108011,1.963109,-0.006083035,-1.379997,1.680523,0.3168419,-0.6214348,1.758444,-0.1360932,-0.6274403,1.775992,0.3168662,-0.6906458,1.738222,-0.1403055,-0.7097867,1.770928,0.07606214,-0.5627944,1.8666,0.06314659,-0.259849,1.896525,0.05321372,-0.03750845,1.911013,-1,-1,High,High,0.2485802,-0.5779989,1.787987,-0.1866752,-0.6336293,1.778238,-0.0227438,0.9995639,0.01179348,0.01468475,0.7906313,0.6091673,0.05842583,0.02009265,0.710194,0.05884802,0.6951685,-0.09435103,0.6837831,0.2482487,-0.6758934,-0.1182433,0.7891294,-0.6130828,-0.03736552,0.002850306,0.7825754,-0.007713934,-0.6200588,-0.05516683,-0.6191612,-0.162574,0.7571405,0.1301821,0.6257458,0.7491227,-0.1099578,-0.1875281,0.6225289,-0.009017081,0.7767843,-0.09477703,0.6183919,0.2590732,0.6739669,0.3102275,-0.6761994,0.7008623,-0.1136713,0.1965329,0.7120289,0.02077087,-0.7012135,-0.02971576,0.7133619,-0.01057837,-0.7007119,0.002392718,-0.6585836,-0.1755185,0.7115819,0.1706229,-0.6290708,-0.2023317,0.7452624,0.08897043,-0.02081421,0.9985299,0.04935245,0.008321752,-0.02067909,0.9985033,0.04940921,0.01105401,-0.02182001,0.9991218,0.03282044,0.01422364,-20,20,5
0.1428749,0.036668,0.1763167,1.879729,0.04990599,0.03523719,1.91293,0.2161312,-0.08115806,1.929025,0.2750711,-0.3496567,1.914553,0.3174024,-0.5501032,1.796723,-0.1223106,-0.08272667,1.919814,-0.1440952,-0.3527309,1.898169,-0.143786,-0.5741808,1.797945,0.1478697,-0.5473315,1.83463,0.1937422,-0.8787798,1.790014,0.1512285,-1.181533,2.114154,0.001230577,-0.5578483,1.831344,-0.002816608,-0.8919711,1.807434,-0.008156449,-1.347231,1.815774,0.176371,-1.108072,1.961582,-0.005801282,-1.379996,1.68055,0.316314,-0.6195554,1.757091,-0.135354,-0.6263236,1.775831,0.3163727,-0.6898892,1.737305,-0.1413586,-0.7108732,1.773711,0.07603843,-0.562787,1.866599,0.06312217,-0.2598209,1.896635,0.0532243,-0.03746204,1.911232,-1,-1,High,High,0.2433029,-0.5698479,1.77875,-0.1843334,-0.6218815,1.780016,-0.02261077,0.9995448,0.01202902,0.01594362,0.7907478,0.6088994,0.05947897,0.02053561,0.7100707,0.05845873,0.6953387,-0.09426694,0.7228385,0.2410063,-0.6337004,-0.1335819,0.7895469,-0.6126071,-0.03640439,0.001700386,0.7791538,-0.006389299,-0.6242728,-0.05623291,-0.6151644,-0.164313,0.7596654,0.1322207,0.6257236,0.7491917,-0.1096744,-0.1874922,0.622763,-0.009089601,0.7765954,-0.09478027,0.6199593,0.2570816,0.6748235,0.3068759,-0.6762108,0.7007669,-0.113723,0.196804,0.7122497,0.02073998,-0.7009912,-0.02969023,0.7141215,-0.01059784,-0.6999372,0.002435831,0.7039864,0.1705344,-0.6622928,-0.191545,-0.6311301,-0.19949,0.7463053,0.07004933,-0.02079666,0.9985185,0.04953674,0.008628696,-0.0206375,0.9984856,0.04960326,0.01183479,-0.0216941,0.999097,0.03308649,0.0154843,-10,5,10
0.1754628,0.03693269,0.1764167,1.880133,0.04978639,0.03527779,1.913304,0.2161175,-0.08123895,1.929673,0.2749803,-0.3494295,1.914864,0.3171694,-0.549683,1.796614,-0.122303,-0.08270051,1.919763,-0.1440077,-0.3525978,1.89737,-0.1442682,-0.5735339,1.796786,0.1477006,-0.5473251,1.834842,0.1936814,-0.8787582,1.789986,0.1558286,-1.188321,2.108342,0.001093665,-0.5576745,1.831149,-0.002955801,-0.8917955,1.807327,-0.008301646,-1.34705,1.815783,0.1786625,-1.110934,1.957191,-0.005703921,-1.379842,1.680575,0.3159341,-0.6186858,1.75505,-0.1358071,-0.6265232,1.775193,0.3169971,-0.6878787,1.73331,-0.1436043,-0.7067428,1.765465,0.07593214,-0.5627254,1.866606,0.06299195,-0.2597586,1.896823,0.05309893,-0.037414,1.911564,-1,-1,High,High,0.2569985,-0.5916222,1.787,-0.1848803,-0.6287392,1.773538,-0.02255641,0.999526,0.01234496,0.01692759,0.7908291,0.6086837,0.06047271,0.02089602,0.7103943,0.05803723,0.6949866,-0.09468429,-0.3899213,-0.2755807,0.8784003,0.02072615,0.7896715,-0.6124806,-0.03585589,0.0008184951,0.7769076,-0.005211762,-0.6269849,-0.05724894,-0.6328301,-0.1611859,0.7447055,0.1376918,0.6260025,0.7492159,-0.108836,-0.1869524,0.6253817,-0.00894281,0.7744438,-0.09515483,0.6241333,0.2539243,0.6765844,0.2970079,-0.6756701,0.7009295,-0.1141521,0.197831,0.7132579,0.02060466,-0.699972,-0.02963052,0.714747,-0.01069008,-0.699297,0.002532329,-0.3731251,-0.2437652,0.8882732,0.1110264,-0.6502562,-0.1921775,0.7315847,0.0708408,-0.02076152,0.9984897,0.04986135,0.0100481,-0.02061208,0.9984552,0.04992332,0.01303884,-0.02164605,0.9990709,0.03342991,0.01646839,-20,15,0
0.2281035,0.03718022,0.1764518,1.880337,0.0497415,0.03526151,1.913474,0.2161295,-0.08128515,1.930004,0.2749095,-0.3490087,1.915195,0.316792,-0.5489828,1.796299,-0.1222886,-0.08268839,1.919529,-0.1439928,-0.3524249,1.896257,-0.1444628,-0.5733191,1.79642,0.1475671,-0.5472895,1.834985,0.1935652,-0.878721,1.789974,0.1543196,-1.186626,2.10975,0.001028132,-0.5576839,1.831063,-0.003057423,-0.8918124,1.807093,-0.008452665,-1.347086,1.815353,0.1795405,-1.112575,1.957491,-0.005667055,-1.379829,1.68013,0.3165851,-0.6190073,1.752703,-0.1363265,-0.6255311,1.774234,0.3160711,-0.6880394,1.732661,-0.1425534,-0.707374,1.766937,0.07585754,-0.5627143,1.866613,0.06291725,-0.2597567,1.89693,0.05304505,-0.03742569,1.911723,-1,-1,High,High,0.248214,-0.5788858,1.786606,-0.1850058,-0.6242613,1.779518,-0.02248505,0.9995129,0.01243698,0.01771562,0.7908067,0.6086508,0.06103445,0.021068,0.7111802,0.05813795,0.6941754,-0.09467462,-0.6316854,-0.2578559,0.7238431,0.1026412,0.7896996,-0.6124846,-0.03517362,-1.014618E-05,0.7773213,-0.004238029,-0.6263608,-0.05852991,-0.613793,-0.1633304,0.7608432,0.1330372,0.625879,0.7494724,-0.1082738,-0.1866639,0.6244764,-0.00921497,0.7751525,-0.09530418,0.6225746,0.2547182,0.6766523,0.2994346,-0.6757229,0.7007053,-0.114429,0.1982839,0.7137762,0.02069627,-0.6994318,-0.02983869,0.7152396,-0.01057567,-0.6987954,0.002347264,-0.6202087,-0.2091785,0.7347106,0.178286,-0.6295415,-0.1982507,0.7477924,0.07197611,-0.02072228,0.9984738,0.05004089,0.01080402,-0.02057149,0.9984366,0.05010307,0.01381096,-0.02157202,0.9990547,0.03356665,0.01725684,-25,15,-5
0.2440334,0.03746755,0.1768334,1.880873,0.04974791,0.0354649,1.913792,0.2162145,-0.08134097,1.930454,0.2747276,-0.3485673,1.915632,0.3163224,-0.5481673,1.795927,-0.1222512,-0.08265299,1.919322,-0.1439033,-0.3523953,1.895457,-0.1446785,-0.5723548,1.795551,0.1474497,-0.5472137,1.835032,0.1935299,-0.8786352,1.789937,0.1544235,-1.186353,2.109903,0.000942718,-0.557524,1.830906,-0.00303913,-0.8916614,1.806855,-0.008298708,-1.346943,1.815005,0.1796148,-1.113178,1.957231,-0.005267147,-1.379659,1.679776,0.3162419,-0.617833,1.750969,-0.1363184,-0.6249673,1.77401,0.3162821,-0.6863474,1.729441,-0.1425398,-0.7090563,1.768864,0.07575045,-0.5626036,1.866575,0.06285383,-0.2596187,1.897056,0.05302976,-0.03723903,1.911991,-1,-1,High,High,0.3187485,-0.663445,1.762333,-0.1856104,-0.6257703,1.779613,-0.02231306,0.9994955,0.01279173,0.01863105,0.7911154,0.6081736,0.06175828,0.02114789,0.711429,0.05791273,0.6939608,-0.09451681,0.04511676,-0.2590297,0.9592056,-0.1038887,0.7900103,-0.6121242,-0.03444499,-0.001086176,0.7760135,-0.003356855,-0.6279117,-0.05931818,-0.6059192,-0.1649795,0.7668781,0.1324444,0.6260871,0.7494019,-0.1078019,-0.1865222,0.624625,-0.009216769,0.7750114,-0.09547831,0.6222772,0.2551363,0.6767733,0.2994235,-0.6754619,0.7007136,-0.1147291,0.1989698,0.7142698,0.02087081,-0.6989228,-0.02983161,0.7158488,-0.0103825,-0.6981741,0.002373954,0.07252575,-0.2818675,0.9564807,-0.02086527,-0.6235162,-0.1949781,0.7543349,0.0647305,-0.02060969,0.9984542,0.05031957,0.01150502,-0.02045254,0.9984134,0.05038364,0.01462112,-0.02142222,0.9990305,0.03389291,0.01817583,-25,15,-5
0.2783656,0.03767286,0.1768918,1.881129,0.04960372,0.03548975,1.914049,0.2161859,-0.08126135,1.930823,0.2747548,-0.3485017,1.916022,0.3160095,-0.5476744,1.795403,-0.1222796,-0.0826261,1.919141,-0.1439639,-0.3516514,1.894427,-0.1447876,-0.5722048,1.79511,0.1474193,-0.5471643,1.835035,0.1934056,-0.8786002,1.789886,0.1543071,-1.186099,2.110057,0.0009217772,-0.5574253,1.830727,-0.003147569,-0.8915741,1.806485,-0.008523628,-1.346869,1.814378,0.178146,-1.111101,1.957942,-0.005326402,-1.379523,1.679128,0.3161887,-0.6175987,1.749634,-0.1359387,-0.6246753,1.774724,0.315496,-0.6856213,1.728426,-0.1445998,-0.7055433,1.767575,0.07571377,-0.5625297,1.866513,0.06278712,-0.2595709,1.897128,0.05290744,-0.03720443,1.912197,-1,-1,High,High,0.3472435,-0.6015541,1.761059,-0.1848288,-0.6258395,1.778647,-0.02244916,0.9994731,0.01316201,0.01939607,0.7909321,0.6083413,0.0624388,0.02118124,0.7122477,0.0581225,0.6931077,-0.09448244,0.6716586,-0.1262112,0.6855668,-0.2508858,0.7900923,-0.6120456,-0.03391629,-0.002008361,0.7773905,-0.002562954,-0.6260762,-0.06071402,-0.6125105,-0.1625748,0.7620609,0.1329046,0.6262496,0.7493564,-0.1074325,-0.1863725,0.6248021,-0.009344945,0.7748743,-0.09541902,0.6218909,0.2554975,0.6769496,0.2995194,-0.6753117,0.7006243,-0.1150227,0.1996236,0.7146887,0.02095683,-0.6984788,-0.03013738,0.7162951,-0.01027591,-0.6977186,0.002089596,0.7017068,-0.1937868,0.6526533,-0.2099949,-0.6322809,-0.1905781,0.748749,0.05723463,-0.02062592,0.9984345,0.05055545,0.01212858,-0.02046458,0.9983909,0.05062097,0.01531273,-0.02151578,0.9990034,0.03421336,0.01893893,-20,15,5
0.3160714,0.03811042,0.1774317,1.881774,0.04958057,0.0355616,1.914055,0.2163064,-0.08131563,1.931309,0.2747372,-0.3484472,1.916346,0.3159307,-0.5470721,1.794712,-0.1222106,-0.08258916,1.918971,-0.1438439,-0.351486,1.893803,-0.1447661,-0.572231,1.795015,0.1473547,-0.5471537,1.835075,0.1932853,-0.8785976,1.789835,0.1541574,-1.185888,2.110197,0.0008369378,-0.5572624,1.830625,-0.003127512,-0.8914096,1.806489,-0.008366315,-1.3467,1.814527,0.1774592,-1.110352,1.958226,-0.004923015,-1.37939,1.679298,0.3167203,-0.6166055,1.748335,-0.1354526,-0.6256705,1.776241,0.3160174,-0.6857352,1.727919,-0.1464962,-0.7057621,1.769403,0.07563882,-0.5624615,1.866499,0.0627335,-0.2594957,1.897151,0.0528779,-0.03713255,1.91221,-1,-1,High,High,0.3472394,-0.6028015,1.759025,-0.1841998,-0.6251661,1.778589,-0.02239414,0.9994565,0.01313599,0.02031642,0.790978,0.6081473,0.06342018,0.02210412,0.7117748,0.05769288,0.6936129,-0.09460185,0.541761,-0.1699402,0.7914404,-0.2263569,0.7902146,-0.611913,-0.03343837,-0.002261031,0.7777063,-0.001998523,-0.6256258,-0.06132876,-0.628778,-0.1587012,0.7490115,0.1357715,0.6265559,0.7491923,-0.107196,-0.1861389,0.6249084,-0.009489341,0.7747845,-0.09543811,0.6215813,0.255782,0.6770632,0.2996627,-0.674867,0.7008907,-0.1152407,0.2000661,0.7150738,0.02094196,-0.6980941,-0.02992635,0.7169032,-0.01027626,-0.6970931,0.002316911,0.5643511,-0.2312036,0.7729531,-0.1749178,-0.6515279,-0.1793283,0.7355239,0.04855327,-0.02056275,0.9984258,0.05062452,0.01265687,-0.02039133,0.9983773,0.05069381,0.0160351,-0.02143108,0.9989874,0.03421143,0.01986021,-20,25,5
