time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0150092,-0.01486236,0.1774858,1.909088,-0.01184742,0.02906952,1.923466,0.1530308,-0.09501582,1.956887,0.2155265,-0.3669294,1.971498,0.2770059,-0.5751432,1.87891,-0.1760654,-0.09073234,1.922524,-0.2123638,-0.3542079,1.925428,-0.2125164,-0.5693568,1.826873,0.09449004,-0.5682374,1.85835,0.1326799,-0.91331,1.824241,0.1845937,-1.376186,1.820082,-0.05522972,-0.5746654,1.843459,-0.06669139,-0.9213719,1.814754,-0.08286617,-1.386585,1.817751,0.2014217,-1.404565,1.68444,-0.07211316,-1.418284,1.682418,0.2784872,-0.6474606,1.849469,-0.1986903,-0.6347281,1.798658,0.273573,-0.7221673,1.837201,-0.1832686,-0.7121794,1.787082,0.02001248,-0.5821413,1.885569,0.003500534,-0.2724519,1.912389,-0.00815178,-0.045209,1.923222,-1,-1,Low,High,0.3050135,-0.6302307,1.838857,-0.2422624,-0.6309297,1.802727,-0.02473304,0.9983094,0.002947661,0.05251677,0.7980531,0.5933207,0.08873775,0.05663399,0.6540735,0.09395918,0.7475399,-0.06740599,0.6591001,-0.05714224,0.7118156,-0.2358821,0.7942097,-0.6075315,-0.007920002,-0.008583678,0.7973146,-0.05795142,-0.599651,-0.03673764,-0.56845,-0.1731496,0.7946324,0.1242703,0.6364839,0.749509,-0.09237967,-0.1568136,0.6691084,0.0004745321,0.7395124,-0.0735878,0.6700745,0.03414285,0.7401791,-0.04437802,-0.6617368,0.7029304,-0.137531,0.2215365,0.7388701,0.01559083,-0.6723807,-0.04161878,0.7371007,-0.01498574,-0.6755517,-0.009366254,0.7023275,-0.1272362,0.6853813,-0.1442199,-0.5905191,-0.2179434,0.7758453,0.04303329,-0.02442781,0.9975354,0.04437528,0.04855118,-0.02436283,0.9974633,0.04441099,0.05001135,-0.02431892,0.9980356,0.02509016,0.05200067,-10,5,5
0.0456,-0.0140656,0.1773632,1.908854,-0.01095659,0.02903226,1.923395,0.1537694,-0.09488188,1.956528,0.2160079,-0.3676283,1.970676,0.2771854,-0.5758799,1.877969,-0.1752365,-0.09060345,1.922305,-0.2132678,-0.3540331,1.923899,-0.2155208,-0.5682742,1.823179,0.09505159,-0.5680634,1.858131,0.1334309,-0.9131328,1.823477,0.1856041,-1.375999,1.818596,-0.05441278,-0.5744681,1.842813,-0.06668944,-0.9211181,1.814735,-0.08391085,-1.386258,1.818565,0.2023968,-1.404213,1.682886,-0.07334843,-1.418151,1.683299,0.2765231,-0.6464897,1.846907,-0.2046032,-0.6335635,1.792148,0.2707372,-0.7213202,1.83398,-0.1920468,-0.7092769,1.781077,0.02070365,-0.5819545,1.885156,0.004347943,-0.2723723,1.912123,-0.007258362,-0.0452174,1.923103,-1,-1,Low,High,0.3063735,-0.6249969,1.845114,-0.2455704,-0.6340503,1.794526,-0.02474371,0.9983153,0.00326347,0.05237963,0.7979298,0.593565,0.08861952,0.05599293,0.6539902,0.09275862,0.7477594,-0.06744324,0.5925413,-0.07869846,0.7681574,-0.229424,0.7939473,-0.6078658,-0.008053112,-0.009055085,0.7940951,-0.05884188,-0.6035508,-0.04095257,-0.6119998,-0.1667223,0.7602147,0.1404763,0.6365053,0.749662,-0.09157057,-0.1564696,0.6679509,-3.587763E-05,0.7404867,-0.07430371,0.6701902,0.03376114,0.7400482,-0.04509806,-0.661498,0.7026014,-0.1384675,0.2227066,0.739903,0.01405675,-0.6712683,-0.0417708,0.7367933,-0.01641642,-0.6758523,-0.00947437,0.6326844,-0.1597851,0.7465703,-0.1296603,-0.6275188,-0.2162005,0.7434683,0.08205179,-0.02410751,0.9974582,0.04464835,0.05002459,-0.02407766,0.9974245,0.04466446,0.05069127,-0.02421346,0.9980369,0.02541654,0.05186474,-10,10,5
0.0772442,-0.01335496,0.1772604,1.90887,-0.009475569,0.02898517,1.923482,0.1542399,-0.09486569,1.956383,0.2160837,-0.3675494,1.970251,0.2770133,-0.5757672,1.877268,-0.174622,-0.09047304,1.922251,-0.2144158,-0.3533887,1.922392,-0.2195083,-0.566942,1.820178,0.09608592,-0.5679031,1.858325,0.1340095,-0.9130523,1.82272,0.1856092,-1.376014,1.816577,-0.05304899,-0.574233,1.842183,-0.06638286,-0.9207898,1.815233,-0.08495532,-1.38581,1.820559,0.2022701,-1.403988,1.680751,-0.07460846,-1.418055,1.685426,0.2753566,-0.6459682,1.847586,-0.2156985,-0.6300637,1.787232,0.2708363,-0.7200767,1.832615,-0.2022156,-0.7036994,1.770946,0.02186412,-0.5817654,1.884975,0.005745146,-0.2722922,1.912047,-0.005779181,-0.04523265,1.923151,-1,-1,Low,High,0.3081438,-0.6384587,1.850889,-0.2536488,-0.6102101,1.802428,-0.02472764,0.9983048,0.00352854,0.05257006,0.7983691,0.5929497,0.08887891,0.0558394,0.6539406,0.091948,0.747917,-0.06728757,0.5299063,-0.09739468,0.8125712,-0.2223544,0.793309,-0.6086909,-0.008134544,-0.009486244,0.7897313,-0.05958889,-0.6088463,-0.04560507,-0.6375897,-0.1602458,0.7378187,0.1530502,0.6366576,0.7499533,-0.09002107,-0.1553493,0.665836,-0.001700536,0.7423467,-0.07470463,0.6704521,0.0323525,0.7398471,-0.04553543,-0.660925,0.7021243,-0.1403186,0.2247451,0.7418849,0.01172413,-0.6691303,-0.04164151,0.7364762,-0.0185714,-0.6761448,-0.009280451,0.5738648,-0.1675177,0.7944161,-0.1073325,-0.6417453,-0.196744,0.7285506,0.1366338,-0.0236002,0.9973143,0.04488211,0.05284607,-0.02362853,0.9973475,0.0448672,0.05221636,-0.02402449,0.9980244,0.02569238,0.05205823,-10,10,0
0.1292515,-0.01291526,0.177411,1.908847,-0.008937948,0.02911661,1.923424,0.1546356,-0.09484,1.956166,0.2161418,-0.3679352,1.969638,0.2766652,-0.5762817,1.876687,-0.1741828,-0.09029344,1.922304,-0.2155128,-0.3531748,1.920825,-0.2234016,-0.5660795,1.817325,0.09724947,-0.5676599,1.858248,0.1340925,-0.9129433,1.82217,0.1843062,-1.376072,1.815398,-0.05187616,-0.5740038,1.841711,-0.06653071,-0.9204842,1.815241,-0.08680183,-1.385403,1.821205,0.2006992,-1.40397,1.679498,-0.07677411,-1.417813,1.686115,0.2727225,-0.6452258,1.846224,-0.2225141,-0.6300353,1.780418,0.2684699,-0.7183712,1.831685,-0.2085222,-0.7025398,1.76632,0.02306384,-0.581525,1.884691,0.006633306,-0.2721044,1.911878,-0.005153631,-0.04508717,1.923071,-1,-1,Low,High,0.3042641,-0.6290536,1.845162,-0.2480006,-0.6129007,1.77226,-0.02531529,0.9983043,0.003705289,0.05228766,0.7987058,0.5925319,0.08882106,0.05555133,0.65428,0.09092838,0.7477539,-0.06718547,0.6135354,-0.0736534,0.7516158,-0.2307015,0.7931628,-0.6088762,-0.008627054,-0.009385929,0.7850723,-0.05961928,-0.6144808,-0.05020323,0.7678597,0.1245697,-0.5998517,-0.1872213,0.6366729,0.7501979,-0.08920214,-0.1545761,0.664976,-0.003331249,0.7431841,-0.07398149,0.670991,0.03087733,0.7394629,-0.04485875,-0.6609498,0.7017564,-0.1406389,0.2256191,0.7427519,0.009796841,-0.6681498,-0.04242191,0.7359437,-0.02037375,-0.676662,-0.01002615,0.6601759,-0.1702567,0.7217262,-0.1195485,0.7641892,0.1631545,-0.5908037,-0.2008644,-0.02403424,0.9972224,0.04512868,0.05416046,-0.02409897,0.997299,0.04509415,0.05272946,-0.0246015,0.99802,0.02591418,0.05176198,-15,5,0
0.1453319,-0.01244898,0.1775592,1.908759,-0.008013056,0.02928261,1.923357,0.1550843,-0.09459901,1.955949,0.2162631,-0.3690645,1.968482,0.2756263,-0.5774069,1.874674,-0.1739864,-0.09019513,1.922336,-0.2177562,-0.3548002,1.917076,-0.2283721,-0.5673254,1.813029,0.09763284,-0.5675253,1.858437,0.1344574,-0.9128278,1.821771,0.1846548,-1.375976,1.81422,-0.05124255,-0.5736178,1.841392,-0.06619897,-0.9200794,1.815181,-0.08685048,-1.384967,1.821491,0.2009159,-1.40373,1.678241,-0.07698358,-1.41746,1.686422,0.2708369,-0.6447483,1.844746,-0.2269943,-0.6291369,1.775308,0.2686083,-0.7178983,1.829757,-0.212166,-0.6988279,1.756983,0.02353679,-0.5812944,1.884658,0.007354293,-0.2718934,1.911818,-0.004270827,-0.0449079,1.923006,-1,-1,Low,High,0.3004008,-0.6351306,1.837692,-0.2581601,-0.6317366,1.781182,-0.02503924,0.9983243,0.003666574,0.05204089,0.7988583,0.592364,0.0886189,0.05547082,0.6569191,0.08909988,0.7456518,-0.06724561,0.6118484,-0.07720234,0.7529331,-0.2297239,0.792989,-0.6091028,-0.00882489,-0.009184621,0.783812,-0.05830737,-0.6155003,-0.05829593,-0.4893069,-0.1834204,0.8421391,0.1331822,0.6371089,0.7500802,-0.088401,-0.1538091,0.6635725,-0.004115089,0.7443815,-0.07450362,0.6713375,0.0302651,0.7391412,-0.04539154,-0.6600049,0.7019542,-0.1419141,0.2269674,0.7439941,0.00914601,-0.6667734,-0.04245474,0.7356029,-0.02092187,-0.6770155,-0.01003995,0.6599501,-0.1752991,0.721398,-0.1154166,-0.4907592,-0.2377599,0.8281786,0.1294056,-0.02355795,0.9971339,0.04511132,0.05598209,-0.02366854,0.9972683,0.0450534,0.05353596,-0.02425704,0.9980416,0.02588483,0.05152231,-15,5,0
0.1783707,-0.01215738,0.1777327,1.908845,-0.007645095,0.02953495,1.923607,0.1554883,-0.09445502,1.95577,0.2163583,-0.369341,1.968039,0.2746213,-0.5776507,1.873356,-0.1736688,-0.08993499,1.922378,-0.2189385,-0.3548505,1.915315,-0.2321196,-0.5667375,1.81017,0.09802291,-0.5673363,1.858664,0.1348008,-0.9126607,1.821437,0.1849449,-1.375831,1.813143,-0.05074384,-0.5733034,1.841291,-0.06624202,-0.9197423,1.81518,-0.08758988,-1.384594,1.821623,0.2011075,-1.403438,1.677089,-0.07789182,-1.417126,1.686554,0.2692237,-0.6447553,1.843898,-0.2302794,-0.6276544,1.773264,0.267161,-0.7185164,1.829383,-0.2139381,-0.6994004,1.75772,0.02398037,-0.5810466,1.884716,0.0077775,-0.2716441,1.911963,-0.003885018,-0.04465634,1.923231,-1,-1,Low,High,0.3002292,-0.6326168,1.838718,-0.2635137,-0.6150657,1.79275,-0.02515099,0.9983371,0.003836409,0.05172828,0.7991406,0.5921685,0.08799591,0.05447368,0.6600108,0.08854115,0.7430326,-0.0666988,0.6265239,-0.07565857,0.740661,-0.2305751,0.792945,-0.6091528,-0.008711927,-0.009754233,0.7795783,-0.05790856,-0.6204381,-0.06293538,-0.447493,-0.1893389,0.8642584,0.1302238,0.6373934,0.7500316,-0.08772947,-0.1532514,0.6626865,-0.004846283,0.745119,-0.07497011,0.6715863,0.02964943,0.7389102,-0.04587342,-0.6596236,0.7019414,-0.1424026,0.2278081,0.744755,0.008420095,-0.6659058,-0.04287894,0.735287,-0.02156583,-0.6773321,-0.01045065,0.6752877,-0.1741739,0.7075155,-0.1143322,-0.4527654,-0.2436597,0.8500007,0.114596,-0.02352978,0.9970614,0.04527934,0.05713696,-0.02367374,0.9972382,0.04520424,0.05396396,-0.0243377,0.9980514,0.02605418,0.05120746,-10,5,0
0.2180506,-0.01180584,0.1779866,1.908813,-0.007301942,0.02981066,1.923634,0.1565366,-0.0945477,1.955523,0.2164907,-0.3698467,1.967234,0.2737672,-0.5781834,1.87193,-0.173298,-0.08963698,1.922119,-0.2201861,-0.3547295,1.913135,-0.2341316,-0.5664072,1.807633,0.09833373,-0.5671464,1.858762,0.1348508,-0.9125151,1.820971,0.1846606,-1.375736,1.811929,-0.05017071,-0.5728506,1.840939,-0.06597048,-0.9192732,1.815048,-0.0876997,-1.384096,1.821785,0.2007648,-1.403201,1.675809,-0.07805684,-1.416701,1.686741,0.2678617,-0.6440922,1.841452,-0.2311829,-0.6253468,1.77047,0.262742,-0.7179708,1.825031,-0.2171877,-0.6983204,1.755017,0.02441538,-0.5807419,1.884624,0.008186996,-0.2713496,1.911926,-0.003521719,-0.04437526,1.923243,-1,-1,Low,High,0.3004452,-0.630662,1.840256,-0.2633249,-0.6091434,1.788941,-0.02528357,0.9983423,0.00393787,0.05155484,0.799517,0.5918413,0.08737399,0.05350015,0.6610926,0.08672084,0.7423503,-0.06597029,0.6032059,-0.08517484,0.7597703,-0.2272379,0.7929229,-0.6091744,-0.008376234,-0.01047115,0.7816505,-0.05819829,-0.617338,-0.06729924,-0.4646495,-0.1866069,0.8548819,0.1358517,0.6378754,0.7498189,-0.08712114,-0.1526321,0.6614459,-0.005823275,0.7461901,-0.0752046,0.6716866,0.02881648,0.7388353,-0.04614121,-0.6587843,0.7020754,-0.1433345,0.2292348,0.7458787,0.007813323,-0.6646498,-0.04294754,0.7352092,-0.0220805,-0.677399,-0.01049888,0.6521903,-0.1872025,0.7259334,-0.112355,-0.4711355,-0.2525303,0.8370171,0.1168858,-0.02349038,0.9969597,0.04541139,0.05879907,-0.02367612,0.9971921,0.04531483,0.05471659,-0.02443923,0.9980551,0.02616457,0.05103132,-10,5,0
0.2443751,-0.0115566,0.1781322,1.908824,-0.007131194,0.0299218,1.923589,0.156846,-0.09439799,1.9554,0.2165033,-0.3698575,1.967045,0.2732961,-0.5780895,1.871146,-0.1726982,-0.08893979,1.921661,-0.2212536,-0.3546459,1.911422,-0.2354019,-0.5661292,1.805513,0.09891192,-0.5668447,1.858936,0.1352212,-0.9122675,1.819744,0.184771,-1.375546,1.808846,-0.04960235,-0.5724397,1.840568,-0.06598473,-0.9188192,1.815111,-0.08846231,-1.383579,1.822425,0.200939,-1.402627,1.672591,-0.07877119,-1.416334,1.687447,0.2670377,-0.6439006,1.842721,-0.2315053,-0.6259077,1.770073,0.262199,-0.7165731,1.82558,-0.2172249,-0.6971846,1.753368,0.02498734,-0.5803912,1.884527,0.008548769,-0.271132,1.911849,-0.003306889,-0.04424042,1.923191,-1,-1,Low,High,0.3008747,-0.6410595,1.837143,-0.2245322,-0.6793087,1.802,-0.02558303,0.998308,0.004015482,0.05206272,0.7994427,0.5919634,0.08745513,0.05312557,0.662071,0.08633015,0.7415634,-0.06551875,0.6100268,-0.08477282,0.754118,-0.2280066,0.7921546,-0.6101626,-0.007776159,-0.01150118,0.7848255,-0.05938896,-0.6128219,-0.07050601,0.0003179501,-0.2297574,0.9727662,0.0306166,0.6381871,0.749923,-0.08604645,-0.1514223,0.6600427,-0.007659285,0.7473073,-0.07626797,0.6714377,0.02713257,0.7390534,-0.04727892,-0.6584243,0.7018884,-0.1440477,0.2303919,0.7471243,0.006691825,-0.6632546,-0.04305714,0.7354492,-0.02309771,-0.6771034,-0.01057962,0.6615468,-0.1787787,0.7208542,-0.1037459,-0.01597561,-0.2645219,0.9639322,-0.02465473,-0.02375167,0.9968382,0.04552561,0.06063847,-0.0239682,0.9971156,0.04541198,0.05589072,-0.02475421,0.9980192,0.02625645,0.05153191,-10,5,0
0.2778881,-0.01133942,0.1782704,1.908922,-0.007039999,0.0300124,1.923604,0.1572466,-0.0942891,1.955278,0.2165625,-0.3700144,1.966835,0.2729109,-0.5781286,1.870342,-0.1722139,-0.08851077,1.921031,-0.221988,-0.3547129,1.910308,-0.2362303,-0.5662884,1.804621,0.09898313,-0.5668147,1.859049,0.1355575,-0.9122261,1.818738,0.1854538,-1.375484,1.806355,-0.04949423,-0.5723836,1.840414,-0.06592758,-0.9187496,1.815167,-0.08846948,-1.383492,1.822761,0.2018077,-1.402235,1.670009,-0.07859448,-1.416319,1.687829,0.2666078,-0.6438712,1.841762,-0.2319676,-0.6254479,1.77245,0.2621875,-0.7175253,1.827316,-0.2168431,-0.6990251,1.757774,0.02505092,-0.5803605,1.884516,0.008634482,-0.2710728,1.911848,-0.003214956,-0.04415772,1.923203,-1,-1,Low,High,0.2973808,-0.6279791,1.837596,-0.2641887,-0.604261,1.791067,-0.02558107,0.9982726,0.004060593,0.05273471,0.7992671,0.5922691,0.08736511,0.05250487,0.6627299,0.0857986,0.7410776,-0.06505138,0.6207955,-0.08307641,0.7450714,-0.2293027,0.7917516,-0.6106694,-0.006637203,-0.01296942,0.7874861,-0.06080422,-0.6090676,-0.0721466,-0.4399533,-0.1904996,0.867716,0.1312257,0.6382362,0.7500452,-0.08550423,-0.1509164,0.6592808,-0.008680593,0.7478329,-0.07758515,0.6709393,0.02616947,0.7394523,-0.04864004,-0.6582089,0.7017778,-0.1445914,0.2310028,0.7477459,0.006396558,-0.6625676,-0.04288817,0.7359222,-0.02335954,-0.6765833,-0.01038972,0.6717011,-0.1783217,0.711055,-0.1068623,-0.4536564,-0.2327108,0.8559029,0.08643969,-0.02367201,0.9967836,0.0455547,0.06153789,-0.02389382,0.9970717,0.04543875,0.05667758,-0.02471876,0.9979839,0.02629847,0.05220457,-10,5,0
0.3178843,-0.01112241,0.1784783,1.908993,-0.006915581,0.03018609,1.923624,0.1578076,-0.09420876,1.955253,0.2167088,-0.36954,1.966553,0.27234,-0.5776488,1.869558,-0.1718846,-0.08817894,1.920397,-0.2227345,-0.3544483,1.908655,-0.2370805,-0.5662744,1.803546,0.09916033,-0.5667295,1.859202,0.1355125,-0.9121698,1.81867,0.1851222,-1.375462,1.805994,-0.04921857,-0.5722477,1.840219,-0.06590077,-0.9185887,1.815247,-0.08876164,-1.383298,1.823205,0.2016422,-1.402146,1.66965,-0.0787205,-1.41622,1.688329,0.2663347,-0.6434072,1.840507,-0.2319893,-0.6246954,1.771311,0.2619353,-0.7168186,1.825527,-0.2149203,-0.6988755,1.757985,0.02525834,-0.5802587,1.884503,0.008807978,-0.2709343,1.911848,-0.003076821,-0.04399293,1.923217,-1,-1,Low,High,0.2962705,-0.6328943,1.828067,-0.2624253,-0.6083583,1.78502,-0.02566526,0.9982285,0.004114737,0.05351745,0.799194,0.5924016,0.08742025,0.05202758,0.6645088,0.0852555,0.7395753,-0.06471333,0.6518357,-0.07512511,0.718025,-0.2321776,0.7915586,-0.6108989,-0.00545161,-0.01441612,0.7907336,-0.06158948,-0.6044873,-0.07444693,-0.4825563,-0.1825271,0.845109,0.14005,0.6383334,0.7501675,-0.08485498,-0.1502629,0.6583966,-0.009219885,0.7486098,-0.07753812,0.6704385,0.02569511,0.7399231,-0.04863935,-0.6579264,0.7016281,-0.1452643,0.2318387,0.7485649,0.005814276,-0.6616506,-0.04284108,0.7363898,-0.02388509,-0.6760569,-0.01031706,0.7066936,-0.1730913,0.6755388,-0.1194611,-0.4969081,-0.233753,0.8304177,0.09406507,-0.02366727,0.9967066,0.04560259,0.06273955,-0.02389885,0.9970127,0.04548164,0.05767037,-0.02477103,0.9979401,0.02635088,0.05298611,-10,10,0
