time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0060407,0.1091663,0.1855727,1.867647,0.1302162,0.04349964,1.897535,0.2955344,-0.07368483,1.89167,0.3828741,-0.3241086,1.897501,0.4253028,-0.5389302,1.773722,-0.04046549,-0.07683267,1.931816,-0.06369147,-0.3533279,1.944495,-0.08173455,-0.578563,1.876893,0.22536,-0.5396191,1.823088,0.2731762,-0.8533565,1.782893,0.3147678,-1.231891,1.969985,0.08034936,-0.5526257,1.833333,0.08064973,-0.86991,1.807403,0.1707549,-1.155668,2.103464,0.3085142,-1.318722,1.938092,0.194897,-1.237593,2.133762,0.4249524,-0.6005967,1.7393,-0.06674449,-0.634883,1.851419,0.4194782,-0.6636975,1.717554,-0.05697813,-0.7065637,1.843694,0.1555538,-0.5561689,1.86179,0.1430617,-0.2524163,1.886975,0.1335293,-0.02941836,1.897309,-1,-1,Low,High,0.4556666,-0.5910441,1.753177,-0.01467738,-0.6312953,1.826222,-0.02275125,0.9982026,0.000285707,-0.05544296,0.7947801,0.6066459,-0.006312538,-0.01629559,0.772718,0.1377906,0.6122935,-0.0949607,0.478582,-0.1782022,0.8354526,-0.2030324,0.7887965,-0.6064969,-0.08316284,0.05518456,0.7095829,-0.0458161,-0.7030064,-0.01322797,0.8284262,-0.1115343,0.5396312,-0.100341,0.614935,0.7457241,-0.1426213,-0.2130952,0.6985044,0.007746259,0.7088487,-0.09780153,0.7550895,0.1820019,0.6131236,0.1442034,-0.6850718,0.7040181,-0.0930863,0.1623884,-0.6029834,-0.03278622,0.7967116,0.02422178,-0.6114161,0.20775,0.6821812,-0.3429856,0.5055237,-0.216066,0.8252453,-0.1293507,0.78939,-0.02141739,0.5653281,-0.2383462,-0.02204712,0.9982194,0.04051794,-0.03781945,-0.02241767,0.9978307,0.04031411,-0.04696947,-0.02260286,0.9979382,0.02190642,-0.05593479,0,0,0
0.0642502,0.1116712,0.1859329,1.867786,0.1321668,0.04378402,1.897708,0.2983161,-0.07360774,1.892779,0.3839604,-0.3242088,1.898254,0.4258358,-0.538796,1.773754,-0.03854996,-0.07644747,1.931672,-0.06157173,-0.3518856,1.943652,-0.0802611,-0.5769984,1.87573,0.2270527,-0.5394915,1.823327,0.2740551,-0.853358,1.783184,0.3161111,-1.237984,1.958283,0.0818508,-0.5522578,1.833044,0.08156791,-0.8695614,1.806954,0.1707848,-1.155557,2.103046,0.3097448,-1.324132,1.914366,0.1948321,-1.237544,2.133283,0.4269758,-0.6026617,1.743132,-0.06713725,-0.6356175,1.847931,0.4213007,-0.6650784,1.72006,-0.05490978,-0.704927,1.840822,0.1571856,-0.5559087,1.861745,0.1449147,-0.2521237,1.887056,0.1354659,-0.02912812,1.897466,-1,-1,Low,High,0.4559224,-0.590841,1.753035,-0.0152621,-0.6305263,1.83065,-0.02266305,0.9983076,0.00045056,-0.05355456,0.7947791,0.6067143,-0.00397564,-0.01442205,0.7709269,0.1346193,0.6153888,-0.09405372,0.4937241,-0.1763106,0.8262475,-0.2060734,0.7887297,-0.6067206,-0.08249699,0.05468015,0.7062601,-0.04477765,-0.7063935,-0.01413126,0.8377123,-0.1112865,0.5248032,-0.1021516,0.6157783,0.7455668,-0.1413562,-0.2120511,0.7055008,0.007856001,0.7020298,-0.09675228,0.7502977,0.1740803,0.624404,0.129882,-0.6845367,0.7042336,-0.09375246,0.1633247,-0.603482,-0.03241487,0.7963213,0.02512309,-0.6124827,0.208033,0.6814337,-0.3423964,0.5186073,-0.1833252,0.8257376,-0.1248829,0.8032524,-0.03703801,0.5455198,-0.2362663,-0.02161311,0.9982879,0.04077443,-0.03593855,-0.02198574,0.9979169,0.04057473,-0.04508226,-0.02238366,0.9980425,0.02212802,-0.05404268,-15,0,5
0.0712689,0.1142111,0.1864867,1.868292,0.1343708,0.04392793,1.897652,0.3000112,-0.07397944,1.892877,0.3848983,-0.3241795,1.898118,0.4266109,-0.5386407,1.774182,-0.03664088,-0.07628543,1.931367,-0.06070897,-0.3517311,1.943109,-0.07802497,-0.575863,1.870956,0.2288943,-0.539633,1.823097,0.2749963,-0.8536281,1.783449,0.3205974,-1.236827,1.960944,0.08355171,-0.5521617,1.832686,0.08226322,-0.8694609,1.806767,0.1758053,-1.143569,2.112571,0.31638,-1.323192,1.920117,0.2014454,-1.220116,2.150415,0.4289045,-0.6038434,1.746451,-0.06684236,-0.6337032,1.83941,0.4235881,-0.6681449,1.723893,-0.05586655,-0.7018198,1.831832,0.15902,-0.5559247,1.861434,0.1469708,-0.2520498,1.886884,0.1376393,-0.02899944,1.897385,-1,-1,Low,High,0.4610045,-0.5969775,1.759213,-0.0100119,-0.6396951,1.8268,-0.02245783,0.9983468,0.0006402584,-0.05290382,0.7958783,0.6052812,-0.003488921,-0.01414875,0.7706761,0.1334386,0.6159999,-0.09379057,0.4662062,-0.1824373,0.8423485,-0.1995433,0.7886241,-0.6069667,-0.08210273,0.05406023,0.7153378,-0.04600298,-0.6970978,-0.01517244,0.7855757,-0.1233011,0.5979421,-0.1006631,0.6164437,0.7451429,-0.1409304,-0.2118914,0.7084209,0.007783611,0.6992999,-0.09517946,0.7454696,0.1802029,0.6287657,0.1282797,-0.6840772,0.7046657,-0.0936247,0.1634596,-0.6004028,-0.03134821,0.7986568,0.02610033,-0.6051803,0.2166059,0.6776084,-0.3573312,0.4880219,-0.1648758,0.8495352,-0.1137565,0.7523077,-0.08577207,0.6056411,-0.2446941,-0.02123068,0.9983043,0.04101579,-0.03543254,-0.02160237,0.9979413,0.04082125,-0.04449908,-0.02211248,0.9980788,0.02235494,-0.05338673,-15,0,5
0.1414645,0.1166278,0.1865003,1.868234,0.1362504,0.04398509,1.897797,0.3016058,-0.07413768,1.892953,0.3858643,-0.3243959,1.898134,0.4277645,-0.539058,1.774988,-0.03502809,-0.07609699,1.931666,-0.06012622,-0.3514843,1.942565,-0.07735676,-0.5747277,1.867167,0.2303469,-0.5396621,1.823021,0.276499,-0.8536421,1.783526,0.3140938,-1.233803,1.968726,0.08497074,-0.5519106,1.832663,0.08307827,-0.8692273,1.806538,0.1723776,-1.150957,2.106769,0.3065043,-1.320356,1.935715,0.1965147,-1.230864,2.140313,0.4299991,-0.6071674,1.74936,-0.06892543,-0.6304997,1.832415,0.4233811,-0.6715034,1.729867,-0.05986602,-0.6985096,1.82158,0.1604971,-0.555807,1.861375,0.1486759,-0.2519501,1.886936,0.1394803,-0.02892946,1.89751,-1,-1,Low,High,0.4616449,-0.5913481,1.76425,-0.0101662,-0.6161453,1.815909,-0.02220532,0.9983392,0.0007859255,-0.05315139,0.7963907,0.6046032,-0.003560115,-0.01428959,0.7698609,0.1323269,0.6173216,-0.09336962,0.4833502,-0.1768134,0.83306,-0.2027824,0.7882825,-0.6073447,-0.08249278,0.05420351,0.7185103,-0.04635577,-0.6937529,-0.01735259,0.8001906,-0.1245714,0.5763205,-0.1096886,0.6171244,0.744505,-0.1409702,-0.2121253,0.697516,0.006536714,0.7101892,-0.09518291,0.7576286,0.1760926,0.6113356,0.145805,-0.68353,0.7052603,-0.09329318,0.1633741,-0.6030474,-0.03094308,0.7966424,0.02715399,-0.6101722,0.2127869,0.679747,-0.3469233,0.5058736,-0.1454233,0.8437052,-0.1053827,0.7659417,-0.1117279,0.5781372,-0.258084,-0.02086961,0.9982995,0.04121001,-0.03555561,-0.02124538,0.9979329,0.04101755,-0.04467826,-0.02182604,0.9980681,0.02253265,-0.05362889,-20,5,5
0.2206746,0.1219793,0.1868855,1.868756,0.1415228,0.04420966,1.89806,0.3067465,-0.07458075,1.894167,0.3888758,-0.3250823,1.898532,0.4319637,-0.5403776,1.783559,-0.03056436,-0.07434098,1.932794,-0.05907382,-0.3503712,1.940374,-0.08056293,-0.5683424,1.849787,0.2333303,-0.5392862,1.822884,0.2784275,-0.853425,1.783805,0.3124959,-1.239153,1.959795,0.08800041,-0.5507677,1.832179,0.08452175,-0.8680557,1.806988,0.1758689,-1.144233,2.112244,0.302999,-1.325231,1.916296,0.2007534,-1.221373,2.149575,0.434723,-0.6144847,1.765214,-0.07850317,-0.6226215,1.809898,0.4304482,-0.679952,1.746346,-0.0680635,-0.6886694,1.79377,0.1635703,-0.5550379,1.861055,0.1528367,-0.2514002,1.8869,0.1444765,-0.02861413,1.8977,-1,-1,Low,High,0.4654593,-0.5989551,1.780476,-0.01239085,-0.5934658,1.813143,-0.02036929,0.9984004,0.001395606,-0.05272223,0.7976483,0.6029983,-0.001238193,-0.0121936,0.7688898,0.1280782,0.6195638,-0.09243923,0.4825175,-0.1630311,0.8375622,-0.1977049,0.7854674,-0.6106014,-0.0842914,0.05569433,0.7093255,-0.04614995,-0.70287,-0.02648309,0.7431403,-0.1622005,0.6384009,-0.1178039,0.6190595,0.7430455,-0.1400383,-0.2122213,0.7007511,0.006253147,0.7072225,-0.09351545,0.7574686,0.1655169,0.6161734,0.1384772,-0.6818011,0.706675,-0.09376407,0.1642131,-0.6005251,-0.02836516,0.7986059,0.02817202,-0.606262,0.2172977,0.6781836,-0.3539707,0.5013509,-0.09521366,0.8565519,-0.07681452,0.7120902,-0.1941616,0.6290002,-0.2441058,-0.01906455,0.9983559,0.04179433,-0.03428366,-0.0194616,0.9979842,0.04161092,-0.04378707,-0.01999719,0.9981167,0.0231742,-0.05316082,-20,5,10
0.242275,0.1230951,0.1869549,1.868876,0.1424133,0.04427875,1.898235,0.3078359,-0.07474603,1.894474,0.3895873,-0.3256147,1.898891,0.4329368,-0.5409202,1.786603,-0.02950696,-0.07393381,1.933287,-0.05895535,-0.3497341,1.938865,-0.08281851,-0.5658352,1.843932,0.2339359,-0.5391501,1.82276,0.2789362,-0.8533104,1.783141,0.3125844,-1.239476,1.958321,0.08856413,-0.5505457,1.832117,0.0847057,-0.8678362,1.806936,0.1755197,-1.148653,2.10821,0.3027511,-1.3253,1.914939,0.2002049,-1.227862,2.142588,0.4349846,-0.616047,1.768298,-0.07958604,-0.6206227,1.803459,0.4311125,-0.6821951,1.750417,-0.06982188,-0.6866068,1.787864,0.1641726,-0.5548525,1.860958,0.153588,-0.2512678,1.886935,0.1453342,-0.02852838,1.89784,-1,-1,Low,High,0.4662129,-0.6018479,1.782941,-0.01235996,-0.5871178,1.8085,-0.02016241,0.9983907,0.001646934,-0.05297915,0.7979688,0.6025818,-0.0008434717,-0.0118462,0.7688555,0.1274254,0.6198303,-0.0918399,0.4760786,-0.1601035,0.8424843,-0.1947722,0.7849053,-0.6111434,-0.08514977,0.056364,-0.7028964,0.04456653,0.709232,0.03066559,0.7011492,-0.1795286,0.6810603,-0.1109777,0.6193225,0.7427558,-0.1399892,-0.2125006,0.7006139,0.005528343,0.7073019,-0.09398675,0.7589101,0.1641757,0.61479,0.1383293,-0.6816828,0.7068475,-0.09346523,0.164133,-0.5995144,-0.02802961,0.7993614,0.028604,-0.6085157,0.2130128,0.680168,-0.3488632,0.4959348,-0.09658896,0.8600381,-0.07108867,0.642535,-0.213213,0.6991887,-0.2298352,-0.01883907,0.9983437,0.04202211,-0.03448316,-0.01923929,0.9979692,0.04184039,-0.04401004,-0.01978161,0.9981018,0.02342066,-0.05341289,-20,5,10
0.2682167,0.1239998,0.1870258,1.869122,0.1427767,0.04422865,1.898426,0.3090211,-0.07503526,1.894906,0.3901055,-0.3257252,1.899573,0.4340099,-0.5412664,1.791688,-0.02879667,-0.07363945,1.93394,-0.05893376,-0.3490277,1.938355,-0.08455594,-0.563065,1.838743,0.2343404,-0.5390732,1.822792,0.2793283,-0.8532378,1.78298,0.2967218,-1.237192,1.964917,0.08910353,-0.5502963,1.832015,0.08486539,-0.8675833,1.806955,0.1708351,-1.166743,2.092066,0.2796044,-1.322738,1.926741,0.1935515,-1.254045,2.112976,0.4360892,-0.6180817,1.773837,-0.08270047,-0.6190611,1.80014,0.4348145,-0.6856564,1.757223,-0.07260893,-0.6841791,1.783237,0.1646502,-0.554693,1.860927,0.1540007,-0.2512212,1.887023,0.1457087,-0.02855486,1.898005,-1,-1,Low,High,0.4664441,-0.598921,1.7895,-0.01234369,-0.5814117,1.806,-0.02025486,0.9983724,0.001813767,-0.05328377,0.7980267,0.6025177,-0.0003085536,-0.01120278,0.7689064,0.1268745,0.6200343,-0.09079326,0.4788046,-0.151829,0.8429873,-0.1925268,0.7843637,-0.6115921,-0.08620348,0.05742506,-0.6981963,0.04379189,0.7137867,0.03335799,0.7215874,-0.1856167,0.6557265,-0.1219868,0.619654,0.7425131,-0.1398792,-0.212455,0.6794521,0.00252159,0.727631,-0.09429489,0.7786552,0.1488305,0.587501,0.162444,-0.6812474,0.7070982,-0.09362037,0.1647701,-0.5994728,-0.02752118,0.7993972,0.02896632,-0.6354563,0.189592,0.6712371,-0.3311961,0.498446,-0.09186373,0.8593041,-0.06862239,0.6947606,-0.1934096,0.6548387,-0.2260235,-0.01893912,0.9983486,0.04223732,-0.03401956,-0.01935746,0.9979618,0.04204724,-0.04392814,-0.01988981,0.9980792,0.02359044,-0.05371974,-15,-5,10
0.3120432,0.1247861,0.1870023,1.869381,0.1433301,0.04421404,1.898752,0.3095424,-0.07523715,1.895157,0.3906897,-0.3263488,1.900065,0.4350822,-0.5424005,1.796185,-0.02791209,-0.07307164,1.934555,-0.0590102,-0.3483415,1.937928,-0.08566809,-0.5608528,1.834984,0.2345554,-0.5389481,1.822782,0.279307,-0.8531528,1.782808,0.3674119,-1.224535,1.969279,0.08938904,-0.5500783,1.83196,0.08511671,-0.8673663,1.806963,0.1738952,-1.165975,2.091818,0.3846931,-1.30855,1.942034,0.197569,-1.253019,2.112766,0.4358903,-0.6195684,1.775857,-0.08331048,-0.6168056,1.795888,0.4333325,-0.6853809,1.759245,-0.07638279,-0.677831,1.774265,0.1649089,-0.5545183,1.860894,0.1543781,-0.2511277,1.887138,0.1462149,-0.02853791,1.898271,-1,-1,Low,High,0.4661596,-0.6052452,1.789056,-0.01232484,-0.5707192,1.803,-0.01996336,0.9983463,0.002232384,-0.05386252,0.7983925,0.6020314,-0.0002418055,-0.0112985,0.7701613,0.127234,0.6185014,-0.09010565,0.4854897,-0.1431266,0.8410622,-0.1908634,0.7834696,-0.6125267,-0.08726418,0.05806347,-0.6968713,0.04360352,0.7149636,0.03600089,0.7595103,-0.1841395,0.6085125,-0.1376558,0.6198804,0.7422959,-0.1397257,-0.2126538,0.7470248,0.01123546,0.6580867,-0.0935389,0.6801904,0.2365922,0.6888126,0.08308072,-0.6810497,0.7072214,-0.09360775,0.1650656,-0.59596,-0.0275362,0.8020239,0.02882912,-0.6348612,0.1871167,0.6713025,-0.333604,0.5091242,-0.1075908,0.8510422,-0.07031381,0.7312281,-0.1787895,0.6123074,-0.241701,-0.01875104,0.9983459,0.04249907,-0.03387737,-0.0191868,0.9979451,0.04230413,-0.04413537,-0.0196399,0.9980448,0.02394116,-0.0542914,-15,5,5
0.3366298,0.1256307,0.1869059,1.86958,0.1439354,0.04414643,1.899049,0.3101165,-0.07555015,1.895522,0.3909263,-0.3268071,1.900704,0.4351892,-0.54342,1.799239,-0.02711843,-0.07269108,1.935189,-0.0592064,-0.3480919,1.937534,-0.08634876,-0.5599777,1.833288,0.2347058,-0.5389386,1.822831,0.2795104,-0.8531371,1.782612,0.3053393,-1.251265,1.932763,0.08959609,-0.5499371,1.832057,0.08526216,-0.867237,1.806904,0.1723447,-1.156559,2.10135,0.2905557,-1.331781,1.864916,0.1955858,-1.239418,2.130461,0.4359986,-0.6201985,1.779945,-0.08464035,-0.6175085,1.795216,0.4337474,-0.6866631,1.762169,-0.07627872,-0.6782942,1.77377,0.1650878,-0.5544488,1.860962,0.1547603,-0.2511066,1.887312,0.1467649,-0.028581,1.898538,1,-1,Low,High,0.4667301,-0.6028914,1.796429,-0.0596046,-0.6060051,1.767511,-0.01960367,0.9983311,0.002455127,-0.05426451,0.7988411,0.6014401,-3.593863E-05,-0.0110757,0.7715292,0.1272103,0.616959,-0.08900452,0.4447269,-0.1479458,0.8645503,-0.181336,0.7827383,-0.6132613,-0.08818356,0.05877846,-0.6975761,0.04353049,0.71415,0.03850381,0.8632152,-0.1559576,0.4478472,-0.1731176,0.6201564,0.7419793,-0.1397108,-0.2129639,0.7123864,0.006229396,0.6953927,-0.09431797,0.7622475,0.1370306,0.6212513,0.1193655,-0.6807368,0.7075357,-0.09345598,0.165096,-0.6011605,-0.02748471,0.7981205,0.02923132,-0.6139466,0.2074333,0.6826122,-0.3377597,0.4654673,-0.1060236,0.876492,-0.06213672,0.8396175,-0.1271568,0.460304,-0.2588318,-0.018433,0.9983382,0.04268788,-0.03404171,-0.0188754,0.9979308,0.04249412,-0.04440941,-0.01929055,0.9980246,0.02416797,-0.05468586,-15,5,5
0.3685321,0.1264184,0.1869862,1.870014,0.1444236,0.04422211,1.899548,0.3104077,-0.07573313,1.895665,0.391019,-0.3269839,1.900983,0.4352996,-0.5442038,1.801004,-0.02665163,-0.07247932,1.935614,-0.05936159,-0.3480199,1.937097,-0.08697654,-0.5593308,1.831688,0.2348461,-0.5389506,1.822879,0.2794892,-0.853176,1.782295,0.3107195,-1.233869,1.968652,0.08978014,-0.54987,1.83203,0.08527195,-0.8671696,1.806888,0.1736189,-1.153995,2.103335,0.3004041,-1.320206,1.937411,0.1972973,-1.235668,2.13425,0.435347,-0.6222638,1.780383,-0.08603488,-0.6151505,1.794345,0.433045,-0.6896986,1.765405,-0.07680193,-0.6764081,1.771207,0.1652475,-0.5544226,1.860974,0.1550756,-0.2510611,1.887511,0.1472109,-0.02851452,1.898953,1,-1,Low,High,0.4663424,-0.6091784,1.79375,-0.06070322,-0.6061259,1.765769,-0.01934385,0.9983124,0.003035169,-0.05467124,0.7993382,0.6007638,-0.0002949657,-0.01188132,0.7724547,0.127228,0.6158838,-0.08839622,0.4664091,-0.1405591,0.8538555,-0.1834026,0.782454,-0.6135864,-0.08865308,0.05846442,-0.6973888,0.04316518,0.7142516,0.04037564,0.8711929,-0.1546492,0.4306,-0.1780171,0.6203769,0.7418064,-0.1394033,-0.2131253,0.6909095,0.002770623,0.716711,-0.094666,0.7659242,0.1687039,0.6010208,0.1538608,-0.6805456,0.7076288,-0.09348642,0.1654671,-0.6001559,-0.02734289,0.7988746,0.02940522,-0.6122898,0.20894,0.6819567,-0.3411453,0.4900744,-0.1118057,0.8621158,-0.06389715,0.8483533,-0.1278726,0.4425337,-0.2609772,-0.01817609,0.9983374,0.04300497,-0.03380226,-0.01863516,0.9979186,0.04280806,-0.04448135,-0.01903209,0.9979957,0.02465801,-0.05508487,-15,0,5
