time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.02269,0.01896312,0.1956271,1.935173,0.02015498,0.02382617,1.966381,0.1901229,-0.1002073,1.980161,0.2507747,-0.3716827,1.983573,0.2986132,-0.5720434,1.869358,-0.1485149,-0.09616508,1.968071,-0.1735678,-0.3687723,1.959342,-0.1747487,-0.5938238,1.869018,0.1165235,-0.577094,1.906351,0.1508021,-0.9088506,1.86124,0.1638121,-1.359252,1.975364,-0.03643239,-0.5808914,1.898664,-0.04611154,-0.9143441,1.855147,0.02722479,-1.320553,2.062291,0.1644056,-1.420527,1.874794,0.07021219,-1.393224,2.038956,0.2928227,-0.6473479,1.831491,-0.1649929,-0.6432137,1.843702,0.2884374,-0.714579,1.808224,-0.1674873,-0.7222368,1.834752,0.04071467,-0.589479,1.937002,0.03009375,-0.2788047,1.958998,0.02260424,-0.05076031,1.966988,-1,-1,Low,High,0.2634709,-0.6520228,1.810341,-0.2136115,-0.6353246,1.846238,-0.01648413,0.9996869,-0.00376399,0.01844537,0.7997309,0.5987936,0.03973096,0.01726964,0.6932563,0.08091787,0.7122704,-0.07429063,0.7642474,0.2369387,-0.5841676,-0.1361394,0.792522,-0.6097068,-0.01179661,-0.00521694,0.7829471,-0.02598567,-0.6201957,-0.04093732,-0.5819679,-0.1512949,0.7907784,0.1144234,0.6430385,0.7402443,-0.1078215,-0.1640559,0.6856506,-0.01363521,0.7230129,-0.08336506,0.7040014,0.09719428,0.6991962,0.07784686,-0.6588082,0.7146164,-0.1279683,0.1972796,-0.5984319,-0.04322078,0.798417,0.05041254,0.8394295,-0.04479598,-0.4849061,0.241283,0.7399653,0.1227084,-0.6309538,-0.1982204,-0.5917835,-0.2381919,0.7668278,0.0709359,-0.01617409,0.9989242,0.03573073,0.02474216,-0.0162965,0.9990031,0.03567507,0.02131695,-0.01608718,0.999548,0.01779779,0.01811285,-15,-10,0
0.0560262,0.01940276,0.1955955,1.935819,0.02049354,0.0238467,1.96668,0.1902413,-0.1005185,1.980159,0.2502997,-0.3729165,1.982476,0.2963343,-0.574004,1.86967,-0.1484899,-0.09623377,1.968457,-0.17449,-0.3684377,1.958731,-0.1782457,-0.5908258,1.860211,0.1167966,-0.5772002,1.905801,0.1507191,-0.9089878,1.860103,0.1637716,-1.359316,1.974462,-0.03608673,-0.5809342,1.897898,-0.04572525,-0.9143853,1.854037,0.02638369,-1.316199,2.06942,0.164339,-1.420772,1.874173,0.05242082,-1.405807,1.997174,0.290777,-0.6494078,1.836116,-0.1692786,-0.6403487,1.83657,0.2877063,-0.7179622,1.816125,-0.1717626,-0.7200088,1.827415,0.04103675,-0.5895629,1.93635,0.03032679,-0.2788241,1.958945,0.02290045,-0.05075321,1.967175,-1,-1,Low,High,0.2588247,-0.6553198,1.818514,-0.21687,-0.6330194,1.839662,-0.01618238,0.9997038,-0.003022448,0.01792481,0.8003489,0.5979872,0.0396826,0.01668552,0.6975125,0.07895726,0.7083308,-0.07422694,0.7376131,0.2380047,-0.6193199,-0.1253936,0.7925153,-0.6097001,-0.01260872,-0.005138238,0.7704924,-0.02538058,-0.6354223,-0.04399688,-0.5978213,-0.1590241,0.7744052,0.1327308,0.6432247,0.7401417,-0.1069723,-0.1643446,0.6851243,-0.01469103,0.7234689,-0.08355598,0.7040938,0.09739987,0.6990556,0.07801647,-0.6586821,0.7144493,-0.1277625,0.1984356,-0.5908358,-0.04414055,0.8040145,0.0502518,0.7284821,-0.09783494,-0.6360703,0.234855,0.7153438,0.116263,-0.666383,-0.175214,-0.6136942,-0.2219339,0.7541191,0.07368338,-0.01626164,0.9988697,0.03669477,0.02546053,-0.01640984,0.9989645,0.03662874,0.0214227,-0.01594654,0.9995503,0.01830963,0.01759753,-15,0,0
0.0889135,0.01988581,0.1957727,1.936373,0.02082855,0.02387124,1.967067,0.19023,-0.1008006,1.980157,0.2495185,-0.3739729,1.981816,0.2940585,-0.575014,1.871137,-0.1485295,-0.0962201,1.968774,-0.1753487,-0.3675296,1.957986,-0.1824779,-0.5830414,1.8558,0.116834,-0.5772378,1.905211,0.1504165,-0.9090454,1.857723,0.1645213,-1.358149,1.976093,-0.03603708,-0.5808809,1.897124,-0.04515727,-0.9143443,1.851779,0.004950904,-1.331935,2.043512,0.1653625,-1.421017,1.87861,0.03619572,-1.409131,2.007414,0.2884138,-0.651713,1.841008,-0.1733152,-0.6353582,1.830639,0.2857685,-0.7196806,1.819276,-0.175636,-0.7183264,1.819809,0.04108788,-0.589563,1.935674,0.03043349,-0.2788208,1.958909,0.02315748,-0.05073685,1.967404,1,-1,Low,High,0.2583131,-0.6593997,1.818711,-0.2198653,-0.6410031,1.82164,-0.01563907,0.9997224,-0.001985718,0.01750785,0.8009794,0.5971647,0.03964119,0.0159675,0.7000564,0.07721326,0.7060712,-0.07363838,0.8038191,0.2179544,-0.5327872,-0.1500289,0.7923782,-0.6098627,-0.01325606,-0.005336071,0.757532,-0.02443584,-0.650639,-0.04708631,-0.666261,-0.1498674,0.7125178,0.1611041,0.6435195,0.7399323,-0.1060441,-0.1647344,0.6845568,-0.0170217,0.7237908,-0.08496614,0.7033372,0.1014045,0.6989867,0.08032168,-0.6585255,0.7143542,-0.1274776,0.1994786,-0.6547699,-0.04202077,0.7526851,0.05455032,0.7978531,-0.07689758,-0.5613786,0.2058431,0.793316,0.08135308,-0.5787416,-0.1705569,0.7206243,0.2072313,-0.6525246,-0.1093957,-0.0161213,0.9988179,0.03772507,0.02607002,-0.0162926,0.9989261,0.03765141,0.02153017,-0.01561358,0.999552,0.01887754,0.01719333,-15,-5,5
0.1261237,0.02017826,0.1956824,1.936848,0.02099552,0.02383667,1.96749,0.1903394,-0.1012775,1.980251,0.2487966,-0.3748061,1.981319,0.2919027,-0.5771545,1.872687,-0.148509,-0.09606046,1.968961,-0.176802,-0.3666882,1.957294,-0.1863579,-0.5774777,1.85334,0.1170314,-0.577144,1.904464,0.1500477,-0.9090035,1.856383,0.1657895,-1.357254,1.977364,-0.0356736,-0.5805627,1.895834,-0.04515162,-0.9140204,1.85169,0.008148092,-1.323596,2.058168,0.1673386,-1.421121,1.881579,0.02827745,-1.412313,1.981047,0.285912,-0.6541059,1.847553,-0.1793186,-0.6326748,1.82446,0.2838582,-0.7224799,1.825986,-0.179678,-0.7157317,1.814065,0.04137513,-0.5893722,1.934675,0.0305522,-0.2787987,1.958853,0.02330388,-0.05074907,1.967642,1,-1,Low,High,0.2552039,-0.6597599,1.829383,-0.2070039,-0.633483,1.782815,-0.01548436,0.9997283,-0.0007522579,0.01740844,0.8017527,0.5961294,0.03984836,0.01531229,0.7034847,0.07569052,0.7028969,-0.07291225,0.7552721,0.2246787,-0.602108,-0.128645,0.7920306,-0.6102999,-0.01368442,-0.005859609,0.751139,-0.02500647,-0.6577412,-0.0504127,0.8657317,0.08531265,-0.4456132,-0.2113273,0.6441128,0.7396336,-0.1043974,-0.1648092,0.6832459,-0.01839136,0.7250015,-0.08490916,0.7014711,0.1049103,0.7002773,0.08089466,-0.6579909,0.7141641,-0.1275256,0.2018784,-0.6336365,-0.04181857,0.7707033,0.05265449,0.7229652,-0.1094965,-0.6486995,0.2109995,0.7415072,0.07542879,-0.6512762,-0.1425378,0.8677588,0.1578112,-0.432687,-0.186741,-0.01628561,0.9987053,0.03928825,0.02791017,-0.01650176,0.9988438,0.03919795,0.02240886,-0.01554541,0.9995422,0.01952244,0.01710351,-15,-10,0
0.1561577,0.02036336,0.1958525,1.937394,0.02129435,0.02395623,1.967767,0.1904591,-0.1017298,1.980239,0.2478842,-0.3758025,1.980685,0.2899646,-0.579707,1.874908,-0.1485835,-0.09602293,1.969031,-0.1790184,-0.3643816,1.956543,-0.1908189,-0.5717571,1.849082,0.1175327,-0.5768508,1.902784,0.1495674,-0.9088159,1.855222,0.167,-1.355862,1.97986,-0.03510116,-0.5800482,1.893641,-0.04529463,-0.9134818,1.85152,0.01523671,-1.320361,2.061158,0.1693863,-1.421172,1.886316,0.03768943,-1.409804,1.986703,0.2834105,-0.6579466,1.85255,-0.1870996,-0.6275999,1.817479,0.2838084,-0.7244251,1.831999,-0.1875872,-0.7085392,1.803859,0.04193449,-0.5889752,1.932739,0.03092031,-0.2786276,1.958508,0.02357394,-0.05063911,1.967772,-1,-1,High,High,0.2504429,-0.66346,1.831711,-0.2085413,-0.6324488,1.774747,-0.0152726,0.9997324,0.0002366116,0.017371,0.8027226,0.5948082,0.04038069,0.01446,0.7053631,0.073666,0.7013101,-0.07211442,0.7716721,0.215459,-0.58403,-0.1304171,0.791988,-0.6103316,-0.01437641,-0.006613918,0.7472239,-0.02687374,-0.6617714,-0.05470695,0.8873807,0.07243702,-0.3948747,-0.2266768,0.644863,0.7391472,-0.1020617,-0.1655191,0.682145,-0.01896938,0.7262101,-0.08328969,0.6991154,0.1093386,0.7018045,0.08217707,-0.6576823,0.7137845,-0.1267304,0.2047074,-0.6197371,-0.03976194,0.7821479,0.05088559,0.7253929,-0.1048267,-0.6437709,0.2199444,0.7611606,0.05722385,-0.6323281,-0.1323674,0.8876764,0.1281746,-0.3826847,-0.2217075,-0.01645525,0.9985467,0.04189593,0.02963706,-0.01672302,0.998716,0.04178977,0.02324641,-0.01574631,0.9995188,0.02056807,0.01706099,-15,-5,5
0.1899727,0.02046351,0.1961056,1.938031,0.02137449,0.02416832,1.967984,0.190569,-0.1019961,1.980386,0.2468736,-0.3768393,1.980327,0.2874958,-0.5824323,1.877636,-0.1486422,-0.09604219,1.969047,-0.180818,-0.362716,1.956055,-0.1941805,-0.5684075,1.845222,0.1179247,-0.5766336,1.901667,0.1487387,-0.9087166,1.853812,0.1675781,-1.353537,1.985136,-0.03457913,-0.5795604,1.891978,-0.04555407,-0.912958,1.85164,0.01644767,-1.318205,2.063838,0.1708168,-1.421177,1.896091,0.03959134,-1.40846,1.991653,0.2802656,-0.6593882,1.858594,-0.1921447,-0.6254807,1.812534,0.2800452,-0.7319831,1.840737,-0.1931783,-0.7063274,1.798428,0.04240678,-0.5886319,1.931357,0.03115511,-0.278395,1.958207,0.0236736,-0.05046289,1.967869,-1,-1,High,High,0.2163491,-0.6127676,1.8577,-0.2141374,-0.6274909,1.774013,-0.01538165,0.9997261,0.001043061,0.01760817,0.8033952,0.5938553,0.04116181,0.01405884,0.7085112,0.07175313,0.6984546,-0.07088282,0.7266107,0.2174925,-0.6422722,-0.1105458,0.7922339,-0.6099935,-0.0148497,-0.007262233,0.7451124,-0.02866032,-0.6637979,-0.05795214,0.8622832,0.08536062,-0.4426256,-0.2307896,0.6456122,0.7387201,-0.100242,-0.1656176,0.6809136,-0.02067209,0.7274411,-0.08221158,0.6962969,0.116004,0.7030745,0.08602232,-0.6571323,0.7136065,-0.1265315,0.2072019,-0.6151687,-0.03727414,0.7859278,0.04995527,0.7260815,-0.1051404,-0.6416705,0.2236296,0.7079705,0.05175778,-0.6943585,-0.1181747,0.8638591,0.1294787,-0.432916,-0.2226353,-0.01670467,0.9984087,0.0436804,0.0315145,-0.01701985,0.9986103,0.04355856,0.02429977,-0.01602538,0.9994918,0.02145259,0.01729175,-15,-5,0
0.2231882,0.0205123,0.196098,1.93815,0.0211253,0.02448536,1.968348,0.1904917,-0.1021429,1.980372,0.2457031,-0.3778995,1.980194,0.2863833,-0.5845823,1.88005,-0.1485932,-0.09596558,1.968975,-0.1826312,-0.3623446,1.954067,-0.1967624,-0.5678692,1.842998,0.11834,-0.5764152,1.900507,0.148345,-0.9085779,1.852831,0.1679681,-1.352866,1.985638,-0.0339577,-0.5791759,1.889706,-0.04581172,-0.9125039,1.851946,0.02045047,-1.317332,2.063733,0.1717508,-1.421237,1.897747,0.04493746,-1.407374,1.991769,0.2782769,-0.6619275,1.863891,-0.1960659,-0.6254097,1.809975,0.2758142,-0.7351831,1.84608,-0.1973894,-0.7038258,1.793738,0.0429406,-0.5883355,1.929677,0.03122986,-0.278172,1.957893,0.02356293,-0.05023704,1.968015,-1,-1,High,High,0.2161504,-0.6206888,1.854856,-0.2035104,-0.6118413,1.76909,-0.01626259,0.9997074,0.002514194,0.01772998,0.8039625,0.5930734,0.04166837,0.01311235,0.7060954,0.06976833,0.7012125,-0.0697331,0.7503808,0.2097142,-0.6164373,-0.1138141,0.7925445,-0.6095676,-0.01521617,-0.008303157,0.7477223,-0.02915064,-0.6603909,-0.0628126,0.9132057,0.05256931,-0.3242357,-0.24117,0.6462297,0.7387134,-0.09722487,-0.1650359,0.6783338,-0.02159409,0.7299483,-0.08107193,0.6946685,0.1179744,0.7043171,0.0863438,-0.6567228,0.7126978,-0.1271365,0.2112189,-0.6115285,-0.03369831,0.7890155,0.04849686,0.7279072,-0.1005724,-0.639218,0.2267967,0.7342545,0.03100393,-0.6691391,-0.1102811,0.9133663,0.08917267,-0.3152713,-0.2416905,-0.01719961,0.9981737,0.04595733,0.03523293,-0.01761361,0.998451,0.04580026,0.02622449,-0.01640981,0.9994612,0.02246809,0.01741246,-15,5,0
0.2564087,0.02054648,0.1961231,1.938503,0.02113199,0.02446861,1.968381,0.1904761,-0.1022957,1.980413,0.2447084,-0.379458,1.98026,0.2849354,-0.5878706,1.884083,-0.1487045,-0.09589569,1.968897,-0.1843013,-0.3610088,1.952297,-0.1989443,-0.5665725,1.841372,0.118522,-0.5761656,1.89965,0.1480265,-0.9083785,1.852059,0.1661295,-1.35206,1.986864,-0.03371807,-0.5786966,1.887936,-0.0461945,-0.9119688,1.851888,0.01234789,-1.325396,2.049787,0.169534,-1.421292,1.900519,0.04786147,-1.401361,2.017549,0.274417,-0.662934,1.869085,-0.1992261,-0.6257554,1.807958,0.2772835,-0.736759,1.854362,-0.1992374,-0.7041772,1.794369,0.04316441,-0.5879749,1.928384,0.03138011,-0.27807,1.957448,0.023571,-0.05023799,1.968016,-1,-1,High,High,0.216636,-0.6382138,1.854039,-0.2355956,-0.6184044,1.816455,-0.01627068,0.9997023,0.002737383,0.01797647,0.8041732,0.5927367,0.04253601,0.0126268,0.7058128,0.06821271,0.7017998,-0.06820851,0.7611509,0.2014952,-0.6064854,-0.1105649,0.7923637,-0.6097774,-0.01579945,-0.009038793,0.7509854,-0.02971172,-0.6562183,-0.06719896,-0.6744978,-0.1531177,0.6958549,0.1933744,0.6469733,0.7385583,-0.09478562,-0.1642341,0.6761611,-0.02225015,0.7320189,-0.08037078,0.6952003,0.1183198,0.703376,0.08921399,-0.6561668,0.7122532,-0.12785,0.2139975,-0.6488265,-0.02879928,0.7588021,0.04913321,0.8113143,-0.06729326,-0.5377068,0.2193449,0.738822,0.01428637,-0.663239,-0.1185408,0.6933971,0.1756511,-0.6742367,-0.1837171,-0.01713609,0.9979951,0.04740509,0.0382746,-0.01762937,0.9983398,0.04722387,0.02786815,-0.01670509,0.9994295,0.02346062,0.01764154,-15,0,0
0.2899574,0.02056384,0.1961871,1.938735,0.02097397,0.02457241,1.968454,0.1903612,-0.1023209,1.9804,0.2437981,-0.3796819,1.980301,0.2832823,-0.5924127,1.886634,-0.1488661,-0.09574202,1.968619,-0.1855211,-0.3613689,1.950129,-0.2005926,-0.5669628,1.839338,0.1184463,-0.575876,1.898217,0.1473028,-0.9081495,1.850518,0.1665668,-1.351193,1.987031,-0.0336723,-0.5783468,1.886502,-0.04670412,-0.9115864,1.850996,-0.03734881,-1.357284,1.980603,0.1706626,-1.421137,1.90231,-0.02520335,-1.424694,1.893302,0.2731243,-0.6651112,1.870377,-0.2000515,-0.6265323,1.805278,0.2765373,-0.7384424,1.856706,-0.2004493,-0.7032549,1.791142,0.04315335,-0.5876505,1.926923,0.03131336,-0.2778375,1.956896,0.0234692,-0.05013713,1.968004,-1,-1,High,High,0.216329,-0.6467906,1.850156,-0.2070067,-0.614978,1.764648,-0.01663391,0.9996864,0.003321506,0.01842296,0.8043295,0.5924666,0.04354414,0.01188557,0.7094389,0.06759468,0.6983319,-0.06678359,0.7834193,0.1902795,-0.5808586,-0.1124778,0.7922429,-0.6099046,-0.01618481,-0.01028253,0.7528063,-0.02901495,-0.6537703,-0.07088852,0.8906557,0.0657519,-0.38207,-0.2375534,0.6472138,0.738245,-0.0939164,-0.1651917,0.676179,-0.02302114,0.7320449,-0.07976377,0.6931424,0.1208199,0.7049632,0.08934747,-0.6562031,0.712077,-0.1269489,0.2150067,0.7311758,0.0218513,-0.6798472,-0.05207882,0.736455,-0.08665466,-0.6615503,0.1116966,0.7644255,0.01694234,-0.631766,-0.1274301,0.8914741,0.1029356,-0.3732533,-0.2352877,-0.01716842,0.9979219,0.0488725,0.03832391,-0.01766785,0.9982619,0.04869418,0.02810559,-0.01675844,0.9993919,0.02466635,0.01807615,-15,0,5
0.3221046,0.02052354,0.196248,1.938887,0.02070816,0.02465615,1.96839,0.1902762,-0.1023431,1.980562,0.2429687,-0.3803618,1.980481,0.2822291,-0.5955774,1.888098,-0.1490663,-0.09562648,1.968244,-0.1865025,-0.361742,1.94811,-0.2014357,-0.5676761,1.83801,0.1186262,-0.5756736,1.897401,0.1465195,-0.9080326,1.84945,0.1873105,-1.375432,1.826082,-0.03336816,-0.5780554,1.884812,-0.04718146,-0.9112258,1.850666,0.04840046,-1.299151,2.081156,0.1945165,-1.398387,1.688106,0.08344234,-1.391178,2.023776,0.271264,-0.6657626,1.872908,-0.2014918,-0.6277302,1.803999,0.2746885,-0.7389625,1.858885,-0.199856,-0.7025581,1.790258,0.04340173,-0.5874018,1.925691,0.031269,-0.2776347,1.956189,0.02327615,-0.05003415,1.96786,-1,-1,High,High,0.2160567,-0.6521708,1.849276,-0.206945,-0.6155303,1.764082,-0.01711145,0.9996606,0.003879081,0.01925858,0.8043756,0.5922846,0.04518175,0.01172863,0.7097215,0.06656238,0.6982478,-0.06568724,0.7897313,0.1856275,-0.5739864,-0.1113842,0.7922107,-0.609915,-0.01659978,-0.0114206,0.7561915,-0.02843652,-0.6495501,-0.07382711,0.8948179,0.06304605,-0.3732827,-0.2366137,0.6475685,0.7384267,-0.09194846,-0.164093,0.6741599,-0.02448613,0.7339523,-0.07888464,0.6934843,0.01226337,0.7187278,-0.04857562,-0.6559024,0.7114283,-0.1279432,0.2174682,-0.5550703,-0.0309308,0.8299813,0.04551104,0.7385678,-0.08309164,-0.6124024,0.2694008,0.7685949,0.007613371,-0.6263763,-0.129833,0.8952986,0.09589455,-0.3653933,-0.2360769,-0.01746079,0.9977555,0.04978508,0.04123747,-0.01802113,0.9981571,0.049585,0.02998273,-0.01704649,0.9993399,0.02592866,0.01889358,-15,0,5
