time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0060094,0.02611171,0.1446158,1.933999,0.03570715,0.01042732,1.96573,0.2038366,-0.1009307,1.98243,0.2740393,-0.3497967,1.975383,0.3232345,-0.5663853,1.856712,-0.1355623,-0.1027541,1.970518,-0.1657534,-0.3721446,1.969403,-0.1682015,-0.5881963,1.870343,0.1369348,-0.5744439,1.891318,0.1738982,-0.8515342,1.856261,0.2061863,-1.219701,1.976172,-0.01335042,-0.5824702,1.88385,-0.02354605,-0.8622358,1.856097,0.005905439,-1.231141,1.97309,0.2172107,-1.291517,1.870177,0.01869557,-1.301708,1.86566,0.3303199,-0.6437615,1.822391,-0.1660658,-0.6443059,1.847246,0.3294382,-0.7136689,1.808478,-0.1683653,-0.7267358,1.844462,0.06288863,-0.5889043,1.921661,0.04901402,-0.2854467,1.950771,0.0390304,-0.06252929,1.964418,-1,-1,Low,High,0.303122,-0.6490944,1.794591,-0.1002607,-0.6151792,1.844039,-0.02257707,0.9995137,0.009418866,0.01933576,0.7805911,0.6218897,0.05920768,0.02062342,0.7362152,0.09263393,0.6625924,-0.1018705,0.8268512,0.2125909,-0.496349,-0.1573531,0.7818189,-0.6227373,-0.03081726,-0.002788551,0.7783305,-0.04218838,-0.6253692,-0.03653898,0.7386013,-0.1435968,0.63949,-0.1577991,0.633041,0.7472692,-0.1017185,-0.1746463,0.6858854,7.365455E-05,0.7220244,-0.09078515,0.6793827,0.1423988,0.7156916,0.07711881,-0.6692445,0.7041331,-0.1200696,0.2046745,0.7209612,0.02107607,-0.6909745,-0.04821573,0.7222331,-0.07598616,-0.6735075,0.1378156,0.8313404,0.1449981,-0.5141369,-0.1533365,0.7379506,-0.1142546,0.6461446,-0.1577079,-0.0216497,0.9983301,0.04827802,0.02318523,-0.02176241,0.9983815,0.04822733,0.02085331,-0.02176425,0.9991055,0.03096214,0.01886716,-20,25,10
0.0389357,0.02709553,0.1449504,1.934424,0.03603446,0.01047962,1.965822,0.2047986,-0.1006512,1.982846,0.2754909,-0.3505622,1.975895,0.3239903,-0.5664243,1.857399,-0.13555,-0.1027474,1.970533,-0.1654712,-0.3714914,1.968743,-0.1689531,-0.5864549,1.869589,0.1380093,-0.5741726,1.891348,0.1743538,-0.8510404,1.856159,0.2034926,-1.220073,1.975303,-0.01223121,-0.5819409,1.883744,-0.02334144,-0.862204,1.855983,0.005308218,-1.230876,1.972351,0.2136924,-1.291744,1.869002,0.01796189,-1.301246,1.864677,0.3309193,-0.6442273,1.823302,-0.1690602,-0.6433969,1.845812,0.329367,-0.7142229,1.808582,-0.1714818,-0.723527,1.841241,0.06400662,-0.5884998,1.921622,0.04972759,-0.2852433,1.950874,0.03944075,-0.06244651,1.964521,-1,-1,Low,High,0.3030503,-0.6501517,1.79227,-0.101933,-0.6189072,1.848255,-0.02315085,0.9994906,0.009371475,0.01986752,0.779954,0.6226156,0.05981264,0.02107292,0.7380112,0.09334559,0.6605217,-0.1016712,0.8503743,0.2038017,-0.4548687,-0.1685907,0.7818019,-0.6227679,-0.03061051,-0.002982272,0.7746806,-0.04090094,-0.6299115,-0.03752954,0.7234204,-0.149623,0.6562324,-0.1537364,0.6336302,0.7468572,-0.1015995,-0.1743404,0.6855939,-0.0008992797,0.7223697,-0.09023457,0.6806938,0.1385583,0.7149365,0.07951879,-0.6687469,0.7044214,-0.119867,0.2054264,0.7212678,0.01985099,-0.6906165,-0.04927063,0.7222698,-0.07628995,-0.6736723,0.1366448,0.8565728,0.1351054,-0.4719333,-0.1590867,0.725313,-0.1328714,0.6597823,-0.1447532,-0.0222932,0.9982887,0.04856712,0.02374672,-0.02240811,0.9983422,0.04851421,0.02138354,-0.02243785,0.9990795,0.0309997,0.01938369,-25,10,5
0.0723022,0.02822083,0.1453827,1.934923,0.03693253,0.01083835,1.96625,0.2059707,-0.1001617,1.983795,0.2760216,-0.3505804,1.976263,0.3249269,-0.5668281,1.857867,-0.1355422,-0.1027301,1.970596,-0.165292,-0.3710803,1.968633,-0.1701859,-0.5858516,1.868892,0.1389349,-0.5739698,1.891522,0.1745007,-0.8510227,1.856224,0.2027419,-1.220244,1.974849,-0.01134925,-0.58176,1.883825,-0.02294062,-0.86207,1.855838,0.003034004,-1.232096,1.968789,0.2129427,-1.291741,1.868353,0.01508457,-1.301165,1.859629,0.3314819,-0.644481,1.825249,-0.1712161,-0.6433926,1.844146,0.3308936,-0.713361,1.808883,-0.1732837,-0.7271823,1.846704,0.06493203,-0.5883015,1.921746,0.05071144,-0.2849462,1.951207,0.04036684,-0.06209966,1.964935,-1,-1,Low,High,0.3036687,-0.6492569,1.792958,-0.1012451,-0.6093747,1.845111,-0.0233246,0.9994593,0.009499586,0.02113771,0.7794738,0.6230609,0.06112109,0.02190612,0.7357087,0.09115593,0.6633596,-0.1018693,0.8589282,0.2009085,-0.4386688,-0.1716036,0.7820326,-0.6225082,-0.02990476,-0.003767979,0.7696854,-0.0402149,-0.6360241,-0.03795312,0.7227898,-0.1528151,0.6564769,-0.1525141,0.6336609,0.7468733,-0.1011793,-0.1744042,0.6855043,-0.002013889,0.7225658,-0.08932296,0.6804089,0.1373016,0.7154162,0.07982226,-0.668856,0.7042634,-0.1197902,0.2056575,0.7213967,0.01949509,-0.6904292,-0.05014272,0.7223247,-0.07582712,-0.6748253,0.1307977,0.8669601,0.1267986,-0.4560395,-0.1559814,0.7247942,-0.1418476,0.658737,-0.1435899,-0.02216751,0.9982688,0.04889664,0.024022,-0.02225936,0.9983122,0.04885489,0.02214595,-0.02251855,0.999046,0.03120427,0.02064957,-25,20,0
0.1158751,0.0292264,0.1454123,1.935175,0.03848638,0.01104853,1.966704,0.2065621,-0.100209,1.984075,0.2770224,-0.3509909,1.976866,0.3255877,-0.567052,1.858198,-0.1355028,-0.1026558,1.97071,-0.1652258,-0.370466,1.968403,-0.1715508,-0.5865301,1.867891,0.1397823,-0.5738966,1.891851,0.174761,-0.8529119,1.856611,0.2015328,-1.219988,1.976275,-0.01051821,-0.5813743,1.883806,-0.02270125,-0.8621531,1.855876,-0.0124763,-1.236862,1.955371,0.2114971,-1.292023,1.870341,-0.004916398,-1.301014,1.840817,0.3305172,-0.645427,1.824979,-0.1737808,-0.6431314,1.845236,0.3289652,-0.7126419,1.805888,-0.1740692,-0.726504,1.846215,0.06576066,-0.5880733,1.921893,0.0519436,-0.2847054,1.951546,0.04184446,-0.06187856,1.965368,-1,-1,Low,High,0.3031279,-0.6512002,1.794675,-0.1029115,-0.6109472,1.85,-0.02279942,0.9994605,0.009646567,0.02158334,0.7803118,0.6220089,0.06124228,0.02162785,0.7369795,0.09221608,0.6618447,-0.1015818,0.8315,0.2104549,-0.488459,-0.1603881,0.7817475,-0.622885,-0.02938579,-0.00464737,0.7654935,-0.03959553,-0.6410541,-0.03875165,0.7201395,-0.1558273,0.6592321,-0.1501003,0.6345056,0.7464007,-0.1001849,-0.1739297,0.6847456,-0.002743458,0.7234568,-0.08789947,0.6803948,0.137624,0.7150542,0.08258287,-0.6681077,0.7046626,-0.1202795,0.2064351,0.7222289,0.01857129,-0.6895411,-0.05073109,0.7181252,-0.07957273,-0.6836539,0.1028671,0.8362917,0.1287421,-0.5101002,-0.1544006,0.7251958,-0.1412356,0.6617979,-0.1271498,-0.02143749,0.9982392,0.04921933,0.0252296,-0.02154818,0.9982933,0.04917096,0.0229833,-0.02195278,0.9990423,0.03141732,0.02110539,-25,15,5
0.1349266,0.03034833,0.1457657,1.935548,0.0394744,0.01144512,1.967167,0.2069815,-0.1002084,1.984284,0.2774559,-0.3511848,1.976994,0.3257621,-0.5671296,1.858365,-0.1339408,-0.1024389,1.970901,-0.1652129,-0.3701155,1.968146,-0.1726282,-0.5842226,1.867566,0.1403438,-0.5740216,1.892073,0.1749766,-0.8539956,1.85685,0.2018858,-1.220537,1.975453,-0.01004338,-0.581208,1.883794,-0.02252203,-0.8622937,1.855843,-0.01430869,-1.233818,1.964406,0.2119231,-1.292145,1.869053,-0.007130579,-1.30181,1.853558,0.3305856,-0.6454114,1.823596,-0.1760064,-0.6417595,1.843368,0.327014,-0.7142727,1.808219,-0.1764485,-0.7238283,1.844241,0.06626535,-0.5880433,1.921986,0.05270792,-0.2845125,1.951836,0.0427785,-0.06153553,1.965791,-1,-1,Low,High,0.3016575,-0.6480845,1.792174,-0.1046098,-0.6079205,1.853882,-0.02240711,0.9994655,0.009908018,0.0216461,0.7811541,0.6209769,0.061146,0.02114386,0.7375669,0.0921508,0.6612025,-0.1015607,0.8518254,0.202959,-0.4521446,-0.1696068,0.7822105,-0.622309,-0.02917353,-0.005209887,0.7653424,-0.04126674,-0.6409738,-0.04123888,0.6575102,-0.1717151,0.7211181,-0.1348441,0.6353607,0.7458723,-0.09940596,-0.1735219,0.6842049,-0.003203521,0.7240569,-0.08714954,0.6803344,0.1370322,0.7153355,0.08162392,-0.6675094,0.7050477,-0.1204505,0.2069559,0.7227938,0.01815549,-0.6889343,-0.0510781,0.7166471,-0.08994935,-0.6828169,0.1099408,0.8558105,0.1254147,-0.4730968,-0.1674484,0.6624404,-0.1641955,0.7220771,-0.1132127,-0.02095114,0.9982134,0.0495216,0.02604964,-0.0210808,0.9982783,0.04946654,0.02343469,-0.02154985,0.9990411,0.03168649,0.02117629,-30,25,0
0.1711029,0.03106889,0.1460276,1.936049,0.0399507,0.01153013,1.967439,0.2073389,-0.1000708,1.984372,0.2779425,-0.3515407,1.977014,0.3258699,-0.5669256,1.85863,-0.1327762,-0.1018783,1.971043,-0.1651354,-0.3699132,1.96804,-0.1735396,-0.5838436,1.86713,0.1408632,-0.5739956,1.892179,0.1754235,-0.8528682,1.856621,0.2026733,-1.226346,1.95804,-0.009493186,-0.5809901,1.88369,-0.02209605,-0.8629773,1.855905,-0.02185205,-1.23487,1.960836,0.2120968,-1.290834,1.84424,-0.01684723,-1.301596,1.848564,0.3296206,-0.6435217,1.823203,-0.1769601,-0.6411831,1.842774,0.3301434,-0.7119946,1.806091,-0.1812213,-0.7196846,1.841892,0.06680604,-0.5879234,1.92199,0.05323527,-0.2844032,1.952,0.04326912,-0.06144341,1.96604,-1,-1,Low,High,0.3014425,-0.6496668,1.791804,-0.1046904,-0.606346,1.853625,-0.02250425,0.999463,0.01006947,0.02158227,0.7811454,0.6210151,0.06102329,0.02069517,0.7382596,0.09217563,0.6604304,-0.1015288,0.8500346,0.2032431,-0.4555376,-0.1691712,0.7816848,-0.6229639,-0.02922094,-0.005575791,0.7646255,-0.04240561,-0.6416484,-0.04285929,0.5811762,-0.186337,0.7836869,-0.1155317,0.6358278,0.7455971,-0.09893964,-0.17326,0.6836013,-0.003803215,0.7245467,-0.08778912,0.683903,0.1199305,0.7166661,0.06544407,-0.6670675,0.7052355,-0.1206143,0.2076441,0.7233469,0.01769778,-0.6883809,-0.05087081,0.7140909,-0.09476501,-0.6865029,0.09903316,0.8512001,0.1250331,-0.4783524,-0.1760799,0.5854781,-0.176475,0.7853207,-0.09666186,-0.02092857,0.9981802,0.04980053,0.02680038,-0.02107928,0.9982567,0.04973694,0.02377771,-0.02163127,0.9990346,0.03187782,0.02110967,-15,20,10
0.2140592,0.03178702,0.1464926,1.936231,0.04074474,0.01199024,1.967623,0.2079245,-0.1000931,1.984701,0.2783753,-0.3519383,1.977139,0.3259457,-0.5669719,1.858816,-0.1328185,-0.1018687,1.971112,-0.1650962,-0.3694986,1.967908,-0.1743801,-0.583344,1.866883,0.1413684,-0.573945,1.892274,0.1762128,-0.8512414,1.856389,0.2065097,-1.216315,1.985064,-0.008907452,-0.5808085,1.883909,-0.02202282,-0.8630115,1.855971,-0.05863785,-1.241169,1.931705,0.2179506,-1.292053,1.883831,-0.06222474,-1.296453,1.809481,0.3285487,-0.6445748,1.822597,-0.1779533,-0.6413171,1.845006,0.3280683,-0.7124455,1.804617,-0.1815664,-0.720283,1.843268,0.06737117,-0.5878058,1.922145,0.05393956,-0.2841185,1.952202,0.04404275,-0.06102749,1.966233,-1,-1,Low,High,0.3007317,-0.6475155,1.791167,-0.1044115,-0.6053135,1.853517,-0.02234833,0.9994576,0.01000429,0.02202294,0.781977,0.6199252,0.06132949,0.02105406,0.7385174,0.09160535,0.6602314,-0.1014643,0.8391793,0.2067562,-0.475222,-0.1649057,0.7820666,-0.6225003,-0.02884272,-0.005778515,0.7617832,-0.04192255,-0.6450225,-0.04329902,0.6155638,-0.1823951,0.7568509,-0.1224334,0.6360709,0.7452617,-0.09922931,-0.173644,0.6831225,-0.003949394,0.7248467,-0.08902404,0.6764724,0.1494848,0.7159002,0.08675379,-0.6668084,0.7055641,-0.1204166,0.2074749,0.7230422,0.01723556,-0.6886554,-0.05163944,0.7042509,-0.10308,-0.7014989,0.03611815,0.8380767,0.1243798,-0.500501,-0.1779209,0.6226253,-0.1572532,0.7611583,-0.09081467,-0.02070532,0.9981927,0.04983665,0.0264362,-0.02083612,0.9982587,0.0497821,0.02381487,-0.02145009,0.9990301,0.03184688,0.02155351,-20,20,10
0.2374922,0.03253517,0.1465256,1.936382,0.04151182,0.01202167,1.967768,0.2085812,-0.1000282,1.985139,0.2784992,-0.3519932,1.977194,0.3259542,-0.5668107,1.859008,-0.1316458,-0.1013917,1.971538,-0.1650536,-0.3691999,1.967717,-0.1753403,-0.5829228,1.866513,0.141968,-0.5738261,1.892457,0.1763548,-0.8508946,1.856301,0.2010561,-1.225301,1.961113,-0.008363247,-0.5805126,1.883977,-0.02192541,-0.8629212,1.855942,-0.05842844,-1.240849,1.931783,0.2099845,-1.291285,1.848677,-0.06196006,-1.296191,1.809596,0.3283697,-0.6438269,1.821319,-0.1785634,-0.640118,1.844083,0.3260584,-0.7135004,1.805879,-0.17979,-0.7210843,1.843854,0.06795731,-0.5875928,1.92227,0.0546372,-0.2839839,1.952361,0.04479404,-0.06096864,1.966385,-1,-1,Low,High,0.3005595,-0.6474485,1.790501,-0.1040521,-0.6051679,1.851852,-0.02224937,0.999459,0.009958096,0.02208084,0.7819502,0.6198823,0.0618639,0.02173908,0.7376276,0.09018856,0.6614211,-0.1014577,0.8484623,0.203315,-0.4584827,-0.1690217,0.7815066,-0.6231848,-0.02934594,-0.00519418,0.761452,-0.04272244,-0.6452098,-0.04549772,0.6402286,-0.1799734,0.7359189,-0.1270443,0.636549,0.7449439,-0.09895626,-0.1734115,0.683449,-0.004825098,0.7245562,-0.08884064,0.6841837,0.1203264,0.7158301,0.07071976,-0.6664556,0.7058235,-0.1204982,0.2076781,0.7232898,0.01674905,-0.6883598,-0.05227112,0.7043704,-0.1031264,-0.7013596,0.03635871,0.8455712,0.1245221,-0.4836738,-0.1885823,0.6459577,-0.1573511,0.7399892,-0.1019567,-0.02050563,0.9981821,0.04990919,0.02685308,-0.02064549,0.9982535,0.0498515,0.02405411,-0.02133599,0.9990314,0.03184143,0.02161294,-20,10,10
0.2702474,0.03343448,0.1468614,1.937052,0.04194343,0.01207172,1.968073,0.2094438,-0.1001994,1.985563,0.2786711,-0.3522457,1.977116,0.3259107,-0.5669267,1.858987,-0.1317399,-0.101393,1.971595,-0.16503,-0.3690854,1.967661,-0.1757781,-0.5828978,1.866728,0.1421643,-0.5738282,1.892476,0.1764126,-0.8504604,1.856215,0.199266,-1.223198,1.967732,-0.008208836,-0.5804648,1.884053,-0.02164461,-0.8631678,1.856065,-0.05819539,-1.240726,1.93221,0.2080448,-1.292063,1.858181,-0.06164088,-1.296222,1.810135,0.3276658,-0.6451671,1.821623,-0.1771174,-0.6407552,1.844813,0.3261116,-0.7129715,1.805435,-0.1752459,-0.7247297,1.846065,0.06813757,-0.587568,1.922318,0.05494619,-0.2839425,1.952533,0.04519572,-0.06091983,1.966656,-1,-1,Low,High,0.299844,-0.6490026,1.790209,-0.1043209,-0.6045392,1.852388,-0.02203449,0.9994509,0.01019305,0.02255109,0.7821072,0.6196398,0.06229722,0.02177135,0.736772,0.08841667,0.662616,-0.1014376,0.852975,0.2013275,-0.4500827,-0.1712501,0.7814137,-0.6233097,-0.02905787,-0.005774835,0.7599636,-0.04233497,-0.646978,-0.04563522,0.6131784,-0.1846258,0.7587477,-0.1192794,0.6367055,0.7447578,-0.09889789,-0.1736698,0.6835706,-0.005123666,0.7244285,-0.08892845,0.6833088,0.1250613,0.7150422,0.07850751,-0.6663986,0.7059338,-0.1202811,0.207612,0.7231885,0.01684562,-0.6884841,-0.05200353,0.7046139,-0.1035196,-0.701041,0.03666659,0.850911,0.1169799,-0.4764965,-0.1876624,0.6166089,-0.1471534,0.766332,-0.1042819,-0.02029744,0.9981821,0.05009831,0.02666024,-0.02042112,0.9982449,0.05004802,0.02419452,-0.02110776,0.9990187,0.03206857,0.02208784,-25,10,10
0.3438449,0.03395512,0.1469934,1.937211,0.04215427,0.01210456,1.96812,0.2100348,-0.1003369,1.985868,0.2788816,-0.3525903,1.97694,0.3257488,-0.568003,1.858631,-0.131807,-0.1014304,1.971622,-0.1649751,-0.3689744,1.967607,-0.1759505,-0.5829696,1.867141,0.1423259,-0.573819,1.892568,0.1767801,-0.850571,1.85631,0.1991638,-1.223252,1.967656,-0.008031332,-0.5803792,1.884092,-0.02158729,-0.8631887,1.856041,-0.01205889,-1.233151,1.963947,0.2079019,-1.292054,1.858032,-0.004194784,-1.300911,1.852911,0.3265473,-0.6446087,1.819845,-0.1764953,-0.6416353,1.847935,0.3245439,-0.7124001,1.803572,-0.1787492,-0.7204875,1.844142,0.06831118,-0.58752,1.922383,0.05515183,-0.2838981,1.952603,0.0454065,-0.0608836,1.966712,-1,-1,Low,High,0.300306,-0.6469882,1.790045,-0.1822055,-0.6774473,1.878572,-0.02203269,0.9994432,0.01014997,0.02290629,0.7822115,0.619451,0.06270582,0.02221555,0.737574,0.08731619,0.6618617,-0.1014861,0.8591622,0.1979188,-0.4385601,-0.1741654,0.7814361,-0.623288,-0.02891897,-0.005789058,0.7593337,-0.04204419,-0.6477336,-0.04567146,-0.04758643,-0.2161115,0.9746034,0.03434449,0.6368843,0.7446376,-0.09881706,-0.1735751,0.6833937,-0.004884582,0.7245702,-0.08914672,0.6832708,0.1245232,0.7151396,0.07880508,-0.6662233,0.7060466,-0.120363,0.2077439,0.7233105,0.01675222,-0.6883425,-0.05221169,0.7180218,-0.08827112,-0.6813941,0.1111533,0.8536719,0.1154788,-0.4661613,-0.2015008,-0.04960415,-0.1571088,0.9862571,0.01237608,-0.02023502,0.9981773,0.05011041,0.02685871,-0.02035486,0.9982387,0.05006185,0.02447015,-0.02108649,0.999012,0.032043,0.02244306,-20,25,10
