time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0187516,0.04583904,0.1936208,1.867892,0.04279298,0.04475927,1.890181,0.2213845,-0.08237825,1.924597,0.266933,-0.357244,1.894749,0.3116247,-0.5683857,1.801757,-0.1176894,-0.07640819,1.891064,-0.1470101,-0.3478027,1.866259,-0.1559823,-0.5654935,1.77797,0.146215,-0.5466289,1.816934,0.1854913,-0.8798332,1.778421,0.2404425,-1.330963,1.767072,-1.217465E-05,-0.5500297,1.801656,-0.01267736,-0.8848996,1.778737,-0.0293705,-1.338411,1.788325,0.2566773,-1.357841,1.631035,-0.01993114,-1.372026,1.653786,0.3037794,-0.6424332,1.772528,-0.1462704,-0.6155677,1.753304,0.3036869,-0.7135803,1.758252,-0.1405246,-0.6986746,1.744807,0.07446554,-0.5585656,1.84292,0.058675,-0.2527975,1.874456,0.0468104,-0.02856978,1.888788,-1,-1,High,High,0.3407112,-0.6326404,1.771435,-0.1683211,-0.622091,1.710201,-0.02687895,0.9984596,0.01076759,0.0473295,0.7975069,0.5939532,0.0922424,0.05190097,0.6572465,0.01374655,0.7473245,-0.09666643,0.6215142,-0.09413093,0.7503031,-0.2047064,0.7995222,-0.6002935,-0.01932745,-0.006205622,0.7765584,-0.01326931,-0.6261187,-0.06896663,0.9023764,0.05731738,-0.3856451,-0.1836013,0.6443087,0.7426082,-0.08714623,-0.1606394,0.6658856,-0.003586883,0.7415653,-0.08163632,0.6720732,0.03152883,0.7378987,-0.05318978,-0.6580593,0.7062166,-0.1306998,0.2261273,0.7416499,0.008876739,-0.669652,-0.03798465,0.7340957,-0.0206752,-0.6787148,-0.004729815,0.6636685,-0.1709394,0.7227601,-0.08911628,0.897739,0.166902,-0.3687287,-0.173918,-0.02299704,0.997008,0.05257725,0.05178645,-0.02314131,0.9971464,0.05251392,0.04904886,-0.02486742,0.9980481,0.03307822,0.04677103,-15,5,5
0.0482079,0.0461356,0.1938001,1.868171,0.04280549,0.04478328,1.890172,0.2215251,-0.08214493,1.92462,0.2671988,-0.3567413,1.894946,0.3114891,-0.567844,1.801621,-0.1176741,-0.07640816,1.891062,-0.147026,-0.3474257,1.866006,-0.1543793,-0.5638363,1.773984,0.1463446,-0.5466123,1.816911,0.1856077,-0.8798187,1.77835,0.2405441,-1.330949,1.766937,0.0001210103,-0.5500056,1.801649,-0.01267714,-0.8848661,1.778815,-0.02954248,-1.338363,1.788516,0.2567633,-1.357815,1.630893,-0.02013958,-1.372008,1.653988,0.3023857,-0.6412907,1.770959,-0.1416862,-0.6136815,1.748313,0.3027599,-0.712752,1.756777,-0.1379041,-0.6966233,1.739145,0.07460099,-0.5585414,1.842901,0.0587276,-0.2527709,1.874429,0.04682924,-0.02854379,1.888774,-1,-1,High,High,0.3387191,-0.6285162,1.768364,-0.1627574,-0.6223413,1.700844,-0.02692088,0.9984583,0.01080702,0.04732352,0.7971201,0.5944615,0.09230892,0.05190392,0.6602874,0.01453826,0.7446246,-0.09666139,0.6341371,-0.09175851,0.7395821,-0.2060801,0.7995629,-0.6002378,-0.01937443,-0.006192333,0.7797171,-0.01339565,-0.6221316,-0.06938353,0.9277276,0.04907169,-0.3150014,-0.1941328,0.6443326,0.742583,-0.08721891,-0.1606198,0.6659237,-0.003648367,0.7415272,-0.08166811,0.6721119,0.03146858,0.7378635,-0.05322327,-0.6580727,0.7062209,-0.1306248,0.2261184,0.7416225,0.008646702,-0.669683,-0.03802417,0.7340331,-0.02089926,-0.6787753,-0.004768807,0.6768712,-0.1813592,0.7072928,-0.09322567,0.9204627,0.1791124,-0.2937523,-0.1854096,-0.0231343,0.9970075,0.05256845,0.05174338,-0.02327762,0.9971449,0.05250515,0.04902347,-0.02494122,0.9980455,0.0331089,0.04676377,-15,0,5
0.0830501,0.04632013,0.1939297,1.868262,0.04287583,0.04485381,1.890156,0.2215937,-0.08201484,1.924522,0.2673395,-0.3565878,1.894987,0.3113426,-0.5672646,1.800409,-0.117621,-0.07635216,1.891059,-0.1466023,-0.3468249,1.865015,-0.1519817,-0.562613,1.771153,0.1463843,-0.5466057,1.816904,0.1859042,-0.879783,1.778153,0.2411792,-1.33087,1.766488,0.0001956005,-0.5499676,1.801682,-0.01249005,-0.884836,1.778805,-0.02920535,-1.338338,1.788446,0.2573931,-1.357675,1.630422,-0.01981905,-1.371967,1.653909,0.302169,-0.6396003,1.767729,-0.1387648,-0.6113951,1.743844,0.3021058,-0.7103675,1.751033,-0.1341639,-0.6915445,1.726118,0.07465583,-0.5585199,1.842909,0.05878609,-0.2527285,1.874412,0.04689489,-0.02847898,1.888754,-1,-1,High,High,0.340199,-0.6296625,1.77355,-0.159224,-0.6155959,1.695188,-0.02688718,0.9984652,0.01082706,0.04719083,0.797043,0.5946009,0.09215514,0.05176574,0.6626021,0.01511226,0.742568,-0.0965552,0.6255905,-0.09655324,0.746136,-0.2063857,0.7995704,-0.6002267,-0.01941871,-0.006164189,0.7854094,-0.01241255,-0.6148357,-0.07039126,0.926087,0.05499181,-0.3174054,-0.1964495,0.6443827,0.7425156,-0.08733922,-0.1606651,0.6659651,-0.003595063,0.7414383,-0.08213761,0.672164,0.03151951,0.7377806,-0.05368469,-0.657995,0.7063212,-0.1305847,0.2260543,0.7415451,0.008819611,-0.6697703,-0.03795907,0.7339665,-0.02073316,-0.6788529,-0.004706513,0.6669965,-0.1931549,0.7125716,-0.1002419,0.9157422,0.1893248,-0.2932568,-0.1989292,-0.02313509,0.9970159,0.05252217,0.05162834,-0.02327867,0.9971534,0.05245868,0.04890093,-0.02492754,0.9980525,0.03309529,0.04663226,-15,0,5
0.1268318,0.04648734,0.1940049,1.868302,0.04290797,0.04492041,1.89018,0.2219245,-0.08197833,1.924553,0.2674471,-0.3562781,1.895119,0.3111011,-0.5667371,1.799798,-0.1171299,-0.07605266,1.891052,-0.1458049,-0.3451937,1.863423,-0.1489764,-0.5608311,1.769002,0.1464531,-0.5465767,1.816924,0.1860822,-0.8797503,1.777422,0.241501,-1.330823,1.76475,0.0003160905,-0.5498409,1.801662,-0.01223502,-0.8847121,1.778866,-0.02877013,-1.33821,1.788617,0.257731,-1.357406,1.628607,-0.01932606,-1.371865,1.654095,0.2998382,-0.6366245,1.765935,-0.1347591,-0.610788,1.739846,0.3019629,-0.7102869,1.752367,-0.129402,-0.6890882,1.719584,0.07474931,-0.5584464,1.842911,0.05883979,-0.2526622,1.87441,0.0469299,-0.02841221,1.888769,-1,-1,High,High,0.3368437,-0.6244515,1.764227,-0.1569635,-0.5995663,1.695128,-0.02690392,0.9984654,0.01089129,0.04716325,0.7969581,0.5947303,0.09211923,0.05164904,0.6639934,0.01517483,0.7413673,-0.09621299,0.6238043,-0.09874386,0.7472692,-0.206656,0.7994009,-0.6004505,-0.01945128,-0.006253092,0.7942816,-0.01129531,-0.6031025,-0.07250173,0.9262871,0.05967193,-0.316176,-0.1961225,0.6445783,0.742366,-0.0873396,-0.1605721,0.6657634,-0.004333972,0.741521,-0.08298641,0.6721101,0.03080203,0.7377965,-0.05454814,-0.6577418,0.7064753,-0.130654,0.2262695,0.7416903,0.008879087,-0.6696212,-0.03773689,0.734083,-0.02067038,-0.6787303,-0.004479767,0.6676663,-0.2120054,0.706772,-0.09873708,0.9140159,0.1957745,-0.289704,-0.2057153,-0.02319023,0.9970044,0.05252504,0.0518229,-0.02333959,0.9971478,0.05245885,0.04898577,-0.02496809,0.9980515,0.03313226,0.04660445,-15,-5,5
0.1464302,0.04665302,0.194021,1.868423,0.04298838,0.04491201,1.890253,0.2221634,-0.08175755,1.924752,0.267536,-0.3561282,1.895208,0.3100435,-0.5658152,1.79738,-0.1169554,-0.07592998,1.891047,-0.1450148,-0.3435862,1.862009,-0.1462884,-0.5586376,1.765983,0.1465138,-0.5465332,1.816937,0.1860944,-0.8797126,1.777534,0.2414507,-1.330792,1.764994,0.0004464517,-0.5498565,1.801802,-0.01224703,-0.884728,1.778921,-0.02896691,-1.338226,1.788558,0.2577358,-1.357399,1.628869,-0.01948991,-1.371859,1.654028,0.2980846,-0.6364866,1.764349,-0.1319602,-0.6075572,1.736305,0.2972371,-0.7082103,1.746188,-0.1263261,-0.6876065,1.716053,0.07483452,-0.5584227,1.842968,0.05891051,-0.2526552,1.874453,0.04700319,-0.02841472,1.888828,-1,-1,High,High,0.3355585,-0.6353994,1.756583,-0.177469,-0.6029609,1.730528,-0.02685063,0.9984547,0.01099103,0.04739616,0.7964925,0.5952968,0.09240265,0.05179941,0.6697734,0.01559458,0.7361681,-0.09600465,0.6479833,-0.09752074,0.7251019,-0.2117419,0.7992417,-0.6006637,-0.01935639,-0.006414108,0.799459,-0.009518071,-0.5960457,-0.07419042,-0.6463226,-0.1546111,0.7340389,0.139819,0.6444438,0.742409,-0.08756892,-0.160788,0.6660929,-0.004236992,0.7412423,-0.08283827,0.6719542,0.03085201,0.737947,-0.05440564,-0.6579133,0.7064281,-0.1304816,0.2260176,0.7413897,0.008823116,-0.6699417,-0.03796827,0.7341953,-0.02073517,-0.6786053,-0.004706753,0.7003795,-0.2052922,0.6761692,-0.1005931,0.6740398,0.2761146,-0.6784911,-0.0952934,-0.02323854,0.9970266,0.05249649,0.05139989,-0.02337071,0.9971529,0.05243779,0.04888822,-0.0249538,0.9980395,0.03317622,0.046839,-15,5,5
0.1832613,0.0468101,0.1941207,1.868684,0.04305464,0.04494632,1.890391,0.2221834,-0.08172975,1.924757,0.2676299,-0.3557849,1.895325,0.3087155,-0.5647873,1.795156,-0.1169596,-0.07588597,1.891127,-0.1441673,-0.3426841,1.860628,-0.1443109,-0.5573453,1.76358,0.146594,-0.5464777,1.816941,0.1862309,-0.8796475,1.777839,0.2416638,-1.330716,1.765703,0.0005969328,-0.5499291,1.801859,-0.01220326,-0.8847755,1.779301,-0.02906051,-1.338245,1.789369,0.2579491,-1.357405,1.629606,-0.01963122,-1.371983,1.654881,0.2967341,-0.6355346,1.761362,-0.1286379,-0.6064044,1.732911,0.294961,-0.7070826,1.742871,-0.1230215,-0.6850488,1.711237,0.07493497,-0.558419,1.842989,0.05897819,-0.2526405,1.874499,0.04706647,-0.02838554,1.888931,-1,-1,High,High,0.3171834,-0.631351,1.722263,-0.1517912,-0.6050462,1.682254,-0.02681791,0.9984568,0.01122629,0.04731574,0.7965308,0.595277,0.09233894,0.05155071,0.677501,0.01686466,0.729048,-0.09590151,0.8616056,-0.02155018,0.4490026,-0.2357285,0.7991819,-0.6007392,-0.01943253,-0.006561248,0.8014908,-0.006922257,-0.5931667,-0.07561648,0.931399,0.06367986,-0.2968142,-0.2008533,0.6441706,0.7426019,-0.08763549,-0.1609548,0.6662555,-0.00383164,0.7411239,-0.08260944,0.6719743,0.03123981,0.7379297,-0.05416939,-0.6582244,0.706161,-0.1304709,0.2259527,0.7412829,0.008390262,-0.6700794,-0.0377209,0.7341006,-0.02116928,-0.678696,-0.00446327,0.8688456,-0.1678181,0.4371504,-0.1607608,0.9154211,0.2067174,-0.2668828,-0.2191931,-0.02329925,0.9970337,0.05253224,0.05119885,-0.02342824,0.9971565,0.05247484,0.04874906,-0.02495831,0.9980389,0.03329901,0.04676082,-20,-5,5
0.2173577,0.04689706,0.1941308,1.868767,0.04307228,0.04497449,1.890505,0.2223936,-0.08165321,1.92491,0.2676429,-0.3556649,1.895289,0.3074393,-0.5639393,1.792831,-0.1169661,-0.07588042,1.891143,-0.1435985,-0.342636,1.859579,-0.1421347,-0.5560758,1.759525,0.1466483,-0.5464644,1.816982,0.1862841,-0.8796332,1.778001,0.2417161,-1.330696,1.766027,0.0006791574,-0.5499223,1.801961,-0.01219499,-0.8847709,1.779334,-0.02914776,-1.338238,1.78931,0.2580408,-1.357415,1.629947,-0.01969844,-1.371958,1.654814,0.2957301,-0.6350316,1.760745,-0.1283881,-0.6037731,1.729259,0.2960333,-0.7067812,1.743213,-0.1199004,-0.6831479,1.704206,0.07500566,-0.5584057,1.843056,0.05901503,-0.2526229,1.874562,0.0470878,-0.02835948,1.889025,-1,-1,High,High,0.334896,-0.6396392,1.752579,-0.1531346,-0.6050252,1.683174,-0.02683415,0.998448,0.01136474,0.04745935,0.7963465,0.5955051,0.09247307,0.05152256,0.6829379,0.01709327,0.7239701,-0.09576599,0.6446614,-0.1097332,0.725679,-0.2139164,0.7992061,-0.6007082,-0.01932294,-0.006768016,0.8027387,-0.005055019,-0.5913747,-0.0765564,0.9023159,0.08585221,-0.3722142,-0.1997799,0.6441451,0.742581,-0.08778892,-0.1610703,0.666409,-0.003682994,0.7409997,-0.08249155,0.6718703,0.03136388,0.7380276,-0.05405425,-0.6582623,0.7061741,-0.1303672,0.2258612,0.7411426,0.008384736,-0.6702262,-0.03786823,0.734166,-0.02117832,-0.678624,-0.004607027,0.6972188,-0.2002693,0.6815944,-0.09595487,0.8891017,0.2144252,-0.3459801,-0.2093272,-0.02336431,0.9970425,0.05252269,0.0510069,-0.02348452,0.9971567,0.05246906,0.04872385,-0.02498347,0.9980291,0.03337231,0.04690512,-15,10,0
0.2486914,0.04700667,0.1941712,1.86895,0.04319556,0.04504313,1.890742,0.2228573,-0.08184622,1.925225,0.2676651,-0.3560937,1.895315,0.3067697,-0.5638816,1.791453,-0.1169325,-0.07587884,1.891214,-0.1431094,-0.3420714,1.858714,-0.1405206,-0.554859,1.757112,0.1467363,-0.5464529,1.817081,0.1862503,-0.8796337,1.778358,0.2415234,-1.330709,1.766729,0.0007945433,-0.549989,1.802135,-0.01206595,-0.8848323,1.77959,-0.02899805,-1.338289,1.789675,0.2579191,-1.357497,1.630685,-0.01946921,-1.372039,1.655198,0.2952789,-0.6324567,1.759692,-0.1265708,-0.6018906,1.728595,0.295852,-0.704769,1.739281,-0.1194097,-0.6806298,1.698873,0.07510927,-0.5584254,1.843186,0.05911754,-0.2526041,1.874709,0.04720211,-0.02830335,1.889231,-1,-1,High,High,0.3343198,-0.6377676,1.75375,-0.1696146,-0.609986,1.712937,-0.02675548,0.9984356,0.01157828,0.04771305,0.7965397,0.5952182,0.09267584,0.05148764,0.68442,0.01634917,0.7226288,-0.09544397,0.6403024,-0.1142383,0.7287313,-0.2142737,0.7992644,-0.6006331,-0.01912575,-0.007116915,0.8044889,-0.003586823,-0.5888672,-0.07759006,0.712034,0.1550557,-0.6664716,-0.15742,0.6439719,0.7426741,-0.08791427,-0.1612654,0.6666426,-0.003495926,0.7408332,-0.08210707,0.6716638,0.03151205,0.7382366,-0.05367904,-0.6584766,0.7060493,-0.1302606,0.2256882,0.7409686,0.008328226,-0.6704253,-0.037763,0.7343633,-0.02124489,-0.6784091,-0.004497197,0.6916679,-0.2049794,0.6856672,-0.09715669,0.7026931,0.2726851,-0.6485736,-0.1059131,-0.02337604,0.9970554,0.05253695,0.05073475,-0.02348244,0.9971561,0.05248948,0.04871454,-0.0249381,0.9980137,0.03350293,0.04716151,-15,-10,5
0.2817601,0.04714306,0.194234,1.869153,0.04316207,0.04509892,1.890928,0.2228717,-0.08186103,1.925219,0.2676065,-0.3559376,1.895331,0.3060872,-0.5635241,1.790748,-0.1169642,-0.07583742,1.891366,-0.14272,-0.3419699,1.858295,-0.1397219,-0.5540597,1.755072,0.1467534,-0.5464575,1.81715,0.1860988,-0.8796496,1.779094,0.2411518,-1.330749,1.768356,0.0008547156,-0.5500141,1.802357,-0.01226189,-0.884847,1.779829,-0.02953051,-1.338297,1.789938,0.2575036,-1.357739,1.632377,-0.02010019,-1.372057,1.655455,0.2949109,-0.6317931,1.759906,-0.1251132,-0.6009825,1.728299,0.2946926,-0.7057746,1.741236,-0.1183533,-0.6792687,1.696625,0.07514717,-0.5584359,1.84332,0.05912128,-0.2525852,1.874836,0.04717784,-0.02825643,1.889397,-1,-1,High,High,0.3352409,-0.6368585,1.758563,-0.1679979,-0.6096137,1.711838,-0.0268108,0.9984427,0.0117086,0.04749963,0.7966643,0.5951266,0.09240789,0.05109762,0.6870573,0.01664679,0.7201312,-0.09532212,0.6348918,-0.11787,0.7331093,-0.2134712,0.7992681,-0.6006241,-0.01920732,-0.007226322,0.803188,-0.002156941,-0.590593,-0.0780018,0.7241839,0.1550782,-0.6519984,-0.1625009,0.6439,0.7426358,-0.08824208,-0.1615489,0.6670827,-0.00288493,0.7405313,-0.08127496,0.6717802,0.03208357,0.7381669,-0.05283552,-0.6585652,0.7061031,-0.1299999,0.2254113,0.7406179,0.008047685,-0.6708031,-0.03799619,0.7341706,-0.02153327,-0.678607,-0.00473581,0.6874739,-0.2014297,0.6914113,-0.09357487,0.7185968,0.2671928,-0.6346987,-0.09687202,-0.02345629,0.9970803,0.05251308,0.05023034,-0.02355505,0.997173,0.05246885,0.04835435,-0.02500004,0.9980196,0.03358089,0.04694773,-15,5,5
0.3188977,0.04718625,0.1942773,1.869446,0.0432506,0.04535837,1.891626,0.2229038,-0.0818292,1.925284,0.2675673,-0.3558635,1.895341,0.3055417,-0.5632835,1.790177,-0.1169912,-0.07575727,1.891514,-0.1424117,-0.3418527,1.857815,-0.1390987,-0.553223,1.752955,0.1467258,-0.5464068,1.817303,0.1861002,-0.8795906,1.779649,0.1389667,-1.167391,2.114354,0.0008555266,-0.5499786,1.802465,-0.01241155,-0.8848019,1.78002,-0.02987823,-1.338233,1.790239,0.1665671,-1.099824,1.959619,-0.0205035,-1.372022,1.655763,0.2930889,-0.6315221,1.759887,-0.1248654,-0.6000596,1.726763,0.2934237,-0.7046798,1.739071,-0.1186698,-0.6803805,1.700507,0.07513689,-0.5583901,1.84345,0.05914285,-0.2524562,1.875161,0.04724316,-0.02803041,1.889982,-1,-1,High,High,0.3285913,-0.6280553,1.749169,-0.1649869,-0.6072621,1.705443,-0.02660426,0.9984403,0.01246307,0.04747562,0.7970689,0.5947613,0.09203395,0.04969829,0.689055,0.01675396,0.7182247,-0.09526698,0.7492684,-0.08185336,0.6154051,-0.2305935,0.7994798,-0.6003362,-0.01885042,-0.008553195,0.8018396,-0.0007871087,-0.5923499,-0.07857657,0.745275,0.1523613,-0.6264439,-0.1700571,0.6438943,0.7426379,-0.08796933,-0.161711,0.6265134,-0.0067394,0.7751953,-0.08067128,0.5928571,0.2762875,0.687508,0.3154655,-0.6586215,0.7059785,-0.1299454,0.2256686,0.7407243,0.007793189,-0.6706851,-0.03805789,0.7340637,-0.02177576,-0.6787144,-0.004798246,0.7607889,-0.1941755,0.6098975,-0.1073375,0.7419329,0.2591086,-0.6093842,-0.105115,-0.02337344,0.9970589,0.05281305,0.05037819,-0.02347687,0.9971557,0.05276716,0.04842468,-0.02486433,0.9980049,0.03413846,0.04692992,-20,0,5
