time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0330871,-0.08905315,0.1682265,1.858526,-0.0881974,0.02535119,1.892248,0.07501081,-0.09078678,1.930732,0.1280854,-0.3649808,1.968761,0.1823283,-0.5771263,1.908101,-0.2552751,-0.06899316,1.90219,-0.3571467,-0.3023635,1.877854,-0.3875586,-0.5121812,1.757371,0.009330807,-0.5582025,1.881266,0.0482548,-0.853108,1.807994,0.1059757,-1.301908,1.744053,-0.1389847,-0.5584269,1.86333,-0.1420453,-0.854951,1.817112,-0.1174641,-1.26761,1.983024,0.1149598,-1.323787,1.605914,-0.1051327,-1.291513,1.843487,0.1770452,-0.650237,1.877746,-0.395085,-0.5852749,1.734819,0.174496,-0.7241588,1.869197,-0.3931936,-0.6549186,1.7123,-0.06595425,-0.5682778,1.905718,-0.07721284,-0.2676258,1.906233,-0.08553899,-0.04685202,1.898119,0,-1,Low,Low,0.1434621,-0.6625215,1.866889,-0.4317889,-0.5829881,1.75475,-0.02002616,0.9981433,-0.03973634,0.04159163,0.7916028,0.6033216,0.05362951,0.08057216,0.6452675,0.1132243,0.7550031,-0.02793417,0.7144985,0.1814751,-0.6755193,-0.01524768,0.7513863,-0.6593909,0.008638185,0.02340018,0.8481151,-0.1524116,-0.4866877,-0.1435496,-0.4111479,-0.2041383,0.8724506,0.1676746,0.6522712,0.7418013,-0.1068162,-0.1134174,0.6558239,-0.04802019,0.7424344,-0.127985,0.6908687,-0.006571127,0.7167549,-0.09444359,-0.6435065,0.7195602,-0.1672169,0.2004272,0.7089309,0.05066752,-0.7010178,-0.05851315,0.724445,-0.1072639,-0.6621035,0.1590368,-0.6693127,-0.1193899,0.7160829,0.1580877,-0.4147475,-0.1139848,0.8963624,0.1073619,-0.01862834,0.998013,0.001980633,0.06015859,-0.01864645,0.9985431,0.001802219,0.05060219,-0.0195782,0.9988035,-0.01756301,0.04122942,0,0,0
0.0636832,-0.09012073,0.1680697,1.859347,-0.08908942,0.02526745,1.893214,0.07444907,-0.09046663,1.930513,0.1277795,-0.3649652,1.968241,0.1791218,-0.5762094,1.900669,-0.2553895,-0.06945162,1.903755,-0.3534148,-0.3059057,1.881621,-0.3878426,-0.5167429,1.767579,0.009314477,-0.5581356,1.87975,0.04709132,-0.8532172,1.807776,0.102994,-1.301299,1.745897,-0.1389892,-0.558542,1.862218,-0.1415401,-0.8539317,1.814386,-0.1187078,-1.269967,1.973141,0.1114742,-1.323014,1.607602,-0.1069044,-1.293599,1.833523,0.1745179,-0.6467381,1.86614,-0.3935346,-0.5930163,1.744287,0.1707468,-0.7142356,1.851121,-0.3921146,-0.6617811,1.72414,-0.06596851,-0.5683167,1.904415,-0.07742029,-0.2676611,1.90617,-0.08619374,-0.04692458,1.89868,0,1,Low,Low,0.1134287,-0.6420068,1.86225,-0.4229579,-0.566054,1.764813,-0.02146232,0.9983219,-0.03694708,0.03908595,0.7910032,0.6044673,0.05281953,0.07837952,0.659702,0.1135201,0.7424341,-0.02641678,0.7107132,0.1874286,-0.6773821,-0.03018061,0.7522822,-0.6583575,0.005561356,0.02461645,0.8402203,-0.1443186,-0.504178,-0.1378649,-0.4493369,-0.1814462,0.8563975,0.178205,0.651879,0.7418417,-0.1063941,-0.1157795,0.6571663,-0.04750856,0.7417396,-0.1252909,0.691955,-0.006226706,0.7160711,-0.09166071,-0.644263,0.7191135,-0.1654085,0.2010995,0.7144485,0.05284503,-0.6950658,-0.06045077,0.7242041,-0.103278,-0.6648762,0.1510025,-0.6665002,-0.1437526,0.709985,0.1761649,-0.4591077,-0.113779,0.8753319,0.1003422,-0.01882934,0.9980808,0.004032809,0.05885584,-0.01886936,0.9986274,0.003841206,0.04870758,-0.02049471,0.9989083,-0.01616547,0.03874143,-25,5,0
0.1208314,-0.09074309,0.1679408,1.859661,-0.08926824,0.02515466,1.893588,0.07413194,-0.09010245,1.930345,0.1278593,-0.3651722,1.967448,0.1762285,-0.5741982,1.889414,-0.255592,-0.06952591,1.904783,-0.3493984,-0.3111643,1.886316,-0.3860077,-0.5221352,1.777056,0.009389615,-0.5576106,1.87782,0.04608016,-0.8534518,1.807456,0.100106,-1.300353,1.748238,-0.1389568,-0.5583941,1.860611,-0.1410814,-0.8527049,1.811797,-0.116074,-1.26874,1.969831,0.1082665,-1.321921,1.609808,-0.1046717,-1.292189,1.830104,0.1707297,-0.6423934,1.854161,-0.3894286,-0.5964008,1.754945,0.1685302,-0.7097578,1.838419,-0.3913234,-0.6667466,1.737056,-0.06591937,-0.567993,1.902653,-0.07750763,-0.2676581,1.906009,-0.08632324,-0.04698686,1.898851,-1,1,Low,Low,0.1124714,-0.646204,1.846786,-0.4151339,-0.570282,1.779083,-0.02170823,0.9984277,-0.03559829,0.03746669,0.7903942,0.6053917,0.05251949,0.07758513,0.6726434,0.1134022,0.7307756,-0.02564637,0.7019686,0.1993202,-0.6819298,-0.04983369,0.7522929,-0.6583095,0.003283978,0.02594563,0.8281772,-0.1354594,-0.5282549,-0.1293056,-0.4003779,-0.181112,0.8823316,0.1684846,0.6511537,0.7422199,-0.1052995,-0.1184076,0.6583514,-0.04650838,0.7412837,-0.1221019,0.692561,-0.005525151,0.7158947,-0.08845139,-0.6455272,0.7181481,-0.1634303,0.2021104,0.7119397,0.05489199,-0.697417,-0.06114066,0.7233186,-0.1011332,-0.6659488,0.1519682,-0.6562588,-0.1489726,0.7157884,0.1864899,-0.4126971,-0.1216421,0.8991255,0.08036004,-0.01892561,0.998127,0.00668856,0.05778782,-0.01899449,0.9986766,0.006490373,0.04735167,-0.02054282,0.9989796,-0.01544944,0.03713572,-25,5,5
0.1469114,-0.09145132,0.168021,1.860106,-0.08950356,0.02524225,1.894072,0.07385281,-0.08992969,1.930126,0.1279848,-0.3652986,1.965712,0.1741884,-0.5722248,1.879984,-0.2554412,-0.07004219,1.905645,-0.3464135,-0.3160356,1.890388,-0.382838,-0.5262035,1.785846,0.01002367,-0.5573014,1.875669,0.04581387,-0.8532852,1.807465,0.09844326,-1.299638,1.75154,-0.1383758,-0.5583731,1.858646,-0.1407679,-0.8516526,1.809951,-0.1035791,-1.271786,1.956676,0.1063079,-1.321027,1.612969,-0.09267476,-1.294903,1.816903,0.167515,-0.6392716,1.843724,-0.3848203,-0.5974488,1.764885,0.1658399,-0.7054894,1.827196,-0.383886,-0.6735647,1.745467,-0.0653057,-0.5678365,1.900594,-0.0775248,-0.2676089,1.905797,-0.0864611,-0.04693188,1.899064,-1,-1,Low,Low,0.1093804,-0.6285062,1.834739,-0.4128849,-0.5768021,1.781867,-0.02225469,0.998535,-0.03371515,0.0359992,0.7903105,0.605683,0.05221184,0.07636319,0.6807206,0.1121216,0.7234172,-0.0267543,0.7384567,0.2038838,-0.6380306,-0.07765262,0.753458,-0.6569494,0.001357772,0.02677303,0.8223391,-0.1308531,-0.5403017,-0.1212846,-0.4651333,-0.1611209,0.8520745,0.1779329,0.6506981,0.7424402,-0.1038369,-0.1207989,0.6593029,-0.04477737,0.7410828,-0.1187895,0.6931565,-0.003945104,0.7157473,-0.08499634,-0.646713,0.7171069,-0.1611009,0.2038786,0.7148964,0.05435695,-0.6943734,-0.06175714,0.7231653,-0.08221006,-0.6689051,0.1511273,0.7018467,0.1359627,-0.6674873,-0.2082936,-0.4822666,-0.1179048,0.8642448,0.08123042,-0.0198063,0.9981193,0.009807967,0.05717799,-0.01991208,0.9986835,0.009591377,0.04628915,-0.02075917,0.999042,-0.01450894,0.03568772,-25,5,5
0.1679645,-0.09211157,0.1681673,1.860548,-0.08957181,0.02522534,1.894286,0.07363075,-0.08977155,1.930029,0.1284098,-0.3659028,1.962989,0.1730617,-0.5701092,1.869206,-0.255452,-0.07038131,1.906261,-0.3442364,-0.3190123,1.893028,-0.3793689,-0.5306305,1.795522,0.01044729,-0.556872,1.873477,0.04565614,-0.8534165,1.807406,0.09722792,-1.298724,1.754831,-0.1378788,-0.5582645,1.85615,-0.1400314,-0.8505591,1.807513,-0.1052455,-1.268583,1.959105,0.1049075,-1.319936,1.616131,-0.09452255,-1.291539,1.819198,0.1652908,-0.6360443,1.832049,-0.3790858,-0.6023396,1.775596,0.1648986,-0.7014375,1.812279,-0.3779949,-0.6749238,1.757466,-0.06484178,-0.5675672,1.89825,-0.07750942,-0.267559,1.905314,-0.08649454,-0.0469351,1.899119,-1,-1,Low,Low,0.1134629,-0.6530838,1.832889,-0.4096423,-0.5797306,1.799143,-0.02243369,0.9985976,-0.03264204,0.03512879,0.7900924,0.6060228,0.05272186,0.07556838,0.6861812,0.1094979,0.7185194,-0.02992078,-0.5141503,-0.23163,0.8254146,0.02622235,0.7540994,-0.6561954,-0.0005829721,0.02722873,0.8269617,-0.129324,-0.5351845,-0.1139617,-0.4229009,-0.1581081,0.877606,0.1611345,0.6502764,0.7428949,-0.10138,-0.1223508,0.6589299,-0.04287156,0.7420245,-0.1156411,0.6935075,-0.002082358,0.715784,-0.0818318,-0.6477829,0.7156518,-0.1597986,0.2066014,0.7115676,0.05505377,-0.6977658,-0.06134824,0.7223105,-0.08820403,-0.6684928,0.153639,-0.4977449,-0.1893966,0.8279895,0.1755344,-0.4411118,-0.1218315,0.8872223,0.05842898,-0.02037278,0.9980112,0.01297109,0.0582265,-0.0205256,0.9986331,0.01272787,0.04635277,-0.02082043,0.9990883,-0.01330894,0.03481463,-25,5,5
0.196042,-0.09246737,0.168257,1.86076,-0.08969,0.02520234,1.894339,0.073389,-0.08955792,1.929932,0.1286783,-0.3656273,1.961416,0.1728145,-0.5677243,1.86231,-0.2556089,-0.07083175,1.907215,-0.3420303,-0.3227766,1.895963,-0.376109,-0.5339096,1.802861,0.01156462,-0.5566021,1.871437,0.04533416,-0.8535978,1.807141,0.09467233,-1.298115,1.757321,-0.1368774,-0.5583932,1.854604,-0.1395921,-0.8497258,1.806111,-0.09085668,-1.273657,1.940188,0.1020557,-1.319202,1.618513,-0.0806722,-1.296281,1.800301,0.1646041,-0.6320432,1.822318,-0.3735813,-0.6064998,1.786462,0.1645771,-0.695855,1.797807,-0.3697074,-0.6812388,1.773242,-0.06376944,-0.5675153,1.896468,-0.07736778,-0.2675601,1.90467,-0.08655091,-0.04694743,1.899111,-1,-1,Low,High,0.1144856,-0.6508666,1.829414,-0.4049469,-0.5805504,1.808667,-0.02280723,0.9986475,-0.03224308,0.03381477,0.7897402,0.6065069,0.0534166,0.07487607,0.6881708,0.1083579,0.7166929,-0.03210575,-0.4805063,-0.2426459,0.842408,0.02419665,0.7548869,-0.6552309,-0.003462729,0.02839548,0.8257841,-0.1259313,-0.5390815,-0.1077634,-0.4540999,-0.1461774,0.863932,0.1613904,0.6493294,0.7433696,-0.1013647,-0.1244921,0.6608157,-0.04201633,0.7409536,-0.1120041,0.6939991,-0.00158355,0.7157226,-0.07812736,-0.6491321,0.7147914,-0.1574884,0.2071189,0.722168,0.05342445,-0.68678,-0.06286875,0.7221857,-0.06310467,-0.6725587,0.1487628,-0.4582992,-0.2134136,0.8438615,0.1797621,-0.4756668,-0.1054699,0.8724502,0.03804926,-0.02183478,0.99805,0.01491629,0.05654041,-0.02200858,0.9986457,0.01465863,0.04480615,-0.02120413,0.9991441,-0.01188367,0.03347142,-20,5,5
0.2341458,-0.0928499,0.168412,1.860928,-0.08970259,0.02523866,1.894339,0.07324108,-0.0893968,1.929783,0.1288751,-0.3649418,1.958869,0.172345,-0.5653998,1.85193,-0.255866,-0.07119564,1.907759,-0.3404401,-0.3254254,1.89853,-0.3731118,-0.5385251,1.810821,0.01220743,-0.5563063,1.869048,0.04511524,-0.855121,1.806295,0.09268805,-1.29736,1.759166,-0.136217,-0.5583158,1.85258,-0.1388232,-0.8487555,1.804655,-0.08709273,-1.271629,1.940141,0.09988559,-1.318288,1.620253,-0.07717984,-1.294093,1.80015,0.1668838,-0.6270195,1.811015,-0.3683277,-0.6092254,1.794968,0.1670102,-0.6901403,1.784198,-0.3622986,-0.684854,1.785,-0.0631055,-0.5673369,1.894255,-0.07715848,-0.2673823,1.903631,-0.08655928,-0.04689685,1.899052,-1,-1,Low,High,0.1093814,-0.6172771,1.823946,-0.3918332,-0.602654,1.815,-0.02280499,0.998684,-0.03184906,0.03310314,0.7895218,0.6068245,0.05479751,0.07359749,0.6908622,0.1060859,0.7142944,-0.03519509,-0.551567,-0.2519676,0.7931361,0.05675785,0.7555803,-0.654416,-0.006195325,0.02828008,0.8306313,-0.1250761,-0.5331103,-0.101,-0.2103264,-0.172615,0.9557998,0.1114169,0.6488594,0.7434857,-0.1009787,-0.1265452,0.662129,-0.04071342,0.7403336,-0.108783,0.694272,-0.000793252,0.7157869,-0.07506534,-0.6499999,0.7142203,-0.1555866,0.2078035,0.7186609,0.0533857,-0.6905333,-0.06197086,0.7212844,-0.06189857,-0.6728358,0.1523463,-0.5308048,-0.2185069,0.796024,0.1919555,-0.2236756,-0.1145284,0.9678819,-0.007568132,-0.02249738,0.9980718,0.01688178,0.0553326,-0.02269074,0.9986439,0.01662098,0.0438087,-0.02162846,0.9991843,-0.009673566,0.0327007,-25,5,5
0.2622372,-0.09340754,0.1687899,1.86148,-0.09012863,0.02554,1.894796,0.07308186,-0.08926082,1.929649,0.1288546,-0.3636885,1.956009,0.1723744,-0.5631863,1.845788,-0.2560856,-0.07148807,1.908556,-0.3388876,-0.3276696,1.900461,-0.3707836,-0.5399483,1.814057,0.01250488,-0.5560502,1.866849,0.04470585,-0.8552175,1.805571,0.09111988,-1.296545,1.760707,-0.1359964,-0.5581817,1.850948,-0.1382029,-0.8477703,1.80353,-0.08553404,-1.269029,1.942399,0.09805232,-1.317306,1.621682,-0.07593403,-1.291348,1.802285,0.1690299,-0.6242318,1.803161,-0.3650209,-0.6109806,1.802415,0.1675444,-0.6859744,1.775374,-0.3608624,-0.6845161,1.792274,-0.06284475,-0.567148,1.892341,-0.07726062,-0.2671837,1.903111,-0.0868248,-0.04669432,1.8992,-1,-1,Low,High,0.1093502,-0.6028047,1.826167,-0.3965594,-0.584662,1.818769,-0.02377616,0.9987701,-0.02967899,0.03181377,0.7895942,0.6068651,0.05510297,0.0722463,0.6914313,0.1032623,0.7139674,-0.03885846,-0.5124347,-0.2603213,0.8168789,0.04850262,0.7564966,-0.6533107,-0.008525407,0.02872951,0.8277088,-0.1221111,-0.5389334,-0.09766202,-0.4930795,-0.1292887,0.8459073,0.1568372,0.6486608,0.7432304,-0.1007471,-0.12922,0.6638077,-0.03946385,0.7392489,-0.106363,0.6948065,0.0001659083,0.7155275,-0.0725558,-0.6507861,0.7139022,-0.1530993,0.2082823,0.7135279,0.05389753,-0.6959115,-0.06066439,0.7202421,-0.06395832,-0.6729055,0.1560729,-0.4881928,-0.2455483,0.819268,0.173706,-0.51982,-0.08995169,0.8494886,0.008070849,-0.02300436,0.9981223,0.01918477,0.05342844,-0.02321858,0.9986598,0.01892494,0.04220438,-0.02193855,0.9992316,-0.008174575,0.03143252,-20,5,5
0.295568,-0.09392889,0.1690769,1.861955,-0.09033979,0.0255786,1.894899,0.07285626,-0.08899689,1.929273,0.1287449,-0.3630481,1.952819,0.1718936,-0.5602854,1.839607,-0.2562175,-0.07174305,1.908658,-0.3376695,-0.3300998,1.902396,-0.3677861,-0.5412792,1.818692,0.01302302,-0.555685,1.864574,0.04468288,-0.8549268,1.804315,0.09024586,-1.295516,1.760998,-0.1356493,-0.5580494,1.849075,-0.1378464,-0.8468124,1.802254,-0.08791228,-1.267372,1.943445,0.09704662,-1.316113,1.621885,-0.07842239,-1.289541,1.803237,0.1699718,-0.6217557,1.794191,-0.360923,-0.6153535,1.806776,0.168719,-0.68339,1.767986,-0.3524933,-0.694161,1.802339,-0.06240898,-0.5669075,1.890263,-0.07729724,-0.2670527,1.902258,-0.08696757,-0.04665416,1.899181,-1,-1,Low,High,0.1058979,-0.5916681,1.818619,-0.3799447,-0.6331744,1.7864,-0.02420877,0.9988,-0.02883254,0.03132365,0.7892157,0.6074994,0.05583964,0.0704628,0.6920936,0.1000163,0.7135795,-0.04251562,-0.5767524,-0.2614708,0.7703235,0.07477468,0.7570348,-0.6527044,-0.01013314,0.02779205,0.8289096,-0.1211854,-0.5381858,-0.09262293,0.7883019,0.05682267,-0.5825522,-0.1896946,0.648242,0.7433046,-0.100267,-0.1312528,0.6650633,-0.03867055,0.7384011,-0.1046867,0.6950241,0.0007612623,0.7154912,-0.07080358,-0.6517681,0.7133233,-0.1509278,0.2087797,0.7124245,0.05345786,-0.6971309,-0.06001721,0.7199677,-0.06810229,-0.6728097,0.155999,-0.5532735,-0.2464857,0.7719495,0.1929438,0.8062261,0.08364404,-0.584466,-0.03745008,-0.02371488,0.9981381,0.02123352,0.05202832,-0.02394309,0.9986424,0.02097585,0.04123235,-0.02212614,0.999257,-0.006293977,0.03092215,-25,10,5
0.3306724,-0.09426147,0.1692673,1.862044,-0.09052192,0.02568348,1.894864,0.07260533,-0.08883836,1.92865,0.1286279,-0.3630217,1.950699,0.1717143,-0.5591968,1.834733,-0.2564097,-0.07196914,1.908841,-0.3362868,-0.3312349,1.903545,-0.3658744,-0.5421615,1.820587,0.01309755,-0.5555924,1.862605,0.04448233,-0.854665,1.802829,0.08961342,-1.294628,1.760241,-0.1356031,-0.5581315,1.846896,-0.1375708,-0.8461061,1.801381,-0.0869673,-1.265849,1.94422,0.09617054,-1.315073,1.621047,-0.07774374,-1.287884,1.80392,0.1706854,-0.6195983,1.788593,-0.3589334,-0.6154647,1.807827,0.1697274,-0.6797158,1.759901,-0.3552112,-0.6892979,1.800134,-0.06234803,-0.5669069,1.888182,-0.07743688,-0.2669,1.901051,-0.08716603,-0.04653588,1.899005,-1,-1,Low,High,0.1036291,-0.5829078,1.81475,-0.3949932,-0.5822387,1.83425,-0.02404578,0.9988598,-0.02789131,0.03037936,0.7891523,0.6077618,0.056596,0.06827271,0.6922348,0.09824141,0.7135658,-0.0445357,0.672033,0.2536034,-0.6865125,-0.1129494,0.7576438,-0.6519859,-0.01253683,0.0270761,0.8264128,-0.1189887,-0.5429429,-0.08998089,-0.4520167,-0.133805,0.8700984,0.1438957,0.6480044,0.7436014,-0.0989022,-0.1317785,0.6646541,-0.03848302,0.7388922,-0.1038854,0.695583,0.001064251,0.7150275,-0.06999281,-0.6522971,0.7125843,-0.1503678,0.210051,0.7127208,0.05232456,-0.6970562,-0.05834132,0.7191892,-0.06899578,-0.673095,0.1579544,-0.6291851,-0.2347571,0.7081151,0.2181473,-0.4769316,-0.09765854,0.8734981,0.0001546691,-0.02394245,0.9980651,0.02270662,0.05269912,-0.02420485,0.9986104,0.0224267,0.04109054,-0.02218733,0.9992976,-0.003975294,0.0299388,-20,5,5
