time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0208,-0.06712546,0.1933709,1.938037,-0.06842327,0.02332204,1.968058,0.1072632,-0.09939951,1.994697,0.1698263,-0.3711702,2.006962,0.2239926,-0.5779403,1.914372,-0.2323202,-0.1025213,1.962293,-0.2533825,-0.3657216,1.960755,-0.2556343,-0.5855123,1.870355,0.0532227,-0.5743115,1.906099,0.09659974,-0.9102165,1.863977,0.0890227,-1.335177,2.046458,-0.09867445,-0.5841312,1.890501,-0.1043098,-0.9222396,1.860132,-0.0666829,-1.318591,2.092496,0.08558588,-1.417059,1.997262,-0.0432791,-1.414346,2.036108,0.2198941,-0.6471958,1.887911,-0.2364472,-0.6466616,1.844372,0.2184185,-0.7222317,1.875896,-0.2212375,-0.7281934,1.838969,-0.02317833,-0.5897397,1.932764,-0.04638562,-0.279256,1.957948,-0.06308628,-0.05126011,1.96804,-1,-1,High,High,0.2555891,-0.6253128,1.887752,-0.1861358,-0.610982,1.857944,-0.03566435,0.9982271,0.001825013,0.04761673,0.7931744,0.6033866,0.07300275,0.03833506,0.6782373,0.09317967,0.7257957,-0.06732286,0.5817389,-0.09217931,0.7780793,-0.2183469,0.8030378,-0.5956089,0.001012033,-0.01947547,0.7640104,-0.02864302,-0.6439615,-0.02795232,0.461965,-0.1732981,0.8654372,-0.08703157,0.6310123,0.7561131,-0.09044977,-0.1481057,0.6414188,-0.006312456,0.7620193,-0.08870522,0.7026158,0.1343153,0.6824243,0.1502916,-0.669926,0.695248,-0.137317,0.2212993,-0.6558259,-0.02831691,0.7535378,0.03565853,0.7373638,-0.1360694,-0.621446,0.2271226,0.6272257,-0.1574794,0.7569319,-0.09403316,0.4485783,-0.1055824,0.8607505,-0.2161908,-0.03514829,0.9972546,0.04217367,0.04969247,-0.03522119,0.997339,0.04211281,0.04796752,-0.03544921,0.9979891,0.02376083,0.0468666,-15,-5,0
0.0552213,-0.06418549,0.192922,1.938766,-0.06575724,0.02279308,1.968889,0.1090391,-0.09967476,1.996252,0.171471,-0.3729218,2.007649,0.2243288,-0.5794425,1.913585,-0.2292209,-0.1022148,1.962362,-0.2516473,-0.3649666,1.960638,-0.2543438,-0.5832441,1.86977,0.05660274,-0.5745367,1.908574,0.09891964,-0.9105742,1.865448,0.1350252,-1.349596,2.010441,-0.09501326,-0.5846343,1.892308,-0.1026104,-0.9227039,1.861584,-0.06494522,-1.319524,2.093184,0.1512465,-1.420817,1.9278,-0.04098988,-1.414887,2.035652,0.2163676,-0.6470979,1.886452,-0.2338404,-0.6427046,1.839905,0.2182442,-0.7208009,1.87325,-0.2170629,-0.7250248,1.832896,-0.01956817,-0.5901099,1.934943,-0.04325343,-0.2797235,1.959424,-0.06030476,-0.05177701,1.969026,-1,-1,High,High,0.2560175,-0.6262349,1.887591,-0.1802559,-0.6065282,1.850474,-0.03648651,0.9980807,0.0009103531,0.05002845,0.79309,0.603254,0.07410434,0.04001898,0.6816983,0.09172884,0.7227197,-0.06744976,0.5602101,-0.1024033,0.7933013,-0.2152933,0.8018366,-0.5971677,0.00359748,-0.02087808,0.7658004,-0.03052081,-0.6416602,-0.02984072,0.5576435,-0.1644893,0.8065994,-0.1066505,0.6300833,0.7572426,-0.09026904,-0.1463908,0.6662714,-0.00551533,0.7403992,-0.08866231,0.6563824,0.1445467,0.7365447,0.0759632,-0.6701542,0.6943911,-0.1391518,0.2221512,-0.6529793,-0.02695463,0.7559373,0.03808254,0.7390163,-0.1349086,-0.6198732,0.2267416,0.6147819,-0.1817151,0.7637861,-0.07519065,0.54387,-0.09742341,0.7944815,-0.2520184,-0.03588997,0.9971551,0.04118242,0.05193701,-0.03595829,0.99724,0.04112278,0.05028147,-0.03621805,0.997868,0.02281861,0.04926446,-15,-10,5
0.0902063,-0.06105636,0.1930019,1.940822,-0.06354699,0.02260123,1.970685,0.1110521,-0.09981166,1.998617,0.1725084,-0.3744328,2.008989,0.2240445,-0.5806124,1.913259,-0.2266014,-0.1021577,1.962856,-0.2505441,-0.3640103,1.960556,-0.2493799,-0.5863796,1.866946,0.0602656,-0.5750686,1.912157,0.1031769,-0.9110229,1.868089,0.1292751,-1.352309,2.008795,-0.09116463,-0.5848917,1.894656,-0.10143,-0.9229268,1.862751,-0.055517,-1.315893,2.099166,0.1422471,-1.422753,1.92335,-0.02831772,-1.411284,2.044567,0.2134787,-0.6469618,1.888423,-0.2313881,-0.6437448,1.839198,0.2172094,-0.7187545,1.871587,-0.2148374,-0.726038,1.833511,-0.01573614,-0.5904968,1.937909,-0.04024161,-0.2800091,1.961825,-0.05789567,-0.05199191,1.970975,-1,-1,High,High,0.2552049,-0.6300581,1.886382,-0.1792776,-0.6148119,1.857961,-0.03784942,0.9978842,5.76214E-05,0.05286292,0.7930258,0.6031608,0.07500787,0.04099988,0.683154,0.08893901,0.7217346,-0.06700389,0.5444139,-0.1112739,0.8036732,-0.2129341,0.8014419,-0.5975707,0.007119172,-0.0234408,0.7826951,-0.03298753,-0.6207191,-0.03174881,0.4430515,-0.1754253,0.8743752,-0.09164849,0.6306386,0.7575721,-0.0888439,-0.1431302,0.6631415,-0.006327595,0.7430129,-0.09019581,0.6647259,0.1327295,0.7305855,0.08226313,-0.6692443,0.6941291,-0.1412344,0.2243871,-0.6291389,-0.0269896,0.7757219,0.04136784,0.7435475,-0.1292199,-0.6111025,0.238732,0.6075507,-0.1852525,0.7707332,-0.05033674,0.4261014,-0.1326275,0.866955,-0.2218933,-0.03706606,0.9969122,0.04048876,0.05615029,-0.03716195,0.9970425,0.04040077,0.05378653,-0.03750696,0.9976963,0.02199248,0.05207248,-20,-10,0
0.1233361,-0.05829957,0.192962,1.942053,-0.06111614,0.02275081,1.972593,0.1140318,-0.1001749,2.001901,0.1732555,-0.3750727,2.010216,0.2232398,-0.581363,1.91382,-0.2239249,-0.1017626,1.963475,-0.2499003,-0.3637426,1.960267,-0.2472113,-0.5849962,1.864597,0.06251187,-0.5751838,1.914313,0.104785,-0.9112163,1.869417,0.1287245,-1.354511,2.004722,-0.08868539,-0.5845466,1.895958,-0.1007043,-0.9225336,1.863937,-0.08304136,-1.330284,2.07923,0.141903,-1.423317,1.916295,-0.06364942,-1.422779,2.009934,0.2111272,-0.6463892,1.888745,-0.2306015,-0.6425363,1.834357,0.214145,-0.7187929,1.872374,-0.2139323,-0.7221144,1.824991,-0.01334045,-0.59037,1.939634,-0.03778137,-0.2798696,1.963684,-0.0554455,-0.05184503,1.972881,-1,-1,High,High,0.2537014,-0.6250681,1.887583,-0.1756202,-0.6061027,1.853167,-0.03797494,0.9976763,0.0002253992,0.0565684,0.7932118,0.6023704,0.07817813,0.04304918,0.6831382,0.08353708,0.7224224,-0.06670613,0.5391327,-0.1157812,0.8073322,-0.2101083,0.8010862,-0.5979016,0.009797644,-0.02604962,0.7913039,-0.03541011,-0.6093943,-0.0349681,0.481888,-0.173601,0.8524606,-0.1046777,0.631746,0.7571133,-0.08724339,-0.1416516,0.6609739,-0.008119177,0.744917,-0.09025684,0.6640754,0.1267488,0.732521,0.07969682,-0.6680818,0.6943371,-0.1425035,0.2263967,-0.6902013,-0.02186642,0.7218598,0.04541333,0.7377283,-0.1411906,-0.6305429,0.1955448,0.6055574,-0.1962459,0.770017,-0.04314504,0.4644423,-0.1429996,0.8444611,-0.2252329,-0.0368275,0.9967368,0.04080493,0.0591144,-0.03690929,0.9968534,0.04073097,0.05711482,-0.03743979,0.9974932,0.02223348,0.05577813,-20,-5,5
0.1550948,-0.05598197,0.1927128,1.94279,-0.05921074,0.02285388,1.973824,0.116379,-0.1005859,2.003808,0.1739121,-0.3757091,2.011131,0.2228141,-0.5818648,1.913778,-0.2218991,-0.1016501,1.964089,-0.2494306,-0.3637719,1.960255,-0.245563,-0.5828333,1.860338,0.06452627,-0.5751477,1.9157,0.1051139,-0.911383,1.869624,0.04912525,-1.304249,2.104387,-0.08656136,-0.5844504,1.896995,-0.09865915,-0.9224449,1.864887,-0.105519,-1.366225,2.000311,0.04221533,-1.403642,2.054993,-0.09008192,-1.4362,1.91533,0.2094253,-0.6441998,1.888488,-0.2308404,-0.6426041,1.830335,0.2173973,-0.7141864,1.870652,-0.2144928,-0.7227461,1.823602,-0.01121944,-0.5903006,1.940869,-0.03574774,-0.2797828,1.964938,-0.0535026,-0.05174623,1.974122,-1,-1,High,High,0.2532491,-0.6298063,1.888889,-0.1754222,-0.6039585,1.855643,-0.03822552,0.9975654,0.0002401364,0.05832732,0.7936656,0.6015155,0.07960674,0.04400942,0.6826928,0.08012731,0.7233105,-0.0658195,0.5056995,-0.1272916,0.8284539,-0.2042768,0.8010688,-0.5978465,0.01115003,-0.02727382,0.7948318,-0.03721609,-0.6045282,-0.03745605,0.5056078,-0.1774304,0.8361916,-0.1168879,0.6318339,0.7571841,-0.08677793,-0.1411655,0.5755774,-0.02077732,0.8127583,-0.08776655,0.6673359,0.1468518,0.6933205,0.2289195,-0.6678743,0.6941611,-0.1430708,0.2271895,0.7458,0.01815729,-0.6642482,-0.04719114,0.7526162,-0.1014097,-0.6416736,0.1074238,0.5760572,-0.2113252,0.7890273,-0.03058789,0.4907754,-0.138765,0.8339977,-0.210551,-0.03691392,0.9966589,0.04088298,0.06030709,-0.03698459,0.9967617,0.04081907,0.05858299,-0.03759751,0.9973865,0.02228102,0.05753337,-15,-10,5
0.189007,-0.0533949,0.1926137,1.943061,-0.05669247,0.02288304,1.975694,0.118245,-0.1007007,2.00557,0.1748812,-0.3764716,2.012393,0.220952,-0.5830776,1.91455,-0.2203705,-0.1016263,1.96489,-0.2484644,-0.3632017,1.96069,-0.2444095,-0.5815071,1.858186,0.06641785,-0.5749595,1.916777,0.112711,-0.9104667,1.872043,0.1178557,-1.35611,2.002312,-0.08471052,-0.5843411,1.897812,-0.0976049,-0.9223328,1.865034,-0.1073637,-1.366218,1.999977,0.1231,-1.424351,1.914414,-0.09262443,-1.436346,1.915084,0.2080884,-0.6446595,1.888557,-0.23232,-0.6412473,1.825956,0.2100413,-0.7186831,1.870383,-0.2165034,-0.7196656,1.818336,-0.00930561,-0.5901483,1.941832,-0.0335295,-0.2796841,1.966331,-0.05105604,-0.05169893,1.975869,-1,-1,High,High,0.2485499,-0.6324173,1.885479,-0.1733903,-0.6038839,1.85325,-0.03770852,0.9974978,0.001088316,0.05979172,0.7940782,0.6008534,0.08074166,0.04354116,0.6902714,0.07890856,0.7163513,-0.06433969,0.5057618,-0.1314402,0.8289674,-0.1993531,0.800622,-0.5983129,0.01229129,-0.02958016,0.7947551,-0.03771579,-0.6045179,-0.03872954,0.4993193,-0.1826571,0.8385742,-0.1187845,0.6317479,0.7573286,-0.08579625,-0.1413754,0.6588933,-0.004255063,0.7462587,-0.0945483,0.6841531,0.1062861,0.7154167,0.09389769,-0.6680635,0.6937565,-0.1432128,0.2277788,0.7462031,0.01789929,-0.6636924,-0.04871045,0.7516637,-0.1036261,-0.6428676,0.1048071,0.5711422,-0.2153072,0.7912926,-0.03599424,0.4846523,-0.163759,0.835668,-0.1998852,-0.0363588,0.9966042,0.04157566,0.06106983,-0.03641573,0.9966869,0.04152581,0.0597045,-0.03702911,0.9973032,0.02308533,0.0590104,-15,-10,0
0.2284518,-0.05118934,0.1931166,1.943888,-0.05484217,0.02282318,1.976426,0.1198204,-0.101016,2.006775,0.1758706,-0.3770531,2.013808,0.2194832,-0.5838961,1.915248,-0.2185277,-0.101703,1.96539,-0.2476232,-0.3629875,1.96062,-0.2437215,-0.5795808,1.856866,0.06826214,-0.5748764,1.917549,0.1173869,-0.9099821,1.873072,0.1120615,-1.357006,1.999177,-0.08266895,-0.5845417,1.898238,-0.0973377,-0.9224677,1.86501,-0.1075579,-1.366312,2.000037,0.1116796,-1.424091,1.911737,-0.09234837,-1.436473,1.91537,0.2069606,-0.6442041,1.889242,-0.2333737,-0.6422852,1.823175,0.2138164,-0.7155876,1.871374,-0.2181302,-0.7163925,1.810024,-0.007336306,-0.5902057,1.942441,-0.03160258,-0.2797446,1.967018,-0.0491823,-0.05175964,1.976593,-1,-1,High,High,0.2502455,-0.6342698,1.891515,-0.1905254,-0.6204144,1.818429,-0.0378595,0.9974269,0.001191845,0.06086744,0.7944661,0.6001092,0.08195699,0.04444642,0.6972442,0.07901242,0.709717,-0.06252391,0.4873265,-0.1398747,0.8401954,-0.1924053,0.8006187,-0.5982863,0.01276836,-0.03000518,0.7955002,-0.03866168,-0.6033458,-0.04072485,0.7791232,-0.1265343,0.5863788,-0.1819775,0.6310233,0.758065,-0.08512968,-0.1410676,0.6576492,-0.001355594,0.7469931,-0.09745257,0.6995733,0.09293053,0.7012736,0.1008794,-0.6685212,0.6929224,-0.1439564,0.228505,0.746783,0.01633654,-0.6629115,-0.05095647,0.7533775,-0.103789,-0.6408277,0.1048334,0.5496938,-0.2188604,0.8055071,-0.03309462,0.7629222,-0.09021445,0.5948236,-0.2366344,-0.03637193,0.996528,0.04174485,0.06218185,-0.03642996,0.9966134,0.04169421,0.06079561,-0.03711476,0.997233,0.02321295,0.06008378,-15,-5,5
0.2553819,-0.0490731,0.193665,1.94521,-0.05075097,0.02278271,1.978488,0.1221865,-0.1016722,2.008704,0.1766242,-0.3775693,2.015026,0.2199122,-0.5844957,1.916508,-0.2163992,-0.1016224,1.966477,-0.2466342,-0.3624343,1.959909,-0.2430636,-0.5790163,1.855752,0.06993771,-0.5748232,1.918113,0.1189459,-0.9099431,1.874227,0.1097678,-1.357657,1.997996,-0.08086017,-0.5842512,1.898712,-0.09579833,-0.9222021,1.864597,-0.1094199,-1.366211,1.998857,0.1081375,-1.424201,1.90948,-0.09523033,-1.436532,1.914607,0.2064229,-0.6437638,1.890695,-0.2355994,-0.6413035,1.822184,0.2129727,-0.7139861,1.870318,-0.2197682,-0.7163245,1.811013,-0.005559901,-0.5900325,1.942971,-0.02877146,-0.2796484,1.96821,-0.04542008,-0.0517613,1.978419,-1,-1,High,High,0.2493476,-0.6301456,1.894503,-0.2036598,-0.632992,1.795909,-0.03559008,0.9974214,0.002685475,0.06226368,0.795981,0.5978585,0.08379642,0.04424475,0.6946607,0.07595546,0.7126463,-0.06174453,0.4780068,-0.1422645,0.8456426,-0.1901546,0.799684,-0.5994239,0.01309799,-0.032013,0.7981551,-0.03857878,-0.5995555,-0.04464607,0.9038484,-0.07625774,0.3655261,-0.2088865,0.6316155,0.7574698,-0.08421416,-0.1421599,0.6573058,-0.0008673009,0.7473853,-0.09676547,0.7025292,0.087732,0.6987722,0.1023393,-0.6680078,0.693246,-0.1440239,0.2289818,0.746918,0.01688728,-0.6626499,-0.05218669,0.7518234,-0.1063119,-0.6427705,0.1015159,0.5435941,-0.2250135,0.8082394,-0.02497114,0.8934519,-0.04396814,0.373454,-0.2456471,-0.03461592,0.9965297,0.04272285,0.06249027,-0.03465024,0.9965796,0.04269503,0.06168964,-0.03498317,0.9971901,0.02454062,0.06152876,-15,-15,5
0.2894967,-0.04668158,0.1942904,1.948458,-0.04912792,0.02267738,1.979413,0.1233711,-0.1018036,2.010234,0.1777722,-0.3788025,2.017334,0.2202334,-0.585528,1.917945,-0.2146433,-0.1014895,1.967454,-0.2456179,-0.3617071,1.958909,-0.2426983,-0.5777732,1.855652,0.07093505,-0.5749848,1.918689,0.1201759,-0.9100654,1.875007,0.1066013,-1.357249,2.000171,-0.0799299,-0.5839331,1.898952,-0.0937641,-0.9219242,1.865469,-0.1076711,-1.364592,2.003633,0.1027723,-1.424279,1.913621,-0.09376346,-1.436273,1.921059,0.2068436,-0.6453571,1.893514,-0.2363123,-0.6421891,1.822786,0.2138917,-0.7160706,1.873685,-0.2203486,-0.7178189,1.812587,-0.004608773,-0.5899457,1.943365,-0.02745039,-0.2796482,1.968881,-0.04386287,-0.05183999,1.979285,-1,-1,High,High,0.2495249,-0.6357275,1.897,-0.2046207,-0.6380416,1.799206,-0.03513708,0.9973801,0.003083384,0.06315761,0.7960041,0.5974929,0.08549751,0.04549605,0.6966947,0.0767762,0.7106962,-0.06027408,0.4717936,-0.1462085,0.8488268,-0.1884859,0.7994437,-0.5997561,0.01278952,-0.03191821,0.8001364,-0.03768205,-0.5966683,-0.04846458,0.8727582,-0.09304779,0.4351905,-0.2006099,0.6329167,0.7565942,-0.08315267,-0.1416589,0.6563533,-0.0005379217,0.7482135,-0.09683236,0.7080691,0.08456026,0.6927681,0.1075172,-0.6670076,0.6938916,-0.1442253,0.2298138,0.7478797,0.01741918,-0.6616859,-0.05044117,0.7510663,-0.1094569,-0.6426328,0.1046032,0.5369636,-0.2154666,0.8154377,-0.01748244,0.865193,-0.06562606,0.4416931,-0.228126,-0.03395562,0.9964592,0.04318126,0.06364954,-0.03399561,0.9965179,0.04314979,0.06272643,-0.0344315,0.9971424,0.02497311,0.06243273,-15,-10,5
0.3342396,-0.04515726,0.1947031,1.95128,-0.04781116,0.0225521,1.980271,0.125432,-0.1022001,2.012861,0.1786173,-0.379652,2.01935,0.2204499,-0.586186,1.919216,-0.2124185,-0.1014025,1.968086,-0.2443183,-0.3610997,1.958075,-0.2421595,-0.5755442,1.855544,0.0719913,-0.5749909,1.919335,0.1207018,-0.910147,1.875737,0.1049457,-1.356442,2.003473,-0.07885836,-0.5836341,1.899291,-0.09318847,-0.9216247,1.865387,-0.1092773,-1.364722,2.002083,0.1010658,-1.424407,1.918569,-0.0954144,-1.436135,1.918715,0.2068479,-0.6453725,1.894555,-0.2361839,-0.6418281,1.823258,0.2133441,-0.7197286,1.875591,-0.2220681,-0.7164353,1.812074,-0.003528422,-0.5897948,1.943859,-0.02621322,-0.2796325,1.969578,-0.04255812,-0.05193073,1.980107,-1,-1,High,High,0.2495507,-0.6318406,1.89416,-0.2068069,-0.6317009,1.796683,-0.03504903,0.9972087,0.003413939,0.06583913,0.7955925,0.5972797,0.08908043,0.04851935,0.6956955,0.0743188,0.7119953,-0.05955653,0.4686555,-0.1490002,0.8502832,-0.1875617,0.79957,-0.599553,0.01348077,-0.0322831,0.8013145,-0.03759436,-0.5948129,-0.05176375,0.8675361,-0.09687669,0.4454817,-0.1988521,0.6336966,0.7560972,-0.08238138,-0.1412765,0.6556078,-0.001060185,0.748953,-0.0961602,0.7070103,0.08499254,0.6932234,0.1111497,-0.6663498,0.6942032,-0.1444691,0.2306264,0.7485183,0.0172283,-0.6608946,-0.05140014,0.7516634,-0.1101199,-0.6422581,0.1018834,0.5343189,-0.2196187,0.8160845,-0.01664849,0.8621314,-0.06743498,0.452518,-0.2177373,-0.03365129,0.996385,0.04354526,0.06471623,-0.03365668,0.9963931,0.0435411,0.06459276,-0.03421447,0.9969688,0.02534094,0.06511763,-15,0,5
