time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0150482,-0.04059915,0.1504073,1.912809,-0.02976592,0.01781526,1.944576,0.132346,-0.09699494,1.970641,0.2001216,-0.3722347,1.994295,0.253655,-0.5828375,1.906126,-0.198286,-0.08978471,1.954373,-0.2564125,-0.3580318,1.953662,-0.2993981,-0.5689346,1.859766,0.06028239,-0.5676528,1.883807,0.1046516,-0.8979392,1.844427,0.09202431,-1.289736,2.025802,-0.07210293,-0.5703761,1.868693,-0.0987737,-0.9022877,1.836551,-0.04700371,-1.286293,2.026982,0.09115443,-1.296464,1.896436,-0.03363493,-1.288531,1.900819,0.2501068,-0.6588453,1.89199,-0.3048459,-0.6300011,1.82431,0.2525784,-0.7209204,1.874632,-0.3021028,-0.6999493,1.815984,-0.006003337,-0.5790242,1.909224,-0.01835853,-0.2768566,1.933969,-0.02703696,-0.05483548,1.944312,-1,-1,Low,High,0.2840465,-0.6337993,1.9004,-0.2918481,-0.6060461,1.789723,-0.01871567,0.9994596,0.002319467,0.02692395,0.7881932,0.6096632,0.07079798,0.04527559,0.69238,0.1138606,0.7102296,-0.05674347,0.5267192,-0.09898362,0.819513,-0.2028979,0.7738202,-0.6325044,-0.03190945,0.0110504,0.713101,-0.07546609,-0.6929247,-0.0751486,0.9730735,-0.1036919,0.0467595,-0.2004731,0.6412427,0.7436872,-0.0986205,-0.1612791,0.6262732,-0.00407614,0.7745364,-0.08864999,0.6947963,0.1404323,0.6861508,0.1635052,-0.6491768,0.707468,-0.1521358,0.2343357,-0.6281639,-0.01226586,0.7755629,0.06133366,0.7347315,-0.1019119,-0.6363035,0.2118993,0.5668369,-0.08852585,0.8183825,-0.03330482,0.9627684,-0.05717922,0.06476636,-0.2561499,-0.01803745,0.9973574,0.04190613,0.05654013,-0.01866736,0.9980966,0.04162934,0.04149313,-0.01889282,0.9991867,0.02377062,0.02653104,-25,30,-10
0.0462466,-0.04050808,0.1501042,1.91265,-0.02955616,0.01763728,1.944577,0.1328011,-0.09709229,1.971017,0.2004656,-0.3730572,1.995883,0.2538823,-0.5837479,1.907889,-0.1982307,-0.08967972,1.954489,-0.2561258,-0.3573368,1.953145,-0.2996871,-0.5673165,1.857216,0.06057824,-0.5677386,1.884311,0.1050899,-0.8980005,1.845383,0.09693322,-1.293007,2.020412,-0.07181997,-0.5702779,1.868919,-0.09871317,-0.9021774,1.836687,-0.04322941,-1.285694,2.027103,0.09641074,-1.300978,1.890841,-0.02960669,-1.287751,1.900766,0.2501107,-0.6591046,1.893707,-0.304931,-0.6310737,1.822059,0.2523317,-0.7225574,1.877872,-0.3028748,-0.6971632,1.813543,-0.005713039,-0.5790063,1.909576,-0.01811089,-0.2769487,1.934129,-0.02681985,-0.05499126,1.944352,-1,-1,Low,High,0.2848813,-0.6390136,1.8992,-0.2937063,-0.6064317,1.788845,-0.01877839,0.9994496,0.002059932,0.02727094,0.787917,0.6099123,0.07122081,0.04605938,0.6919698,0.1149199,0.7105944,-0.05501706,0.5133997,-0.102069,0.8280511,-0.2008336,0.773301,-0.6331373,-0.03184541,0.01134135,0.709976,-0.07417905,-0.6961513,-0.07619086,0.9721438,-0.1044265,0.04286871,-0.2054113,0.6418158,0.7434703,-0.09819031,-0.160259,0.6337833,-0.002557674,0.7684346,-0.08843235,0.6942789,0.1389997,0.689223,0.1537128,-0.6487058,0.7076597,-0.1526419,0.2347318,-0.6203205,-0.01278083,0.7818251,0.06155093,0.7358202,-0.0981359,-0.634582,0.2150433,0.553032,-0.09086506,0.8276083,-0.03103856,0.9659528,-0.05256604,0.06039185,-0.2460179,-0.01808741,0.9973058,0.04163007,0.05762879,-0.01872849,0.9980771,0.04134562,0.04221224,-0.01896618,0.9991821,0.02351727,0.02687654,-15,25,10
0.0780693,-0.04030185,0.1495347,1.912232,-0.02917956,0.01743011,1.944668,0.1334235,-0.09682013,1.971717,0.2006775,-0.3732563,1.99711,0.2539589,-0.5842913,1.90998,-0.1981761,-0.08955557,1.954689,-0.2561957,-0.3574724,1.952566,-0.2998749,-0.5669525,1.85547,0.06094073,-0.5677026,1.884609,0.1054648,-0.8979651,1.845526,0.1129414,-1.301454,2.00169,-0.07148018,-0.5702217,1.869131,-0.09829015,-0.9021303,1.836908,-0.03828489,-1.280355,2.035793,0.1131572,-1.312026,1.872404,-0.02453102,-1.280859,1.909165,0.2508556,-0.6595958,1.89649,-0.3067957,-0.6280414,1.822814,0.2545485,-0.7146541,1.882973,-0.3045726,-0.6960003,1.812001,-0.00535238,-0.5789591,1.909839,-0.01771978,-0.2770339,1.934325,-0.02643453,-0.05517098,1.944472,-1,-1,Low,High,0.28448,-0.6371085,1.902364,-0.2932898,-0.6060053,1.787783,-0.01884948,0.9994288,0.001878154,0.02798619,0.786865,0.611052,0.07227845,0.04727337,0.6913536,0.1148581,0.7112913,-0.05387603,0.5240002,-0.09807463,0.8218821,-0.2007857,0.772644,-0.633936,-0.03181681,0.01157795,0.7094146,-0.07320557,-0.6966985,-0.07735011,0.9715281,-0.1049122,0.04319528,-0.2079924,0.6418823,0.7434752,-0.09808341,-0.160036,0.6523663,-0.0005580263,0.7527035,-0.08863,0.6938034,0.1362427,0.6963197,0.1233436,-0.6486392,0.7076494,-0.1528428,0.234816,-0.59243,-0.01500105,0.8031727,0.06095371,0.7364724,-0.09995765,-0.6291702,0.227512,0.5621322,-0.08450849,0.8220508,-0.03313616,0.9672672,-0.06526658,0.05623352,-0.2386888,-0.01803855,0.9972919,0.04154227,0.05794523,-0.01867024,0.9980599,0.04126223,0.04272328,-0.01897541,0.999166,0.02336926,0.02759102,-20,35,10
0.1247745,-0.04020464,0.1492418,1.912017,-0.02897371,0.01728511,1.944663,0.1340157,-0.09662751,1.972275,0.2008679,-0.3735406,1.998012,0.2540127,-0.5847529,1.911288,-0.1977367,-0.08952124,1.954474,-0.2563194,-0.3574858,1.951907,-0.299897,-0.5664178,1.853431,0.06123079,-0.567665,1.884938,0.1058135,-0.8979197,1.845954,0.1040064,-1.289554,2.027994,-0.07112031,-0.5701932,1.869231,-0.09793267,-0.902099,1.837142,-0.03859234,-1.278869,2.038774,0.1041248,-1.296939,1.898412,-0.02477838,-1.279166,1.911953,0.2509944,-0.6600263,1.895076,-0.306572,-0.6287528,1.818973,0.2530923,-0.7209858,1.88042,-0.3042896,-0.6964932,1.81102,-0.005030338,-0.5789273,1.910048,-0.01745272,-0.2771017,1.934428,-0.02621348,-0.05529825,1.944494,-1,-1,Low,High,0.2829577,-0.637841,1.892067,-0.295992,-0.6051886,1.785239,-0.01896215,0.9993981,0.001713723,0.02900044,0.7859967,0.6119726,0.07326175,0.04828369,0.6906769,0.114576,0.7120608,-0.05298391,0.5694591,-0.08608641,0.7913294,-0.2051903,0.7724645,-0.6341912,-0.03119732,0.0112628,0.7107908,-0.07349788,-0.6951389,-0.07846188,0.9714174,-0.101569,0.02805568,-0.2127082,0.6418481,0.7436862,-0.09770552,-0.159422,0.6371651,-0.002163193,0.7656174,-0.08857694,0.6903535,0.1511265,0.6905215,0.1541195,-0.6485412,0.7074773,-0.1533828,0.2352529,-0.5883471,-0.01514706,0.8061798,0.06076365,0.7363183,-0.1026329,-0.6280823,0.229814,0.6107357,-0.09558623,0.784487,-0.04945055,0.9663761,-0.05910189,0.04241494,-0.2466277,-0.01810919,0.9972451,0.04140149,0.05882399,-0.01873612,0.9980236,0.04112156,0.04366573,-0.01906567,0.9991394,0.02321436,0.02860339,-15,25,10
0.1438292,-0.03997067,0.1488199,1.911624,-0.02849905,0.01714617,1.944655,0.134322,-0.09664053,1.972643,0.2009916,-0.3735767,1.998885,0.2542936,-0.5848773,1.912525,-0.1976413,-0.08939523,1.954417,-0.2563462,-0.3569075,1.951242,-0.3001715,-0.5656903,1.852527,0.06159841,-0.5676495,1.885298,0.1062328,-0.8979015,1.845917,0.1212973,-1.309184,1.981779,-0.07072333,-0.5700994,1.869339,-0.09763129,-0.9020046,1.837116,-0.02636393,-1.285992,2.021862,0.1222393,-1.322019,1.852331,-0.0115688,-1.288035,1.894806,0.2519026,-0.6605868,1.896322,-0.307715,-0.6294765,1.820566,0.2535401,-0.722447,1.884088,-0.3027707,-0.7021026,1.816226,-0.004649408,-0.5788715,1.910278,-0.01700958,-0.2771435,1.934559,-0.02574261,-0.0554146,1.944524,-1,-1,Low,High,0.2836997,-0.6362513,1.894694,-0.3113771,-0.6210511,1.782289,-0.01894855,0.9993782,0.001465797,0.02969993,0.7857993,0.61208,0.07390652,0.04914595,0.6896991,0.1149089,0.7130058,-0.05228658,0.5915958,-0.07942812,0.7750646,-0.2073171,0.7719191,-0.6348754,-0.03081395,0.01116738,0.7104793,-0.07295933,-0.6953884,-0.07956725,0.9706048,-0.08583554,-0.04496959,-0.2203093,0.6420851,0.7436901,-0.09722732,-0.1587403,0.6589813,4.439204E-07,0.74687,-0.08904415,0.6946666,0.1251997,0.7013686,0.09922419,-0.6482533,0.7074825,-0.1539345,0.2356703,-0.5984378,-0.01445546,0.798699,0.06118189,0.7405173,-0.07779973,-0.6293057,0.2226108,0.6324748,-0.09103366,0.7672492,-0.05492716,0.9712603,-0.04590074,-0.03459763,-0.2309751,-0.01798243,0.9971954,0.04126528,0.05979153,-0.01861282,0.9979948,0.0409848,0.04449971,-0.01900036,0.9991251,0.02300844,0.02930372,-25,35,0
0.1786677,-0.03988599,0.148445,1.911203,-0.02823718,0.01696867,1.944486,0.1345138,-0.09662986,1.972924,0.201175,-0.3736045,1.999559,0.2544892,-0.5849856,1.913437,-0.1975551,-0.0892779,1.954365,-0.2564138,-0.3561541,1.950246,-0.3003662,-0.5650954,1.851966,0.06180579,-0.5676989,1.885564,0.1063475,-0.8979645,1.845946,0.1176276,-1.305828,1.991152,-0.07052223,-0.5700583,1.869359,-0.09739031,-0.9019664,1.837191,-0.1630154,-1.304747,1.982052,0.1184546,-1.317582,1.86197,-0.1566118,-1.315406,1.855708,0.2525263,-0.660131,1.89498,-0.3076469,-0.629222,1.818653,0.2552154,-0.7216498,1.882976,-0.3073037,-0.6967154,1.809097,-0.004454121,-0.5788701,1.910402,-0.01679962,-0.2772149,1.934565,-0.02549467,-0.05556116,1.94441,-1,-1,Low,High,0.2875046,-0.6424605,1.901889,-0.2989511,-0.606628,1.783316,-0.01887155,0.9993646,0.001093231,0.03021735,0.7854519,0.612366,0.07454992,0.05015419,0.6896067,0.1153649,0.7130574,-0.05179498,0.5403587,-0.09219762,0.8117384,-0.2014772,0.771397,-0.63551,-0.03070324,0.0114478,0.7111411,-0.07218814,-0.6946143,-0.08110609,0.9716181,-0.1007444,0.02059958,-0.2130363,0.6424012,0.7436638,-0.09670103,-0.157904,0.6552159,-0.0008041055,0.7501608,-0.08916455,0.6936742,0.1301351,0.6997823,0.1103893,-0.6479777,0.707522,-0.1543969,0.2360066,0.7455493,0.00196786,-0.6634884,-0.0627342,0.7076337,-0.1736586,-0.6814077,0.06914249,0.5776168,-0.1051106,0.8073232,-0.05949768,0.9697378,-0.05962195,0.03281745,-0.2344715,-0.01793595,0.9971464,0.04109679,0.06073163,-0.01857239,0.9979697,0.04081311,0.04522944,-0.01891785,0.9991171,0.02275399,0.02982107,-15,10,10
0.2162591,-0.03978843,0.1483189,1.911052,-0.02805914,0.01692057,1.944432,0.1346323,-0.09657153,1.97315,0.2011754,-0.3734155,2.000094,0.254483,-0.5847903,1.913947,-0.1969133,-0.08928487,1.953886,-0.2564858,-0.355855,1.949618,-0.300553,-0.564874,1.85158,0.06239167,-0.5677706,1.885859,0.106492,-0.8980942,1.846053,0.1155041,-1.304565,1.994915,-0.06996623,-0.5700708,1.869444,-0.09721647,-0.90194,1.837538,-0.05553848,-1.29439,2.013638,0.1164781,-1.315857,1.865839,-0.04194374,-1.300141,1.886786,0.2523274,-0.6601043,1.894029,-0.3074975,-0.6291139,1.819283,0.2543443,-0.7219146,1.882613,-0.3062745,-0.6955371,1.808534,-0.003870896,-0.5789129,1.910598,-0.01643045,-0.2772691,1.934617,-0.02527423,-0.05561284,1.944377,-1,-1,Low,High,0.2846501,-0.6369929,1.895341,-0.2969415,-0.6058555,1.786212,-0.01916557,0.9993278,0.0009787115,0.0312374,0.7852233,0.6125394,0.07514621,0.05072419,0.689378,0.115647,0.7132666,-0.05132622,0.6010289,-0.07652379,0.7678888,-0.2079791,0.7715121,-0.6354307,-0.02969921,0.01071718,0.7129225,-0.07320932,-0.6925645,-0.08207625,0.9711238,-0.1051204,0.0396234,-0.2104713,0.6425599,0.7437087,-0.09648998,-0.1571743,0.6530403,-0.001709552,0.7520924,-0.08883961,0.6928151,0.1314985,0.6995782,0.1153507,-0.6477966,0.7074925,-0.1547276,0.2363754,-0.6740738,-0.007674765,0.735986,0.06237182,0.7343478,-0.1004223,-0.6440386,0.1893752,0.6408495,-0.1073557,0.7566431,-0.07264851,0.9705559,-0.0616229,0.05170985,-0.2270464,-0.01827178,0.9970999,0.04089655,0.06152557,-0.01890077,0.9979307,0.04060969,0.0461298,-0.01923519,0.999084,0.02259171,0.03083554,-5,-5,-5
0.2450242,-0.03971641,0.1483201,1.910886,-0.02783964,0.01689852,1.944216,0.134691,-0.09658034,1.973239,0.2012352,-0.3732634,2.000525,0.2544297,-0.5845483,1.91404,-0.1964943,-0.0892551,1.953398,-0.2564223,-0.3551285,1.948965,-0.3006345,-0.5643591,1.851504,0.06258143,-0.5678223,1.885942,0.1066732,-0.8981454,1.846173,0.1008489,-1.293764,2.019994,-0.06978256,-0.5700625,1.869482,-0.09657091,-0.9019883,1.836997,-0.04443767,-1.292846,2.013904,0.1013532,-1.30174,1.890931,-0.02986272,-1.297357,1.887523,0.2530034,-0.6592324,1.891453,-0.3079003,-0.6299775,1.818678,0.2541439,-0.7208992,1.879958,-0.3038535,-0.7011845,1.813291,-0.003678592,-0.5789347,1.910664,-0.01623232,-0.2772914,1.934574,-0.02505925,-0.0556365,1.944215,-1,-1,Low,High,0.2842697,-0.6366263,1.891343,-0.296221,-0.6102362,1.785133,-0.01914517,0.9993014,0.000623858,0.03209111,0.7852,0.6124549,0.07562389,0.05139041,0.6897374,0.1161635,0.7128678,-0.05086977,0.5979158,-0.07808478,0.7701688,-0.2079415,0.7715268,-0.6354598,-0.02884024,0.01026703,0.7140393,-0.07377896,-0.6912643,-0.08281424,0.9712132,-0.1062034,0.0435113,-0.2087403,0.6427032,0.7436258,-0.09654059,-0.1569494,0.6350156,-0.003782306,0.7673773,-0.08873007,0.6912951,0.1405925,0.6927007,0.1500353,-0.6476243,0.7076125,-0.1548858,0.2363846,-0.6557082,-0.01031587,0.7523774,0.06219792,0.738271,-0.09038711,-0.6380782,0.1991038,0.6351027,-0.1180932,0.7583908,-0.08684511,0.9705268,-0.06364939,0.05537637,-0.2257431,-0.01826604,0.9970956,0.04072062,0.06171357,-0.01887897,0.9979139,0.0404401,0.04664713,-0.01918697,0.9990639,0.02233829,0.03168885,-15,25,10
0.2782496,-0.03957853,0.1482051,1.910734,-0.02773292,0.01686918,1.944187,0.1351365,-0.09657918,1.973811,0.2012611,-0.373227,2.000858,0.2544557,-0.5844057,1.914073,-0.1962114,-0.08917164,1.953027,-0.2564628,-0.3548152,1.948393,-0.3006341,-0.5640055,1.850808,0.06289396,-0.5678434,1.886039,0.106765,-0.898194,1.846358,0.1135394,-1.303189,1.998957,-0.06946045,-0.5700966,1.869377,-0.09621119,-0.9020138,1.83726,-0.04916491,-1.296733,2.007375,0.1149205,-1.314055,1.869942,-0.03455247,-1.302692,1.880863,0.2527553,-0.6589777,1.889662,-0.3075588,-0.6304058,1.820982,0.2540146,-0.7205558,1.879049,-0.30517,-0.7045282,1.818389,-0.00336779,-0.578963,1.910668,-0.01601177,-0.2773257,1.934565,-0.02492372,-0.05566897,1.944189,-1,-1,Low,High,0.2704183,-0.634431,1.862849,-0.3135256,-0.6177768,1.786467,-0.01934239,0.9992552,0.0006330396,0.03338292,0.7848352,0.6126805,0.07685164,0.05244279,0.6887711,0.1153233,0.7139413,-0.05082054,0.8869404,0.02707015,0.4046536,-0.2210416,0.7714053,-0.6356509,-0.02808481,0.009636362,0.7151889,-0.07414173,-0.6899632,-0.08341888,0.9704598,-0.08396658,-0.05705436,-0.2188655,0.6426979,0.7437804,-0.09615146,-0.1564771,0.6506459,-0.002077167,0.7542092,-0.08845378,0.6912188,0.1330886,0.7000341,0.120234,-0.6475869,0.707405,-0.1552714,0.2368547,-0.6785948,-0.008029851,0.7318409,0.06207708,0.7380596,-0.08999008,-0.641649,0.1882983,0.9013188,-0.07434662,0.403361,-0.1392729,0.9755633,-0.03811139,-0.04821704,-0.2109476,-0.01838578,0.9970465,0.04072244,0.06246591,-0.01898805,0.9978637,0.04044512,0.04766331,-0.01935042,0.9990191,0.02233272,0.03297773,-30,30,-5
0.3172165,-0.03944964,0.1480504,1.910508,-0.02773018,0.01685854,1.944178,0.1352694,-0.09651275,1.974054,0.2012713,-0.3733085,2.001026,0.2545875,-0.5843136,1.913844,-0.1957566,-0.08911748,1.952508,-0.256593,-0.3551577,1.947725,-0.3008245,-0.5644353,1.850388,0.06307284,-0.567862,1.886126,0.106977,-0.898207,1.846521,0.1136036,-1.303299,1.99889,-0.0692153,-0.570067,1.869383,-0.09621231,-0.9019655,1.83725,-0.04106643,-1.294385,2.010101,0.1151626,-1.314108,1.870056,-0.02578691,-1.299449,1.883429,0.2534561,-0.657396,1.887439,-0.3074966,-0.6316741,1.821042,0.2550834,-0.7185196,1.875852,-0.3049903,-0.7015655,1.813567,-0.003153534,-0.5789597,1.910721,-0.01593898,-0.2773378,1.934574,-0.02491199,-0.0556793,1.944183,-1,-1,Low,High,0.2851318,-0.6328888,1.886111,-0.2938473,-0.6107197,1.785742,-0.01940438,0.9992186,0.000633202,0.03442593,0.784563,0.6129197,0.07747653,0.05279888,0.6879273,0.1149691,0.7148076,-0.05087459,0.6197892,-0.07304284,0.7522383,-0.2113375,0.7714901,-0.6356064,-0.02706572,0.008660433,0.7164338,-0.07475394,-0.6885247,-0.08407307,0.9709941,-0.1074698,0.04929952,-0.2078228,0.642775,0.7437568,-0.09616451,-0.1562644,0.6504644,-0.001980154,0.7543702,-0.08841874,0.6907618,0.1328505,0.7005591,0.1200662,-0.647418,0.7074132,-0.1554409,0.2371807,-0.6598831,-0.009370052,0.7487351,0.06214805,0.7403497,-0.0839921,-0.636963,0.1977518,0.654766,-0.1337602,0.7358537,-0.1091289,0.9761622,-0.05850817,0.05898709,-0.2005113,-0.01861014,0.9970223,0.04067363,0.06281585,-0.01919787,0.9978282,0.04039955,0.04835458,-0.01946561,0.9989823,0.02232075,0.03401873,-20,25,15
