time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0269271,0.02192138,0.1810814,1.856359,0.01743813,0.03651234,1.880478,0.1914441,-0.08521995,1.928139,0.2435321,-0.3577861,1.937865,0.2840659,-0.5557194,1.812175,-0.1368534,-0.06601515,1.885156,-0.1969688,-0.3343034,1.897203,-0.2144668,-0.5488669,1.798219,0.1241576,-0.5582333,1.865365,0.154605,-0.8459005,1.823655,0.1794267,-1.23717,1.926786,-0.02298647,-0.5601913,1.846752,-0.04005938,-0.8488994,1.814995,0.0511529,-1.135064,2.134263,0.1980345,-1.294914,1.812237,0.0005763806,-1.089782,1.982759,0.2872372,-0.6244798,1.763809,-0.1973152,-0.6076081,1.775023,0.2834192,-0.6794295,1.738124,-0.1916365,-0.6821308,1.768697,0.05148501,-0.5694053,1.889881,0.03396931,-0.2627043,1.891883,0.02154113,-0.03722174,1.885664,-1,-1,Low,High,0.2946904,-0.6073482,1.728868,-0.1668915,-0.605756,1.750638,-0.0297935,0.9971995,-0.03333159,0.05995367,0.7915752,0.5995983,0.07462887,0.09121916,0.6955807,0.07843287,0.7120245,-0.05510877,0.9254427,0.01573591,0.2438758,-0.2895387,0.7675546,-0.6406476,0.01689299,0.01204411,0.7890766,-0.100667,-0.6039803,-0.04931519,0.8634629,-0.1332573,0.4552014,-0.1716563,0.644838,0.7471323,-0.1100523,-0.1177528,0.6591896,-0.01909708,0.7467277,-0.08661428,0.6553052,0.1166977,0.7437438,0.06165881,-0.64815,0.7152175,-0.1633163,0.2041894,-0.5933236,-0.02649473,0.8025665,0.05614465,-0.6544333,0.1956638,0.6309803,-0.3678271,0.9266171,-0.05155488,0.2237255,-0.2977748,0.8326742,0.02059674,0.5054218,-0.22534,-0.028258,0.997606,0.005048152,0.06291573,-0.02826774,0.9977262,0.00499327,0.06097842,-0.02829053,0.9977555,-0.01210875,0.05947338,0,0,0
0.0746354,0.02316864,0.1807031,1.858091,0.01893625,0.03645986,1.882747,0.1926321,-0.08494633,1.929461,0.2455608,-0.357732,1.938069,0.2857906,-0.5557961,1.812439,-0.1357433,-0.06671979,1.886551,-0.1940321,-0.3354419,1.898155,-0.2070443,-0.5496167,1.797339,0.125155,-0.5580366,1.865423,0.1551121,-0.845906,1.823466,0.1879718,-1.240134,1.912727,-0.02186736,-0.5600663,1.8466,-0.03893893,-0.8495874,1.814507,0.05108543,-1.136929,2.133054,0.2077234,-1.293146,1.794594,0.003600821,-1.088741,1.98096,0.2893007,-0.6245788,1.770782,-0.1915268,-0.6066276,1.773999,0.2888161,-0.6794282,1.744526,-0.1840492,-0.6819397,1.768451,0.05256744,-0.5692425,1.889845,0.03528059,-0.2626047,1.892869,0.02300342,-0.0372299,1.887601,-1,-1,Low,High,0.3187483,-0.6097604,1.779125,-0.1628345,-0.5988276,1.747518,-0.02945189,0.9972621,-0.03113094,0.06026438,0.7912287,0.6003155,0.07540717,0.08883855,0.6979934,0.07816241,0.7095179,-0.05727334,0.508828,-0.1866327,0.8107061,-0.2213999,0.7687929,-0.6392094,0.01663281,0.009599027,0.7956654,-0.09797658,-0.5959187,-0.04688552,0.8854865,-0.1170028,0.4094124,-0.1860254,0.6448322,0.7471833,-0.1086412,-0.1187673,0.6585897,-0.02003041,0.7472813,-0.08619185,0.655515,0.11018,0.7458907,0.04251451,-0.6484253,0.7146502,-0.1629341,0.2056018,-0.5944221,-0.0268055,0.8017276,0.05636147,-0.6555988,0.1955822,0.6308338,-0.3660416,0.5290729,-0.2120935,0.8045828,-0.1665675,0.8626356,0.02347487,0.4522921,-0.2252569,-0.02778219,0.9975606,0.006708926,0.06368675,-0.0277966,0.9976957,0.006648978,0.06153464,-0.02785085,0.9977718,-0.01002265,0.05979328,-20,0,5
0.0946538,0.0240596,0.1804844,1.858882,0.02013,0.03663265,1.8842,0.1936373,-0.08513612,1.930207,0.2475778,-0.3581445,1.938635,0.2875997,-0.5565196,1.813423,-0.1347628,-0.06713182,1.888312,-0.1908719,-0.3359705,1.898369,-0.2033972,-0.5499609,1.79697,0.1261721,-0.557906,1.865028,0.1558833,-0.8457178,1.823124,0.1773569,-1.232269,1.937822,-0.02103254,-0.5598792,1.846441,-0.03770863,-0.8498246,1.814117,0.05182492,-1.140079,2.130134,0.1953634,-1.294468,1.826928,0.008068603,-1.085358,1.978516,0.2911746,-0.623515,1.779424,-0.1862194,-0.6080602,1.773018,0.2860799,-0.6861626,1.754411,-0.1762068,-0.6837464,1.767874,0.05351299,-0.5690821,1.88958,0.03632235,-0.2624369,1.893434,0.02416236,-0.03705851,1.88883,-1,-1,Low,High,0.3191367,-0.6059438,1.788149,-0.1898065,-0.6048941,1.733758,-0.02908908,0.9973978,-0.02966958,0.05891686,0.7919357,0.5996131,0.0753711,0.08729988,0.7004416,0.07932135,0.7068764,-0.05844186,0.494578,-0.1899008,0.8198719,-0.2171182,0.7699041,-0.6379153,0.0145622,0.009985079,0.7935981,-0.09299496,-0.5994394,-0.04718465,0.9620401,0.009314407,-0.1602741,-0.2206906,0.6451203,0.7467598,-0.1082645,-0.1202016,0.6591942,-0.02017963,0.7467828,-0.08585487,0.6546686,0.125423,0.74167,0.07485782,-0.6486483,0.7146829,-0.1616544,0.2057951,-0.5945159,-0.02748097,0.8016624,0.05597311,-0.6570545,0.1933638,0.6319597,-0.3626522,0.5162045,-0.1840126,0.8239539,-0.1441262,0.9627641,0.1609639,-0.1377893,-0.1678985,-0.0275457,0.9976111,0.008022455,0.06284077,-0.0275649,0.9977592,0.00795626,0.06044408,-0.02749363,0.9978746,-0.008608001,0.05844883,-20,10,0
0.1314394,0.0251989,0.1804915,1.86033,0.02085659,0.03649751,1.885369,0.1947007,-0.08502034,1.931219,0.2493279,-0.3573033,1.939487,0.2903004,-0.5572129,1.817313,-0.1338971,-0.06753006,1.889798,-0.188783,-0.335837,1.898503,-0.1973464,-0.5502039,1.797455,0.1265231,-0.5579637,1.864838,0.1564678,-0.8454437,1.822727,0.1840877,-1.237163,1.92015,-0.02077098,-0.5598586,1.846529,-0.03662765,-0.8503273,1.813799,0.0517203,-1.1407,2.130013,0.2026682,-1.293336,1.804067,0.008093562,-1.085726,1.978338,0.2937101,-0.6278551,1.788697,-0.1834763,-0.6061127,1.773433,0.2911881,-0.6907601,1.764792,-0.1751339,-0.6816078,1.76531,0.0538012,-0.5690984,1.889553,0.03686599,-0.2624891,1.893945,0.02485071,-0.03717273,1.889845,-1,-1,Low,High,0.3235197,-0.6113495,1.803588,-0.2009007,-0.6217595,1.740717,-0.02875945,0.9974804,-0.02868155,0.05816514,0.7913554,0.600408,0.07584747,0.08668342,0.7001911,0.08015516,0.7069274,-0.05967506,0.4391491,-0.1969314,0.8528796,-0.2023918,0.7705501,-0.6371636,0.0128741,0.01045409,0.802802,-0.09068032,-0.5874669,-0.04656891,0.8583084,0.08756097,-0.4639863,-0.2008889,0.6453993,0.7463061,-0.1082815,-0.1214997,0.6597732,-0.02013049,0.7461989,-0.08649351,0.6568683,0.1137299,0.7433779,0.05457913,-0.6486754,0.7148534,-0.1608276,0.2057648,-0.5967733,-0.02867102,0.7999924,0.05524253,-0.6568013,0.1947745,0.6323415,-0.3616895,0.4597539,-0.1581668,0.8669403,-0.1096544,0.8626908,0.1927544,-0.4512936,-0.1222479,-0.0270875,0.9976762,0.008847014,0.06188878,-0.02710773,0.9978155,0.008784851,0.05959992,-0.02711157,0.9979373,-0.007534744,0.05770103,-20,10,5
0.1605897,0.02608425,0.1802849,1.861135,0.02194191,0.03641856,1.886378,0.1954077,-0.08492408,1.931911,0.2508861,-0.357521,1.94009,0.292489,-0.5591939,1.821395,-0.1330769,-0.06781384,1.891114,-0.1870793,-0.3353107,1.898978,-0.1935221,-0.5493413,1.796902,0.1270706,-0.5578771,1.864682,0.1575574,-0.844412,1.821101,0.168989,-1.229105,1.942361,-0.02030984,-0.5597839,1.846488,-0.03570819,-0.8507155,1.813555,0.05195218,-1.14086,2.12986,0.1844392,-1.294704,1.833992,0.008672569,-1.086956,1.977641,0.2951187,-0.6306846,1.798396,-0.1812744,-0.606178,1.771552,0.2930838,-0.6966943,1.775497,-0.1704643,-0.6817592,1.763375,0.05432338,-0.5690187,1.889461,0.03769538,-0.2624603,1.894417,0.02587444,-0.03722259,1.890732,-1,-1,Low,High,0.3258199,-0.616634,1.8115,-0.2194145,-0.6038908,1.792333,-0.02828768,0.9975598,-0.02791405,0.05740173,0.7912504,0.6005971,0.07610621,0.08610311,0.7008808,0.08106495,0.7060528,-0.06069659,0.5298413,-0.1665507,0.8021987,-0.2191034,0.7709504,-0.6366998,0.01138106,0.01093001,0.8063028,-0.0890398,-0.5829107,-0.04650817,-0.3970849,-0.1958299,0.8907632,0.1025427,0.6454695,0.7461434,-0.1078481,-0.122507,0.6592228,-0.02150414,0.7463432,-0.08907656,0.6579894,0.1229835,0.7373798,0.09053226,-0.6488703,0.7147974,-0.1601792,0.2058512,-0.598057,-0.02928522,0.7990426,0.05478289,-0.6564673,0.1957541,0.6326157,-0.3612872,0.55546,-0.1181502,0.816791,-0.1017699,-0.4259433,-0.2279375,0.8755664,0.0006165342,-0.02654015,0.9977084,0.009724161,0.06147267,-0.02656399,0.9978567,0.009658847,0.05901831,-0.02663421,0.9979998,-0.006664093,0.05694239,-20,10,0
0.1959058,0.02706151,0.1805771,1.862171,0.02251093,0.0363952,1.886854,0.1958511,-0.08497119,1.932142,0.2521401,-0.3580173,1.940543,0.2956704,-0.5631397,1.829435,-0.1322481,-0.06807785,1.892106,-0.1860321,-0.3348562,1.899288,-0.1921507,-0.5486487,1.796604,0.1275956,-0.5579004,1.86452,0.1581878,-0.8442795,1.820187,0.1855005,-1.237689,1.911898,-0.01973636,-0.5597567,1.846423,-0.03502408,-0.8510034,1.813376,0.05272561,-1.140036,2.130639,0.2033786,-1.292362,1.794281,0.008091349,-1.085752,1.978894,0.2965542,-0.6348308,1.808107,-0.1820423,-0.605362,1.770769,0.2956668,-0.7014893,1.78633,-0.173324,-0.6759722,1.758219,0.05489012,-0.5690199,1.889349,0.03830648,-0.2624697,1.894693,0.02645571,-0.03724395,1.891175,-1,-1,Low,High,0.3272236,-0.6252443,1.817842,-0.2189007,-0.6285366,1.780375,-0.02832881,0.9976253,-0.02771351,0.05633087,0.7914028,0.6004892,0.0758072,0.08571814,0.6986304,0.08202442,0.708093,-0.06157737,0.6369771,-0.1195406,0.7255661,-0.2313526,0.7715296,-0.6360016,0.01001522,0.01198838,0.8068422,-0.08826508,-0.5822142,-0.04734394,-0.4594626,-0.1895335,0.8599149,0.1162651,0.6455805,0.7459437,-0.1077298,-0.1232401,0.6599262,-0.02226649,0.7455744,-0.0901129,0.6594749,0.1078355,0.7422448,0.05036813,-0.6488559,0.7148513,-0.159675,0.2061006,-0.5984293,-0.02949634,0.7987615,0.05470225,-0.6555628,0.1968997,0.6325653,-0.3623935,0.6723175,-0.1016574,0.7260832,-0.1022654,-0.4832217,-0.2231122,0.8459557,0.03281372,-0.02643261,0.997723,0.0103431,0.06118136,-0.026462,0.9978934,0.01026768,0.05833611,-0.02667394,0.9980619,-0.00632105,0.05586599,-20,5,5
0.2631004,0.02847132,0.1805742,1.86327,0.02413066,0.03662233,1.88834,0.197026,-0.08499578,1.932719,0.2535355,-0.3579612,1.941481,0.3000364,-0.5684779,1.84391,-0.1309631,-0.06803331,1.893804,-0.1851247,-0.3345509,1.899539,-0.1921472,-0.5483493,1.79691,0.1286429,-0.5577089,1.864148,0.1593473,-0.8441977,1.818364,0.1838699,-1.23727,1.908823,-0.01837002,-0.5597044,1.846266,-0.03436281,-0.8512032,1.813309,0.05430885,-1.140453,2.130133,0.2008353,-1.291954,1.790826,0.008568652,-1.090256,1.977377,0.3011855,-0.6442363,1.82754,-0.1863957,-0.6032124,1.770711,0.3009915,-0.7127922,1.813361,-0.1773168,-0.6766115,1.760537,0.05611717,-0.5688993,1.889089,0.03976675,-0.2622991,1.89539,0.02803604,-0.0370339,1.892478,-1,-1,Low,High,0.3357316,-0.64253,1.841429,-0.2214554,-0.5992797,1.785267,-0.02795242,0.9977463,-0.02653171,0.05492717,0.7920766,0.5999159,0.07538848,0.08385766,0.6924895,0.08224662,0.7140271,-0.06212125,0.6127148,-0.1009312,0.7545725,-0.2121643,0.7717587,-0.6357492,0.00816434,0.01202837,0.806536,-0.0873181,-0.5825593,-0.04999869,-0.4850178,-0.1848852,0.8457642,0.1235236,0.6452006,0.7459926,-0.1073593,-0.1252407,0.6601583,-0.02394221,0.7451066,-0.09183624,0.6615646,0.1044074,0.7407413,0.0522845,-0.649274,0.7144411,-0.1588655,0.2068307,-0.5965961,-0.02875113,0.8001069,0.05545601,-0.6549221,0.1960742,0.6334178,-0.3625105,0.6441554,-0.07607011,0.7574498,-0.07447775,-0.4992291,-0.2138388,0.8366347,0.07131444,-0.02596031,0.9977543,0.01185886,0.06059635,-0.0259988,0.9979463,0.01177424,0.05734626,-0.02632269,0.9981561,-0.005031056,0.05446192,-15,10,5
0.2941723,0.02897117,0.1804172,1.863614,0.02491305,0.0366826,1.889051,0.1973218,-0.08497432,1.932765,0.2539915,-0.3581743,1.941725,0.3018106,-0.570686,1.850003,-0.1304076,-0.06807457,1.894212,-0.1850881,-0.3345914,1.899601,-0.1925019,-0.5482459,1.796657,0.129191,-0.5576681,1.863915,0.1597857,-0.84418,1.817865,0.1771322,-1.236345,1.911862,-0.01792664,-0.5596287,1.846011,-0.03400058,-0.8510863,1.812864,0.05562245,-1.139092,2.130666,0.1926274,-1.292688,1.794806,0.008700311,-1.089558,1.978094,0.3026054,-0.6468507,1.833646,-0.1893801,-0.6029968,1.771359,0.3013277,-0.7163015,1.819724,-0.1820312,-0.676805,1.760899,0.05662835,-0.5688426,1.888846,0.04037257,-0.2622404,1.89563,0.02877013,-0.0369742,1.893066,-1,-1,Low,High,0.3311316,-0.6324467,1.837826,-0.223438,-0.5994313,1.779278,-0.02757531,0.997793,-0.02572924,0.05465045,0.7924087,0.5996915,0.075165,0.08251557,0.6889833,0.0823242,0.7173759,-0.06242293,0.6247065,-0.08627162,0.7478725,-0.2073299,0.7718887,-0.6356106,0.007948247,0.01112219,0.8064165,-0.08769279,-0.5825754,-0.05107272,-0.5346856,-0.1772814,0.8150656,0.1354646,0.6453995,0.7458233,-0.106769,-0.1257276,0.6600879,-0.02441263,0.7451357,-0.09198214,0.663489,0.1017046,0.7386212,0.06226827,-0.6493432,0.714385,-0.1583649,0.2071911,-0.5958939,-0.02897765,0.8006023,0.05573934,-0.6537529,0.1965443,0.6334557,-0.3642957,0.6565138,-0.07590249,0.7468727,-0.07354973,-0.5444065,-0.192831,0.8104968,0.09763574,-0.02575784,0.9977476,0.01263482,0.06063518,-0.02580079,0.9979486,0.01254688,0.0572313,-0.02599623,0.9981831,-0.004281836,0.05418942,-20,15,5
0.3672139,0.03005392,0.1803389,1.864796,0.02575352,0.03663478,1.890251,0.1992581,-0.08505557,1.934486,0.2552751,-0.359853,1.94373,0.3044012,-0.5752165,1.860901,-0.129565,-0.06790321,1.895856,-0.1851184,-0.3344849,1.899907,-0.1954911,-0.5483392,1.797671,0.1305091,-0.5575814,1.864291,0.1601383,-0.843886,1.817944,0.1727594,-1.231414,1.926198,-0.01654465,-0.5593874,1.846004,-0.03343384,-0.8521759,1.813005,0.05401951,-1.143326,2.128551,0.187613,-1.29301,1.813355,0.007522579,-1.091403,1.976381,0.3047485,-0.6562441,1.848042,-0.1985496,-0.6038087,1.776316,0.3082428,-0.7228558,1.839212,-0.19344,-0.6768648,1.766345,0.05800301,-0.5686802,1.889038,0.04156975,-0.2621835,1.896507,0.02969733,-0.03699943,1.894212,-1,-1,Low,High,0.3348359,-0.6419781,1.855091,-0.2320745,-0.5900916,1.792056,-0.02814323,0.9978011,-0.02533991,0.05439596,0.7919069,0.6001709,0.07612563,0.08296563,0.6819858,0.08083934,0.7242609,-0.06169722,0.5064098,-0.09843593,0.8366562,-0.1840272,0.7714914,-0.6360968,0.006415057,0.01185791,0.8023568,-0.08712786,-0.5879235,-0.05457425,-0.476849,-0.1817734,0.8504623,0.1276219,0.6458998,0.7455765,-0.1054884,-0.1257036,0.6592305,-0.02602655,0.7459455,-0.09112237,0.6621891,0.1115259,0.736772,0.07895957,-0.6490776,0.7141864,-0.1582119,0.2088185,-0.5965912,-0.0277686,0.8000745,0.05646979,-0.6570085,0.1950553,0.6329139,-0.3601572,0.5298908,-0.06545819,0.844412,-0.04358323,-0.4788711,-0.1466661,0.8583005,0.1117659,-0.02596755,0.9976447,0.01380443,0.0619699,-0.02602555,0.9978972,0.01369479,0.05776155,-0.02656936,0.9981852,-0.003662932,0.05391616,-20,15,5
0.3941152,0.03046189,0.1803005,1.865178,0.0261744,0.03673325,1.890857,0.1996188,-0.08503509,1.934739,0.2554922,-0.3600315,1.945002,0.305235,-0.5761813,1.864999,-0.129277,-0.06775717,1.89671,-0.1852604,-0.3346285,1.90015,-0.1990443,-0.5487379,1.79896,0.1313867,-0.5572954,1.864541,0.1602549,-0.8435669,1.817868,0.1867964,-1.234007,1.914195,-0.01571939,-0.5592237,1.846231,-0.03317354,-0.8518492,1.812929,0.05394816,-1.143634,2.127991,0.2041934,-1.290734,1.797657,0.008152641,-1.091791,1.975473,0.3057057,-0.657701,1.850497,-0.2029699,-0.6035967,1.778388,0.3070565,-0.7225783,1.839942,-0.1981221,-0.6769645,1.768011,0.05887787,-0.5684528,1.889283,0.04225042,-0.2620158,1.897034,0.03017932,-0.03688496,1.894811,-1,-1,Low,High,0.333944,-0.6444234,1.855214,-0.2359002,-0.5893843,1.7927,-0.0285388,0.9978349,-0.02529939,0.05358166,0.7922034,0.5999426,0.0755481,0.08231186,0.6789691,0.08168162,0.7270915,-0.0605554,0.6557463,-0.05649892,0.7268801,-0.1960865,0.7713631,-0.6362519,0.005670402,0.01225648,0.7957853,-0.08637124,-0.5966872,-0.05683526,-0.522088,-0.1687656,0.8238427,0.1422162,0.6456606,0.7457801,-0.1051989,-0.1259669,0.659317,-0.02731205,0.745895,-0.09053082,0.6603723,0.1119838,0.7404721,0.05540094,-0.6494647,0.7138239,-0.1578708,0.2091118,-0.5962787,-0.02763926,0.8002341,0.05755924,-0.6576465,0.1946451,0.6328186,-0.3593812,0.687358,-0.06165757,0.7209736,-0.06272539,-0.5242656,-0.1325816,0.8320229,0.1237154,-0.026258,0.9976271,0.01428735,0.06201999,-0.0263243,0.9979053,0.01416484,0.05737057,-0.02700345,0.9982185,-0.003503845,0.05308806,-20,10,0
