time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0184529,-0.04399033,0.1693788,1.92574,-0.04280411,0.02917988,1.946508,0.1214539,-0.0938603,1.966574,0.1884355,-0.3653011,1.982165,0.2387298,-0.5705681,1.87863,-0.2096406,-0.08924033,1.947366,-0.2524408,-0.361308,1.945901,-0.2693585,-0.5763774,1.854178,0.04608201,-0.5645705,1.879599,0.08802909,-0.8950738,1.845498,0.1254072,-1.307992,1.972976,-0.08623013,-0.5674472,1.867103,-0.1056558,-0.8997082,1.8381,-0.05910286,-1.288925,2.019881,0.1283525,-1.32218,1.843021,-0.04690646,-1.295155,1.89142,0.2351256,-0.640192,1.855924,-0.2691651,-0.6284682,1.82292,0.2339592,-0.7070273,1.838478,-0.2678054,-0.7031653,1.821456,-0.02045062,-0.576005,1.906373,-0.03206696,-0.2696202,1.933761,-0.04023129,-0.04449919,1.945745,-1,-1,Low,High,0.2658348,-0.6229638,1.856524,-0.2595631,-0.6914734,1.836741,-0.01728718,0.9993808,0.005697256,0.03011003,0.8005608,0.595181,0.06324917,0.02935161,0.7003529,0.1049417,0.7029875,-0.06558628,0.5561458,-0.1225574,0.7917162,-0.2210587,0.7920598,-0.6101421,-0.01756843,-0.007692681,0.7663711,-0.05820466,-0.6376471,-0.05190055,0.09016124,-0.2023465,0.9749831,0.01829755,0.6410373,0.7415254,-0.10172,-0.1698952,0.6693732,0.004350927,0.7385,-0.08085953,0.6892607,0.1369869,0.7077383,0.07253199,-0.6503829,0.7083045,-0.1466112,0.231974,-0.6707575,-0.01264641,0.7398295,0.05076198,0.729747,-0.10171,-0.6464198,0.1981562,0.6019515,-0.1394861,0.7825851,-0.07588383,0.07644442,-0.2659833,0.9606708,-0.02282219,-0.01678804,0.9977373,0.04537262,0.04668716,-0.01717565,0.9981002,0.04522732,0.03814854,-0.01730599,0.9990399,0.02710235,0.02975106,-15,0,5
0.080701,-0.0431814,0.1695601,1.926033,-0.04268176,0.02922641,1.94656,0.1219535,-0.0939467,1.966746,0.188461,-0.3655349,1.982231,0.2383736,-0.5711619,1.880388,-0.2091591,-0.08899109,1.947287,-0.252399,-0.360768,1.944579,-0.2691392,-0.5748953,1.850317,0.04702642,-0.5644711,1.879861,0.08874479,-0.8950182,1.845148,0.1030539,-1.30098,1.995083,-0.08526663,-0.5673248,1.867125,-0.1054592,-0.8995456,1.838014,-0.04834468,-1.28496,2.024585,0.1047227,-1.312488,1.865949,-0.03567763,-1.290045,1.895735,0.2360309,-0.6426722,1.863168,-0.2685213,-0.6270121,1.816035,0.2342376,-0.7119837,1.847122,-0.2631209,-0.7057961,1.819152,-0.01947918,-0.5758901,1.906518,-0.03160038,-0.2695327,1.933858,-0.04004257,-0.04444224,1.945807,-1,-1,Low,High,0.2665603,-0.6284332,1.861667,-0.260159,-0.6909752,1.835322,-0.01773948,0.9993629,0.005647988,0.03044841,0.8006242,0.5950716,0.06341738,0.029478,0.7007357,0.1042125,0.7027636,-0.06505815,0.5642751,-0.1180342,0.7870272,-0.2196582,0.791873,-0.6103896,-0.01726655,-0.007964863,0.7668013,-0.05746187,-0.6370096,-0.05415396,0.08060636,-0.2077679,0.9746577,0.01943012,0.6410983,0.7416773,-0.1014843,-0.1691412,0.6666635,0.003144256,0.7409141,-0.08121741,0.6902562,0.1371692,0.7016573,0.1113915,-0.6503359,0.7080729,-0.1468245,0.2326768,-0.6446823,-0.01378095,0.7626045,0.05127594,0.7316531,-0.09516609,-0.6409177,0.2117822,0.606716,-0.1030681,0.785974,-0.05931003,0.06453713,-0.2858225,0.9557934,-0.0244809,-0.01756967,0.9976801,0.04535199,0.04763342,-0.0179712,0.9980633,0.04519439,0.03878343,-0.01791727,0.9990208,0.02705231,0.03007753,-20,-5,5
0.1279974,-0.04232162,0.1696366,1.926163,-0.04205737,0.0292292,1.946555,0.1224477,-0.09413602,1.966902,0.1885678,-0.3658771,1.982395,0.2383681,-0.5732527,1.884566,-0.2086565,-0.08898804,1.947219,-0.2526488,-0.3595787,1.943128,-0.2687269,-0.5733721,1.847841,0.04796204,-0.5645381,1.880215,0.08904845,-0.8951687,1.845137,0.112876,-1.304762,1.984626,-0.08434068,-0.5673376,1.867033,-0.1052026,-0.8995109,1.838034,-0.0543066,-1.287479,2.021257,0.1152,-1.317451,1.855406,-0.04172336,-1.293398,1.89247,0.2358893,-0.6453381,1.866947,-0.2675375,-0.62697,1.813497,0.2345738,-0.7131835,1.850039,-0.262209,-0.7037794,1.812574,-0.01855088,-0.5759269,1.906644,-0.03077795,-0.2695445,1.933913,-0.03936151,-0.04444218,1.945815,-1,-1,Low,High,0.2679629,-0.6278873,1.8708,-0.2595925,-0.6693124,1.85175,-0.01812311,0.9993445,0.005581569,0.03083755,0.8010017,0.594511,0.06372251,0.02987096,0.7015338,0.1037677,0.7020909,-0.06442704,0.549724,-0.1150851,0.7998173,-0.2117812,0.7917946,-0.6104975,-0.01700809,-0.008048732,0.7712581,-0.05754149,-0.6313686,-0.05677748,0.04660577,-0.2091653,0.9764463,0.02510746,0.6413344,0.7418634,-0.1005799,-0.1679658,0.6675131,0.002195661,0.7401909,-0.08086377,0.6895905,0.136159,0.7050212,0.09418391,-0.6501005,0.7078453,-0.1476204,0.233522,-0.6605574,-0.01191038,0.7488641,0.05219857,0.7309779,-0.09850571,-0.6439261,0.2032905,0.5898435,-0.1061231,0.798447,-0.05749066,0.03117232,-0.2805925,0.9591354,-0.01885772,-0.01766954,0.9976003,0.04527178,0.04931423,-0.01809953,0.9980243,0.04510159,0.03981926,-0.01822232,0.999006,0.02696346,0.0304604,-20,-10,5
0.1583793,-0.04186149,0.1697001,1.926373,-0.04172284,0.02932457,1.946824,0.1231355,-0.09432821,1.967323,0.1885929,-0.366394,1.982684,0.2381948,-0.574719,1.887049,-0.2080222,-0.08893596,1.947151,-0.2525635,-0.3596321,1.942608,-0.2674589,-0.5726441,1.845117,0.04879924,-0.5646098,1.88089,0.08944991,-0.8953092,1.84498,0.08231496,-1.275257,2.048867,-0.08359285,-0.5672904,1.867044,-0.1050493,-0.8994194,1.83821,-0.03634132,-1.27659,2.036626,0.08327707,-1.27919,1.919708,-0.023237,-1.279526,1.907056,0.2361981,-0.6469135,1.870681,-0.2658167,-0.6267859,1.811786,0.2338782,-0.7158295,1.854679,-0.2636921,-0.7025561,1.812344,-0.01777708,-0.5759308,1.906945,-0.03022051,-0.2694856,1.934203,-0.03897268,-0.04435373,1.946089,-1,-1,Low,High,0.2661441,-0.6271169,1.870708,-0.2658889,-0.6689052,1.8344,-0.01848662,0.999317,0.005565921,0.03150858,0.801284,0.5940883,0.06404829,0.0300159,0.7012956,0.1026529,0.7025537,-0.06375838,0.5950615,-0.0992296,0.7681332,-0.214538,0.7919815,-0.6102658,-0.0162832,-0.008714637,0.7746922,-0.05807966,-0.6270168,-0.05769419,-0.006300122,-0.2124258,0.97657,0.0338598,0.6418812,0.7420508,-0.09893296,-0.1660166,0.6336354,-0.002808969,0.7693591,-0.08114694,0.6842988,0.1667027,0.6872035,0.1780358,-0.6497445,0.7075869,-0.1484983,0.2347364,-0.5953465,-0.01552211,0.8016611,0.05158653,0.7334173,-0.09264404,-0.631635,0.2335667,0.6358603,-0.09414315,0.7636294,-0.06073606,-0.0201004,-0.2725785,0.9618925,-0.007726486,-0.01790471,0.9974683,0.04530651,0.05180522,-0.0183761,0.9979542,0.04511738,0.04140295,-0.01857649,0.9989795,0.02694699,0.03112412,-15,-10,5
0.1824945,-0.04123971,0.1699079,1.926604,-0.04143415,0.02935055,1.946725,0.1234914,-0.09445231,1.967495,0.1887196,-0.3669289,1.983395,0.238534,-0.5758472,1.889369,-0.2073684,-0.08901121,1.946975,-0.2524667,-0.3596938,1.941758,-0.2667171,-0.5721237,1.842715,0.04959495,-0.5647143,1.881147,0.08951851,-0.8955039,1.844916,0.1205047,-1.307783,1.975726,-0.08274474,-0.5674554,1.867027,-0.1046096,-0.8995579,1.838096,-0.04165165,-1.27881,2.0345,0.1236104,-1.321194,1.846608,-0.02838304,-1.28212,1.905429,0.2362087,-0.6485733,1.873243,-0.2648721,-0.6257508,1.809275,0.2341441,-0.718118,1.859036,-0.2610982,-0.7004267,1.806787,-0.0169315,-0.5760665,1.907073,-0.02967498,-0.2695212,1.934188,-0.03862568,-0.0443397,1.946006,-1,-1,Low,High,0.2664952,-0.6321506,1.871381,-0.2599773,-0.6737416,1.851231,-0.01887901,0.9992939,0.005482009,0.03202066,0.8014573,0.5937766,0.06449163,0.03059935,0.7002425,0.1028092,0.7036619,-0.0628536,0.5704338,-0.1029125,0.7874932,-0.2094484,0.7922767,-0.6098914,-0.01591887,-0.00874951,0.7770413,-0.05831105,-0.6239545,-0.05905422,0.02557168,-0.2168483,0.9755392,0.02542018,0.6416802,0.7424262,-0.09866874,-0.1652707,0.6650015,-0.0005271536,0.74247,-0.08069088,0.6884871,0.1347117,0.7080631,0.0805288,-0.6498014,0.7072384,-0.1490524,0.2352774,-0.6113802,-0.01421823,0.7894681,0.05246205,0.7334901,-0.09646636,-0.633435,0.2268184,0.610027,-0.09557063,0.7847116,-0.05441578,0.0112021,-0.2748987,0.9612322,-0.01838295,-0.01835107,0.9974148,0.04510391,0.05284322,-0.01883232,0.997923,0.0449051,0.04217487,-0.01900322,0.9989592,0.02681237,0.03162855,-20,0,5
0.2166245,-0.04066318,0.1699782,1.926756,-0.04134239,0.02936064,1.946758,0.1239165,-0.0945885,1.967896,0.1888078,-0.3673049,1.984103,0.2386298,-0.5768278,1.891624,-0.2071667,-0.08907242,1.946951,-0.2522484,-0.3596847,1.941281,-0.2657239,-0.5713515,1.840271,0.05011449,-0.5647219,1.881306,0.08972835,-0.8955514,1.844852,0.06928701,-1.274732,2.049306,-0.08206139,-0.5674988,1.867098,-0.1042594,-0.8995758,1.838235,-0.04967479,-1.28468,2.02607,0.07011969,-1.277982,1.920036,-0.03654992,-1.289893,1.896998,0.2364484,-0.6504501,1.877031,-0.2635553,-0.6261269,1.809734,0.2337029,-0.7185764,1.862485,-0.2583283,-0.7009917,1.80572,-0.01630853,-0.576091,1.907198,-0.02934982,-0.2695212,1.934266,-0.03848533,-0.04433049,1.94605,-1,-1,Low,High,0.2670956,-0.6306332,1.875682,-0.2606863,-0.6772099,1.847377,-0.01920681,0.9992691,0.005434054,0.0326001,0.8014798,0.5936415,0.06512811,0.03127515,0.699724,0.1026533,0.7042692,-0.0620768,0.5892798,-0.09519571,0.7744162,-0.2096823,0.7924286,-0.6097004,-0.01565399,-0.0087846,0.7779307,-0.05786851,-0.6228334,-0.05961169,0.02067623,-0.2210883,0.9747208,0.02473499,0.6414754,0.7426088,-0.09883159,-0.1651476,0.6153463,-0.006319021,0.7841285,-0.08032053,0.6870831,0.1551623,0.6837557,0.1905771,-0.6498271,0.7070141,-0.1492883,0.2357303,-0.6447632,-0.01154963,0.7624313,0.0533434,0.732403,-0.0981641,-0.6398255,0.2111233,0.6291505,-0.08488768,0.7709867,-0.05043035,0.008181894,-0.2512843,0.9676725,-0.01998107,-0.01881858,0.9973871,0.04505499,0.05324299,-0.01929559,0.9978959,0.04485277,0.04265689,-0.01939861,0.9989349,0.02675958,0.03220028,-15,0,5
0.2514405,-0.04025869,0.1700339,1.926816,-0.04117363,0.02944622,1.94687,0.1243129,-0.09471599,1.968233,0.1888442,-0.3681404,1.985021,0.2386958,-0.5781562,1.893849,-0.2069944,-0.08910631,1.946931,-0.2518614,-0.3598275,1.940648,-0.2644464,-0.5708973,1.838094,0.05068615,-0.56471,1.881307,0.08981989,-0.8955954,1.844818,0.1279195,-1.307832,1.974047,-0.08133826,-0.5675271,1.867102,-0.1040248,-0.8995709,1.838218,-0.04873544,-1.284145,2.026877,0.1317577,-1.321365,1.844987,-0.03550446,-1.289278,1.897639,0.2361329,-0.6502221,1.878314,-0.261774,-0.6249791,1.806933,0.2341688,-0.7196212,1.865029,-0.2566873,-0.6997071,1.803039,-0.01563828,-0.5760981,1.907206,-0.02895565,-0.2694659,1.934346,-0.03826721,-0.0442504,1.946156,-1,-1,Low,High,0.2671001,-0.6277847,1.878875,-0.2569753,-0.6753777,1.842319,-0.01953546,0.9992458,0.005493155,0.03310746,0.8016762,0.5933,0.06564857,0.03162931,0.6986694,0.1025996,0.7054255,-0.06090336,0.5659975,-0.09907588,0.7923339,-0.2050314,0.7926059,-0.6094729,-0.01539449,-0.009039548,0.7791016,-0.05695483,-0.6214041,-0.06011483,0.04754199,-0.2250503,0.9730464,0.01652238,0.6412666,0.742718,-0.09904587,-0.1653394,0.6647978,-0.001628406,0.7427195,-0.08005599,0.6862301,0.1393967,0.7101762,0.07284643,-0.6499207,0.7068261,-0.1492294,0.236073,-0.6408144,-0.01137773,0.7657192,0.05386554,0.7326372,-0.09805991,-0.6390964,0.2125625,0.6049628,-0.09468316,0.7889845,-0.0505813,0.03400329,-0.2572734,0.9652354,-0.03122174,-0.01925313,0.9973701,0.04518701,0.05329557,-0.0197217,0.9978701,0.04498447,0.04292752,-0.01977063,0.9989092,0.02683645,0.03269983,-20,-5,5
0.2807615,-0.03983735,0.170082,1.926788,-0.04109019,0.02953018,1.946901,0.1245104,-0.09477864,1.968464,0.1888708,-0.3686169,1.985829,0.2384511,-0.5793844,1.896487,-0.2066976,-0.08912864,1.946906,-0.2513989,-0.3598901,1.94011,-0.2635798,-0.5707946,1.837102,0.05084875,-0.5647999,1.881452,0.08989979,-0.8956889,1.845199,0.1154631,-1.306365,1.981489,-0.0811985,-0.567538,1.867024,-0.1037342,-0.8995898,1.838202,-0.0511016,-1.284898,2.02614,0.118704,-1.319284,1.852318,-0.03798848,-1.290449,1.896765,0.2362548,-0.6506538,1.880194,-0.260493,-0.6243535,1.807626,0.2349347,-0.7207657,1.86815,-0.257816,-0.69925,1.802054,-0.01550874,-0.5761372,1.907227,-0.02884353,-0.2694438,1.934371,-0.03817495,-0.04418312,1.946185,-1,-1,Low,High,0.2672038,-0.628013,1.883824,-0.2894304,-0.6182352,1.824588,-0.01958845,0.9992331,0.005512805,0.03345509,0.8017918,0.5930794,0.06604756,0.03200621,0.6994131,0.1030309,0.7047226,-0.05976773,0.5662928,-0.09616297,0.7932408,-0.2020747,0.7928524,-0.6091557,-0.01522596,-0.009091392,0.7798463,-0.05619814,-0.6204922,-0.06058745,-0.4349273,-0.189429,0.8714998,0.1242699,0.6416109,0.7426457,-0.09846999,-0.1646701,0.6641922,-0.001515507,0.743296,-0.0797331,0.6874873,0.1351101,0.7078737,0.0895621,-0.6497247,0.706784,-0.1495813,0.236516,-0.6476036,-0.01097515,0.7600011,0.05373337,0.7319746,-0.1001574,-0.6405123,0.2095845,0.6035149,-0.09823036,0.7892874,-0.05608789,-0.4448819,-0.232831,0.8599799,0.09112836,-0.01923875,0.9973239,0.04520218,0.05414343,-0.01971866,0.9978437,0.0449949,0.04352776,-0.01980099,0.998897,0.02684778,0.03304696,-20,0,5
0.3188632,-0.03953227,0.1702288,1.927079,-0.04093869,0.02953643,1.946933,0.1248518,-0.09493311,1.968994,0.1888433,-0.368984,1.986638,0.2382521,-0.5802499,1.898541,-0.2064393,-0.08916148,1.946954,-0.2511062,-0.3598869,1.939843,-0.2618491,-0.5708727,1.836811,0.05122958,-0.5648212,1.881738,0.09016046,-0.8957293,1.845173,0.1171814,-1.307078,1.979363,-0.08069105,-0.567451,1.867078,-0.1034923,-0.8994774,1.838483,-0.05143363,-1.284882,2.026382,0.1206777,-1.320195,1.850165,-0.0383603,-1.290817,1.89659,0.236261,-0.6502933,1.883597,-0.2583188,-0.6242708,1.808517,0.2310191,-0.72236,1.869711,-0.2571838,-0.694388,1.795659,-0.01506243,-0.576106,1.9074,-0.02853045,-0.2694288,1.934466,-0.03798208,-0.04417516,1.946231,-1,-1,Low,High,0.267337,-0.6297034,1.88595,-0.2906792,-0.6276137,1.820857,-0.01986818,0.9992048,0.005444507,0.03413591,0.8018796,0.5928077,0.06691561,0.03301923,0.6993206,0.1028509,0.7049107,-0.05893548,0.5471935,-0.09896272,0.8072634,-0.1977663,0.7929543,-0.60903,-0.01503539,-0.00893203,0.7842509,-0.05623116,-0.6149108,-0.06060686,-0.4105682,-0.1941558,0.8833201,0.1161155,0.6418405,0.7426067,-0.09822371,-0.1640982,0.6634836,-0.002058538,0.7439095,-0.07990023,0.6870627,0.1345482,0.7087784,0.08645707,-0.6493389,0.706804,-0.1500934,0.2371902,-0.6489413,-0.01036354,0.7588605,0.05383782,0.7315497,-0.1007873,-0.6410853,0.2090135,0.5822699,-0.09319566,0.8060821,-0.05008116,-0.4217067,-0.2300256,0.8736252,0.07765694,-0.01941935,0.9972721,0.04510868,0.05510427,-0.01990471,0.9978083,0.04489663,0.04434581,-0.02005317,0.9988715,0.02676252,0.03372288,-20,-5,5
0.3484053,-0.03902116,0.1702467,1.926873,-0.04079025,0.0296251,1.946848,0.1251736,-0.09502903,1.969292,0.1888521,-0.3695632,1.987174,0.2380541,-0.5810668,1.899596,-0.2058431,-0.08928754,1.946414,-0.2502845,-0.3600164,1.938484,-0.2610987,-0.5714063,1.836383,0.05157595,-0.5649489,1.88178,0.09046774,-0.8958629,1.844926,0.1148416,-1.306653,1.981099,-0.08021031,-0.5676245,1.866909,-0.1033779,-0.899618,1.838383,-0.05063566,-1.285206,2.025758,0.1184074,-1.319415,1.852216,-0.03724585,-1.291196,1.895921,0.2353854,-0.6494684,1.881582,-0.2582203,-0.6235514,1.80862,0.2308523,-0.7214505,1.869186,-0.2536976,-0.6970194,1.798659,-0.01464106,-0.5762577,1.90735,-0.02825825,-0.2694365,1.934396,-0.03780552,-0.04410813,1.94615,-1,-1,Low,High,0.2673612,-0.6320145,1.883973,-0.2786693,-0.6079447,1.848,-0.02004732,0.9991602,0.005439197,0.03531926,0.8019748,0.5925441,0.06779496,0.03364288,0.6991333,0.1025821,0.705198,-0.05818361,0.56625,-0.09358957,0.7943606,-0.1989799,0.79349,-0.6083443,-0.01398503,-0.009763961,0.7849625,-0.05505425,-0.614023,-0.0614698,-0.1484925,-0.2167035,0.9631753,0.05729726,0.641662,0.7428671,-0.09799454,-0.1637542,0.6628593,-0.00248553,0.7444391,-0.08013589,0.6866442,0.134147,0.7087821,0.09028972,-0.6493269,0.7064899,-0.1506343,0.2378149,-0.6484788,-0.009961252,0.7592365,0.05418533,0.7324469,-0.09948163,-0.6402104,0.2091783,0.6037907,-0.1133725,0.7865152,-0.06306604,-0.160043,-0.2427962,0.9566638,0.01518295,-0.01961594,0.9972228,0.04508505,0.05593901,-0.02009341,0.9977604,0.04487429,0.04535037,-0.02022729,0.9988276,0.02675962,0.03490276,-20,0,0
