time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0215733,0.02305454,0.1776664,1.92763,0.02846432,0.02865731,1.941383,0.1945165,-0.09581786,1.962385,0.2518834,-0.3744519,1.949925,0.2919016,-0.5852754,1.85069,-0.1400635,-0.09573717,1.94659,-0.1754045,-0.3593724,1.897908,-0.1951876,-0.5637991,1.778262,0.1292514,-0.5690874,1.866162,0.1657519,-0.9141694,1.826847,0.2002705,-1.336557,2.003767,-0.01874806,-0.5728636,1.853333,-0.04839437,-0.9185518,1.820708,-0.0875289,-1.382601,1.818503,0.2099338,-1.417592,1.9667,-0.08684631,-1.412874,1.68206,0.2838727,-0.6521133,1.836061,-0.1941266,-0.622148,1.750481,0.2889326,-0.7261059,1.822623,-0.195695,-0.7062028,1.741275,0.05627788,-0.5816121,1.894392,0.04197707,-0.2724459,1.925772,0.03176187,-0.04553622,1.940003,-1,-1,High,Low,0.2241051,-0.6339683,1.819205,-0.2326507,-0.6178724,1.769515,-0.02196165,0.9993919,0.009851431,0.02522726,0.8010883,0.593888,0.06773348,0.03109431,0.7177089,0.05785193,0.6885877,-0.08598874,0.7658533,0.2015305,-0.5994419,-0.1162913,0.7995283,-0.5998958,-0.02964895,0.0007507505,0.7386971,0.01170587,-0.664678,-0.1113229,-0.4032273,-0.2190304,0.8760332,0.1483211,0.641918,0.7420787,-0.09439901,-0.1683723,0.6778383,-0.005767245,0.7311639,-0.07682034,0.6707917,0.1695615,0.7140816,0.1066522,-0.6574087,0.7078862,-0.1301335,0.2231062,0.7334914,0.0004804919,-0.6767375,-0.06337479,0.7148535,-0.02843449,-0.6980045,-0.03107461,0.7490819,0.02586804,-0.6511418,-0.1192539,-0.418804,-0.2026031,0.8809003,0.08700522,-0.02083474,0.9975404,0.05145453,0.04279514,-0.02130424,0.9978899,0.05126191,0.0336742,-0.02167709,0.9989512,0.03183556,0.02476036,-15,10,0
0.052139,0.02330017,0.1776434,1.927698,0.02874953,0.02864251,1.941462,0.1947729,-0.09588689,1.96234,0.2518868,-0.3744099,1.949938,0.2917121,-0.5856317,1.85158,-0.1399121,-0.09583888,1.946509,-0.1752186,-0.359534,1.897526,-0.1943783,-0.5640001,1.777838,0.1293538,-0.5690899,1.865803,0.1654567,-0.9142165,1.826335,0.1981398,-1.334635,2.007843,-0.01865939,-0.5728304,1.853091,-0.0484015,-0.9185035,1.820668,-0.08765926,-1.382534,1.818732,0.2069914,-1.416042,1.975698,-0.08699478,-1.41286,1.68231,0.283738,-0.6526728,1.835775,-0.192128,-0.6223272,1.750131,0.2878709,-0.7288558,1.82551,-0.1948953,-0.6996571,1.73426,0.05637741,-0.5815952,1.894089,0.0421552,-0.2724401,1.925676,0.03201489,-0.04554398,1.940032,-1,-1,High,Low,0.224656,-0.6384624,1.818613,-0.2342085,-0.6310269,1.782333,-0.02173821,0.9993923,0.01018423,0.02527533,0.8011862,0.5937633,0.06781901,0.0307642,0.7182308,0.05769281,0.688104,-0.08560872,0.7712788,0.198983,-0.5932244,-0.1167029,0.7996338,-0.5997557,-0.02964362,0.0003610617,0.7411646,0.01170327,-0.6618617,-0.1117015,-0.360352,-0.226534,0.8945666,0.1363065,0.6420265,0.741877,-0.09441146,-0.1688403,0.6785991,-0.006237851,0.7304822,-0.07655187,0.6721886,0.1717869,0.7113671,0.1122876,-0.6574065,0.7079775,-0.1297366,0.2230538,0.7332515,0.0002052246,-0.6770085,-0.06325881,0.7148278,-0.02873025,-0.6980238,-0.03096267,0.7548926,0.03038698,-0.6430925,-0.1250831,-0.3776309,-0.2095898,0.899308,0.06864513,-0.02071415,0.9975431,0.05177331,0.04240486,-0.02117518,0.9978817,0.05158647,0.03350427,-0.02150492,0.9989449,0.0321084,0.02481358,-15,5,0
0.0840766,0.02353053,0.1776694,1.927664,0.02897904,0.02861451,1.941318,0.1949368,-0.09598061,1.962239,0.2518882,-0.3744054,1.949944,0.2916346,-0.5859481,1.852337,-0.1398896,-0.09584869,1.946473,-0.1748657,-0.3594278,1.897007,-0.1934185,-0.5641468,1.777686,0.1293722,-0.5690685,1.865397,0.1655213,-0.9141862,1.826106,0.2155396,-1.377345,1.815017,-0.01861941,-0.5728275,1.852789,-0.0483479,-0.9184958,1.820508,-0.08758698,-1.382522,1.818761,0.2251204,-1.404755,1.678049,-0.08694537,-1.412884,1.682356,0.2831475,-0.652943,1.836107,-0.1898797,-0.622864,1.750968,0.2846539,-0.7281621,1.82161,-0.1921546,-0.7055043,1.739694,0.05640964,-0.5815846,1.893732,0.04231881,-0.2724445,1.925424,0.03223298,-0.0455654,1.939865,-1,-1,High,Low,0.224268,-0.631923,1.819306,-0.2263057,-0.6243843,1.763857,-0.02166003,0.999394,0.01033357,0.02521484,0.8013093,0.5935659,0.06805131,0.03085414,0.7184791,0.05766854,0.687886,-0.08529363,0.7700048,0.1981102,-0.5955076,-0.1149589,0.7995077,-0.5999058,-0.03000197,0.0005190289,0.7430862,0.01243227,-0.6596341,-0.1120327,-0.4559799,-0.2101731,0.8501436,0.1586363,0.6419691,0.7418275,-0.0944734,-0.1692404,0.6735367,-0.006535837,0.735167,-0.07638878,0.6892526,0.02848266,0.7224262,-0.04711598,-0.6574666,0.7080073,-0.1295281,0.2229033,0.7330335,0.0001016988,-0.6772597,-0.06309783,0.7147692,-0.02885535,-0.6980855,-0.03080645,0.7513876,0.03013835,-0.646312,-0.1295733,-0.4776654,-0.1983374,0.8522041,0.07903297,-0.02051498,0.9975542,0.05192951,0.04204672,-0.0209697,0.9978848,0.05174756,0.03329485,-0.02138385,0.998943,0.03229256,0.02475445,-15,5,0
0.1246952,0.02372155,0.1777169,1.927701,0.02908347,0.02861993,1.941278,0.1951321,-0.09599134,1.962144,0.251877,-0.3743862,1.949953,0.2915263,-0.58616,1.852873,-0.1398902,-0.09590046,1.94637,-0.173912,-0.3597634,1.896981,-0.1919657,-0.5647205,1.778028,0.1293678,-0.5690917,1.865043,0.165504,-0.9142056,1.825968,0.215506,-1.377362,1.815166,-0.01854488,-0.5728685,1.852525,-0.0482605,-0.9185367,1.820227,-0.0874811,-1.382564,1.818456,0.225095,-1.404823,1.678221,-0.08684387,-1.412914,1.682049,0.2825205,-0.6532943,1.835127,-0.1878466,-0.6220995,1.752001,0.2872287,-0.7263222,1.823979,-0.1909538,-0.7002955,1.735641,0.05644895,-0.5816187,1.893422,0.04242102,-0.2724493,1.92527,0.03233954,-0.04556154,1.939804,-1,-1,High,Low,0.2253151,-0.6378462,1.819831,-0.2228056,-0.6166667,1.774154,-0.02167008,0.9993922,0.01048059,0.02521782,0.8012844,0.5936019,0.06812832,0.03063449,0.7185307,0.05754851,0.6878877,-0.08492515,0.7590573,0.1992896,-0.6098424,-0.1104899,0.7995449,-0.5998529,-0.03007496,0.0003042795,0.7422428,0.01381324,-0.6607878,-0.1106531,-0.3823189,-0.2225225,0.8860171,0.1388872,0.6418874,0.7417835,-0.09454857,-0.1697011,0.6737589,-0.00629774,0.7349879,-0.07617202,0.6892337,0.028693,0.7224506,-0.04689208,-0.6575127,0.7079943,-0.1293271,0.2229252,0.732836,0.0001508673,-0.6774727,-0.06310381,0.7147537,-0.02882304,-0.6981025,-0.03081099,0.7361512,0.03724155,-0.66141,-0.1386772,-0.4037882,-0.2059101,0.8895674,0.05679794,-0.02041611,0.9975566,0.05216308,0.04175153,-0.02086529,0.9978796,0.05198504,0.0331455,-0.02136796,0.9989368,0.03249439,0.02475627,-15,5,0
0.1504261,0.02384791,0.1778163,1.927594,0.02917771,0.02868005,1.941099,0.1953064,-0.09595176,1.96218,0.2517853,-0.3741786,1.949983,0.2913567,-0.5861598,1.85338,-0.1398693,-0.09591212,1.946282,-0.1730976,-0.36026,1.896685,-0.1903037,-0.5654444,1.778024,0.1293854,-0.5689922,1.86458,0.1652247,-0.9141366,1.82565,0.21484,-1.377332,1.815042,-0.01843202,-0.5728037,1.852149,-0.04819795,-0.9184683,1.819844,-0.08748174,-1.38249,1.818065,0.2244272,-1.404832,1.678113,-0.08682171,-1.412835,1.681658,0.2818089,-0.6532199,1.834523,-0.1865768,-0.6232825,1.754311,0.2824748,-0.729098,1.821906,-0.1887505,-0.7081917,1.745482,0.05651848,-0.5815372,1.893001,0.04253671,-0.2723684,1.924951,0.03244458,-0.04549539,1.939594,-1,-1,High,Low,0.2243745,-0.6312528,1.820502,-0.2240953,-0.6215689,1.772232,-0.0217371,0.9993838,0.01069576,0.02539824,0.8012241,0.5935925,0.06874205,0.03102297,0.7184163,0.0572258,0.6880642,-0.08468055,0.7685362,0.1967665,-0.5982554,-0.1128082,0.7996154,-0.5997419,-0.03040692,0.0004715106,0.7432828,0.01498631,-0.6597334,-0.1098091,-0.406024,-0.2188727,0.8756946,0.1428218,0.6417567,0.7417881,-0.09467348,-0.1701047,0.6740012,-0.006409552,0.7348115,-0.07571985,0.6891917,0.02855196,0.7225248,-0.04645011,-0.6575857,0.7079543,-0.1291906,0.2229158,0.7326438,0.0001218147,-0.6776753,-0.06315979,0.7148195,-0.02886837,-0.698031,-0.03086224,0.7447389,0.03743432,-0.6497986,-0.1473919,-0.426647,-0.1870381,0.8830502,0.05666938,-0.02034929,0.9975615,0.05231705,0.04147207,-0.02078795,0.9978746,0.0521443,0.03309276,-0.02138042,0.998924,0.03274039,0.0249351,-15,5,-5
0.1842279,0.02412266,0.1777337,1.927452,0.02924836,0.02864756,1.941074,0.1954735,-0.0959191,1.962212,0.2517169,-0.3741699,1.950109,0.291045,-0.5863129,1.853795,-0.1398536,-0.09606721,1.946069,-0.1717258,-0.3607928,1.896197,-0.188054,-0.5661381,1.777705,0.1293265,-0.5690138,1.864293,0.1654257,-0.9141309,1.825227,0.2139611,-1.339502,1.992222,-0.018459,-0.5727897,1.851813,-0.0480821,-0.918466,1.819493,-0.08717979,-1.382503,1.817693,0.2307227,-1.418401,1.944971,-0.086431,-1.412842,1.681287,0.2813945,-0.6539133,1.834671,-0.1837007,-0.6234422,1.755597,0.2821981,-0.7303173,1.823913,-0.1853144,-0.7058803,1.740381,0.05647454,-0.5815427,1.892686,0.04258257,-0.2723888,1.924822,0.03250959,-0.04552361,1.93955,-1,-1,High,Low,0.2234691,-0.6282881,1.819551,-0.2203292,-0.6212955,1.77288,-0.02169371,0.999375,0.01082608,0.02572402,0.8010374,0.5938067,0.06908102,0.03099411,0.7188268,0.05708846,0.6877002,-0.08424589,0.7773483,0.1942701,-0.587073,-0.115474,0.799807,-0.5994977,-0.03019008,4.327676E-05,0.7426337,0.01731048,-0.6606423,-0.1083847,-0.4210348,-0.2168659,0.8687792,0.1446429,0.6418589,0.7417035,-0.09437892,-0.170252,0.6799017,-0.005685582,0.7293139,-0.07617483,0.6486555,0.1745164,0.7362483,0.08202839,-0.6575065,0.7079501,-0.1291476,0.2231877,0.7327784,0.0002754905,-0.6775413,-0.06303585,0.7150201,-0.02871842,-0.6978374,-0.03072986,0.7548428,0.03547523,-0.6378514,-0.1486588,-0.4432677,-0.1792957,0.8768319,0.05032425,-0.02018363,0.9975421,0.0526136,0.04164352,-0.02062088,0.9978542,0.05244378,0.03333868,-0.02132326,0.9989107,0.03293558,0.02526052,-15,10,0
0.2168395,0.02434905,0.1777083,1.927382,0.02928247,0.02861979,1.941013,0.1955823,-0.09591491,1.962237,0.2516709,-0.3740935,1.950231,0.290654,-0.5863222,1.853967,-0.1397956,-0.09621112,1.945762,-0.170641,-0.3609097,1.895852,-0.1834353,-0.5672705,1.778817,0.1293397,-0.5690399,1.863798,0.1653026,-0.9141622,1.825162,0.2150795,-1.377335,1.814943,-0.01837687,-0.5728522,1.851548,-0.04807703,-0.9185193,1.819239,-0.08727382,-1.38255,1.817455,0.2248755,-1.404876,1.678058,-0.08644271,-1.412892,1.681052,0.2801381,-0.6535115,1.833266,-0.1814114,-0.6243306,1.758058,0.2816027,-0.7289769,1.820488,-0.1841203,-0.7085718,1.746414,0.05652927,-0.5815922,1.892314,0.04264719,-0.2724278,1.924613,0.03255375,-0.04555455,1.939461,-1,-1,High,Low,0.2237778,-0.6312048,1.818779,-0.2203968,-0.6340475,1.770182,-0.02175015,0.9993596,0.01102988,0.02618385,0.8008956,0.5939395,0.06957746,0.03100306,0.719816,0.05714832,0.6867046,-0.08387989,0.7752141,0.194022,-0.5900427,-0.1151012,0.8000078,-0.5992423,-0.02993048,-0.0005079712,0.7551777,0.01673931,-0.6464196,-0.1075551,-0.459519,-0.2109377,0.8503729,0.1456488,0.6416927,0.7416201,-0.09477732,-0.1710188,0.6744217,-0.005937433,0.7344441,-0.07557695,0.6886594,0.02894169,0.7230255,-0.04630994,-0.6576191,0.7079848,-0.128692,0.223009,0.7322559,0.000231106,-0.6781,-0.06309949,0.7152436,-0.02881611,-0.6976019,-0.03078316,0.7487161,0.03915187,-0.6418742,-0.1609,-0.4754189,-0.1601074,0.8623153,0.06895522,-0.02019565,0.9975606,0.05285611,0.04088129,-0.02060314,0.9978465,0.05269862,0.03317821,-0.02134505,0.9988896,0.03320616,0.02571799,-15,5,0
0.2548251,0.02448947,0.1777175,1.927268,0.02936091,0.02855557,1.940755,0.1957176,-0.09589419,1.962212,0.2514788,-0.3739085,1.950243,0.2902793,-0.5861959,1.854037,-0.1397394,-0.09631733,1.945177,-0.1695589,-0.3609382,1.895056,-0.1797618,-0.5684202,1.779934,0.1292824,-0.5690729,1.86275,0.1653334,-0.9141678,1.824839,0.2152262,-1.377312,1.815582,-0.01830432,-0.5729762,1.851177,-0.0480653,-0.9186348,1.818849,-0.08733992,-1.382658,1.817041,0.2252471,-1.405018,1.678795,-0.08634695,-1.412997,1.680641,0.2795903,-0.6527302,1.831088,-0.1776405,-0.6252836,1.758502,0.2801505,-0.7283019,1.818056,-0.1817984,-0.7093852,1.746771,0.05655403,-0.58169,1.891648,0.04272974,-0.2725065,1.924135,0.03263947,-0.04562217,1.939152,-1,-1,High,Low,0.2234665,-0.6299461,1.817143,-0.21742,-0.6202893,1.779,-0.02178004,0.9993338,0.01138337,0.02698244,0.8006204,0.5941828,0.07053473,0.03128191,0.7197344,0.05680184,0.6868646,-0.08350506,0.7711639,0.1944107,-0.5954322,-0.1138913,0.8000726,-0.5991713,-0.02960083,-0.001224235,0.7645009,0.01690427,-0.6354683,-0.1069236,-0.4701545,-0.2080968,0.8460261,0.1410328,0.6412115,0.7413916,-0.09625221,-0.1729792,0.6761149,-0.0049159,0.7329533,-0.0749939,0.6880924,0.02974261,0.7235707,-0.04571377,-0.6578587,0.7082129,-0.1276311,0.2221863,0.730699,0.0003296455,-0.6797701,-0.06317852,0.7156671,-0.02887647,-0.6971624,-0.03084308,0.7418044,0.05003645,-0.6457865,-0.1737312,-0.4847309,-0.1646366,0.8559337,0.07285731,-0.02020902,0.9976375,0.05310339,0.03861334,-0.02053799,0.9978578,0.05297703,0.03242499,-0.02129985,0.9988567,0.03359276,0.02651573,-10,5,5
0.2818979,0.02469735,0.1777177,1.927285,0.0293719,0.02852001,1.940713,0.1958347,-0.09587739,1.962292,0.251412,-0.3739139,1.950347,0.2895324,-0.5862836,1.85403,-0.139672,-0.09636302,1.945003,-0.1684505,-0.3608451,1.894576,-0.1772779,-0.5694202,1.781532,0.129117,-0.5691317,1.862493,0.1655876,-0.9141813,1.824446,0.2160252,-1.377267,1.81501,-0.01846259,-0.5730767,1.850879,-0.04800222,-0.9187698,1.817991,-0.0869911,-1.382839,1.815439,0.2261925,-1.404904,1.678216,-0.08586971,-1.41301,1.678975,0.2785058,-0.6524979,1.831613,-0.1761094,-0.6278716,1.760617,0.2792444,-0.7282093,1.817394,-0.1790122,-0.7125725,1.753267,0.056385,-0.5817712,1.89136,0.04269087,-0.2725614,1.923989,0.03264453,-0.04566151,1.939092,-1,-1,High,Low,0.2217659,-0.6215478,1.815714,-0.2153291,-0.6229343,1.777003,-0.02173163,0.9993243,0.01151575,0.0273161,0.8004224,0.5943909,0.07097401,0.03140152,0.7218592,0.0568521,0.684679,-0.08307718,0.7758719,0.1924588,-0.5894184,-0.1164835,0.8001181,-0.5991153,-0.02948756,-0.001524699,0.7692369,0.01797539,-0.6297978,-0.1063314,-0.4769162,-0.2044168,0.8437032,0.1375854,0.6411478,0.7414668,-0.09591857,-0.1730787,0.675967,-0.0046626,0.7330323,-0.07556852,0.6877639,0.02998743,0.7238364,-0.04628473,-0.6579419,0.7081032,-0.1276285,0.2222909,0.7307247,0.001107524,-0.6797078,-0.06354116,0.7159402,-0.02810876,-0.6968979,-0.03118871,0.7466578,0.04472286,-0.6405567,-0.1737506,-0.4887385,-0.1531682,0.8554652,0.07650744,-0.01998299,0.9976264,0.05332124,0.03871995,-0.02030735,0.9978436,0.05319855,0.03264353,-0.02118532,0.9988438,0.03378189,0.02684987,-15,5,5
0.3320472,0.02505031,0.1776888,1.927144,0.02937494,0.02849985,1.940614,0.1958702,-0.09581956,1.962353,0.2512979,-0.3740752,1.950485,0.2887631,-0.5865369,1.854099,-0.1396171,-0.09644392,1.944841,-0.1677143,-0.3609381,1.894243,-0.1753347,-0.5703666,1.782865,0.129034,-0.5692381,1.862218,0.165811,-0.9142526,1.82406,0.2166475,-1.377296,1.814476,-0.01851497,-0.5731623,1.850779,-0.04804522,-0.9188697,1.817418,-0.08702295,-1.382957,1.814238,0.2269262,-1.404878,1.677678,-0.08582383,-1.412988,1.677721,0.277528,-0.653008,1.830963,-0.1739207,-0.627622,1.762704,0.2773518,-0.7274488,1.815657,-0.1781494,-0.7094941,1.748003,0.05631539,-0.5818703,1.891177,0.04266965,-0.2726148,1.923834,0.0326449,-0.04568853,1.938979,-1,-1,High,High,0.2222874,-0.6273876,1.816073,-0.2155085,-0.6328198,1.778857,-0.0217055,0.9993153,0.01161703,0.02761846,0.8002132,0.5946059,0.07140677,0.03168232,0.7238613,0.05695359,0.6826142,-0.0825761,0.7783839,0.1909035,-0.5862539,-0.1182402,0.8002338,-0.5989646,-0.02940677,-0.001624819,0.7740294,0.01835256,-0.6239563,-0.1059251,-0.6093636,-0.1778105,0.7549188,0.1647941,0.6411445,0.7413207,-0.0962872,-0.1735115,0.6763439,-0.004440641,0.7326408,-0.0760036,0.6875113,0.03015321,0.7240419,-0.04671517,-0.6579093,0.7082594,-0.1273641,0.2220413,0.7302702,0.001621093,-0.6801502,-0.06402028,0.7161238,-0.02763698,-0.6967072,-0.03165481,0.7489715,0.04584792,-0.6366726,-0.1777295,-0.6242261,-0.1378347,0.7627782,0.0975329,-0.01993129,0.9976484,0.05334273,0.03814475,-0.02023258,0.9978481,0.05322917,0.03250314,-0.02112248,0.9988338,0.03387695,0.02715321,-15,5,0
