time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0289772,0.04288448,0.2091039,1.915856,0.03959283,0.03861991,1.946772,0.2128015,-0.08449506,1.981762,0.2686469,-0.3539589,1.982885,0.3151663,-0.5644327,1.886819,-0.1202446,-0.08416772,1.940686,-0.16143,-0.3560458,1.934771,-0.169483,-0.5671422,1.827759,0.1399187,-0.5503414,1.88223,0.1727122,-0.8338683,1.837871,0.1788468,-1.222209,1.959868,-0.006859038,-0.5543509,1.8683,-0.02113508,-0.8537589,1.84105,0.01284638,-1.22834,1.956555,0.1928438,-1.292806,1.851845,0.03668586,-1.294052,1.845174,0.310363,-0.6410332,1.855081,-0.1650934,-0.6178331,1.805047,0.3074386,-0.713155,1.844407,-0.1737105,-0.6917671,1.788086,0.06779619,-0.5627223,1.91049,0.05342402,-0.2580027,1.936442,0.04300902,-0.0344466,1.946747,-1,-1,High,High,0.24336,-0.6167976,1.850076,-0.1982332,-0.620227,1.78596,-0.02330675,0.9979517,0.001557404,0.05955273,0.7941737,0.5985874,0.08926833,0.05488655,0.6928956,0.0725156,0.7137842,-0.07175898,0.7748131,0.2072245,-0.5878781,-0.1054614,0.8034683,-0.5950383,0.004710204,-0.01859905,0.7808479,-0.05209465,-0.6200985,-0.05514101,0.7210751,0.1429308,-0.6525045,-0.1840095,0.6410227,0.7429606,-0.1008738,-0.1640852,0.6656652,-0.01921652,0.7400583,-0.09399083,0.6610202,0.1178034,0.7348561,0.09571379,-0.6572322,0.7064317,-0.139517,0.2225649,0.7372036,0.01304978,-0.6737301,-0.04947966,0.7501203,-0.06349868,-0.6429107,0.1412561,0.7548407,0.1016548,-0.6255887,-0.1688801,0.7316278,0.1684385,-0.6477619,-0.1294365,-0.02148138,0.9977217,0.04348879,0.04689068,-0.02122825,0.9974323,0.04361291,0.0526888,-0.02185557,0.997717,0.02434629,0.05908065,-15,0,5
0.0630793,0.0428565,0.2091381,1.915886,0.03959359,0.03862089,1.946774,0.2128206,-0.08448856,1.981767,0.2683972,-0.3544003,1.982811,0.3145245,-0.5649662,1.886761,-0.1200828,-0.08420598,1.940853,-0.1612969,-0.3559782,1.934808,-0.1692955,-0.567095,1.827834,0.1399001,-0.5503218,1.882074,0.172813,-0.8339055,1.837783,0.1801973,-1.222051,1.960061,-0.006869639,-0.554335,1.868219,-0.02102243,-0.8535883,1.840824,0.01294342,-1.228086,1.95706,0.19448,-1.292689,1.852147,0.03676272,-1.2941,1.84598,0.3091828,-0.6415561,1.85627,-0.1659432,-0.6181479,1.808756,0.3053322,-0.7140306,1.842155,-0.1766191,-0.6953968,1.794561,0.06778135,-0.5627039,1.910372,0.05342726,-0.2579953,1.936416,0.04300974,-0.03444573,1.946747,-1,-1,High,High,0.2432272,-0.6157765,1.851126,-0.2024253,-0.6237466,1.798487,-0.0233057,0.9979663,0.001570426,0.05930983,0.7941583,0.5986092,0.08924621,0.05490676,0.6934068,0.07201222,0.713379,-0.07135516,0.7617114,0.2087943,-0.6049204,-0.1013513,0.8036205,-0.5948458,0.004362855,-0.0182648,0.7812062,-0.05204019,-0.6196333,-0.05534776,-0.6757078,-0.1549683,0.6994107,0.1738631,0.6410143,0.7428985,-0.1009374,-0.16436,0.6660125,-0.01894162,0.7397446,-0.09405581,0.6606066,0.1191815,0.7351294,0.0947599,-0.6572754,0.7064428,-0.1393209,0.2225252,0.7370221,0.01338294,-0.6739178,-0.04953991,0.7499779,-0.06412165,-0.6428677,0.1419244,0.7407833,0.09849775,-0.6440569,-0.1634899,0.6987626,0.1471714,-0.6922507,-0.104213,-0.02145617,0.9977278,0.04363464,0.04663752,-0.02120206,0.9974396,0.04375868,0.05243885,-0.02186429,0.9977299,0.02439901,0.05883669,-15,0,0
0.0960163,0.04282701,0.2091677,1.915966,0.03959635,0.03861738,1.946765,0.2128377,-0.08450307,1.981772,0.2680805,-0.3551569,1.982726,0.3140328,-0.5656242,1.886339,-0.1200646,-0.08420117,1.940958,-0.1612195,-0.3559514,1.934795,-0.1690111,-0.5672044,1.828103,0.1398469,-0.5503057,1.881821,0.1728915,-0.8339138,1.837709,0.1975278,-1.22164,1.958991,-0.006899922,-0.5543072,1.868132,-0.02101248,-0.8534945,1.840659,0.004042454,-1.227448,1.960527,0.2163256,-1.290517,1.85028,0.02569958,-1.295708,1.851154,0.3078902,-0.6408207,1.85488,-0.1653345,-0.6186549,1.810938,0.3058947,-0.7122232,1.841252,-0.1765122,-0.6947356,1.794039,0.06773893,-0.5626788,1.91021,0.05342598,-0.2579896,1.93635,0.04301327,-0.03444837,1.946729,-1,-1,High,High,0.2436806,-0.6174405,1.85266,-0.207571,-0.6243856,1.81925,-0.02330781,0.9979753,0.001628176,0.05915556,0.7941614,0.5985935,0.089315,0.05492165,0.6927004,0.07121731,0.7141867,-0.07093374,0.7355427,0.2130703,-0.636296,-0.09330236,0.8036194,-0.5948558,0.004041577,-0.01805648,0.781998,-0.05189648,-0.6186419,-0.0553899,-0.6078596,-0.1702442,0.7593253,0.1579519,0.6410295,0.7427317,-0.1012337,-0.164871,0.66919,-0.01815228,0.7368866,-0.09409165,0.6538062,0.1333286,0.7408515,0.07681049,-0.6573076,0.7065225,-0.1390177,0.222366,0.7366431,0.01355098,-0.6743247,-0.04959386,0.7472075,-0.07644857,-0.6456407,0.1377847,0.70968,0.1076323,-0.6755077,-0.168698,-0.6275678,-0.1452839,0.7611652,0.07535783,-0.02140699,0.9977482,0.04377657,0.04608543,-0.02114346,0.9974532,0.04390446,0.05208228,-0.02185167,0.9977367,0.02450389,0.05868156,-15,0,5
0.1324659,0.04282791,0.2091518,1.915953,0.03951959,0.0386701,1.946687,0.2128283,-0.08457069,1.981693,0.2677948,-0.3557455,1.982132,0.3134963,-0.5662906,1.885807,-0.1200099,-0.08415426,1.94107,-0.1609767,-0.355748,1.934599,-0.1688489,-0.5674797,1.828984,0.1397969,-0.5503401,1.881548,0.1729782,-0.8338521,1.837684,0.1786009,-1.222004,1.960144,-0.00693525,-0.5543152,1.867914,-0.02107025,-0.8536633,1.840371,0.01107422,-1.2245,1.966859,0.1923138,-1.292885,1.85238,0.034787,-1.294754,1.860252,0.3072676,-0.6414103,1.852821,-0.1651326,-0.6187395,1.813019,0.3052616,-0.7134577,1.839648,-0.1775213,-0.6965986,1.799365,0.0676953,-0.5627007,1.90996,0.05337491,-0.2579628,1.936197,0.04294602,-0.03440182,1.946637,-1,-1,High,High,0.2431854,-0.6254072,1.851516,-0.2078788,-0.6272287,1.8185,-0.02336534,0.9979912,0.00172344,0.05886137,0.7943154,0.5983875,0.08933312,0.054909,0.6926516,0.0700656,0.7143302,-0.07111245,0.7164624,0.2152294,-0.6578373,-0.08722365,0.8036868,-0.594779,0.003548043,-0.0176906,0.7825563,-0.05136129,-0.6179609,-0.05560533,-0.6073241,-0.1684323,0.7604837,0.1563729,0.6410881,0.7426345,-0.1012569,-0.165067,0.6661159,-0.01807237,0.739688,-0.09393912,0.6615655,0.1177507,0.734246,0.09668856,-0.6572781,0.7065833,-0.1388218,0.2223825,0.7365196,0.013603,-0.6744525,-0.04967477,0.7488251,-0.07462427,-0.6410192,0.1509519,-0.6812056,-0.120106,0.7017505,0.170528,-0.627702,-0.1381345,0.7630416,0.06838484,-0.02141551,0.9977495,0.04392497,0.04591243,-0.0211538,0.9974586,0.04405161,0.05184773,-0.021885,0.9977502,0.02463074,0.05838567,-15,-5,5
0.1636068,0.0428017,0.2091402,1.915938,0.03952756,0.03864501,1.946444,0.212808,-0.08457883,1.981635,0.2677396,-0.3566174,1.981574,0.3131952,-0.5671372,1.885059,-0.1199013,-0.08418123,1.941075,-0.1608652,-0.3558179,1.93454,-0.1684221,-0.5679381,1.829778,0.1397301,-0.5504025,1.881392,0.1728044,-0.8341386,1.837463,0.1940841,-1.222328,1.95765,-0.007011395,-0.5543526,1.867718,-0.02115937,-0.8536219,1.840146,0.01175399,-1.224617,1.966243,0.2119008,-1.291075,1.848542,0.03563597,-1.294632,1.859424,0.3070671,-0.6413146,1.853223,-0.1640153,-0.6199142,1.816354,0.3047488,-0.7145087,1.841298,-0.1773127,-0.6980615,1.801825,0.0676221,-0.562753,1.909781,0.05335356,-0.2579992,1.935976,0.04294929,-0.03442901,1.946398,-1,-1,High,High,0.2434867,-0.6182316,1.852392,-0.2077883,-0.6272132,1.824369,-0.02333468,0.9979985,0.00168798,0.05874993,0.7942533,0.5983942,0.08955561,0.05536929,0.6930012,0.06918929,0.7140431,-0.07144818,0.7543812,0.2094924,-0.6139297,-0.100559,0.8037458,-0.5947186,0.003159045,-0.01709886,0.7842516,-0.05142879,-0.6158077,-0.05554467,-0.5789068,-0.1729966,0.7829071,0.1483086,0.6411474,0.7426249,-0.1011793,-0.164927,0.6690834,-0.01789116,0.737017,-0.09387794,0.6556787,0.1293494,0.7396372,0.07931571,-0.6571949,0.7066405,-0.138929,0.2223799,0.7366077,0.01361573,-0.6743513,-0.04973856,0.7490281,-0.07348296,-0.6408576,0.1511912,0.7294665,0.1051319,-0.6527107,-0.175484,-0.6011956,-0.1249833,0.7880712,0.0434365,-0.02132716,0.9977482,0.04385422,0.04604931,-0.02107122,0.9974629,0.04397778,0.05186336,-0.02183439,0.9977589,0.02458468,0.05827566,-15,0,5
0.1969372,0.04278708,0.2091355,1.915911,0.03951305,0.03866488,1.946437,0.2127946,-0.08455688,1.98162,0.2675292,-0.3568014,1.981381,0.3128048,-0.5672418,1.884568,-0.1198945,-0.08414242,1.94111,-0.1607772,-0.3558288,1.934493,-0.1678419,-0.5685798,1.831139,0.13963,-0.5504845,1.8813,0.17247,-0.8344752,1.837336,0.194695,-1.223131,1.955415,-0.007063071,-0.5543351,1.867678,-0.02117992,-0.8537172,1.839948,0.01272247,-1.222911,1.970237,0.2126898,-1.290968,1.8454,0.03703584,-1.2945,1.865347,0.3077658,-0.6413348,1.85241,-0.1635026,-0.6200449,1.818469,0.3047572,-0.7132692,1.839197,-0.1780307,-0.6949219,1.802883,0.06755158,-0.5627749,1.90972,0.05332742,-0.2579921,1.935949,0.04293416,-0.03441261,1.946387,-1,-1,High,High,0.2433837,-0.6184919,1.852705,-0.2041223,-0.6169331,1.824261,-0.023328,0.998003,0.001711168,0.05867701,0.7942443,0.5984078,0.08955403,0.05535516,0.6929953,0.06866271,0.7141069,-0.07137549,0.7222031,0.2144729,-0.6513249,-0.09055423,0.8037208,-0.5947552,0.003040682,-0.01702468,0.7868366,-0.05144499,-0.6125179,-0.05534643,-0.5839963,-0.1702247,0.7800558,0.1465771,0.6413996,0.7423434,-0.1013479,-0.1651107,0.669468,-0.01814887,0.7367032,-0.09355022,0.6557952,0.1281723,0.7400176,0.07667155,-0.6570266,0.7068063,-0.1388551,0.2223964,0.7363254,0.0138468,-0.674645,-0.04987226,0.7490759,-0.07595526,-0.6392405,0.1564855,-0.6908531,-0.1213398,0.6931765,0.1658464,-0.6059793,-0.1202093,0.7852857,0.04080762,-0.02125591,0.9977538,0.04389931,0.04591685,-0.02099841,0.9974678,0.04402307,0.05176048,-0.0218086,0.9977629,0.02461702,0.05820304,-15,5,5
0.2284198,0.04276668,0.2091442,1.915899,0.03953455,0.03855883,1.946307,0.2127873,-0.08456863,1.981626,0.2674721,-0.3568392,1.981173,0.3124735,-0.5672416,1.884114,-0.1198674,-0.08415923,1.941084,-0.1606547,-0.3558949,1.934544,-0.1675384,-0.5693027,1.832717,0.1394302,-0.5505125,1.881011,0.1725089,-0.8344779,1.83736,0.1947668,-1.22324,1.955116,-0.007138286,-0.5543457,1.867629,-0.02133317,-0.8540598,1.839782,0.01464323,-1.219538,1.978006,0.2127701,-1.290944,1.844964,0.03989182,-1.29408,1.877017,0.3086127,-0.6406767,1.851057,-0.1629103,-0.6209852,1.821481,0.3047197,-0.7126614,1.838605,-0.1774238,-0.6953804,1.804925,0.06741809,-0.5627946,1.909573,0.0532896,-0.2580487,1.935817,0.04294218,-0.03450373,1.946258,-1,-1,High,High,0.2439099,-0.6184342,1.85352,-0.2036054,-0.6117307,1.828,-0.02324111,0.998003,0.001701235,0.0587122,0.7940847,0.5985572,0.08978391,0.05565591,0.6938474,0.06840257,0.713292,-0.07149435,0.7223855,0.2143565,-0.6510389,-0.09142647,0.8036087,-0.5949144,0.002859074,-0.01678816,0.788534,-0.05153876,-0.6103565,-0.05497966,-0.5867457,-0.1673057,0.7789742,0.1446976,0.6413291,0.742147,-0.1020018,-0.1658631,0.6700131,-0.01740124,0.7362298,-0.09351622,0.6558287,0.1278881,0.7400687,0.07636634,-0.6569868,0.706961,-0.1386521,0.2221489,0.7223504,0.01488929,-0.6895744,-0.04975279,0.7493002,-0.08039194,-0.6358063,0.1668427,0.6992851,0.1290165,-0.6829435,-0.1671624,-0.6095949,-0.1110395,0.7842958,0.03073168,-0.02113543,0.9977915,0.04390452,0.04514211,-0.02086017,0.9974893,0.04403596,0.05138753,-0.02170861,0.9977628,0.02462246,0.05824017,-15,10,5
0.2631238,0.04273779,0.2091661,1.915866,0.03950491,0.03853991,1.946302,0.2127804,-0.08457567,1.981616,0.2673401,-0.3571457,1.980776,0.3120849,-0.567557,1.883601,-0.1200155,-0.08414553,1.941143,-0.1605885,-0.3558717,1.934502,-0.1666299,-0.5704345,1.835395,0.1392998,-0.5505354,1.880906,0.1725354,-0.8344671,1.837381,0.1947635,-1.223615,1.954074,-0.007249178,-0.5543268,1.867544,-0.0213637,-0.8540785,1.839719,0.01362052,-1.221622,1.972999,0.2126948,-1.290917,1.843491,0.03834433,-1.294313,1.869548,0.3082596,-0.6407977,1.850877,-0.1609288,-0.6210842,1.82437,0.3052227,-0.7127127,1.838402,-0.1776429,-0.7000791,1.810443,0.0672935,-0.5627966,1.909474,0.05323242,-0.2580615,1.935775,0.04290948,-0.03452064,1.946247,-1,-1,High,High,0.2426173,-0.6225228,1.852113,-0.2037262,-0.6178282,1.827049,-0.0232184,0.9980102,0.001744569,0.05859662,0.7940557,0.598596,0.08979584,0.05563345,0.6943156,0.06771974,0.7128803,-0.0717058,0.712244,0.2154993,-0.6621229,-0.08866719,0.8035007,-0.5950644,0.0026474,-0.01667615,0.7932934,-0.05154802,-0.604201,-0.05449337,-0.59803,-0.1616612,0.7720938,0.1417637,0.6414338,0.7420362,-0.1019675,-0.1659746,0.6700249,-0.01705688,0.7362189,-0.09358197,0.6561834,0.1268078,0.740026,0.07552912,-0.6568998,0.7070454,-0.1385925,0.2221746,0.7305202,0.01436565,-0.6809212,-0.04980251,0.749178,-0.07737347,-0.6378961,0.1607308,-0.6811565,-0.1325162,0.7014374,0.1626372,-0.623129,-0.1174483,0.7728789,0.02396662,-0.02102409,0.9977924,0.04399341,0.04508897,-0.02074962,0.9974921,0.04412353,0.05130405,-0.02165327,0.9977691,0.02468524,0.05812525,-15,5,5
0.2964669,0.04271992,0.2091787,1.915866,0.03956599,0.03834822,1.946229,0.2127236,-0.0845164,1.981631,0.267262,-0.3571649,1.980753,0.3118442,-0.5675645,1.883457,-0.1200714,-0.08417006,1.941144,-0.1603494,-0.3559225,1.934645,-0.1661947,-0.5719239,1.839153,0.1392235,-0.5505573,1.880873,0.1726149,-0.8344029,1.837416,0.1753053,-1.220858,1.963543,-0.007340579,-0.5543404,1.867419,-0.02166362,-0.854286,1.839749,-0.04563622,-1.237323,1.928182,0.1882104,-1.293432,1.857533,-0.03644598,-1.29649,1.80808,0.3080606,-0.6403596,1.851672,-0.1598163,-0.6230916,1.828289,0.3057258,-0.7124658,1.839811,-0.1778524,-0.7010845,1.81406,0.06720828,-0.5628161,1.909399,0.05322024,-0.2581355,1.935708,0.04294884,-0.03467469,1.946174,-1,-1,High,High,0.239202,-0.6075661,1.849625,-0.2035623,-0.6137895,1.839048,-0.02308238,0.9980112,0.001733524,0.05863238,0.7937269,0.5989823,0.08997642,0.05587485,0.6948096,0.06767385,0.7124075,-0.07166141,0.7149922,0.2150402,-0.6591238,-0.08999871,0.8032374,-0.5954248,0.002501144,-0.01651375,0.796843,-0.05159337,-0.5995831,-0.05366188,-0.5841835,-0.1581589,0.7847895,0.1334948,0.6414755,0.7420633,-0.1017407,-0.1658307,0.6639968,-0.01755438,0.7416479,-0.09358768,0.6620682,0.1187995,0.7327897,0.1028186,-0.6568499,0.7070124,-0.1387683,0.2223172,0.73616,0.01351445,-0.6748276,-0.04993435,0.733597,-0.09883777,-0.669415,0.06285031,-0.6846882,-0.1289036,0.6992186,0.1602477,-0.6089259,-0.1194065,0.7840341,0.01554664,-0.0208948,0.9977805,0.04401508,0.04538957,-0.02062589,0.997485,0.04414174,0.05147604,-0.02154607,0.9977695,0.02467563,0.05816336,-15,5,5
0.3274109,0.04268846,0.2091987,1.915878,0.03950866,0.03838586,1.946225,0.2127174,-0.08452239,1.981668,0.2671663,-0.3573215,1.980573,0.3116289,-0.5676972,1.883153,-0.1200699,-0.08419763,1.941145,-0.1602016,-0.3560202,1.934693,-0.1652849,-0.5727233,1.840981,0.1390775,-0.550655,1.880904,0.1727223,-0.834387,1.837451,0.1965465,-1.223778,1.953564,-0.007456444,-0.5544129,1.867421,-0.02173135,-0.8542072,1.839765,0.004705504,-1.225875,1.963908,0.2148673,-1.290716,1.842711,0.02678002,-1.295747,1.8564,0.3079364,-0.6402047,1.850828,-0.1579525,-0.6239845,1.828475,0.3050949,-0.7124446,1.836687,-0.1777014,-0.7016625,1.816495,0.06707472,-0.5629024,1.909411,0.05315329,-0.2581445,1.935704,0.04289393,-0.03465035,1.94617,-1,-1,High,High,0.242472,-0.6157272,1.852206,-0.2039695,-0.6187986,1.839353,-0.02309452,0.9980091,0.001736543,0.05866427,0.7937447,0.5989457,0.09002299,0.05594025,0.6949272,0.06725878,0.7123209,-0.0717733,0.7181714,0.2145907,-0.6556085,-0.09142242,0.8033528,-0.5952699,0.002525122,-0.01648262,0.8006935,-0.05176362,-0.5944676,-0.05309136,-0.5662783,-0.1589519,0.7988425,0.1261498,0.6415262,0.7420416,-0.1016802,-0.1657692,0.6696312,-0.01654314,0.7365263,-0.09407083,0.6556689,0.1275825,0.7405591,0.0734392,-0.6567612,0.707064,-0.13888,0.2223458,0.7362422,0.01355784,-0.6747404,-0.04988943,0.7471197,-0.07877979,-0.6441902,0.1436137,-0.688983,-0.1308442,0.6938897,0.1633989,-0.590802,-0.1365564,0.7950364,0.01491378,-0.02077714,0.9977794,0.04397753,0.04550246,-0.02051019,0.9974853,0.04410266,0.05154976,-0.02151529,0.9977683,0.02467035,0.05819611,-15,5,5
