time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0273288,-0.03438259,0.1994014,1.937918,-0.02959863,0.02691038,1.963732,0.1365536,-0.09391712,1.987366,0.1989536,-0.3676252,1.986444,0.2445037,-0.573175,1.881139,-0.1967407,-0.08799303,1.970756,-0.2352165,-0.3599117,1.958905,-0.2507677,-0.5737543,1.86718,0.06957835,-0.5717826,1.913548,0.09203581,-0.913902,1.880539,0.117432,-1.321147,2.096083,-0.08385174,-0.57395,1.901262,-0.09419688,-0.9165998,1.867814,-0.05333163,-1.318458,2.090741,0.1299082,-1.413007,2.022306,-0.03396906,-1.411494,2.021909,0.256941,-0.644087,1.84876,-0.2437463,-0.631223,1.852632,0.252786,-0.7107292,1.833419,-0.2409245,-0.7042578,1.841842,-0.007263864,-0.5832657,1.942062,-0.01912152,-0.2743013,1.960538,-0.02712202,-0.04734504,1.965404,-1,-1,Low,High,0.2879111,-0.6232588,1.845391,-0.2152942,-0.6284955,1.821896,-0.0169484,0.9994712,-0.01082705,0.02554921,0.7956162,0.6021644,0.05203076,0.04105823,0.7070788,0.07841743,0.6982327,-0.07975928,0.6285235,-0.1108164,0.7359001,-0.2261172,0.7850397,-0.6192353,-0.01342689,0.008941258,0.7650605,-0.03996775,-0.6397582,-0.06159839,0.9067014,-0.1073135,0.369299,-0.1731898,0.6481895,0.7397218,-0.1023564,-0.1489466,0.6952907,-0.01169973,0.7163802,-0.05686167,0.6589364,0.195943,0.7120761,0.1426775,-0.6536126,0.7150401,-0.1393609,0.2051504,-0.650228,-0.02711204,0.7580327,0.04306753,0.7233397,-0.1315785,-0.6420991,0.2171992,0.6348912,-0.1069737,0.7389603,-0.1985133,0.9107657,0.006193338,0.3896812,-0.1364411,-0.01794342,0.9985704,0.03058704,0.03999488,-0.01817283,0.9988428,0.03045129,0.03248772,-0.01733895,0.9994702,0.01115359,0.02518341,-15,0,5
0.060932,-0.03284252,0.1992591,1.938124,-0.02845386,0.02684461,1.963742,0.1378081,-0.09376733,1.987649,0.2009126,-0.3676887,1.986861,0.2479964,-0.5719663,1.881241,-0.1949616,-0.08876085,1.970514,-0.232343,-0.3610598,1.960522,-0.2464991,-0.5761542,1.871961,0.07059906,-0.5716798,1.912168,0.09287009,-0.9137651,1.880385,0.1083526,-1.319946,2.098696,-0.08283153,-0.5740941,1.90035,-0.09286586,-0.9167482,1.866924,-0.05583834,-1.317617,2.092105,0.1181073,-1.413171,2.027534,-0.0374038,-1.411574,2.025476,0.2590621,-0.6442963,1.849248,-0.2374235,-0.6327524,1.858027,0.2549374,-0.709755,1.832711,-0.2365899,-0.7056758,1.843355,-0.00622633,-0.5832995,1.940925,-0.01799607,-0.2743406,1.960035,-0.02598237,-0.0474017,1.965299,-1,-1,Low,High,0.2875139,-0.6264149,1.836389,-0.1737192,-0.604474,1.850778,-0.01690396,0.9994612,-0.01003912,0.02628413,0.7950889,0.6027145,0.05350473,0.04130306,0.7026153,0.07888845,0.7025436,-0.08087553,0.7448726,-0.06847453,0.6166714,-0.2453413,0.7865313,-0.6173435,-0.01362648,0.008350086,0.768764,-0.04090075,-0.6356328,-0.05744629,0.7914107,-0.1394075,0.5789302,-0.1381104,0.6475716,0.7398586,-0.1025947,-0.1507802,0.6872445,-0.01123664,0.7242293,-0.05532323,0.6621146,0.1900633,0.7083598,0.1539692,-0.6543148,0.7147393,-0.138105,0.2048091,-0.6534356,-0.02720172,0.7552803,0.04282024,0.7222295,-0.1368158,-0.6425792,0.2162358,0.7546401,-0.07528939,0.6191717,-0.2036571,0.7794028,-0.01235224,0.6101267,-0.1418595,-0.0178089,0.9986036,0.03157507,0.03842672,-0.01800979,0.9988282,0.03146091,0.03206098,-0.01727763,0.9994422,0.01204165,0.02591849,-15,-5,5
0.0925557,-0.03159665,0.1989406,1.938204,-0.02706677,0.02678272,1.963913,0.1397886,-0.09424774,1.988355,0.2026748,-0.3677867,1.987774,0.2503403,-0.571409,1.882967,-0.1934517,-0.08923996,1.97051,-0.230533,-0.3619099,1.961704,-0.2444017,-0.5776206,1.874853,0.07159256,-0.5716852,1.911454,0.09312267,-0.9137927,1.880285,0.1018769,-1.319491,2.099799,-0.08196771,-0.5740733,1.899884,-0.09166681,-0.9167396,1.866402,-0.04847848,-1.319603,2.087206,0.1098756,-1.413378,2.029954,-0.02809253,-1.412029,2.017304,0.2612199,-0.6445439,1.853741,-0.2334309,-0.6353889,1.86404,0.2575568,-0.7095875,1.836941,-0.2340196,-0.705499,1.851587,-0.005278856,-0.5832928,1.940332,-0.01678168,-0.2743586,1.959792,-0.02462797,-0.04745042,1.965368,-1,-1,Low,High,0.2922225,-0.6237716,1.849667,-0.1750692,-0.6175066,1.858923,-0.01667786,0.9994475,-0.009344461,0.02718589,0.7953722,0.6021433,0.05512762,0.04204271,0.6998767,0.07867502,0.7053084,-0.08076423,0.6465744,-0.1018263,0.7191526,-0.2332224,0.7873362,-0.6163181,-0.01378737,0.00797431,0.7696573,-0.0418821,-0.6346762,-0.05531501,0.7151735,-0.1521827,0.671953,-0.1176716,0.6476849,0.7395782,-0.1025777,-0.1516776,0.6820301,-0.01172354,0.7292444,-0.05385234,0.6639982,0.1855049,0.7062446,0.1609746,-0.6544251,0.7148992,-0.1373231,0.2044245,-0.65022,-0.02776072,0.7580546,0.04238522,0.7256556,-0.127314,-0.6402821,0.2173798,0.6593997,-0.09174771,0.724655,-0.1779031,0.689323,-0.001223319,0.7127091,-0.1299159,-0.01738429,0.9986261,0.03210852,0.03758819,-0.01756065,0.9988177,0.0320124,0.03209427,-0.01694216,0.9994152,0.01273894,0.02682892,-15,0,5
0.133622,-0.03061064,0.1986506,1.938621,-0.02613678,0.02694377,1.964469,0.1413039,-0.09425484,1.989023,0.2042838,-0.3679167,1.989129,0.2528386,-0.5717321,1.885711,-0.1923208,-0.08977901,1.97066,-0.2286597,-0.3625201,1.963632,-0.2421867,-0.5785971,1.877785,0.07238337,-0.5717986,1.910846,0.09397207,-0.9138738,1.880256,0.09931798,-1.319866,2.09937,-0.08102261,-0.5741678,1.899437,-0.09106342,-0.9168218,1.865893,-0.04884545,-1.319178,2.087722,0.1064354,-1.41387,2.029673,-0.02855187,-1.41203,2.018943,0.2618395,-0.6463028,1.858391,-0.2293931,-0.6352152,1.867168,0.2583498,-0.711831,1.840984,-0.2331804,-0.7049868,1.851004,-0.004397207,-0.5834004,1.939798,-0.01592501,-0.2743285,1.959787,-0.02372116,-0.04732535,1.965769,-1,-1,Low,High,0.2945649,-0.6281,1.855429,-0.172517,-0.6086441,1.852616,-0.01649147,0.9994426,-0.008296583,0.02781381,0.7952133,0.6022632,0.05623952,0.04185551,0.6970984,0.07931437,0.7080373,-0.08028921,0.6407629,-0.1002644,0.7249642,-0.2319417,0.7885753,-0.6147426,-0.01380336,0.007069835,0.7685731,-0.04280782,-0.6362029,-0.05204635,0.8089663,-0.1307391,0.5562904,-0.1379193,0.6476865,0.7393804,-0.1024965,-0.1526867,0.6787017,-0.01129612,0.7323905,-0.05329786,0.6651364,0.1822934,0.705388,0.1636781,-0.6544707,0.7148842,-0.1366244,0.204799,-0.6496191,-0.02753954,0.7585544,0.04279961,0.7257425,-0.1288376,-0.6397843,0.2176573,0.6583897,-0.09074479,0.7300825,-0.1589588,0.7897537,0.03259092,0.5966853,-0.1385407,-0.01739916,0.9986168,0.0329386,0.03710608,-0.01756186,0.9987881,0.03285214,0.03216636,-0.0167917,0.9993889,0.01363326,0.02746218,-15,-5,5
0.1611764,-0.02986227,0.198458,1.938803,-0.0249923,0.02682815,1.964515,0.1426837,-0.0946106,1.989372,0.2053263,-0.36809,1.990213,0.2545839,-0.5722798,1.888024,-0.1911095,-0.09038236,1.970634,-0.2274363,-0.3633468,1.964865,-0.2404557,-0.5794612,1.879042,0.07323913,-0.5718426,1.909842,0.09598181,-0.9138415,1.879086,0.09758504,-1.317566,2.102158,-0.08005592,-0.5742263,1.898608,-0.09066096,-0.9168444,1.865471,-0.04037914,-1.315699,2.091684,0.1036287,-1.412856,2.0359,-0.01740251,-1.409206,2.026227,0.2623634,-0.6452626,1.861653,-0.2252187,-0.6366246,1.867106,0.2579536,-0.7139103,1.844296,-0.2312298,-0.7066307,1.855233,-0.003467113,-0.5834565,1.938875,-0.01485628,-0.2744046,1.959378,-0.02259325,-0.04742824,1.96571,-1,-1,Low,High,0.2954813,-0.6315515,1.857875,-0.1687344,-0.617444,1.846138,-0.0163672,0.9994365,-0.007581864,0.02830711,0.7954007,0.6018701,0.05752703,0.04220012,0.6941807,0.07956589,0.7109772,-0.07933319,0.6357433,-0.09887029,0.7300049,-0.2305383,0.7894594,-0.6135988,-0.01426551,0.006836785,0.7695993,-0.04430043,-0.6350107,-0.05015938,0.8254935,-0.1255331,0.5315377,-0.1423713,0.6476272,0.739229,-0.102354,-0.1537632,0.6739585,-0.01068283,0.7366691,-0.05462882,0.6654773,0.1826361,0.7034029,0.1703181,-0.6545864,0.7148513,-0.1359488,0.2049926,-0.6309963,-0.02759862,0.7741354,0.04238524,0.7286181,-0.1240392,-0.633596,0.2286613,0.6555253,-0.09436351,0.7336111,-0.1523048,0.8009247,0.04531167,0.5762872,-0.156075,-0.01716321,0.9986141,0.03374882,0.03655645,-0.0173124,0.9987661,0.03367253,0.03213648,-0.01663467,0.9993668,0.01441041,0.02795825,-15,-5,5
0.1940838,-0.0292706,0.1984838,1.939114,-0.02384166,0.02736616,1.965038,0.1437593,-0.09494514,1.989784,0.2059973,-0.3681024,1.991379,0.2556903,-0.5725228,1.889961,-0.1903145,-0.09072783,1.970874,-0.2259226,-0.3636365,1.966306,-0.2385416,-0.5799395,1.880965,0.07382518,-0.5718919,1.909452,0.09592333,-0.9139145,1.879112,0.09172433,-1.316212,2.104591,-0.07953483,-0.5742034,1.898205,-0.08998694,-0.9168349,1.864803,-0.03716289,-1.315107,2.091459,0.09600294,-1.41236,2.040665,-0.01333968,-1.408598,2.026508,0.2625749,-0.6461075,1.867397,-0.2245179,-0.6375002,1.866667,0.2592817,-0.7151469,1.851114,-0.2260919,-0.7104179,1.855252,-0.002902259,-0.583471,1.938474,-0.01405002,-0.2741954,1.959355,-0.02152918,-0.0469841,1.966077,-1,-1,Low,High,0.2919512,-0.6256289,1.861348,-0.1697677,-0.6163135,1.849233,-0.0157376,0.9994472,-0.006540911,0.02854558,0.7966475,0.600183,0.05818204,0.04180995,0.6919669,0.07988995,0.713218,-0.07822783,0.6326621,-0.09797066,0.733067,-0.2296806,0.790685,-0.6120209,-0.01446983,0.006190138,0.7687548,-0.04463536,-0.6361961,-0.04773257,0.80546,-0.1293744,0.5618353,-0.1372495,0.6478746,0.7389957,-0.1018585,-0.1541708,0.6685674,-0.01126305,0.7416426,-0.05345219,0.6673205,0.179697,0.7005917,0.177661,-0.6545095,0.7149255,-0.1356256,0.2051942,-0.6259882,-0.02830869,0.7781711,0.04227174,0.7297053,-0.1217668,-0.6318454,0.2312453,0.6555162,-0.08064907,0.7392076,-0.1317816,0.7808471,0.0197597,0.6020881,-0.1654609,-0.01673775,0.9986009,0.03431932,0.0365825,-0.0168853,0.9987491,0.03424697,0.03228442,-0.01602283,0.9993573,0.01524103,0.02821283,-15,-5,5
0.2272136,-0.02837409,0.1983851,1.93918,-0.02308061,0.02746658,1.96538,0.1445794,-0.09520959,1.989825,0.2065152,-0.3684838,1.992057,0.2565915,-0.5736274,1.892538,-0.1895448,-0.09100646,1.97095,-0.2250397,-0.363617,1.967409,-0.2380358,-0.5796589,1.881372,0.0744807,-0.5719659,1.908543,0.09619184,-0.9139692,1.879132,0.08915257,-1.320001,2.098189,-0.07896387,-0.5744187,1.897644,-0.08959091,-0.9170474,1.86394,-0.03539932,-1.313397,2.093461,0.09265032,-1.414649,2.029738,-0.01104848,-1.407574,2.031054,0.2620011,-0.6492909,1.870844,-0.2233121,-0.6372882,1.863786,0.2578759,-0.7169275,1.854313,-0.2255714,-0.7105817,1.856526,-0.00228033,-0.583627,1.937747,-0.01340869,-0.2742006,1.959213,-0.02080716,-0.04691071,1.96629,-1,-1,Low,High,0.2925214,-0.6265127,1.869786,-0.1695008,-0.6153862,1.847229,-0.01544495,0.9994589,-0.005675242,0.02847957,0.7971597,0.5995394,0.05839694,0.04097257,0.6901686,0.08011349,0.7150416,-0.07723086,0.6080643,-0.1018328,0.754748,-0.2241502,0.7912998,-0.6112257,-0.01476014,0.005478712,0.7659128,-0.04551366,-0.6396493,-0.0464193,0.8141386,-0.1287045,0.5486109,-0.1401418,0.6475549,0.7389815,-0.1019041,-0.1555461,0.6669942,-0.01075202,0.7431599,-0.05211916,0.6701583,0.1714932,0.7006283,0.1749224,-0.6549855,0.7147549,-0.1344901,0.2050164,-0.6186339,-0.02888916,0.7839985,0.04247211,0.7300338,-0.1224496,-0.6298735,0.235194,0.6333897,-0.08457077,0.7604741,-0.1155184,0.7863494,0.01028667,0.588401,-0.187971,-0.01670392,0.9986126,0.03522119,0.03540055,-0.01683578,0.9987383,0.03515834,0.03165825,-0.01581852,0.9993503,0.01600813,0.02815186,-20,-5,5
0.261335,-0.02783335,0.1982717,1.939224,-0.02270796,0.02761452,1.9656,0.1451216,-0.09559086,1.989746,0.2067782,-0.3687473,1.992699,0.2566979,-0.574933,1.895093,-0.1890346,-0.09118808,1.97122,-0.2245802,-0.3638195,1.96835,-0.2373372,-0.5794929,1.881204,0.07471211,-0.5719866,1.908146,0.09680808,-0.9139701,1.878552,0.09678174,-1.317882,2.101335,-0.07871278,-0.5744477,1.897285,-0.0891765,-0.9170841,1.863458,-0.03209129,-1.310357,2.097298,0.1022358,-1.413408,2.035732,-0.006796183,-1.405358,2.038464,0.261259,-0.6500944,1.877102,-0.221683,-0.6377616,1.861557,0.2625759,-0.7170299,1.859372,-0.2243721,-0.7104761,1.854753,-0.002032511,-0.5836537,1.937363,-0.01311887,-0.2741435,1.959147,-0.02045664,-0.04678849,1.966431,-1,-1,Low,High,0.2910727,-0.6309447,1.872696,-0.1675759,-0.6214695,1.843306,-0.01527325,0.99948,-0.005153756,0.02792612,0.7979386,0.598576,0.05813169,0.04026603,0.6906318,0.08078856,0.7146539,-0.07596464,0.6222044,-0.09463449,0.7445369,-0.2226449,0.7918725,-0.6104686,-0.01535523,0.005501662,0.7656108,-0.04634429,-0.640013,-0.04555775,0.8108491,-0.1304048,0.5526429,-0.141789,0.64756,0.7389169,-0.101653,-0.1559954,0.6733637,-0.01012118,0.7373539,-0.05280241,0.6665078,0.1808852,0.7025568,0.1716444,-0.6550611,0.7146905,-0.1341388,0.2052298,-0.6134436,-0.02945544,0.7880599,0.0422021,0.7304609,-0.1227511,-0.6268075,0.2418085,0.6496334,-0.06908325,0.7505969,-0.09903656,0.779465,0.004534775,0.5929421,-0.2020731,-0.01661723,0.9986009,0.03571754,0.03527553,-0.0167584,0.9987326,0.03565152,0.03132473,-0.01567668,0.9993608,0.01644526,0.02760226,-15,5,0
0.2930659,-0.02733993,0.1981471,1.939468,-0.02194605,0.0278382,1.966161,0.1455318,-0.09571429,1.989972,0.2070042,-0.3692463,1.993468,0.2572637,-0.579815,1.898085,-0.1885693,-0.09117879,1.971697,-0.2243687,-0.363941,1.968814,-0.2368057,-0.5793976,1.880992,0.07509351,-0.5720305,1.907788,0.0969145,-0.914028,1.878233,0.09422553,-1.318446,2.100156,-0.07819574,-0.5743546,1.896785,-0.08912281,-0.9169637,1.863333,-0.03526735,-1.313777,2.092182,0.0987885,-1.413924,2.034286,-0.0111923,-1.408015,2.029831,0.2595943,-0.6530507,1.882135,-0.2209697,-0.6379251,1.859377,0.2589352,-0.720763,1.863866,-0.223008,-0.7092725,1.850502,-0.001577714,-0.5836357,1.936935,-0.01255661,-0.2740376,1.959154,-0.019743,-0.046596,1.966834,-1,-1,Low,High,0.2898534,-0.6403717,1.874429,-0.1670976,-0.6239596,1.842436,-0.01491243,0.9994983,-0.004104075,0.0276389,0.7985981,0.5977151,0.05843093,0.03954147,0.6919458,0.08129492,0.7134463,-0.07481043,0.6266425,-0.08810755,0.7432182,-0.2172167,0.7920552,-0.6102145,-0.01613128,0.00514716,0.7668678,-0.04674862,-0.6384629,-0.04575392,0.8149825,-0.1295328,0.546038,-0.1444553,0.6478753,0.7386552,-0.1010561,-0.1563127,0.6708866,-0.01052605,0.739629,-0.0524338,0.6681842,0.1777041,0.7013289,0.1734614,-0.6547381,0.714757,-0.1340745,0.2060691,-0.6200197,-0.02826073,0.7829167,0.04264259,0.7295769,-0.1224444,-0.6307819,0.2341776,0.6580848,-0.06983401,0.745142,-0.0825295,0.7826781,-0.002007613,0.5848379,-0.2130155,-0.01639492,0.9985614,0.03640824,0.03578889,-0.01655286,0.9987073,0.03633669,0.03145233,-0.01531868,0.9993595,0.01729496,0.02732522,-15,-10,5
0.3401784,-0.02659792,0.1981499,1.939725,-0.0214405,0.02794189,1.966431,0.1458039,-0.09586506,1.990061,0.2069141,-0.3696226,1.994226,0.256296,-0.5804753,1.901046,-0.1883966,-0.09131011,1.97202,-0.224313,-0.3639621,1.969014,-0.2355838,-0.5789414,1.879653,0.07522414,-0.5720333,1.907442,0.09695496,-0.9140393,1.877795,0.09301265,-1.318435,2.099751,-0.07806524,-0.5743167,1.896358,-0.08892901,-0.916919,1.863166,-0.04110805,-1.31618,2.089208,0.09710287,-1.414022,2.034157,-0.01902954,-1.410271,2.025131,0.2570508,-0.6555951,1.886151,-0.2206443,-0.6364691,1.855505,0.2571375,-0.7238755,1.86921,-0.2210829,-0.7066804,1.844837,-0.001443048,-0.5836197,1.936544,-0.01227878,-0.2739848,1.95909,-0.01929834,-0.04650448,1.967007,1,-1,Low,High,0.287079,-0.6357468,1.879346,-0.1673499,-0.6220669,1.842148,-0.01448288,0.9995152,-0.003473497,0.02733959,0.7990761,0.597083,0.05859845,0.03918479,0.6939664,0.08185777,0.7115802,-0.07323711,0.6274411,-0.08584672,0.7439796,-0.213172,0.7922947,-0.6098862,-0.01676997,0.00516847,0.7701494,-0.04702315,-0.6344744,-0.0458363,0.7959312,-0.1341813,0.5724115,-0.1443392,0.6480311,0.7385398,-0.1005283,-0.1565525,0.6696407,-0.01080079,0.7407552,-0.0524065,0.6690142,0.1765548,0.7005163,0.1747148,-0.6546811,0.714718,-0.1339366,0.2064748,-0.6346441,-0.02722098,0.771135,0.04285719,0.7274729,-0.1264361,-0.635253,0.2263862,0.6617916,-0.06968488,0.7432764,-0.06867472,0.7627007,-0.02652659,0.6055093,-0.2257042,-0.01613319,0.9985372,0.03692564,0.03605053,-0.01630331,0.9986929,0.03685085,0.03144506,-0.01494059,0.9993644,0.01779752,0.02703526,-15,-5,5
