time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0030067,0.01775326,0.177005,1.916383,0.03309435,0.03946653,1.933836,0.1772192,-0.08255543,1.939951,0.2691028,-0.3337285,1.963659,0.321986,-0.5643103,1.844149,-0.1230838,-0.06790359,1.957265,-0.1906567,-0.3261301,1.957753,-0.2258832,-0.5533679,1.868879,0.09869653,-0.5010804,1.895271,0.1206921,-0.7977991,1.842514,0.1073616,-1.148497,1.949827,-0.04062589,-0.5018841,1.89768,-0.0733538,-0.7838598,1.816525,-0.0514079,-1.160932,1.857287,0.1018169,-1.169505,1.819598,-0.05470962,-1.181214,1.727467,0.319539,-0.6264046,1.813883,-0.2309488,-0.6246609,1.837147,0.3232197,-0.6844711,1.790291,-0.2284125,-0.7065488,1.837406,0.02923333,-0.5096306,1.928627,0.03253215,-0.2318958,1.938097,0.03333646,-0.02740485,1.936897,-1,-1,Low,High,0.2918777,-0.631965,1.791167,-0.1993665,-0.63166,1.814092,-0.001184449,0.9993649,-0.02291039,-0.02726684,0.8239529,0.566434,-0.004677875,0.01524163,0.759295,0.1627853,0.6254628,-0.07594849,0.7672521,0.2237686,-0.5884851,-0.1222174,0.7891086,-0.6110436,-0.04057544,0.04782489,0.7852816,-0.1016089,-0.6058421,-0.07722561,0.8753453,-0.1478478,0.4411857,-0.1314029,0.6528057,0.7235137,-0.1367599,-0.1779588,0.694492,-0.03731896,0.7132002,-0.08737144,0.7137219,0.08907807,0.6843991,0.1194316,-0.6577085,0.7238041,-0.1303295,0.1629152,-0.6886228,-0.06070364,0.7094593,0.1370446,-0.6947794,0.01844702,0.7166277,-0.05818943,0.7476134,0.130149,-0.6246961,-0.1840931,0.8686488,-0.1246662,0.4486488,-0.1691799,0.005785023,0.9997981,0.01709209,-0.008838267,0.005631158,0.9996783,0.0171434,-0.01782453,0.002045599,0.9996245,-0.002880024,-0.0271731,0,0,0
0.0586649,0.01630068,0.1768673,1.917394,0.03032382,0.03927404,1.934805,0.172993,-0.08382229,1.944848,0.2631121,-0.3334936,1.96769,0.319415,-0.5631884,1.848031,-0.1246907,-0.06755332,1.956775,-0.1942983,-0.3254218,1.955144,-0.2272695,-0.5521845,1.866734,0.09719523,-0.500351,1.894345,0.1195083,-0.7989988,1.840448,0.1078951,-1.147694,1.947195,-0.0421728,-0.5012057,1.894113,-0.07633788,-0.791009,1.816282,-0.05488978,-1.158599,1.869861,0.1041904,-1.168386,1.81688,-0.05629532,-1.178678,1.739886,0.3157583,-0.6289155,1.822012,-0.2315664,-0.6205335,1.834485,0.3218327,-0.6867201,1.796937,-0.2290367,-0.706427,1.834504,0.02771956,-0.5089399,1.926406,0.03038705,-0.2316466,1.937471,0.03066109,-0.02749472,1.937476,-1,-1,Low,High,0.2832593,-0.643341,1.823647,-0.2358266,-0.6275889,1.793609,-0.002155975,0.9996278,-0.02003899,-0.0183876,0.8268735,0.5618271,0.007567621,0.02394401,0.7501304,0.1591843,0.6370822,-0.07804587,-0.436357,-0.2581254,0.8619213,0.007448762,0.7889326,-0.6115525,-0.03920302,0.04530111,0.7991506,-0.1041395,-0.5865763,-0.0802586,0.9796836,-0.07643062,0.04300899,-0.1803567,0.6536636,0.7248808,-0.1301907,-0.1741325,0.6886816,-0.03875307,0.7186406,-0.08815601,0.7089667,0.09159009,0.689364,0.1172808,-0.6573845,0.7216988,-0.1336794,0.1706646,-0.6959068,-0.05240007,0.7039193,0.1321574,-0.6995353,0.03117094,0.7103518,-0.07126897,-0.4334042,-0.1563418,0.8811566,0.1062116,0.9739609,-0.04103604,0.05352528,-0.2164513,0.004819088,0.9997895,0.01993519,0.0006146862,0.004633522,0.999752,0.01997914,-0.008681436,0.0006708137,0.9998318,2.660713E-05,-0.01833075,-10,10,0
0.0747109,0.0130414,0.17737,1.920288,0.02758411,0.03891408,1.935768,0.1696558,-0.08503187,1.948535,0.256348,-0.334388,1.970604,0.3146151,-0.561179,1.854286,-0.1296648,-0.06686326,1.954784,-0.1963412,-0.3250807,1.954692,-0.2285329,-0.5502107,1.864478,0.09496385,-0.4991746,1.892613,0.1183229,-0.7999053,1.839052,0.108067,-1.146586,1.945491,-0.04382997,-0.499833,1.890542,-0.0761252,-0.7918151,1.81649,-0.06658621,-1.153093,1.894108,0.1063876,-1.166931,1.815071,-0.06580233,-1.173039,1.7639,0.3109671,-0.6294115,1.831899,-0.2319896,-0.6189667,1.831618,0.3169883,-0.6909388,1.810395,-0.231123,-0.6970993,1.824012,0.02576138,-0.5076853,1.923591,0.02804513,-0.2312718,1.936694,0.02800573,-0.02767488,1.938018,-1,-1,Low,High,0.2840478,-0.6390845,1.809873,-0.2353268,-0.6049439,1.796614,-0.003019824,0.9998158,-0.01691602,-0.008553769,0.8287812,0.5585168,0.01839493,0.0290227,0.739952,0.1526489,0.6504627,-0.07789606,0.7887737,0.2271066,-0.5581611,-0.1213046,0.786613,-0.6152914,-0.03473579,0.03807752,0.7900412,-0.1002505,-0.599963,-0.07634933,0.9309552,-0.005101728,-0.305631,-0.1997153,0.6548058,0.7253109,-0.1243186,-0.1723318,0.6853381,-0.03732016,0.7218949,-0.08824153,0.7036281,0.09406035,0.6947631,0.1156049,-0.656623,0.72064,-0.1347101,0.1771366,-0.6896322,-0.05113059,0.7115489,0.1244639,0.7047649,-0.06528666,-0.7014194,0.08399352,0.7784559,0.07670587,-0.607024,-0.1401587,0.9295185,0.04454124,-0.2943787,-0.2176065,0.004298895,0.9996848,0.02365077,0.00724121,0.004115825,0.9997109,0.02368331,-0.0004916829,-0.0001244426,0.9999585,0.003250085,-0.00851338,-10,10,0
0.0989291,0.009281175,0.1782431,1.922894,0.02439453,0.03898175,1.936799,0.1662642,-0.08569941,1.950786,0.2515677,-0.3355581,1.9721,0.3086869,-0.5613642,1.860571,-0.1381865,-0.06581163,1.951796,-0.2018189,-0.3233992,1.949387,-0.2303778,-0.5482225,1.860202,0.09348629,-0.4981357,1.891892,0.1174784,-0.7992843,1.837658,0.1028522,-1.146294,1.942291,-0.04525624,-0.498319,1.887137,-0.07712988,-0.7939556,1.817701,-0.06561831,-1.152459,1.895859,0.1030904,-1.166379,1.811749,-0.06300247,-1.172179,1.765513,0.3039141,-0.6317458,1.841963,-0.2296531,-0.6155742,1.826652,0.3113106,-0.6954722,1.821172,-0.2290381,-0.696661,1.821927,0.02432973,-0.5064607,1.921628,0.0257074,-0.2306173,1.936103,0.02499441,-0.02746275,1.938643,-1,-1,Low,High,0.2700621,-0.6416754,1.841722,-0.2654849,-0.6016773,1.850714,-0.004523074,0.9998932,-0.01387237,0.0007497225,0.8302233,0.5559963,0.02630763,0.03008941,0.7411935,0.1497405,0.6498315,-0.07700068,-0.4806931,-0.2503389,0.8403155,0.01159615,0.7831015,-0.6206421,-0.0280966,0.02767722,0.7968953,-0.09424381,-0.5919006,-0.07569531,-0.6119609,-0.1085833,0.7662011,0.1632467,0.6565287,0.7257267,-0.1183659,-0.1681672,0.6776068,-0.03828339,0.7289905,-0.08919836,0.6986732,0.08881726,0.700127,0.1174288,-0.654803,0.7195576,-0.1382145,0.1853822,-0.7025384,-0.04365995,0.7003825,0.1183138,0.7094305,-0.06375893,-0.6964144,0.08746429,-0.4870827,-0.09583852,0.8631954,0.09197368,-0.6197587,-0.1797504,0.7506166,0.1419987,0.00294003,0.9995087,0.0261644,0.017002,0.002730522,0.9996128,0.0261871,0.009001627,-0.001749988,0.9999787,0.006252009,0.0007532717,-15,5,0
0.1370291,0.004239077,0.1786778,1.925532,0.02152752,0.03882606,1.937888,0.1657382,-0.08554362,1.949399,0.2447279,-0.3361322,1.974817,0.3015704,-0.5617045,1.868797,-0.1401145,-0.06567729,1.950958,-0.20735,-0.3236187,1.946506,-0.2308414,-0.5472128,1.855549,0.09083186,-0.4971932,1.890911,0.1156302,-0.8002926,1.835737,0.1028147,-1.146715,1.937811,-0.04773746,-0.4973609,1.88425,-0.07926682,-0.7961873,1.819884,-0.06388069,-1.152031,1.899746,0.1028967,-1.166064,1.808529,-0.06144563,-1.171077,1.770623,0.2969902,-0.6355113,1.852432,-0.2266351,-0.6109892,1.822648,0.3041717,-0.6996508,1.832324,-0.2238007,-0.69346,1.816114,0.02177498,-0.5055196,1.919589,0.02281507,-0.2302079,1.935605,0.02207834,-0.02749262,1.939373,-1,-1,Low,High,0.2652662,-0.6367624,1.85204,-0.2339088,-0.6057796,1.78487,-0.004146243,0.9999287,-0.01119378,-0.0005085364,0.8284587,0.5590666,0.02434269,0.02254421,0.7291538,0.1448099,0.6655737,-0.06615366,-0.5158511,-0.2419523,0.8216333,0.01659695,0.7832782,-0.6206485,-0.02793731,0.02213945,0.8185166,-0.1001632,-0.5601752,-0.0787505,0.8905947,0.03505216,-0.4096448,-0.1944315,0.657263,0.7265909,-0.112565,-0.1655298,0.6750472,-0.0385551,0.7311921,-0.09045951,0.699465,0.08829071,0.7000433,0.1135471,-0.6545425,0.7180322,-0.1398031,0.1909421,0.7124961,0.03639876,-0.69178,-0.1116458,0.708649,-0.06204833,-0.6965969,0.09337717,-0.5240239,-0.07632983,0.8441864,0.08319917,0.88823,0.1229111,-0.3932434,-0.2032242,0.002579847,0.999291,0.02899671,0.02387449,0.002230537,0.999506,0.02902566,0.01184119,-0.001821735,0.9999551,0.009290078,-0.0005197599,-15,5,0
0.1648962,0.0001115092,0.1809249,1.925484,0.01842914,0.03894827,1.938474,0.1647623,-0.08534316,1.948354,0.2376269,-0.3395401,1.977801,0.2969756,-0.566328,1.874291,-0.1471985,-0.06491343,1.947333,-0.2113456,-0.3216077,1.9431,-0.2311243,-0.5420117,1.851853,0.08619119,-0.4961988,1.889761,0.1134974,-0.8027027,1.834359,0.1003857,-1.146353,1.936883,-0.05198835,-0.4961152,1.881376,-0.08038792,-0.7962638,1.821118,-0.06503192,-1.147499,1.917729,0.1013755,-1.165555,1.807331,-0.06171205,-1.166561,1.788239,0.2891521,-0.640215,1.861376,-0.2236535,-0.6091355,1.819551,0.2972113,-0.7048895,1.844018,-0.2220499,-0.6873893,1.810944,0.01732319,-0.5044088,1.917419,0.01867086,-0.2295739,1.93486,0.0186729,-0.02726966,1.939705,-1,-1,Low,High,0.2557849,-0.6438417,1.85472,-0.2534809,-0.6022292,1.812712,-0.00187268,0.9999491,-0.009287911,0.003481458,0.8269183,0.5615295,0.02507774,0.01618375,0.708415,0.1382589,0.6898107,-0.05651326,-0.5981075,-0.2373493,0.7646974,0.03421302,0.7810682,-0.623961,-0.02191251,0.01117398,0.820058,-0.0963672,-0.55904,-0.07544833,0.7632717,0.08915292,-0.6146637,-0.1779234,0.6584759,0.7268627,-0.1069208,-0.1632426,0.6687106,-0.03644265,0.736867,-0.09233195,0.6968723,0.08948244,0.7022683,0.1148087,-0.6536189,0.7172558,-0.141416,0.1957752,-0.7033176,-0.03679296,0.7024721,0.1025842,0.7093009,-0.07814776,-0.6917802,0.110568,-0.6080251,-0.03625934,0.7875156,0.09386156,0.7641093,0.1775387,-0.6036835,-0.1420677,0.003403134,0.9990397,0.03159232,0.03016668,0.002986843,0.9993503,0.03163439,0.01700908,4.696816E-05,0.9999222,0.01197399,0.003501342,-15,10,5
0.2000461,-0.005857414,0.179916,1.927612,0.002543441,0.03916967,1.945192,0.1548118,-0.08541752,1.955726,0.2328718,-0.3402343,1.978852,0.2890746,-0.5717071,1.8833,-0.1520763,-0.06403201,1.944499,-0.2160552,-0.3221786,1.939803,-0.2315525,-0.5396712,1.8466,0.0841511,-0.4958834,1.889854,0.1108702,-0.8065818,1.833763,0.09996387,-1.146916,1.936201,-0.05333662,-0.4960577,1.880387,-0.08141166,-0.7963197,1.821072,-0.06491852,-1.1473,1.920193,0.1044247,-1.165559,1.806464,-0.0581359,-1.165831,1.790502,0.2818244,-0.6453537,1.869619,-0.2207876,-0.6049733,1.814511,0.286061,-0.712822,1.854523,-0.2184897,-0.6839132,1.804023,0.01571842,-0.5042386,1.916886,0.01154847,-0.229252,1.93634,0.00512945,-0.02701923,1.944889,-1,-1,Low,High,0.2533493,-0.6535147,1.845908,-0.2447335,-0.5976399,1.78975,-0.01947426,0.9996083,0.002678108,0.01991851,0.8244241,0.5643662,0.04056565,0.01304395,0.7353343,0.1391148,0.6599732,-0.06607404,0.7890919,0.2030172,-0.5729628,-0.08849727,0.7838649,-0.6207184,-0.01196438,-0.0110138,0.8265576,-0.09596891,-0.5495852,-0.07448888,0.8304571,0.07800919,-0.5185913,-0.1879326,0.6576982,0.7282877,-0.1049661,-0.1612833,0.6681485,-0.0374687,0.737476,-0.09111937,0.6873908,0.09393979,0.7113726,0.1123309,-0.6547359,0.7146018,-0.1386946,0.2035407,-0.7027408,-0.03618487,0.7032961,0.1010974,0.7181848,-0.07784104,-0.681835,0.1151196,0.7739823,0.01970861,-0.6247041,-0.101527,0.8301095,0.1810164,-0.5048107,-0.1527006,-0.006344535,0.9987528,0.03554353,0.03448437,-0.006610189,0.9989828,0.03549509,0.02701372,-0.01543611,0.9994586,0.02142132,0.01963018,-15,5,5
0.2371283,-0.009744643,0.1817258,1.926819,-0.003628924,0.03960073,1.946554,0.150937,-0.08598471,1.958685,0.2264017,-0.3418215,1.981181,0.2840412,-0.5792935,1.887575,-0.1579054,-0.06381598,1.942894,-0.2202774,-0.3233771,1.936356,-0.2324367,-0.5389907,1.841312,0.0796055,-0.4961034,1.88927,0.1094661,-0.8094071,1.833908,0.09723336,-1.147643,1.936403,-0.05732729,-0.4958603,1.879058,-0.08335519,-0.7952405,1.821437,-0.06868839,-1.150363,1.913274,0.1032458,-1.166134,1.806551,-0.06033773,-1.168676,1.783512,0.2751207,-0.6501506,1.875515,-0.2200382,-0.6043225,1.80958,0.2783431,-0.7175229,1.862164,-0.2192115,-0.6815036,1.798467,0.0113579,-0.5042481,1.915813,0.004757031,-0.2290035,1.936835,-0.001460796,-0.02663532,1.946177,-1,-1,Low,High,0.2461624,-0.6577536,1.855016,-0.2616242,-0.5955952,1.821312,-0.01627733,0.9994991,0.00328404,0.02694156,0.823853,0.5646946,0.04672102,0.01425861,0.7306735,0.1339574,0.6663269,-0.06465396,0.8202099,0.1941208,-0.5300926,-0.09260051,0.7845632,-0.6197385,-0.006813345,-0.01839114,0.8299371,-0.09153335,-0.5451783,-0.07487731,-0.6382896,-0.1388376,0.7412825,0.1543078,0.6589421,0.7277729,-0.1025845,-0.1600573,0.6643751,-0.03345854,0.7408264,-0.09307323,0.6830506,0.09388992,0.7153097,0.113835,-0.6539375,0.7140957,-0.1372529,0.2087938,0.7206873,0.03425698,-0.6854332,-0.09806941,0.723197,-0.07162039,-0.67873,0.105745,0.805787,-0.001097452,-0.5829801,-0.1041165,-0.6583583,-0.2217166,0.7140785,0.08659086,-0.01052027,0.9984949,0.03851994,0.037597,-0.01073343,0.9986878,0.03846109,0.0320668,-0.01472484,0.999261,0.02345566,0.02665184,-15,5,5
0.2649986,-0.01317125,0.1816907,1.926458,-0.00822657,0.03977368,1.94643,0.1423196,-0.08461124,1.96021,0.2193782,-0.3441402,1.98388,0.2791862,-0.5794768,1.892432,-0.1610265,-0.06427666,1.941864,-0.2227317,-0.3230399,1.93406,-0.2332546,-0.5390264,1.835701,0.07635766,-0.4962259,1.889051,0.1076239,-0.8115236,1.834012,0.09664046,-1.148343,1.935987,-0.0613526,-0.4958645,1.878606,-0.0844792,-0.7956095,1.82134,-0.07438417,-1.149607,1.918376,0.1035078,-1.166814,1.806127,-0.06510813,-1.16795,1.788579,0.2695549,-0.6512422,1.879422,-0.2214518,-0.6029132,1.802817,0.273565,-0.7199969,1.868569,-0.21748,-0.6824563,1.789452,0.007652606,-0.5043179,1.915417,3.78396E-05,-0.2289443,1.936826,-0.006153204,-0.02649846,1.946134,-1,-1,Low,High,0.238297,-0.6659079,1.859122,-0.2619205,-0.5997186,1.810516,-0.01555882,0.9993783,0.002724185,0.03152006,0.8239537,0.5640337,0.05132269,0.01823206,0.7241849,0.135024,0.6730917,-0.06536201,0.8037136,0.1996397,-0.5545674,-0.08150761,0.7864047,-0.6173702,-0.003978162,-0.02014671,0.8309781,-0.08960314,-0.5437179,-0.07627272,-0.6620068,-0.140473,0.7185666,0.1602383,0.659642,0.727706,-0.1011016,-0.1584132,0.6645672,-0.03138163,0.7406543,-0.09379189,0.6807182,0.0953676,0.7175921,0.1122031,-0.6540738,0.7140601,-0.1358568,0.2094007,0.7190077,0.0375478,-0.6875618,-0.0942179,0.725149,-0.08072647,-0.6754172,0.1070225,0.7821566,0.003056541,-0.6131704,-0.110652,0.6909702,0.2230272,-0.6791515,-0.1075751,-0.01229325,0.9984171,0.03927299,0.03833732,-0.01243604,0.99855,0.039228,0.03470488,-0.01454829,0.9991317,0.02342941,0.03122991,-15,5,5
0.3200747,-0.01608981,0.1813439,1.926498,-0.01167954,0.03936417,1.946098,0.1371139,-0.08380309,1.962219,0.213575,-0.3461487,1.986446,0.2733602,-0.5805723,1.897652,-0.1655709,-0.06423023,1.941835,-0.224893,-0.3231109,1.931647,-0.2343457,-0.5386853,1.82849,0.07327944,-0.4963094,1.889334,0.1052266,-0.8141514,1.834617,0.09699282,-1.149339,1.935329,-0.06396791,-0.4960296,1.878511,-0.0861785,-0.7962803,1.821607,-0.07752904,-1.152484,1.911477,0.1044868,-1.167824,1.805481,-0.06757481,-1.170783,1.781728,0.2657894,-0.6528947,1.883597,-0.2241731,-0.6046616,1.796613,0.2674367,-0.7204123,1.870507,-0.2199454,-0.683957,1.782415,0.004763018,-0.5044447,1.91546,-0.003351785,-0.2292119,1.936856,-0.009610321,-0.02687943,1.945926,1,-1,Low,High,0.2366711,-0.6577108,1.862782,-0.2675323,-0.6141274,1.805591,-0.0155574,0.9992641,0.001845602,0.03501231,0.8226388,0.5652757,0.05614646,0.02400696,0.7206402,0.133249,0.6773698,-0.06397361,0.7991766,0.1985343,-0.5622649,-0.07588878,0.7851125,-0.6190529,-0.003463047,-0.0189736,0.826276,-0.08271287,-0.5516139,-0.07841313,-0.6553023,-0.1501553,0.7219748,0.1636601,0.6593655,0.7282341,-0.1005186,-0.1575063,0.6660377,-0.02988005,0.7394226,-0.09356999,0.6791037,0.0975677,0.7194008,0.1084487,-0.6539978,0.7135616,-0.1366669,0.210805,0.7272548,0.03706618,-0.6790164,-0.09307701,0.7277586,-0.07507357,-0.6745672,0.09844007,0.7813296,0.01860258,-0.6146307,-0.1068037,0.6824448,0.207439,-0.6929637,-0.1050699,-0.01314613,0.9983455,0.03932351,0.03983978,-0.01325072,0.9984479,0.03928838,0.03718334,-0.01466189,0.9990269,0.02291273,0.03471715,-10,10,5
