time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0050088,0.01173213,0.1811257,1.893214,0.01612307,0.03582815,1.920456,0.1890117,-0.08111513,1.944699,0.248333,-0.3535807,1.925817,0.2847838,-0.5594641,1.815402,-0.1458428,-0.08584851,1.923644,-0.1660669,-0.3531676,1.904062,-0.1654498,-0.5757375,1.806073,0.1295611,-0.5490509,1.85022,0.1746984,-0.8696268,1.818109,0.2209785,-1.289901,1.961059,-0.01622028,-0.558928,1.841059,-0.02014472,-0.8821404,1.819588,-0.02583014,-1.333012,1.831635,0.2362456,-1.364273,1.874201,-0.01943945,-1.365598,1.696944,0.2698675,-0.6300991,1.790709,-0.15692,-0.6262712,1.779921,0.2798528,-0.6984832,1.766501,-0.1531473,-0.7050404,1.767011,0.05764129,-0.5640613,1.879226,0.03649542,-0.2603505,1.907028,0.02115892,-0.03718328,1.919508,-1,-1,High,High,0.2174989,-0.6091965,1.783989,-0.197,-0.6217448,1.777667,-0.03419996,0.9988816,0.007568023,0.03175806,0.7875134,0.6110932,0.07147635,0.03576024,0.7343071,0.05601718,0.669501,-0.09707451,0.7497804,0.214279,-0.6108962,-0.1368198,0.7995777,-0.600125,-0.02281686,-0.002259237,0.7771953,-0.006413823,-0.6270707,-0.05204309,-0.6639252,-0.1521269,0.7188984,0.1387291,0.6279703,0.7526853,-0.1031327,-0.1687653,0.6820908,0.01155944,0.7262581,-0.08466358,0.6668378,0.1552634,0.7253568,0.07126126,-0.6736106,0.6971913,-0.1242419,0.2115114,0.726792,0.01835314,-0.68603,-0.02827298,0.724475,-0.01377162,-0.6891429,0.005332738,0.7096865,0.04183887,-0.6776635,-0.1880603,0.6875858,0.2195297,-0.6829198,-0.112486,-0.03327448,0.9979218,0.04655331,0.02962634,-0.03325528,0.9979095,0.04656702,0.03003764,-0.03337711,0.9985411,0.02893136,0.03105682,-20,5,5
0.0355487,0.01278834,0.1808168,1.893543,0.01730071,0.03577942,1.921197,0.1903737,-0.08119265,1.94574,0.248724,-0.3538136,1.925919,0.2847672,-0.5596839,1.815338,-0.145143,-0.08583973,1.923467,-0.1651467,-0.3491904,1.905355,-0.16491,-0.5743074,1.804581,0.1300839,-0.5491508,1.850199,0.1748923,-0.8697836,1.817681,0.2207852,-1.289755,1.961506,-0.01576899,-0.5588824,1.840966,-0.01851802,-0.8820643,1.820152,-0.02259914,-1.332885,1.833104,0.2364285,-1.364464,1.875532,-0.01559653,-1.365666,1.698532,0.2701637,-0.6306418,1.790414,-0.156852,-0.6266607,1.779306,0.2795568,-0.6985781,1.76747,-0.1518076,-0.7057229,1.763857,0.05814292,-0.5640872,1.879166,0.03731435,-0.2603601,1.907311,0.02224393,-0.0372166,1.920126,-1,-1,High,High,0.2175425,-0.6094622,1.783735,-0.2008098,-0.6309769,1.78571,-0.03353458,0.9988416,0.00845173,0.03345811,0.787293,0.6111808,0.07308397,0.03586775,0.733463,0.05344023,0.670617,-0.09720501,0.76078,0.2112714,-0.597114,-0.1415385,0.7993612,-0.6004419,-0.02173327,-0.004336838,0.7740474,-0.007676242,-0.6310673,-0.05045362,-0.6360732,-0.158994,0.7428131,0.135501,0.6284303,0.7523167,-0.1025498,-0.1690525,0.6819102,0.01073193,0.7264345,-0.08471216,0.6652369,0.1558854,0.7266238,0.07195441,-0.6733469,0.6973931,-0.1240394,0.2118039,0.7270843,0.01897068,-0.6857817,-0.02630195,0.7257543,-0.01316139,-0.6877892,0.007309885,0.7243448,0.0401487,-0.6621336,-0.1878609,-0.6460913,-0.2123615,0.7270328,0.09429653,-0.03272485,0.9979073,0.04710264,0.02985648,-0.03267033,0.9978721,0.04714047,0.03101112,-0.03271209,0.9984851,0.02971987,0.03277255,-20,5,5
0.0678658,0.01383326,0.1807052,1.893771,0.01840441,0.03578983,1.921618,0.1913425,-0.08113945,1.946451,0.2489497,-0.353811,1.925984,0.2847776,-0.5596946,1.815352,-0.1441072,-0.08558266,1.922972,-0.1647317,-0.3478633,1.905555,-0.1646771,-0.5740475,1.803849,0.1306213,-0.5491007,1.850209,0.175247,-0.8697842,1.816885,0.2025001,-1.276393,1.995936,-0.01507638,-0.5587254,1.840671,-0.01835077,-0.8819021,1.819896,-0.02312898,-1.332713,1.832901,0.2120292,-1.362147,1.939126,-0.01580759,-1.365515,1.698359,0.2698966,-0.6300222,1.790023,-0.1573786,-0.6247037,1.777214,0.279761,-0.6982798,1.765977,-0.1550365,-0.701793,1.761481,0.05876494,-0.5639892,1.879039,0.03818849,-0.2602745,1.907456,0.02329151,-0.0371821,1.920479,-1,-1,High,High,0.2173193,-0.608377,1.782718,-0.1962921,-0.6195662,1.773666,-0.0331316,0.99879,0.008964896,0.03522151,0.7871404,0.611195,0.07448398,0.03609594,0.7325245,0.05152842,0.6717852,-0.09724835,0.7546615,0.2124018,-0.6048467,-0.1397564,0.79903,-0.6009122,-0.02037374,-0.006370473,0.7747847,-0.009514846,-0.6301438,-0.05036801,-0.6727207,-0.1522674,0.7095531,0.1442082,0.628667,0.7522271,-0.1017775,-0.1690374,0.6740187,0.008710042,0.7337059,-0.08543206,0.6714548,0.1710057,0.7112581,0.1183951,-0.6729913,0.6973402,-0.1245707,0.2127945,0.7278179,0.01831057,-0.6850005,-0.02683503,0.7266815,-0.01375431,-0.6868027,0.006840299,0.7156315,0.0431748,-0.6702536,-0.1917488,0.6918994,0.2133781,-0.6784353,-0.1243817,-0.03224855,0.9978681,0.04757272,0.03092217,-0.03217667,0.9978202,0.04762137,0.03242925,-0.0322633,0.9984246,0.03023498,0.03454416,-20,5,5
0.1150473,0.01463298,0.1807375,1.893833,0.01902128,0.0358701,1.921772,0.1920609,-0.0811817,1.94682,0.2492728,-0.3538077,1.926142,0.2848257,-0.5596706,1.815366,-0.1433301,-0.08533315,1.922742,-0.164659,-0.3477168,1.905054,-0.164592,-0.5732443,1.803285,0.1310833,-0.5490103,1.850319,0.1758462,-0.8697277,1.815035,0.2151221,-1.286361,1.969107,-0.01449549,-0.5585703,1.840458,-0.01801294,-0.8817376,1.819821,-0.02310791,-1.332539,1.833017,0.2292206,-1.364806,1.892157,-0.01561453,-1.365391,1.698509,0.2704676,-0.6301758,1.790735,-0.1576687,-0.6232363,1.778456,0.2797702,-0.6991161,1.768833,-0.1545526,-0.7022734,1.763816,0.05928441,-0.5638704,1.878998,0.03879939,-0.2601546,1.907543,0.0239114,-0.03708975,1.920622,-1,-1,High,High,0.2147898,-0.5949489,1.780965,-0.1969136,-0.619168,1.776881,-0.03314731,0.998758,0.009067964,0.03607582,0.7872484,0.6109615,0.07513705,0.03633692,0.7325189,0.05075749,0.6718738,-0.09708383,0.7790982,0.2061176,-0.5729764,-0.1490628,0.7988636,-0.6011457,-0.01971541,-0.007214107,0.7767842,-0.01039093,-0.6275679,-0.05154546,-0.6702754,-0.1532317,0.7116725,0.1441283,0.6288123,0.7522724,-0.1010989,-0.1687017,0.6797574,0.007326255,0.7281596,-0.08752062,0.6657118,0.159606,0.7238554,0.08594874,-0.6727232,0.6972159,-0.1251837,0.213688,0.7286025,0.01786119,-0.6841731,-0.02695877,0.7271706,-0.01415015,-0.6862776,0.006763049,0.7471296,0.0338035,-0.636658,-0.1879396,0.6910955,0.204711,-0.6832234,-0.1169878,-0.032038,0.9978279,0.04781293,0.0320447,-0.03197224,0.997783,0.04785693,0.03341641,-0.03221662,0.9983915,0.03039015,0.03539725,-20,5,5
0.1346583,0.01549641,0.1809063,1.893881,0.01944345,0.03600536,1.921794,0.1924125,-0.08119701,1.947053,0.2497221,-0.3538801,1.926418,0.2848485,-0.5597327,1.815467,-0.1428954,-0.08514609,1.922685,-0.1645182,-0.3477829,1.904645,-0.1645294,-0.5730844,1.803003,0.1313275,-0.5489575,1.85043,0.1766599,-0.8696113,1.814352,0.2212996,-1.282749,1.975478,-0.01421929,-0.558467,1.840365,-0.01794471,-0.8816265,1.819835,-0.02331561,-1.332416,1.833178,0.2376542,-1.36276,1.904267,-0.01575,-1.365309,1.698691,0.2699775,-0.630509,1.791614,-0.157813,-0.6227635,1.778579,0.2808933,-0.6988696,1.768487,-0.1553941,-0.7014947,1.762864,0.05954071,-0.5637956,1.879008,0.03916666,-0.2600359,1.907584,0.02432244,-0.0369569,1.920654,-1,-1,High,High,0.2168436,-0.6058313,1.782567,-0.1948485,-0.6231475,1.768775,-0.03306875,0.9987453,0.009017388,0.03650858,0.7874705,0.6105977,0.07556307,0.03675386,0.7341204,0.0511592,0.6701052,-0.09699986,0.7428986,0.2143031,-0.6191596,-0.1371759,0.7987914,-0.6012478,-0.01947583,-0.007352532,0.7775497,-0.01045862,-0.6265516,-0.05234699,0.7252319,0.1410205,-0.6555952,-0.1560344,0.6289475,0.7522929,-0.1006403,-0.1683806,0.6800373,0.007073389,0.7277241,-0.08897743,0.6585181,0.1707911,0.7278996,0.08571175,-0.6725294,0.6971988,-0.1255921,0.2141134,0.7290927,0.01749558,-0.6836554,-0.0270721,0.7273998,-0.01448234,-0.6860285,0.006676492,-0.7029625,-0.04021178,0.6859571,0.1835472,0.726737,0.1959178,-0.6459829,-0.1271836,-0.03181675,0.9978092,0.04787359,0.03274854,-0.03175736,0.9977679,0.04791301,0.03398585,-0.03210473,0.9983799,0.03037883,0.03583104,-20,5,5
0.1685918,0.01634463,0.1807628,1.893844,0.0198096,0.03599117,1.921991,0.1933517,-0.08132736,1.947529,0.250441,-0.3549225,1.926487,0.2850365,-0.5606377,1.815089,-0.1422407,-0.08498845,1.922388,-0.1642528,-0.3473637,1.904023,-0.1643972,-0.572505,1.802868,0.1317324,-0.5489827,1.850672,0.1768104,-0.8696879,1.813824,0.2273317,-1.295924,1.938355,-0.01370914,-0.5584854,1.840196,-0.01752681,-0.8816299,1.819854,-0.02301111,-1.332374,1.833454,0.2446416,-1.363468,1.842308,-0.01519469,-1.365334,1.699014,0.2701945,-0.6299232,1.790986,-0.1575731,-0.6233533,1.779185,0.2815948,-0.698424,1.767839,-0.1546348,-0.7025286,1.764482,0.05997608,-0.563815,1.879044,0.03959116,-0.2600432,1.907727,0.0247052,-0.03696843,1.920841,-1,-1,High,High,0.2174099,-0.6083989,1.781288,-0.1969355,-0.621742,1.777877,-0.03317182,0.998704,0.009114472,0.03750873,0.7873459,0.6106638,0.07622875,0.03694785,0.7347888,0.05030385,0.6694492,-0.09691694,0.7357045,0.2156222,-0.6274407,-0.1362503,0.798664,-0.6014312,-0.01858618,-0.008423091,0.7788312,-0.01076961,-0.6248713,-0.05330977,-0.6714315,-0.1521423,0.7108169,0.144124,0.6290234,0.7524984,-0.09972885,-0.1677194,0.6784333,0.005743651,0.7291687,-0.08948899,0.6632717,0.1428843,0.7327551,0.05219958,-0.6723922,0.6968776,-0.1263448,0.2151449,0.730082,0.01715552,-0.6826109,-0.02698449,0.7280537,-0.01476407,-0.6853272,0.006812285,-0.6935493,-0.04466411,0.6941555,0.1874637,0.6925465,0.1953114,-0.6857924,-0.1091853,-0.03175872,0.9977534,0.04809103,0.03415968,-0.03170905,0.9977176,0.04812378,0.03518963,-0.03216395,0.9983377,0.03051286,0.03682835,-20,5,5
0.2147325,0.01708286,0.1809804,1.893883,0.02004135,0.03616722,1.921993,0.1940365,-0.0813057,1.948019,0.2508869,-0.3549051,1.92684,0.2850597,-0.5606366,1.815326,-0.1419805,-0.08500944,1.922299,-0.1640855,-0.3464898,1.903702,-0.1641132,-0.5724026,1.802696,0.1321564,-0.5489793,1.850841,0.1768671,-0.869749,1.813306,0.2048517,-1.284269,1.97464,-0.01331546,-0.5583678,1.840101,-0.01743344,-0.8815104,1.819765,-0.02331624,-1.332249,1.833374,0.215221,-1.365458,1.904291,-0.01537609,-1.365221,1.698947,0.2706065,-0.630085,1.791347,-0.1572394,-0.6236948,1.780262,0.2818001,-0.6989743,1.769208,-0.1557061,-0.7028887,1.766364,0.06038781,-0.5637539,1.879075,0.03991951,-0.2599092,1.907762,0.02495937,-0.03680144,1.920853,-1,-1,High,High,0.2170964,-0.6072019,1.781727,-0.1970816,-0.6225231,1.778873,-0.03331662,0.9986723,0.009072099,0.03822827,0.7872927,0.610581,0.07704138,0.03775859,0.7356591,0.04994785,0.6685426,-0.09675571,0.747637,0.2123993,-0.6131916,-0.1411436,0.7989883,-0.6010103,-0.01822566,-0.008503342,0.7803167,-0.01079705,-0.6229624,-0.05391699,-0.6692494,-0.1521244,0.7131338,0.1428416,0.6293524,0.7524419,-0.09919581,-0.1670534,0.6738643,0.004022579,0.7333666,-0.08979954,0.67211,0.156237,0.7164503,0.1027478,-0.6721,0.6969335,-0.1266796,0.2156793,0.7307131,0.01678433,-0.6819316,-0.02730951,0.7284344,-0.01508946,-0.6849183,0.006525567,0.7098294,0.04158499,-0.6781411,-0.1858429,0.6912751,0.1879659,-0.6905231,-0.09992736,-0.03184176,0.9977168,0.0481205,0.03509584,-0.03179744,0.997684,0.04814979,0.03601449,-0.03230444,0.9983072,0.03048753,0.0375446,-20,5,5
0.2462717,0.01820632,0.1812524,1.89407,0.02043662,0.03625434,1.921907,0.1945523,-0.08150215,1.948162,0.2514216,-0.3548577,1.927309,0.2852229,-0.5605547,1.815596,-0.141795,-0.08491433,1.92229,-0.1640104,-0.3462767,1.903329,-0.1640245,-0.5722687,1.802576,0.1324408,-0.5489534,1.850941,0.177299,-0.8697084,1.813004,0.2264073,-1.29157,1.950727,-0.01299438,-0.5582231,1.839978,-0.01687877,-0.8813747,1.8196,-0.02243792,-1.332148,1.833152,0.2441566,-1.363698,1.862542,-0.01439702,-1.365097,1.698726,0.2713054,-0.6301093,1.791503,-0.1571914,-0.6246486,1.780681,0.2814365,-0.699391,1.769358,-0.1557771,-0.7031661,1.767064,0.06069151,-0.5636734,1.879068,0.04028546,-0.2598167,1.907736,0.0253481,-0.03671204,1.920786,-1,-1,High,High,0.2173452,-0.607707,1.781959,-0.1970195,-0.6237392,1.778212,-0.0332762,0.9986672,0.008952562,0.0384233,0.7876764,0.6100232,0.07731364,0.0382114,0.7369029,0.05059127,0.667183,-0.09634006,0.7499434,0.2115033,-0.6102926,-0.1428083,0.7988811,-0.6011555,-0.01822382,-0.008303782,0.7812051,-0.01061352,-0.6217924,-0.05459213,-0.6665495,-0.1523172,0.715809,0.1418751,0.6296266,0.7523605,-0.09880844,-0.1666163,0.6771315,0.004128006,0.7302817,-0.09035769,0.6596446,0.1535631,0.7330056,0.06316781,-0.671743,0.6970462,-0.1271233,0.2161656,0.7312641,0.0170704,-0.6813412,-0.02712416,0.728635,-0.01478224,-0.6847096,0.006729685,0.714759,0.0434286,-0.6733163,-0.1840619,0.6884665,0.1819725,-0.6957207,-0.09419452,-0.0317017,0.9976934,0.04810936,0.03589541,-0.03167185,0.9976709,0.04812901,0.03651427,-0.03225194,0.9983041,0.03040197,0.03773991,-20,5,5
0.2690943,0.01911034,0.1813396,1.894142,0.02064024,0.03632793,1.92198,0.1949554,-0.08158401,1.948183,0.2517949,-0.3547782,1.927544,0.2854142,-0.5604706,1.815759,-0.1411827,-0.08479072,1.922052,-0.1636849,-0.3460428,1.903444,-0.1640008,-0.5721384,1.802534,0.132671,-0.5490113,1.850981,0.1773518,-0.8697969,1.812578,0.226096,-1.293008,1.946723,-0.01279516,-0.5582066,1.839922,-0.01663704,-0.8813571,1.81957,-0.02213435,-1.332152,1.83316,0.2436803,-1.363924,1.856426,-0.01398199,-1.365106,1.698745,0.2714275,-0.6303073,1.791352,-0.1568175,-0.6232992,1.781684,0.2806467,-0.6982788,1.766987,-0.1539933,-0.7024558,1.765453,0.06091763,-0.5636922,1.879057,0.04050755,-0.259784,1.907779,0.02555722,-0.03664789,1.920854,-1,-1,High,High,0.2170155,-0.6062453,1.781363,-0.1930112,-0.6151993,1.775887,-0.033305,0.9986529,0.008999835,0.03875827,0.7878416,0.609828,0.07730208,0.03794711,0.7374339,0.05091685,0.6666146,-0.09603959,0.7615992,0.2084836,-0.5956692,-0.1472396,0.798989,-0.6010185,-0.01768284,-0.008980745,0.7807057,-0.01142055,-0.6224185,-0.05443841,0.7107689,0.1426533,-0.6718593,-0.1518643,0.6298419,0.7522542,-0.098564,-0.1664267,0.6768783,0.003385993,0.7304863,-0.09063177,0.6605159,0.1500778,0.7331447,0.06077912,-0.6715931,0.6971224,-0.127156,0.2163663,0.7315027,0.01708181,-0.6810875,-0.02705619,0.7289064,-0.01475683,-0.6844205,0.00681192,0.7285801,0.040441,-0.6579969,-0.1859453,0.7187027,0.1781006,-0.6653025,-0.09549441,-0.03168292,0.9976772,0.04820101,0.03623521,-0.0316532,0.9976547,0.04822053,0.03685034,-0.03226392,0.9982892,0.03046207,0.03807406,-20,5,5
0.3140472,0.01990332,0.1814017,1.894279,0.02111103,0.03642213,1.92218,0.1952473,-0.08162812,1.948199,0.2523553,-0.3548619,1.927919,0.285484,-0.5605105,1.815879,-0.1406818,-0.08471157,1.921862,-0.1633517,-0.3464007,1.90315,-0.1638602,-0.5718755,1.802628,0.1328438,-0.5490884,1.851115,0.1780882,-0.869799,1.812098,0.2210692,-1.275473,1.990167,-0.0126619,-0.5581753,1.839909,-0.01625235,-0.8813379,1.819435,-0.02140543,-1.33213,1.832855,0.2377063,-1.359251,1.934617,-0.0131261,-1.36504,1.69843,0.2722556,-0.6299435,1.791259,-0.1564358,-0.6229134,1.783632,0.2827705,-0.6987299,1.767689,-0.1543211,-0.7039303,1.769159,0.0610681,-0.5637063,1.879102,0.04081438,-0.2597506,1.907907,0.02598683,-0.03656958,1.921038,-1,-1,High,High,0.2181552,-0.6102059,1.781647,-0.1949329,-0.6266204,1.77905,-0.03300984,0.9986486,0.009109043,0.0390936,0.7881263,0.6094984,0.07721706,0.03750034,0.7394646,0.05199094,0.6643264,-0.09570468,0.7509964,0.2105507,-0.6088865,-0.1446726,0.7990365,-0.6009596,-0.01706046,-0.009857913,0.780553,-0.01151441,-0.6225851,-0.05470126,-0.6716714,-0.1505905,0.7110048,0.1437083,0.6302164,0.7520684,-0.09806901,-0.1661411,0.6796382,0.003640222,0.7277607,-0.09188569,0.6512499,0.1854977,0.7290879,0.09947298,-0.6713769,0.6972319,-0.1273027,0.2165983,0.73185,0.01747989,-0.6807087,-0.0269372,0.7291703,-0.01434817,-0.6841466,0.006942332,0.718524,0.04828065,-0.6689959,-0.1839478,0.6961666,0.1728751,-0.6925691,-0.07625133,-0.03139299,0.9976613,0.04833472,0.03674342,-0.03136709,0.9976415,0.04835154,0.03727813,-0.03196869,0.998282,0.03058307,0.03841507,-20,0,5
