time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0200385,-0.03386453,0.1800825,1.900096,-0.02666756,0.03341698,1.918456,0.1443563,-0.08423024,1.945943,0.2026653,-0.3584197,1.964005,0.2506939,-0.5649982,1.859062,-0.188953,-0.08089748,1.923864,-0.2481303,-0.3465325,1.93776,-0.2670937,-0.564683,1.850002,0.08649759,-0.5593514,1.884529,0.120386,-0.906368,1.828578,0.1378095,-1.332607,1.999621,-0.06319702,-0.5640528,1.873069,-0.05489326,-0.9128067,1.831964,-0.06818065,-1.215421,1.978756,0.1393037,-1.338065,1.871885,-0.06383032,-1.085097,1.868874,0.2430834,-0.6176421,1.826052,-0.2566111,-0.6269069,1.837458,0.241915,-0.6868718,1.803231,-0.2564327,-0.7026983,1.83392,0.0119026,-0.5721233,1.913558,-0.009268705,-0.2658406,1.923266,-0.02245922,-0.04031221,1.921753,-1,-1,High,High,0.2808145,-0.5965061,1.814872,-0.2302317,-0.6263142,1.806905,-0.0291962,0.9988127,-0.02137071,0.03261924,0.7898422,0.6093203,0.04705977,0.05160901,0.6884509,0.09564845,0.7169985,-0.05291441,0.7471408,-0.06466566,0.6150437,-0.243557,0.7863807,-0.6176446,0.0033397,0.01045515,0.7936444,-0.1027155,-0.5979378,-0.04525899,0.889668,-0.1170485,0.4133542,-0.1546892,0.6380984,0.7474485,-0.1185182,-0.1417903,0.6744062,-0.02589209,0.7324772,-0.08934738,0.6877329,0.148785,0.700516,0.1190116,-0.6570539,0.7115758,-0.1455822,0.2018559,0.7384775,0.04819743,-0.6716214,-0.03539636,0.7252272,-0.164531,-0.6508158,0.1530152,0.7475563,-0.2216149,0.6013535,-0.1744145,0.8881848,0.02982939,0.4412681,-0.1245813,-0.03385746,0.99855,0.01712115,0.03818935,-0.03391474,0.9986725,0.01700743,0.03483782,-0.0292982,0.9990525,-0.002411959,0.03209075,-15,-10,5
0.0521768,-0.03129969,0.1809815,1.902386,-0.02427296,0.03404485,1.920268,0.1462288,-0.08438884,1.947019,0.2052646,-0.3582919,1.963607,0.2523072,-0.5634333,1.855052,-0.1858449,-0.08179478,1.923591,-0.2420493,-0.3467796,1.937782,-0.2586052,-0.5671962,1.856227,0.08920576,-0.5594894,1.8824,0.120214,-0.9068496,1.829451,0.1425379,-1.332931,2.000307,-0.06048468,-0.5638681,1.870982,-0.05305786,-0.9126205,1.83096,0.01276617,-1.294056,2.074771,0.1453458,-1.338478,1.872655,0.02583336,-1.281936,1.944307,0.2486005,-0.6162841,1.821823,-0.2484595,-0.6289203,1.842613,0.2450702,-0.6868415,1.8018,-0.2466658,-0.7047905,1.840012,0.01465482,-0.5720992,1.911436,-0.006600002,-0.2654273,1.923266,-0.02001863,-0.03974926,1.923167,-1,-1,High,High,0.2856071,-0.5962741,1.815273,-0.224031,-0.6250063,1.811907,-0.02943998,0.998785,-0.01859443,0.03487046,0.7911953,0.6076075,0.04946097,0.04875076,0.6924953,0.09504294,0.7130019,-0.05518552,0.6768703,-0.097234,0.6891854,-0.2396153,0.789219,-0.6140744,0.004511898,0.00508091,0.8008661,-0.09953055,-0.5891201,-0.04055424,0.9279425,-0.09210584,0.3266406,-0.1540951,0.6391675,0.7463651,-0.1167076,-0.1441647,0.6799269,-0.02494927,0.7280632,-0.0836703,0.6832762,0.1531735,0.7047445,0.1140467,-0.6568738,0.7116047,-0.1432233,0.2040161,-0.6317758,-0.0509061,0.7729735,0.02792507,0.738413,-0.1192399,-0.6096327,0.2624424,0.7175603,-0.2069115,0.6384768,-0.1861242,0.9276784,0.03711135,0.3485781,-0.1285645,-0.0338138,0.9984904,0.02054631,0.03809721,-0.03385895,0.9985718,0.02047182,0.03589882,-0.02968025,0.9989697,0.0008008944,0.03432025,-15,-10,5
0.0869484,-0.02904268,0.1811379,1.904046,-0.02202898,0.03386828,1.921277,0.1477921,-0.08442049,1.947783,0.2076949,-0.3582489,1.963953,0.2543121,-0.5624355,1.8532,-0.1840241,-0.08246732,1.924008,-0.2355645,-0.3490558,1.938515,-0.2514594,-0.570375,1.85975,0.09053984,-0.5591729,1.880988,0.1204847,-0.9066836,1.830833,0.1436505,-1.333726,1.999379,-0.05874794,-0.5635598,1.868908,-0.05077129,-0.9122961,1.829309,-0.06754836,-1.20707,1.989824,0.1467936,-1.339691,1.871866,-0.06330044,-1.084462,1.870196,0.2515867,-0.6166204,1.821065,-0.2409608,-0.6320803,1.848183,0.2495468,-0.6849189,1.796392,-0.2398288,-0.7088325,1.849267,0.0162104,-0.5717806,1.909699,-0.00457089,-0.2652835,1.922967,-0.01784297,-0.03983702,1.923896,-1,-1,High,High,0.2774147,-0.5987588,1.793281,-0.2126352,-0.6323534,1.819786,-0.02896307,0.9988066,-0.01671612,0.03559657,0.7912408,0.6074682,0.05151575,0.04760817,0.6950363,0.09578165,0.7103258,-0.05645888,0.8212571,-0.04035734,0.5064129,-0.2597193,0.7900817,-0.6129832,0.003546382,0.00316436,0.7946545,-0.0921924,-0.5989446,-0.03591769,0.896669,-0.1014521,0.4073918,-0.1404424,0.6394011,0.7463863,-0.1141288,-0.1450808,0.6794083,-0.02317417,0.7290313,-0.07987789,0.6826828,0.1520295,0.7060026,0.1113175,-0.6568626,0.7107234,-0.1434844,0.2069202,0.7446438,0.04611555,-0.6649698,-0.03455663,0.7235427,-0.1831703,-0.6442479,0.1669704,0.8301943,-0.1536985,0.4903386,-0.2161534,0.8935671,0.03501382,0.431563,-0.1185974,-0.03291915,0.9983784,0.02294059,0.04038044,-0.03298706,0.9984939,0.02284283,0.03741841,-0.02930651,0.9989514,0.003087706,0.03504012,-15,0,5
0.1200388,-0.02719687,0.1814493,1.904496,-0.02023724,0.03400403,1.921401,0.1492743,-0.08436961,1.948026,0.209973,-0.3586442,1.963585,0.2569209,-0.5620461,1.851399,-0.1815866,-0.08315008,1.923736,-0.2301148,-0.3514076,1.93861,-0.2451267,-0.5731713,1.861154,0.09225957,-0.5590495,1.878974,0.1209066,-0.9066965,1.831359,0.1436934,-1.334232,1.998806,-0.05685965,-0.5632342,1.866479,-0.04947209,-0.9119569,1.828217,0.02999184,-1.280877,2.086161,0.1471635,-1.340374,1.871367,0.04346645,-1.264086,1.955457,0.2558649,-0.6170408,1.819786,-0.2344417,-0.6307224,1.848004,0.2548876,-0.6851238,1.796491,-0.2317583,-0.7089021,1.849427,0.01804873,-0.5715618,1.907467,-0.002466939,-0.2650415,1.922092,-0.01598509,-0.03967834,1.923857,-1,-1,High,High,0.2783331,-0.6018845,1.786943,-0.2076411,-0.6297767,1.817474,-0.0293953,0.9987792,-0.01557368,0.03651715,0.7914311,0.6070692,0.05368525,0.04713602,0.6951182,0.09582444,0.7101067,-0.05811002,0.8403634,-0.03069228,0.4721578,-0.2644135,0.7917984,-0.6107735,0.002825327,0.001734437,0.7907923,-0.08752171,-0.6049223,-0.03250388,0.9177865,-0.0909334,0.3588075,-0.1437225,0.6400781,0.7459408,-0.1120574,-0.1459979,0.6787068,-0.02189841,0.7301298,-0.07607897,0.6820127,0.1509445,0.707002,0.1105553,-0.6565274,0.7104906,-0.1429663,0.2091306,-0.6172128,-0.04943957,0.7848283,0.02546791,0.7451043,-0.1126265,-0.5902145,0.2894506,0.850948,-0.1297025,0.4575073,-0.2230509,0.9124784,0.04004963,0.3834414,-0.1369376,-0.03235557,0.9982835,0.02517282,0.04182814,-0.03243701,0.9984138,0.02506778,0.03859119,-0.02979098,0.9988978,0.004983868,0.03592972,-15,5,5
0.1530082,-0.0251423,0.1817767,1.905033,-0.01896315,0.03414299,1.921642,0.1522519,-0.08455925,1.949304,0.2120555,-0.3584307,1.96391,0.2589327,-0.5613829,1.850789,-0.1793351,-0.08361421,1.923743,-0.2250427,-0.3525402,1.938986,-0.2381703,-0.5746066,1.862134,0.09394497,-0.5590868,1.877417,0.1215519,-0.9068234,1.832132,0.1444403,-1.334936,1.998214,-0.05537051,-0.5632046,1.865298,-0.04878254,-0.9119262,1.827537,0.03277652,-1.281064,2.084576,0.1484789,-1.341353,1.870892,0.04677,-1.264815,1.953969,0.2594174,-0.6179951,1.822872,-0.227405,-0.6358534,1.849966,0.2596141,-0.6857977,1.798738,-0.2267344,-0.7088498,1.849277,0.01966344,-0.5715669,1.906095,-0.0008236157,-0.2649152,1.921617,-0.01461801,-0.03954163,1.923977,-1,-1,High,High,0.2941412,-0.5984888,1.814,-0.2026938,-0.6244221,1.818442,-0.03001639,0.998716,-0.01468073,0.03807717,0.7909806,0.6073074,0.05662061,0.04818188,0.69366,0.09354794,0.711803,-0.05848994,0.6872682,-0.1003499,0.6751122,-0.2486279,0.7932407,-0.6089028,0.002377178,0.0009623486,0.7900838,-0.08366679,-0.6065729,-0.02892638,0.9017701,-0.09278559,0.3982204,-0.1400792,0.6403642,0.7454064,-0.1118511,-0.1476218,0.6793981,-0.02043732,0.7298645,-0.07278952,0.6806363,0.1501178,0.7087368,0.1090453,-0.6567527,0.7106381,-0.1412577,0.2090829,-0.6131952,-0.04831259,0.7880343,0.02567871,0.746648,-0.1093511,-0.5884362,0.2903477,0.7214562,-0.149601,0.6541615,-0.1708602,0.8976957,0.03642017,0.4212219,-0.1240491,-0.03226515,0.9983032,0.02657482,0.04053825,-0.03231401,0.9983761,0.02651539,0.03870063,-0.03034187,0.9988168,0.00636841,0.03746646,-15,-10,5
0.1895977,-0.02316334,0.182406,1.906135,-0.01707997,0.03463165,1.922498,0.154662,-0.08444428,1.95039,0.2139845,-0.3581711,1.963966,0.2621028,-0.5609947,1.851181,-0.1771785,-0.08358312,1.92375,-0.2215207,-0.3545687,1.938376,-0.2313216,-0.5770471,1.862331,0.09576546,-0.5590637,1.876234,0.1217248,-0.906925,1.832523,0.1218281,-1.265432,2.114659,-0.05376325,-0.5631796,1.864745,-0.0472069,-0.9118973,1.8271,0.02753218,-1.281436,2.085485,0.1244212,-1.247273,1.982904,0.04146513,-1.265245,1.954858,0.2642064,-0.6206149,1.8259,-0.2202953,-0.636308,1.849902,0.2641158,-0.6882265,1.802713,-0.2199666,-0.7095726,1.850014,0.02139538,-0.5715439,1.905242,0.001113504,-0.2646263,1.92158,-0.01270463,-0.03910375,1.924637,-1,-1,Low,High,0.295922,-0.6003605,1.814138,-0.1819112,-0.6455745,1.834739,-0.03017126,0.9986718,-0.0132976,0.03959104,0.7911223,0.6069542,0.05871405,0.04779942,0.6892868,0.09133821,0.7162169,-0.05978626,0.7090026,-0.08964281,0.6520715,-0.2531449,0.7940525,-0.6078421,0.002676562,-0.001227965,0.7979139,-0.08079072,-0.596718,-0.02708897,0.8125343,-0.1102549,0.5590188,-0.1230036,0.64045,0.7448465,-0.1122116,-0.149787,0.6775447,-0.02059422,0.7318999,-0.06950954,0.6586746,0.2347165,0.6775442,0.2280125,-0.657128,0.7108564,-0.1393907,0.2084131,-0.6220903,-0.04786369,0.7810432,0.02615837,0.7446857,-0.1175159,-0.5913508,0.286247,0.729731,-0.1205339,0.6538925,-0.1593393,0.7988791,0.01264167,0.5858568,-0.135662,-0.03190831,0.9983668,0.02779054,0.03838486,-0.03190872,0.9983674,0.02779007,0.03837001,-0.03030347,0.9987487,0.007955953,0.03897835,-15,5,5
0.2247287,-0.02126537,0.1832105,1.90657,-0.0149134,0.03535552,1.922793,0.1568962,-0.08452354,1.95141,0.2157027,-0.3582946,1.964188,0.2659092,-0.5617759,1.853791,-0.1755199,-0.0839037,1.923578,-0.2174519,-0.3550312,1.938224,-0.227221,-0.5777753,1.863109,0.09736732,-0.558744,1.87512,0.1223476,-0.9066758,1.832631,0.1199264,-1.268964,2.110106,-0.05217421,-0.5630438,1.863899,-0.04627962,-0.9117489,1.827233,0.02217899,-1.283367,2.084373,0.1229769,-1.252135,1.978419,0.036108,-1.268763,1.953801,0.2677328,-0.624379,1.83101,-0.2149015,-0.6353231,1.850325,0.2671958,-0.6918464,1.810438,-0.2146957,-0.7095581,1.851535,0.0230232,-0.571317,1.904254,0.003172424,-0.2641157,1.921192,-0.01054684,-0.0384319,1.924791,-1,-1,Low,High,0.3007527,-0.6065204,1.825433,-0.1539319,-0.6224713,1.843857,-0.03007513,0.9986187,-0.01228496,0.04129573,0.7920851,0.6053588,0.06137944,0.04872827,0.6823612,0.08909401,0.722997,-0.06099917,0.6679286,-0.09814324,0.6952499,-0.2467123,0.7955188,-0.6059179,0.002783876,-0.002335415,0.7931489,-0.07712286,-0.6036038,-0.02508578,0.7839834,-0.1149505,0.5989549,-0.1157984,0.6400723,0.7449129,-0.1119616,-0.1512511,0.675014,-0.02051106,0.7344477,-0.06724585,0.6599413,0.2282901,0.6792808,0.2256959,-0.6576856,0.7105944,-0.138582,0.2080875,-0.628687,-0.04597325,0.7758486,0.02642036,0.741965,-0.1238516,-0.5966705,0.279523,0.7056954,-0.1110992,0.686785,-0.1340795,0.762912,0.0115171,0.6290828,-0.1486187,-0.03116912,0.9984007,0.0286821,0.03743964,-0.0311315,0.9983509,0.02872293,0.03874828,-0.0300008,0.9986792,0.009189134,0.04068648,-15,-5,5
0.260819,-0.01955257,0.1834776,1.906773,-0.0137187,0.03550372,1.922812,0.1585082,-0.08436658,1.952083,0.2177345,-0.3584038,1.964581,0.2685284,-0.5626346,1.856067,-0.1740207,-0.08410861,1.923445,-0.2134259,-0.3540894,1.93812,-0.2236357,-0.5769044,1.863306,0.09789328,-0.5587719,1.8744,0.1230644,-0.9066809,1.832516,0.1201578,-1.270143,2.108517,-0.05161964,-0.5632849,1.86333,-0.04578066,-0.9119665,1.827344,0.02208858,-1.281446,2.08754,0.1233735,-1.253496,1.976853,0.03615062,-1.266154,1.956936,0.2706462,-0.6261914,1.837904,-0.2117062,-0.6349991,1.849408,0.2710609,-0.6942957,1.817359,-0.2102934,-0.7094253,1.848724,0.02357096,-0.5714569,1.903608,0.004077862,-0.2641002,1.920863,-0.009421365,-0.03831809,1.924735,-1,-1,Low,High,0.3039226,-0.6072878,1.831806,-0.1550344,-0.6246483,1.842192,-0.02958677,0.9985958,-0.01176587,0.04233789,0.7916044,0.6057286,0.0631406,0.04968546,0.6815577,0.08907987,0.7236784,-0.06191432,0.6516355,-0.1000869,0.7117829,-0.2423197,0.796239,-0.6049701,0.002751522,-0.002653576,0.7860579,-0.07359049,-0.6133161,-0.02325401,0.7893502,-0.1142812,0.5920088,-0.115723,0.6395815,0.7451747,-0.1117792,-0.1521694,0.6739567,-0.01979284,0.7354742,-0.06684496,0.6600811,0.2266018,0.6800646,0.2246256,-0.6581721,0.7102715,-0.1382951,0.2078418,-0.6299163,-0.04513897,0.7749159,0.02594635,0.7424434,-0.1260975,-0.594178,0.2825417,0.6894264,-0.08828649,0.7107729,-0.1081609,0.7694739,0.004689047,0.6202984,-0.1520452,-0.03057097,0.9984266,0.02914239,0.03688319,-0.03050927,0.9983464,0.02920698,0.03899468,-0.02946748,0.9986458,0.009802422,0.04173795,-15,5,5
0.2866868,-0.01776538,0.1835166,1.906943,-0.0119199,0.03546905,1.922832,0.1601768,-0.08460832,1.952446,0.2198047,-0.3597029,1.96492,0.2714746,-0.5644937,1.8581,-0.1723024,-0.08449701,1.922955,-0.2097331,-0.354122,1.938313,-0.2209484,-0.5765323,1.862257,0.09852674,-0.5587714,1.873894,0.1237737,-0.9066716,1.83205,0.1411505,-1.281487,2.092537,-0.05098692,-0.5634863,1.862935,-0.04445339,-0.9121409,1.827388,0.009850567,-1.283915,2.087391,0.1458346,-1.268689,1.961267,0.02323236,-1.269947,1.956736,0.2730616,-0.62738,1.842475,-0.2076545,-0.6326325,1.846722,0.2726945,-0.6960711,1.822527,-0.2064912,-0.7069284,1.845479,0.02421266,-0.5715607,1.903156,0.005341389,-0.2641581,1.920586,-0.007745075,-0.03835754,1.924693,-1,-1,Low,High,0.3054292,-0.6078016,1.836445,-0.1489559,-0.6227837,1.838077,-0.0287558,0.9985726,-0.01134735,0.04355596,0.7918113,0.605287,0.06443607,0.05010548,0.6793467,0.08900172,0.7257146,-0.06249085,0.6469005,-0.09778283,0.7170382,-0.2404466,0.7968488,-0.6041573,0.003473076,-0.003748645,0.7760642,-0.07130556,-0.6262494,-0.02124759,0.820071,-0.1111096,0.5477666,-0.122841,0.6391419,0.7454335,-0.1115284,-0.1529314,0.695456,-0.01768816,0.715178,-0.06744242,0.6517279,0.2318852,0.6968049,0.1895865,-0.6585929,0.7100196,-0.1382951,0.2073692,-0.6477529,-0.04469812,0.7600994,0.02583038,0.7359548,-0.1413816,-0.6043226,0.2705107,0.6870235,-0.07910758,0.7163089,-0.09296378,0.7961888,0.01365531,0.5795295,-0.1733275,-0.02956275,0.9984661,0.0293754,0.03644813,-0.02947577,0.998354,0.02946267,0.0393998,-0.02852071,0.9986157,0.01031728,0.0429752,-15,0,5
0.3227984,-0.01570597,0.1837049,1.906674,-0.01034775,0.03560406,1.922501,0.1617154,-0.08465385,1.952727,0.2219025,-0.3611486,1.965639,0.2741735,-0.5667337,1.860919,-0.1706326,-0.08449219,1.922572,-0.2073438,-0.3543073,1.937783,-0.2174746,-0.5765073,1.8608,0.09959777,-0.5585517,1.87323,0.1252715,-0.9064212,1.831267,0.1314604,-1.27868,2.095738,-0.04983001,-0.5635801,1.862367,-0.04406223,-0.9122218,1.827497,0.009088405,-1.284133,2.08753,0.1355568,-1.264333,1.96431,0.02277236,-1.270354,1.956924,0.2763523,-0.6291761,1.849288,-0.2057813,-0.6331617,1.842729,0.2776926,-0.699379,1.831557,-0.2018487,-0.711145,1.846715,0.02534269,-0.5714982,1.902535,0.006839985,-0.2640334,1.920095,-0.006173704,-0.03822269,1.924341,-1,-1,Low,High,0.308163,-0.6061827,1.850591,-0.1481692,-0.6210895,1.8356,-0.02875489,0.9985327,-0.01117371,0.04450486,0.7919562,0.6048455,0.06592754,0.051193,0.6781657,0.08968166,0.726734,-0.06249806,0.6085747,-0.1059459,0.7511031,-0.23293,0.7971168,-0.6038028,0.003501028,-0.00384376,0.7770825,-0.07010909,-0.6251453,-0.02051302,0.8057571,-0.1134224,0.5681247,-0.1229843,0.6383905,0.7459513,-0.1114191,-0.1536231,0.6822078,-0.01862856,0.7277821,-0.0676664,0.6568922,0.2250371,0.6899713,0.2044276,-0.6592484,0.7095037,-0.1383481,0.2070166,-0.6481354,-0.04324848,0.7598494,0.02605946,0.7363936,-0.1422495,-0.6039176,0.2697649,0.6436372,-0.05899158,0.7595968,-0.07255228,0.784741,-0.01312093,0.5929477,-0.1800624,-0.02896404,0.9984924,0.02954703,0.0360694,-0.02885687,0.9983553,0.02965171,0.03968441,-0.02833546,0.9985762,0.01064428,0.04392668,-15,0,5
