time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0216919,0.02397011,0.1754396,1.95754,0.01914426,0.03026219,1.972217,0.1955468,-0.09938111,2.011199,0.239761,-0.3747294,1.989834,0.275765,-0.5793163,1.874,-0.1383338,-0.093647,1.957426,-0.1613236,-0.3610755,1.931687,-0.1530868,-0.5838853,1.839623,0.1264991,-0.5722602,1.90639,0.161889,-0.8498095,1.873198,0.1618393,-1.219633,1.998482,-0.02216139,-0.5772791,1.88693,-0.0381423,-0.8565856,1.85865,-0.009423591,-1.229038,1.973461,0.1789707,-1.293397,1.896464,0.01828959,-1.295319,1.865661,0.2537071,-0.6467273,1.854531,-0.1357247,-0.6378059,1.825173,0.2624936,-0.7175954,1.828575,-0.1406104,-0.7170377,1.8116,0.05305788,-0.5850918,1.930667,0.03591509,-0.2734632,1.9589,0.02329652,-0.04460865,1.971359,-1,-1,High,High,0.2976764,-0.6427671,1.848133,-0.08813287,-0.6047986,1.813642,-0.02716864,0.9965848,0.007853379,0.0775815,0.7982146,0.5904953,0.104005,0.05789199,0.6954509,0.0279481,0.7131491,-0.08357879,0.5764105,-0.1555271,0.7731997,-0.2138332,0.8027084,-0.5949001,0.01824272,-0.03768808,0.8243527,-0.008332043,-0.5624325,-0.06358273,0.7753126,-0.1053982,0.6006052,-0.1644837,0.641566,0.7485238,-0.08103099,-0.1467625,0.6538087,-0.003240824,0.751708,-0.08636452,0.6466226,0.1227685,0.7452805,0.1066023,-0.6597824,0.701581,-0.1413226,0.2291271,0.7482583,0.01201038,-0.6608797,-0.05659658,0.7627217,-0.06581348,-0.6283133,0.1383713,0.6748732,-0.2035378,0.7090864,0.01774973,0.7444982,0.03300539,0.6378812,-0.1942695,-0.02442585,0.9965303,0.04678071,0.06436115,-0.02414295,0.9961235,0.04692733,0.07037678,-0.02533093,0.9962775,0.02920084,0.07705048,-15,0,5
0.0601054,0.02545542,0.1749655,1.956437,0.02020408,0.03025478,1.972002,0.1969836,-0.09954514,2.011276,0.2400234,-0.3748452,1.989307,0.2745725,-0.5806034,1.875296,-0.1374813,-0.09349448,1.957514,-0.1609409,-0.3608701,1.931665,-0.1525133,-0.5832343,1.83881,0.1271077,-0.5723073,1.906724,0.1634457,-0.8473981,1.873171,0.149088,-1.215741,2.00726,-0.02146825,-0.5773228,1.887119,-0.03768062,-0.8559614,1.858999,-0.009958722,-1.230717,1.969272,0.1616612,-1.294389,1.910465,0.01728509,-1.295265,1.859557,0.25242,-0.6480418,1.857587,-0.135797,-0.6378915,1.823752,0.2631315,-0.7177632,1.82887,-0.1445724,-0.7117004,1.806267,0.05373222,-0.5851368,1.930937,0.03674883,-0.2734903,1.958963,0.02429344,-0.04462128,1.971225,-1,-1,High,High,0.2948416,-0.6523365,1.837607,-0.08624064,-0.6136211,1.816074,-0.02679285,0.996616,0.00728053,0.07736737,0.7982524,0.5904346,0.1037606,0.05842787,0.6980472,0.02600727,0.7107751,-0.08277939,0.6317692,-0.1385606,0.7304613,-0.2193057,0.8023695,-0.5954074,0.01811976,-0.03694573,0.8252093,-0.00904158,-0.5610901,-0.06423158,0.7378734,-0.1159002,0.645484,-0.1595633,0.6415141,0.7486396,-0.08099811,-0.146416,0.6394274,-0.004307223,0.7637028,-0.08872443,0.651337,0.1178865,0.7384322,0.1287666,-0.6596625,0.7015674,-0.1418983,0.2291582,0.7485912,0.01151091,-0.6604944,-0.05679636,0.7624674,-0.06309275,-0.6301628,0.1325048,0.7326757,-0.1974659,0.6512197,0.01031955,0.705866,0.01354732,0.6812598,-0.193532,-0.02416956,0.9965192,0.046447,0.06486953,-0.0239051,0.9961342,0.04658366,0.07053401,-0.02501558,0.996315,0.0287386,0.07684252,-15,-5,5
0.0868475,0.02715102,0.1745694,1.955571,0.02078612,0.03033067,1.971971,0.1984497,-0.10018,2.010995,0.2400966,-0.3749127,1.989069,0.2735405,-0.5818879,1.877162,-0.1368287,-0.09323093,1.957825,-0.1608022,-0.3608549,1.931599,-0.1524204,-0.5828211,1.838294,0.1278641,-0.5723054,1.907163,0.1641985,-0.8465293,1.873303,0.154721,-1.219862,1.997399,-0.02072628,-0.5772677,1.887363,-0.0373887,-0.8559002,1.859193,-0.01179797,-1.23033,1.970812,0.1687388,-1.293884,1.89493,0.01475557,-1.295641,1.861625,0.2517671,-0.6495607,1.861547,-0.1359601,-0.6374658,1.823244,0.2658364,-0.7202445,1.835909,-0.1436249,-0.7099767,1.800788,0.05450559,-0.585105,1.931284,0.03742418,-0.2734341,1.95911,0.02489758,-0.04455002,1.971236,-1,-1,High,High,0.2969855,-0.6420787,1.855945,-0.08588378,-0.616301,1.815741,-0.02696772,0.9966962,0.006975468,0.07629486,0.799125,0.5895383,0.1025298,0.05771866,0.6990574,0.02447454,0.7100276,-0.08112048,0.5550956,-0.1575914,0.792035,-0.1992843,0.8020946,-0.5958341,0.0175682,-0.03629491,0.8260234,-0.00952785,-0.5597641,-0.06525877,0.7342907,-0.1175644,0.6492077,-0.159766,0.6416388,0.7486728,-0.08087067,-0.1457693,0.6493027,-0.003582508,0.7552495,-0.08939438,0.6522545,0.11183,0.7408783,0.1147062,-0.6595069,0.7015778,-0.1422983,0.2293263,0.748978,0.01093154,-0.6600136,-0.05739834,0.7613144,-0.06655793,-0.6312991,0.1320297,0.6480544,-0.1825255,0.7381825,0.04238626,0.7033477,0.0112561,0.6842721,-0.1922161,-0.02431482,0.996486,0.04615165,0.06553257,-0.02409195,0.9961583,0.04626838,0.07033773,-0.02522234,0.9964011,0.02842796,0.07576692,-15,-10,5
0.1209381,0.02819351,0.1742735,1.955663,0.02243729,0.03043068,1.972856,0.1986524,-0.1000783,2.01104,0.24041,-0.3750252,1.988975,0.2731555,-0.5832982,1.879556,-0.1360766,-0.092756,1.958433,-0.1605908,-0.3606893,1.93166,-0.1524069,-0.581866,1.837867,0.1286631,-0.5720367,1.908122,0.1649063,-0.8456501,1.873415,0.1682405,-1.228534,1.971841,-0.02006199,-0.5770681,1.887622,-0.03705511,-0.8560529,1.859789,-0.01094133,-1.230848,1.96912,0.1855679,-1.29114,1.858088,0.01551615,-1.295264,1.859007,0.25202,-0.6521125,1.865686,-0.1363868,-0.6365204,1.823371,0.2656287,-0.7222873,1.840573,-0.1435632,-0.7109774,1.804126,0.05524489,-0.5848697,1.93185,0.0386047,-0.2732472,1.959842,0.02643199,-0.04442513,1.972086,-1,-1,High,High,0.297805,-0.6511683,1.858176,-0.08630805,-0.6182548,1.817516,-0.02618594,0.9967444,0.007146745,0.07591931,0.7999619,0.5886356,0.1018143,0.05659487,0.7024558,0.02480742,0.7066389,-0.08125128,0.5527941,-0.1546449,0.795503,-0.1941095,0.8011018,-0.5971249,0.01756809,-0.03700264,0.8263236,-0.009819805,-0.5591621,-0.06656107,0.7098695,-0.124657,0.6753805,-0.1562275,0.6416842,0.7491203,-0.07878288,-0.1444069,0.6532596,-0.004372924,0.7516975,-0.09046286,0.6530759,0.09725093,0.7468134,0.07939783,-0.6595346,0.7010984,-0.1432687,0.2301072,0.7504867,0.009948145,-0.6583225,-0.05728997,0.761116,-0.06427346,-0.6321606,0.1301703,0.6407433,-0.1682356,0.7475157,0.04863254,0.6772984,0.004729444,0.7115161,-0.1870543,-0.02349672,0.9963471,0.04643082,0.0677092,-0.02333069,0.9960989,0.04651447,0.07126825,-0.02445195,0.9964421,0.0286224,0.07540621,-15,-5,5
0.153286,0.02907932,0.174197,1.955665,0.02283004,0.03040982,1.972927,0.1995229,-0.1002895,2.01112,0.2405876,-0.3751223,1.988908,0.2726421,-0.5850941,1.882956,-0.1355392,-0.09271131,1.958716,-0.1605677,-0.3606816,1.931655,-0.1525281,-0.5810429,1.837528,0.1294392,-0.5720229,1.908749,0.165568,-0.8448691,1.873367,0.1403811,-1.223469,1.984856,-0.01925647,-0.5770561,1.888037,-0.03680785,-0.856111,1.8601,-0.01227687,-1.231459,1.967811,0.1498897,-1.293361,1.876826,0.01363725,-1.295391,1.857048,0.2524656,-0.6528138,1.867575,-0.1378201,-0.6338828,1.822561,0.2657098,-0.7236617,1.844843,-0.1424869,-0.7097779,1.802806,0.05606385,-0.5848531,1.932386,0.03920609,-0.2732565,1.960114,0.0268739,-0.04444419,1.9722,-1,-1,High,High,0.3008003,-0.6444714,1.8706,-0.08732763,-0.6113025,1.816053,-0.02653784,0.9967678,0.006872244,0.07551514,0.8001245,0.5885091,0.1012896,0.05655264,0.7040185,0.02392749,0.7051922,-0.08055677,0.5193836,-0.1570218,0.8200855,-0.1817816,0.8010521,-0.5972251,0.01741895,-0.03652981,0.8267199,-0.01036114,-0.5584531,-0.06750575,0.7079734,-0.1261236,0.6769964,-0.1566601,0.6416441,0.7492914,-0.07876787,-0.1437044,0.6494838,-0.005892915,0.75485,-0.09131068,0.661971,0.08434445,0.7351576,0.1192632,-0.6594732,0.7009743,-0.1437696,0.2303484,0.7508945,0.009281454,-0.6577986,-0.05807214,0.7604662,-0.06467674,-0.633521,0.1271192,0.5973687,-0.1719507,0.7819018,0.04704489,0.6781486,-0.006014286,0.7105011,-0.1877937,-0.02384111,0.9963064,0.0460562,0.06843948,-0.02370257,0.9960962,0.04612764,0.07143367,-0.02483722,0.9964727,0.02829799,0.0749962,-15,5,5
0.1864072,0.03018373,0.1737591,1.955305,0.02376619,0.03023025,1.973027,0.2003358,-0.1005694,2.010934,0.2407289,-0.375087,1.98879,0.2726826,-0.5861838,1.885355,-0.1351359,-0.09255956,1.958942,-0.1604444,-0.3604674,1.931641,-0.1526178,-0.5806138,1.837311,0.1298675,-0.5720114,1.908877,0.1660819,-0.843989,1.873328,0.1652038,-1.227605,1.974685,-0.01878085,-0.577014,1.888144,-0.0365926,-0.8561186,1.860259,-0.01171935,-1.231758,1.966821,0.1812001,-1.291691,1.86201,0.01409913,-1.295229,1.855583,0.2534888,-0.6537343,1.87034,-0.1377752,-0.6339594,1.821902,0.2663418,-0.7251227,1.848261,-0.1437585,-0.7090698,1.802069,0.05653157,-0.5848248,1.932512,0.03991384,-0.2733186,1.960244,0.02775647,-0.04459262,1.972312,-1,-1,High,High,0.3002302,-0.6353359,1.877562,-0.08753647,-0.610782,1.814896,-0.02620267,0.9968216,0.006758308,0.07493021,0.80047,0.5881919,0.1006579,0.05609045,0.7031053,0.02308298,0.7062215,-0.07975801,0.5062406,-0.1553691,0.8298354,-0.1759381,0.8003208,-0.5982291,0.01701672,-0.03631712,0.8266754,-0.01054262,-0.5584348,-0.06817045,0.7144426,-0.1253,0.6700097,-0.1579828,0.6416988,0.7492214,-0.07873637,-0.1438424,0.6525357,-0.005662376,0.75214,-0.09192638,0.6549962,0.09596715,0.7445737,0.08590778,-0.6593764,0.7010349,-0.1439469,0.2303305,0.7509483,0.008863118,-0.657723,-0.05829594,0.7602228,-0.06345562,-0.6341197,0.1262018,0.5783826,-0.1655692,0.7973732,0.04750253,0.6851451,-0.006027864,0.7033094,-0.1894615,-0.02346157,0.9963098,0.04605295,0.06852307,-0.02333806,0.9961226,0.04611566,0.07119308,-0.02448661,0.9965268,0.02822576,0.07441771,-15,0,5
0.2194787,0.03091642,0.1738622,1.955091,0.02509798,0.03030602,1.972813,0.2012704,-0.1006425,2.01103,0.2411472,-0.3752518,1.98861,0.2727755,-0.5872405,1.887149,-0.1347675,-0.09248109,1.959039,-0.1604579,-0.360277,1.931629,-0.1528023,-0.5802394,1.83688,0.1300739,-0.5719469,1.908968,0.1662091,-0.8438188,1.873167,0.1658225,-1.228223,1.972374,-0.01846426,-0.5768211,1.888171,-0.03649739,-0.8560689,1.860372,-0.01208125,-1.232108,1.965331,0.1819032,-1.291388,1.858855,0.01352976,-1.294973,1.853448,0.2553732,-0.6554604,1.872067,-0.1378829,-0.6336273,1.821409,0.2667295,-0.7270368,1.85349,-0.1434664,-0.7069513,1.798214,0.05679398,-0.5847005,1.93258,0.04061861,-0.2731978,1.960228,0.02891889,-0.04450149,1.972159,-1,-1,High,High,0.3020062,-0.6319367,1.8832,-0.08732894,-0.6116769,1.814677,-0.02511401,0.9968606,0.006266502,0.07482674,0.8007892,0.5876539,0.1007637,0.05697486,0.703239,0.02208136,0.7061571,-0.07943141,0.4968871,-0.1540276,0.8367068,-0.1711736,0.799967,-0.5987649,0.01675229,-0.03539487,0.8266439,-0.01102022,-0.5584008,-0.06875229,0.6847724,-0.132916,0.7000439,-0.1528353,0.6419461,0.7490128,-0.07868962,-0.1438501,0.6522732,-0.006135044,0.7523372,-0.09214533,0.6553214,0.09423236,0.7447755,0.08356798,-0.6589665,0.7013174,-0.1444325,0.2303396,0.7511435,0.008442764,-0.6574954,-0.05841189,0.7600164,-0.06266302,-0.6348451,0.1241778,0.560613,-0.1569183,0.8120657,0.04048444,0.6735754,-0.009018069,0.7142276,-0.1899837,-0.02275481,0.9963155,0.04587931,0.06879557,-0.02263953,0.9961395,0.0459363,0.07129711,-0.02352101,0.9965667,0.02785939,0.07433373,-15,0,5
0.2541302,0.03143146,0.1738537,1.954901,0.02535125,0.03044009,1.972877,0.2019353,-0.1006529,2.010989,0.2415894,-0.3756124,1.98886,0.2731982,-0.5888093,1.890316,-0.1344048,-0.09236056,1.95922,-0.1604844,-0.3601396,1.931933,-0.1530843,-0.5800157,1.836744,0.1301968,-0.5719552,1.909102,0.1660274,-0.8441415,1.873155,0.1653079,-1.228624,1.971238,-0.01831913,-0.5767471,1.888255,-0.03632866,-0.8562698,1.860739,-0.02617645,-1.238336,1.946627,0.1812288,-1.291372,1.8573,-0.004640967,-1.295339,1.828511,0.2562851,-0.6571333,1.875603,-0.138926,-0.6331661,1.822524,0.267914,-0.7290053,1.8574,-0.1414899,-0.7085779,1.80302,0.05692992,-0.5846664,1.932691,0.04082895,-0.2731193,1.960323,0.02916506,-0.04438203,1.972232,-1,-1,High,High,0.3015833,-0.6327959,1.883235,-0.08733516,-0.6109887,1.814968,-0.02506892,0.9968945,0.006194561,0.07439507,0.8008612,0.5876687,0.1002871,0.05665049,0.7030424,0.02211787,0.7064337,-0.07869853,0.5077802,-0.1464354,0.8318449,-0.1695579,0.8000307,-0.5986981,0.01655808,-0.03517547,0.8260865,-0.01167897,-0.5591838,-0.06897837,0.703684,-0.1296716,0.6807765,-0.1567082,0.6421447,0.748869,-0.07862671,-0.1437471,0.6521733,-0.006704249,0.752461,-0.09180161,0.6558625,0.09286659,0.7445314,0.08302454,-0.6587693,0.7014462,-0.14456,0.2304312,0.7513267,0.008121853,-0.6573304,-0.05795608,0.7560669,-0.06167258,-0.645,0.09238242,0.5695372,-0.1533225,0.8066663,0.03753708,0.6753466,-0.005547338,0.715318,-0.1794336,-0.02262617,0.9963067,0.04584428,0.06898721,-0.02252511,0.9961523,0.04589402,0.07118204,-0.02345468,0.9966021,0.02779076,0.07390343,-15,-5,5
0.2860431,0.03205042,0.1739721,1.954865,0.02655054,0.0305371,1.972848,0.2025833,-0.1003987,2.011066,0.2420256,-0.3759413,1.988966,0.2737872,-0.590158,1.893045,-0.1340176,-0.09243704,1.959294,-0.1604557,-0.3601562,1.932321,-0.1532347,-0.5800232,1.83666,0.1303632,-0.5719378,1.909112,0.1659905,-0.8443018,1.87302,0.1651037,-1.228543,1.971418,-0.01806084,-0.5766349,1.888293,-0.03612776,-0.8565289,1.860962,-0.02371486,-1.237513,1.949178,0.1809599,-1.291406,1.857572,-0.001643214,-1.295181,1.831732,0.2569907,-0.656351,1.876012,-0.1397598,-0.6332587,1.822179,0.268817,-0.7299121,1.860907,-0.1419637,-0.7101043,1.803847,0.05714565,-0.584605,1.932717,0.04148446,-0.2730345,1.960335,0.030225,-0.04428755,1.972214,-1,-1,High,High,0.3028604,-0.6358811,1.884464,-0.08751339,-0.6107462,1.814708,-0.02414845,0.9969188,0.006040376,0.07438623,0.8007843,0.5877004,0.1004302,0.0571531,0.701875,0.02171096,0.7076536,-0.0782719,0.497826,-0.1434215,0.8392777,-0.1649616,0.7999941,-0.5987759,0.01646148,-0.03472722,0.8255136,-0.01248789,-0.5600219,-0.06889662,0.7118033,-0.1286477,0.6720214,-0.1586599,0.6423199,0.7486663,-0.07866458,-0.1439991,0.6521918,-0.007138054,0.7524609,-0.09163792,0.6559408,0.09305377,0.744386,0.08349919,-0.6584817,0.7017158,-0.1448007,0.2302815,0.7513424,0.007818402,-0.6573386,-0.05770237,0.7565345,-0.06138764,-0.6438343,0.0967711,0.5585124,-0.1698766,0.8113557,0.03012734,0.6865966,-0.008725327,0.7051777,-0.1767295,-0.02192834,0.9963292,0.04577149,0.06893676,-0.02182573,0.9961722,0.04582052,0.07116903,-0.02258,0.9966252,0.02766244,0.073913,-15,-5,0
0.3251459,0.0326677,0.1737733,1.954667,0.02677252,0.03057676,1.973065,0.2033969,-0.1000962,2.011409,0.2422872,-0.3760054,1.989114,0.274276,-0.5907678,1.894696,-0.1335926,-0.09227578,1.959463,-0.1603496,-0.3601734,1.932828,-0.1535039,-0.5797811,1.836713,0.1305247,-0.5718276,1.909138,0.1660917,-0.8441322,1.872961,0.1652888,-1.22846,1.971304,-0.01776343,-0.5764441,1.888428,-0.0357786,-0.8563734,1.860993,-0.01707119,-1.23538,1.955184,0.1811934,-1.291312,1.857458,0.006676298,-1.29473,1.839587,0.2578413,-0.657789,1.876942,-0.1391927,-0.6336706,1.82389,0.2689581,-0.7311671,1.863587,-0.1428405,-0.7090827,1.80365,0.05737763,-0.5844524,1.932796,0.04173439,-0.2729386,1.960481,0.03045718,-0.04423428,1.972413,-1,-1,High,High,0.3016804,-0.6369277,1.878796,-0.0869624,-0.6119819,1.814142,-0.02421073,0.9969099,0.006174054,0.07447387,0.8000952,0.5886171,0.1005763,0.05711374,0.6989638,0.02041663,0.7106181,-0.07781122,0.5097647,-0.1380425,0.8328633,-0.1655986,0.7999062,-0.5988833,0.01644816,-0.03490406,0.8240015,-0.01313467,-0.5622538,-0.06870089,0.7154052,-0.1290649,0.6678767,-0.1596199,0.642453,0.7484499,-0.0789308,-0.1443848,0.6523954,-0.007302907,0.752278,-0.09167753,0.6558343,0.09306752,0.7444955,0.08334348,-0.6583182,0.7018832,-0.1446483,0.2303344,0.7511517,0.008023404,-0.6575481,-0.05776909,0.7582669,-0.05987799,-0.6400901,0.1083083,0.5688537,-0.1708634,0.8041785,0.02254252,0.6882783,0.007271144,0.7051439,-0.170271,-0.0219086,0.9963436,0.04587808,0.06866296,-0.02179756,0.9961746,0.04593094,0.07107281,-0.02261159,0.9966146,0.02778726,0.07399951,-15,5,5
