time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0070142,-0.01759286,0.1578188,1.922433,0.005544994,0.01922115,1.958602,0.1655075,-0.09238864,1.973455,0.2441171,-0.3515701,1.983317,0.2888353,-0.5688278,1.884389,-0.1637975,-0.1007054,1.974055,-0.1942117,-0.3766034,1.988093,-0.2111055,-0.6031139,1.917083,0.1033504,-0.5713614,1.886909,0.1353115,-0.8570723,1.856492,0.1668677,-1.247807,1.971701,-0.04691447,-0.5806662,1.885781,-0.05362973,-0.8686437,1.860707,0.05333265,-1.169518,2.180076,0.1722987,-1.315874,1.861519,0.0008887798,-1.118847,2.028339,0.2933688,-0.6439728,1.849375,-0.1973392,-0.6545599,1.902675,0.2895082,-0.7188524,1.84353,-0.2019159,-0.7390555,1.913662,0.02860383,-0.5861989,1.919725,0.01681227,-0.2797442,1.946177,0.008321601,-0.05451874,1.957897,1,-1,Low,High,0.3221825,-0.6191835,1.861833,-0.1422406,-0.6569985,1.866077,-0.0188071,0.9998096,0.004818079,0.001934614,0.7837042,0.6188029,0.04879131,0.02258675,0.7599834,0.1244495,0.6329178,-0.07970396,0.5045645,-0.1299019,0.8322744,-0.1893664,0.7917767,-0.6086747,-0.04632977,0.02140828,0.738318,-0.05757276,-0.6717453,-0.01817621,0.8960881,-0.09616425,0.4158451,-0.1218667,0.6309021,0.7460979,-0.1120188,-0.1809758,0.7024627,0.001615151,0.7075936,-0.07651684,0.6954576,0.1288108,0.7032023,0.07247713,-0.6739295,0.7061023,-0.1117227,0.1864313,-0.5853044,-0.02836215,0.8095676,0.03484918,-0.6219225,0.1951348,0.668069,-0.358913,0.5210561,-0.1677472,0.8252522,-0.1389971,0.8724914,0.05146849,0.4527729,-0.1763701,-0.01909276,0.9988886,0.04305184,0.001899535,-0.01910702,0.9988892,0.04304551,0.001568623,-0.01878001,0.9994841,0.02600578,0.001543844,-20,20,10
0.0400283,-0.01681452,0.1576472,1.922625,0.006503443,0.01927022,1.959068,0.166594,-0.09227114,1.973625,0.2456392,-0.3511329,1.98299,0.2900053,-0.5683924,1.883155,-0.1627918,-0.1006381,1.974942,-0.1923026,-0.3771704,1.989689,-0.2073753,-0.6036555,1.918072,0.1036127,-0.5714134,1.886816,0.1357261,-0.8566075,1.856496,0.1664366,-1.247726,1.972232,-0.04653331,-0.5807642,1.885981,-0.05256398,-0.8705262,1.861034,0.0518825,-1.177939,2.175119,0.1713909,-1.316093,1.862314,-0.004848368,-1.126657,2.025508,0.2930495,-0.6430974,1.847935,-0.1935286,-0.6579188,1.900372,0.2891299,-0.7164709,1.841352,-0.1935757,-0.7429476,1.915842,0.02891836,-0.5862701,1.919762,0.01744131,-0.2797683,1.946432,0.00919714,-0.05448845,1.958311,-1,-1,Low,High,0.297095,-0.6365248,1.809782,-0.1407856,-0.6585391,1.865722,-0.01824619,0.9998199,0.005139475,0.0008121008,0.7834872,0.6191372,0.04834519,0.02190141,0.7618251,0.1248351,0.6305069,-0.08062167,0.9477243,0.04355731,0.2202771,-0.2267144,0.7916782,-0.6086794,-0.04759152,0.02213844,0.7419493,-0.057193,-0.6678253,-0.01579563,0.8920112,-0.09437488,0.4243737,-0.1237595,0.6307745,0.745927,-0.1122585,-0.1819737,0.7031367,0.001998708,0.706901,-0.0767185,0.6965108,0.1282883,0.7021174,0.07379715,-0.6741036,0.7061459,-0.1111609,0.1859717,-0.5868836,-0.0286401,0.8084663,0.03361189,-0.6254494,0.1912048,0.6701294,-0.3509707,0.9534691,-0.02788582,0.2069963,-0.2174203,0.8675102,0.03462884,0.4575775,-0.1919626,-0.01862193,0.9988847,0.04337844,0.0008770946,-0.01863801,0.998885,0.04337154,0.0005068935,-0.01825804,0.9994863,0.02633324,0.0004321075,-25,25,5
0.0739261,-0.01609626,0.1572993,1.9229,0.007348021,0.019246,1.959758,0.1670684,-0.09226589,1.973626,0.2469481,-0.351493,1.982901,0.2908886,-0.5684871,1.882104,-0.1619855,-0.1007279,1.975785,-0.1908404,-0.3773102,1.990961,-0.2048972,-0.6035952,1.918332,0.1040525,-0.5714593,1.88669,0.1365045,-0.8573841,1.856782,0.1568469,-1.245552,1.980435,-0.04601241,-0.5808359,1.886274,-0.05167263,-0.8724042,1.861487,0.05761147,-1.160101,2.191718,0.1590025,-1.317402,1.87403,0.002028644,-1.118121,2.039119,0.2918339,-0.6423632,1.845699,-0.1927207,-0.657804,1.897693,0.2866448,-0.7157905,1.838876,-0.1902789,-0.7405656,1.910298,0.02939119,-0.5863275,1.91983,0.01812128,-0.2798047,1.946811,0.01000452,-0.05451389,1.958924,-1,-1,Low,High,0.2642268,-0.6491294,1.822122,-0.142664,-0.651667,1.867873,-0.01800051,0.999822,0.005641214,-0.0004194655,0.7836615,0.6190419,0.04739253,0.0203906,0.763708,0.1259404,0.6279328,-0.08117609,0.8470039,0.1855699,-0.4781111,-0.1398502,0.7917144,-0.6085529,-0.04857207,0.02218906,0.7431715,-0.05685613,-0.6665269,-0.01432935,0.8562092,-0.1028863,0.4920914,-0.1190224,0.630688,0.7456293,-0.1126754,-0.1832315,0.7041374,0.003021393,0.7059315,-0.07643447,0.7002215,0.1261253,0.6967845,0.09096025,-0.6742864,0.7062715,-0.1101915,0.185408,-0.5874823,-0.02859161,0.8080682,0.03275329,-0.6126925,0.2068832,0.6657906,-0.3721964,0.8354582,0.1216684,-0.5004815,-0.1916365,0.8299076,-0.005202539,0.5182317,-0.2065485,-0.01834535,0.9988694,0.04385138,-0.0005522436,-0.01835708,0.9988692,0.04384647,-0.0008193512,-0.01800707,0.9994776,0.02682709,-0.0007942712,-20,25,5
0.1170432,-0.01575341,0.1573489,1.923089,0.007632921,0.0192701,1.959925,0.1679202,-0.09190644,1.973895,0.2476173,-0.3509519,1.982716,0.2914495,-0.5686451,1.880932,-0.1613862,-0.1005535,1.976813,-0.1900868,-0.3769479,1.991749,-0.2035279,-0.6030806,1.918398,0.1046474,-0.5713755,1.886633,0.1370745,-0.8579383,1.856863,0.1791666,-1.250388,1.960832,-0.0452916,-0.5808871,1.886657,-0.05116897,-0.8735795,1.862303,0.05084781,-1.177239,2.180607,0.1859422,-1.313999,1.846493,-0.002985764,-1.126323,2.029572,0.2912828,-0.6422439,1.844953,-0.1927706,-0.6560168,1.894976,0.2831365,-0.7132148,1.832267,-0.1913862,-0.7415816,1.90964,0.03005851,-0.5863078,1.91998,0.01861179,-0.2797734,1.94702,0.01033846,-0.0544866,1.959106,-1,-1,Low,High,0.2653184,-0.6441887,1.819958,-0.1419323,-0.6480493,1.86591,-0.01833963,0.9998153,0.005515614,-0.001587568,0.7828217,0.6201068,0.04723293,0.02066268,0.7640432,0.1252846,0.627598,-0.08162364,0.8576757,0.1823375,-0.4582336,-0.14549,0.7914497,-0.6086969,-0.05019274,0.0240042,0.7448564,-0.05643863,-0.6646789,-0.01433613,0.8653891,-0.1001591,0.4753405,-0.1229689,0.63025,0.7456322,-0.1135482,-0.1841861,0.705233,0.003269601,0.7048756,-0.07606691,0.6955312,0.1281161,0.7049723,0.05325915,-0.674704,0.7062036,-0.1093111,0.1846678,-0.5908982,-0.02753329,0.8056164,0.03261228,-0.6229535,0.1979894,0.6694325,-0.3529721,0.8461321,0.1108246,-0.482968,-0.1962655,0.8392734,-0.02297659,0.4951405,-0.2234459,-0.01869711,0.9988581,0.04391737,-0.00204162,-0.01870224,0.9988579,0.04391519,-0.002158197,-0.01838553,0.9994713,0.0267448,-0.001970991,-20,20,15
0.1396573,-0.01528254,0.1573634,1.923749,0.008328851,0.01947323,1.960793,0.1681162,-0.09185088,1.973879,0.2481418,-0.3508385,1.982587,0.2916648,-0.5684975,1.880153,-0.1608755,-0.1006444,1.977573,-0.1895574,-0.3766575,1.992034,-0.2023086,-0.6026346,1.91795,0.10529,-0.5713873,1.886562,0.1374264,-0.8580597,1.857002,0.1669565,-1.252315,1.958535,-0.04455649,-0.5809782,1.887106,-0.0507517,-0.8730785,1.862081,0.05030127,-1.176476,2.180914,0.1702542,-1.315372,1.843402,-0.00237244,-1.124889,2.02957,0.2899087,-0.6418509,1.843882,-0.1917776,-0.6583022,1.892957,0.2855787,-0.7106978,1.834045,-0.1891724,-0.7402304,1.905984,0.03075374,-0.5863576,1.920153,0.01932465,-0.2797008,1.947541,0.0110427,-0.05431645,1.959886,-1,-1,Low,High,0.2626819,-0.6472377,1.816958,-0.1416351,-0.6469792,1.865919,-0.01839519,0.9998086,0.006092595,-0.002686772,0.7833641,0.6195764,0.04599508,0.01871645,0.7652047,0.1257794,0.626043,-0.08192347,0.8552635,0.1830178,-0.4622781,-0.1460401,0.7917624,-0.6082676,-0.05072038,0.02345794,0.7473588,-0.05598065,-0.6618936,-0.01476321,0.8746191,-0.09708399,0.4576892,-0.1270306,0.6299989,0.7453863,-0.1142083,-0.185626,0.7065353,0.003304585,0.7036383,-0.07543185,0.7016497,0.1144479,0.7004428,0.06300324,-0.6750512,0.7062518,-0.1080312,0.1839667,-0.5919576,-0.02814175,0.804767,0.03382625,-0.6223462,0.1995605,0.6697918,-0.3524767,0.8414918,0.1049652,-0.4898867,-0.2021997,0.8501985,-0.02504799,0.476082,-0.2233408,-0.01873973,0.9988295,0.044429,-0.003814391,-0.01873007,0.9988303,0.04443307,-0.003597262,-0.01842697,0.9994531,0.02728568,-0.003070538,-15,20,20
0.1744462,-0.0150305,0.1573142,1.924012,0.008757825,0.01948688,1.961096,0.168269,-0.09183314,1.973865,0.2490395,-0.3511762,1.981982,0.291569,-0.5684332,1.879357,-0.1605475,-0.1005202,1.978557,-0.1887787,-0.3764824,1.992613,-0.201566,-0.6016016,1.915497,0.1056083,-0.5713462,1.886353,0.1379758,-0.8580369,1.856729,0.1664046,-1.252146,1.958794,-0.04419973,-0.5813264,1.887304,-0.05029071,-0.8728949,1.861907,0.05036675,-1.181523,2.175944,0.1690913,-1.315487,1.843883,-0.0003925487,-1.125889,2.025062,0.2879734,-0.6420397,1.844025,-0.1907991,-0.6562534,1.88829,0.2808423,-0.7136721,1.833436,-0.1877235,-0.7434353,1.903833,0.0310475,-0.5864749,1.92014,0.01968529,-0.2797534,1.947693,0.01145569,-0.05431959,1.960152,1,-1,Low,High,0.2607765,-0.6436004,1.819353,-0.1347591,-0.6539933,1.85375,-0.01829227,0.9998044,0.006317911,-0.004076479,0.7834858,0.6194822,0.04540301,0.01818085,0.7689759,0.1264414,0.6211655,-0.08271695,0.8433943,0.1853549,-0.4835958,-0.1430544,0.7913771,-0.6085829,-0.0523399,0.02469507,0.7444206,-0.05484241,-0.6652854,-0.01502202,0.8943745,-0.09377762,0.4152462,-0.1373704,0.6292793,0.7456707,-0.1146258,-0.1866648,0.7075392,0.003620557,0.7025904,-0.07577486,0.7029849,0.1138512,0.6990482,0.0646668,-0.6761519,0.7055109,-0.1073552,0.1831611,-0.5910243,-0.02884597,0.8054168,0.03408448,-0.6244557,0.1949322,0.6720942,-0.3469091,0.8280978,0.09782747,-0.5143728,-0.2002608,0.866989,-0.02141014,0.4348894,-0.2423692,-0.01869393,0.9988133,0.04465851,-0.005296771,-0.01868208,0.9988147,0.04466348,-0.005031614,-0.01834575,0.9994433,0.02750737,-0.004458459,-20,25,10
0.222682,-0.01469818,0.1572891,1.924698,0.009415402,0.01961052,1.961905,0.1686596,-0.09174737,1.974023,0.2494488,-0.3511938,1.981744,0.2913881,-0.5680048,1.878971,-0.1603778,-0.1003736,1.979789,-0.1886424,-0.3763275,1.992808,-0.2009276,-0.6009399,1.913865,0.1063952,-0.571197,1.886348,0.1384577,-0.8563543,1.85593,0.1639092,-1.251209,1.961345,-0.04327666,-0.5816892,1.887708,-0.05003558,-0.8731858,1.861941,0.05053854,-1.181767,2.176046,0.1655332,-1.315972,1.847699,-0.0001251176,-1.126005,2.025165,0.2872203,-0.6408433,1.84437,-0.1916503,-0.653949,1.885978,0.2834651,-0.7093621,1.830964,-0.1884917,-0.7405713,1.897106,0.03191923,-0.5865695,1.920332,0.02045519,-0.2797318,1.948211,0.01214281,-0.05422041,1.960888,1,-1,Low,High,0.2611407,-0.641656,1.818566,-0.1357118,-0.6439745,1.855333,-0.01849768,0.9997906,0.006779352,-0.005529983,0.7837217,0.6192951,0.0444037,0.0168039,0.7703084,0.1261382,0.6195344,-0.08301337,0.851447,0.1822931,-0.4691481,-0.1473341,0.7909588,-0.6089877,-0.05370213,0.02518445,0.745847,-0.05368344,-0.6637493,-0.01634723,0.8773332,-0.09978905,0.4487466,-0.1376772,0.6280757,0.7462617,-0.1150744,-0.1880754,0.708556,0.002407415,0.7014623,-0.0767682,0.70485,0.1136074,0.6966585,0.07033311,-0.6774603,0.7045579,-0.1064429,0.1825259,-0.5905148,-0.0287061,0.8057402,0.03536718,-0.6238744,0.1953585,0.6725968,-0.346741,0.8365799,0.09020441,-0.501163,-0.2020717,0.8501979,-0.04424064,0.4630892,-0.2464848,-0.01892291,0.9987782,0.04513836,-0.006831119,-0.01890928,0.9987802,0.04514407,-0.006529577,-0.01856469,0.9994194,0.0279505,-0.005916171,-25,20,10
0.2390069,-0.01438908,0.1571465,1.925124,0.009773149,0.01956889,1.962453,0.168885,-0.09176612,1.974062,0.2495742,-0.3512291,1.981677,0.2908652,-0.5671774,1.878348,-0.1602097,-0.1003352,1.98009,-0.1884852,-0.376318,1.992778,-0.2007187,-0.6002209,1.911496,0.1068374,-0.5712508,1.886465,0.1390169,-0.8546371,1.854859,0.1674161,-1.25259,1.95523,-0.04287882,-0.5816794,1.88763,-0.04977348,-0.8735135,1.862065,0.05322539,-1.178016,2.179241,0.1694682,-1.315432,1.839861,0.001796644,-1.124249,2.028016,0.2860702,-0.6408445,1.843212,-0.1934319,-0.6518614,1.881151,0.2789499,-0.714291,1.833603,-0.1952961,-0.7336059,1.88705,0.03236996,-0.5865982,1.920357,0.02085495,-0.2797566,1.948487,0.01251287,-0.05425566,1.961363,-1,-1,Low,High,0.2822828,-0.6288136,1.80459,-0.1370746,-0.6454357,1.857443,-0.01858781,0.9997834,0.007264574,-0.005906561,0.7838017,0.6192646,0.04386321,0.01556449,0.7708429,0.1259421,0.6189178,-0.08294915,0.9682336,0.1059468,-0.08359108,-0.210503,0.7907515,-0.609279,-0.05380073,0.02442531,0.7449521,-0.05327472,-0.664773,-0.01687762,0.8634548,-0.1060018,0.4730922,-0.1392593,0.6282493,0.7462216,-0.1145447,-0.1879779,0.7079315,0.001048494,0.7018673,-0.0788306,0.7048885,0.1112595,0.6977053,0.06293484,-0.6773108,0.7045353,-0.1064531,0.1831603,-0.5887353,-0.02833782,0.8070596,0.03524867,-0.6213795,0.1970814,0.6715909,-0.3521536,0.968519,-0.004614595,-0.1117619,-0.2223936,0.8352818,-0.07567113,0.4798268,-0.2575741,-0.01897738,0.9987625,0.04555373,-0.006179767,-0.01898688,0.9987612,0.04554977,-0.006388011,-0.01864386,0.9994034,0.02838386,-0.006293507,-25,20,10
0.2740661,-0.01424745,0.1572413,1.925668,0.009977221,0.01957547,1.962856,0.1693897,-0.09172718,1.974327,0.2496992,-0.3520153,1.980928,0.290677,-0.5669719,1.878229,-0.1601689,-0.1003234,1.980315,-0.1883508,-0.3759081,1.992415,-0.2007606,-0.5989416,1.908417,0.1075509,-0.5711635,1.886502,0.139537,-0.8554775,1.854375,0.1489403,-1.247395,1.973218,-0.04214673,-0.5815781,1.887655,-0.04929433,-0.8730666,1.861746,0.05330347,-1.176384,2.180149,0.14657,-1.317691,1.865037,0.001916487,-1.123386,2.028664,0.2842445,-0.641445,1.844391,-0.1926119,-0.6482205,1.875589,0.278074,-0.7136346,1.834066,-0.1958974,-0.7311065,1.878756,0.03314636,-0.5865082,1.920401,0.02128592,-0.2797097,1.948746,0.01276675,-0.05423849,1.961728,-1,-1,Low,High,0.2565808,-0.6386619,1.816647,-0.1361953,-0.6325718,1.856552,-0.01892825,0.9997754,0.007525177,-0.005849575,0.7836545,0.619464,0.04383571,0.01510948,0.7707737,0.1238611,0.6193085,-0.0838049,0.8658097,0.1769915,-0.4415856,-0.1550797,0.7906806,-0.6093987,-0.0537127,0.02392438,0.7430244,-0.05247173,-0.6669684,-0.01773644,0.8100874,-0.1232441,0.5577102,-0.1323958,0.628203,0.7461973,-0.1146055,-0.1881916,0.707917,0.0001646424,0.7018659,-0.0789795,0.7095385,0.1104983,0.6891401,0.09711454,-0.6773325,0.7044699,-0.1060769,0.1835501,-0.5894057,-0.02855716,0.8065289,0.03600676,-0.6212146,0.1984992,0.6707804,-0.3531916,0.8515502,0.06838354,-0.4782005,-0.2037407,0.7749122,-0.1101742,0.5583457,-0.2749964,-0.01953902,0.998736,0.045903,-0.006125182,-0.01954885,0.9987347,0.04589881,-0.006339232,-0.01903761,0.9993895,0.02862104,-0.006243834,-25,10,15
0.3161994,-0.01404104,0.1573274,1.926205,0.01013418,0.01961848,1.963347,0.169643,-0.09181937,1.974609,0.2498665,-0.3527703,1.980751,0.2903463,-0.5666919,1.878375,-0.1601102,-0.1004106,1.980662,-0.1884192,-0.3754604,1.991958,-0.2014127,-0.597499,1.905056,0.1077643,-0.5712242,1.886578,0.1396798,-0.8556032,1.854254,0.1537445,-1.248862,1.968602,-0.04196381,-0.5815774,1.887666,-0.04895775,-0.8729014,1.861529,0.05488123,-1.16992,2.185256,0.1525308,-1.317403,1.858595,0.003351077,-1.120291,2.032825,0.2830327,-0.6420095,1.84618,-0.1929357,-0.6490935,1.874222,0.2764767,-0.7130259,1.833244,-0.1947768,-0.7345151,1.878827,0.03336205,-0.5865415,1.920448,0.02149021,-0.2797068,1.948986,0.0129407,-0.05420585,1.962152,-1,-1,Low,High,0.2549193,-0.6421078,1.82065,-0.1315004,-0.6714994,1.857667,-0.01904366,0.9997692,0.00796926,-0.00594731,0.7838582,0.6192209,0.04382064,0.0145434,0.7712343,0.1229755,0.6188714,-0.08410029,0.8633022,0.177443,-0.446422,-0.1546958,0.7908201,-0.6092203,-0.05387381,0.02348808,0.7403745,-0.051699,-0.6699281,-0.01921386,0.8089746,-0.1278855,0.5572072,-0.136842,0.6283643,0.7460801,-0.1143495,-0.1882737,0.7077523,-0.0001803924,0.7020168,-0.07911442,0.7083806,0.1108564,0.691397,0.08875876,-0.6772122,0.7045208,-0.1059463,0.1838734,-0.5900779,-0.02901161,0.8060184,0.03606789,-0.6176965,0.2036137,0.6688917,-0.3599673,0.8501682,0.05962475,-0.4849238,-0.1962337,0.7793919,-0.09589379,0.5635043,-0.2565454,-0.01954611,0.9987229,0.04621346,-0.005905128,-0.01956331,0.9987206,0.04620618,-0.006276885,-0.0191069,0.9993761,0.02901938,-0.006342397,-20,25,15
