time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0275627,0.01228294,0.173926,1.934215,0.01520665,0.02458238,1.956176,0.1789166,-0.09177357,1.996094,0.2449767,-0.3504046,2.007328,0.3057823,-0.5722637,1.902119,-0.1477541,-0.09466429,1.953074,-0.1890704,-0.3663997,1.967387,-0.1919712,-0.5872127,1.876763,0.1170799,-0.572713,1.904275,0.1495943,-0.8606839,1.870597,0.1606479,-1.243802,1.979941,-0.03139702,-0.5780795,1.888518,-0.05068065,-0.8588027,1.856769,-0.01454723,-1.2352,2.001729,0.176924,-1.30775,1.867018,0.01207809,-1.31028,1.903346,0.3096868,-0.645246,1.883251,-0.1830749,-0.640124,1.852296,0.3066586,-0.7129118,1.866738,-0.1922637,-0.7299018,1.854895,0.04357057,-0.5855404,1.929826,0.02906153,-0.2767243,1.950165,0.01861946,-0.04972216,1.957076,-1,-1,Low,High,0.2842461,-0.6608037,1.849846,-0.2235424,-0.6445354,1.851294,-0.02329064,0.9975968,-0.004539504,0.06509645,0.7838594,0.609337,0.09519175,0.07219007,0.6871939,0.1016203,0.7153901,-0.07519833,0.8543506,0.2106131,-0.4567441,-0.1308129,0.7939219,-0.6079086,0.006584215,-0.009579264,0.7979279,-0.07590804,-0.5974622,-0.02425001,-0.6226903,-0.1455873,0.7581437,0.1275904,0.6403342,0.7486852,-0.09303828,-0.1441751,0.666023,-0.005725082,0.7415763,-0.08028301,0.6577889,0.1128453,0.7402229,0.08154541,-0.6605486,0.7060925,-0.1423306,0.2117802,-0.7039486,-0.01574391,0.7072028,0.06381825,0.7535246,-0.08203814,-0.6300258,0.1689313,0.8674152,0.08389866,-0.4806517,-0.09760046,-0.6332788,-0.2121841,0.7399943,0.07965036,-0.02168467,0.9978193,0.03403045,0.05223339,-0.02148117,0.9974898,0.03415927,0.05818783,-0.02194198,0.9975263,0.01665847,0.06467082,-15,5,0
0.0944635,0.01384003,0.1740805,1.935805,0.0158688,0.02423156,1.956831,0.1795139,-0.09213788,1.996603,0.2456689,-0.353041,2.008926,0.3059337,-0.5729069,1.911448,-0.1473639,-0.09473342,1.95317,-0.1882359,-0.3652917,1.965922,-0.1914583,-0.5832983,1.867858,0.117657,-0.5728394,1.904086,0.1499277,-0.8608888,1.870256,0.1639287,-1.244429,1.977811,-0.0306217,-0.5783249,1.88783,-0.05024656,-0.8589272,1.856301,-0.05069843,-1.256096,1.947383,0.1810254,-1.307587,1.864355,-0.03443613,-1.314094,1.828941,0.3100421,-0.6497332,1.892813,-0.1859093,-0.6340205,1.84012,0.3105971,-0.7188628,1.877714,-0.1960141,-0.720625,1.835131,0.04425292,-0.5857229,1.929417,0.02964608,-0.2769368,1.950267,0.01925616,-0.05002883,1.957567,-1,-1,Low,High,0.2845421,-0.667339,1.861822,-0.2088118,-0.6430047,1.801633,-0.02306478,0.9975657,-0.003441122,0.06571858,0.7838757,0.6092519,0.09601591,0.07163766,0.6850604,0.1021277,0.7175286,-0.07358515,0.8463981,0.2083128,-0.4764385,-0.114989,0.7933993,-0.6085665,0.006645679,-0.01095818,0.7909891,-0.07358684,-0.6067873,-0.02702425,0.8874768,0.08176897,-0.4102857,-0.1932987,0.6401117,0.7490658,-0.09175498,-0.1440084,0.6647916,-0.006331972,0.7426934,-0.08011618,0.6566314,0.1137369,0.7415974,0.07702249,-0.6607075,0.7053047,-0.1429597,0.2134796,0.740312,0.01164824,-0.6690408,-0.06470487,0.7455784,-0.07477093,-0.6568576,0.08402602,0.8570992,0.08238535,-0.5006343,-0.08921234,0.8825032,0.1463057,-0.3973306,-0.2047221,-0.02174063,0.9976988,0.03489863,0.05391266,-0.02155017,0.9973903,0.03501656,0.05934744,-0.02176933,0.9974744,0.01752649,0.06529796,-10,5,5
0.1280163,0.01485812,0.1745826,1.937213,0.01631663,0.02441485,1.957654,0.1807165,-0.09220011,1.998591,0.2458184,-0.3537112,2.009278,0.3057439,-0.5719985,1.917388,-0.1473978,-0.09470397,1.953203,-0.1876657,-0.3643438,1.964417,-0.1922529,-0.580415,1.86169,0.1179063,-0.5727649,1.904065,0.150684,-0.8603471,1.869053,0.1631893,-1.243588,1.979041,-0.03001696,-0.5781536,1.887061,-0.04994794,-0.8588178,1.855797,0.003983019,-1.247439,1.962725,0.1806121,-1.307779,1.866632,0.03359316,-1.306592,1.848652,0.3093301,-0.6529453,1.896975,-0.1889323,-0.6327993,1.832491,0.309413,-0.7199568,1.883453,-0.1972996,-0.7162431,1.823046,0.04465211,-0.5856104,1.929128,0.02998842,-0.2768277,1.95042,0.01968117,-0.04986776,1.95818,-1,-1,Low,High,0.2853023,-0.6625071,1.865528,-0.2314194,-0.6482239,1.841625,-0.02281778,0.9974062,-0.001985437,0.06823651,0.7833737,0.6091722,0.09929124,0.07332189,0.6808673,0.09796683,0.7219627,-0.07478043,0.8678293,0.19983,-0.4400303,-0.1153844,0.7934005,-0.6085274,0.007326174,-0.01250662,0.7836749,-0.07091111,-0.6164023,-0.02955407,-0.6541981,-0.1566353,0.7235364,0.154872,0.6403003,0.7491498,-0.09043047,-0.1435704,0.6626601,-0.00749617,0.7443589,-0.08219078,0.6547811,0.1149115,0.7427143,0.08020248,-0.6601461,0.7047091,-0.1444533,0.2161611,0.7421072,0.01075628,-0.667061,-0.06473666,0.7606521,-0.03337111,-0.6318505,0.1451201,0.8768365,0.0767232,-0.464255,-0.09868399,-0.6551967,-0.2042008,0.7118888,0.1491096,-0.0216985,0.9975272,0.03567291,0.05653324,-0.02150527,0.9972069,0.03578973,0.06192691,-0.02146885,0.9972931,0.01857453,0.06782714,-10,5,5
0.1621619,0.0157501,0.1745605,1.938607,0.01723409,0.02420469,1.958667,0.1812655,-0.09269352,1.999181,0.2458004,-0.3572944,2.010775,0.3049902,-0.5712082,1.921516,-0.1474163,-0.0946814,1.953251,-0.1877781,-0.3640677,1.962686,-0.193195,-0.5792381,1.857904,0.1184848,-0.5727751,1.904012,0.1508922,-0.8602936,1.868717,0.1623765,-1.243513,1.979221,-0.02927024,-0.5779415,1.886453,-0.04972428,-0.8592253,1.855576,-0.01199589,-1.234969,2.000148,0.179762,-1.308075,1.867164,0.01609246,-1.309878,1.902135,0.309127,-0.6559402,1.901581,-0.1908783,-0.631441,1.827496,0.3077081,-0.7252394,1.888068,-0.1977261,-0.7190596,1.821474,0.04531723,-0.5855248,1.928821,0.03071797,-0.2768556,1.95068,0.02055404,-0.05002353,1.958984,-1,-1,Low,High,0.2850804,-0.6627531,1.867367,-0.2135562,-0.6402627,1.790604,-0.02243993,0.9973553,-0.0005793335,0.06912639,0.7840205,0.6083405,0.1001362,0.07215574,0.6754034,0.09683643,0.727428,-0.07280969,0.8811387,0.1964758,-0.4131435,-0.1196003,0.7926796,-0.6094086,0.007747442,-0.01483734,0.7812135,-0.0689683,-0.6195883,-0.03254416,0.880958,0.085471,-0.4163288,-0.2080341,0.6408405,0.748927,-0.08894888,-0.1432475,0.6612177,-0.00844396,0.7456468,-0.08204112,0.6544341,0.1145621,0.7429279,0.08154492,-0.6595033,0.7046061,-0.1450023,0.2180823,-0.7065781,-0.01292703,0.7046053,0.06412271,0.756777,-0.07941627,-0.6260216,0.1705248,0.8928959,0.07189997,-0.4346263,-0.09309911,0.8755683,0.1276781,-0.4063373,-0.2279659,-0.02147767,0.9973856,0.03663204,0.05847086,-0.02129797,0.9970872,0.03673682,0.063356,-0.02106621,0.9972171,0.01977602,0.06872544,-15,45,0
0.1958172,0.01652326,0.1746938,1.939656,0.01779392,0.02424843,1.959543,0.1823152,-0.09328539,2.000179,0.2457239,-0.3600438,2.01251,0.3052058,-0.5733983,1.924515,-0.1464795,-0.09462165,1.953512,-0.1880859,-0.3641905,1.961516,-0.1942576,-0.577632,1.852903,0.1190244,-0.5728126,1.903745,0.1511649,-0.8593981,1.867403,0.162881,-1.242661,1.980671,-0.02865931,-0.5777981,1.885824,-0.0494328,-0.8594295,1.855298,-0.0551184,-1.256303,1.943159,0.1806526,-1.30834,1.869799,-0.03895249,-1.313708,1.824232,0.307486,-0.6556957,1.904348,-0.1930132,-0.629392,1.823071,0.3055024,-0.7265622,1.891804,-0.1997356,-0.7170467,1.816028,0.0459213,-0.5854787,1.928362,0.03120368,-0.2768181,1.950839,0.02109843,-0.04998247,1.959649,-1,-1,Low,High,0.2825173,-0.6691918,1.877387,-0.2313654,-0.6188113,1.844667,-0.02223736,0.9972968,0.0008431945,0.07002857,0.7846947,0.6072905,0.101466,0.07181343,0.6690138,0.09509674,0.7337409,-0.07072102,0.8379924,0.2068562,-0.4953492,-0.09802223,0.7928175,-0.6091911,0.007825313,-0.0162918,0.7794274,-0.06895535,-0.6216341,-0.03617939,-0.5623289,-0.1825306,0.7932594,0.1456311,0.6413202,0.7486836,-0.08770066,-0.1431431,0.6602062,-0.01023113,0.7464004,-0.08312282,0.6529185,0.1173295,0.7436329,0.08331391,-0.6591385,0.7045394,-0.1448668,0.2194865,0.7443634,0.008527861,-0.6645905,-0.06457438,0.7470347,-0.07700599,-0.6557984,0.07705596,0.8422784,0.074916,-0.52538,-0.09450198,-0.56318,-0.216232,0.7848163,0.141899,-0.02156039,0.9972706,0.03766445,0.05973159,-0.02138212,0.9969772,0.03776594,0.06444462,-0.0208402,0.997136,0.02089587,0.06963427,-10,10,5
0.2274209,0.01701836,0.1750051,1.940398,0.01826934,0.02443271,1.960047,0.1828315,-0.09355125,2.000624,0.245703,-0.3623967,2.01298,0.3055498,-0.5760352,1.926116,-0.1455464,-0.09446872,1.953601,-0.188514,-0.3643321,1.959372,-0.195068,-0.5771145,1.849354,0.1198905,-0.5728725,1.903297,0.1512996,-0.8590243,1.866798,0.1659463,-1.244389,1.974923,-0.02737306,-0.5775404,1.884449,-0.0493281,-0.8595246,1.854853,-0.01743829,-1.247327,1.967172,0.1844807,-1.308031,1.862313,0.008151412,-1.310798,1.855717,0.3064869,-0.6562964,1.904342,-0.1931756,-0.6284216,1.818565,0.3059265,-0.7281796,1.894495,-0.20385,-0.7100897,1.808312,0.04702436,-0.5854028,1.927477,0.03187384,-0.2766966,1.950835,0.02160547,-0.04982147,1.960025,1,-1,Low,High,0.2811072,-0.6714121,1.87975,-0.2182252,-0.6234509,1.791957,-0.02238096,0.9972532,0.001729641,0.07058439,0.7853115,0.6064032,0.1023272,0.07134511,0.6646773,0.09336939,0.7379577,-0.07003433,0.8193449,0.2096761,-0.5263101,-0.08779265,0.7930192,-0.6088979,0.007808653,-0.01739968,0.7810534,-0.06836344,-0.6193754,-0.04069677,0.8162014,0.1163461,-0.5270617,-0.2061183,0.6419879,0.7485065,-0.0855039,-0.1424028,0.6578156,-0.01155655,0.7485628,-0.08245528,0.6524636,0.1146936,0.7452375,0.07587986,-0.6582047,0.7041762,-0.1456544,0.2229067,0.7466542,0.005651855,-0.6620363,-0.06468123,0.7571775,-0.05975421,-0.6367521,0.1328852,0.8170659,0.07945392,-0.5611862,-0.1056434,0.8129795,0.1570978,-0.51728,-0.2163471,-0.02203477,0.9969969,0.0391857,0.06305756,-0.0219038,0.9967807,0.03925906,0.06638629,-0.02112274,0.997073,0.02176408,0.0701827,-10,5,0
0.2613696,0.01741072,0.1755432,1.941038,0.01834936,0.02483108,1.960442,0.1833106,-0.0936133,2.001498,0.2453221,-0.3642344,2.014673,0.3055475,-0.5778387,1.928053,-0.144431,-0.09440877,1.953541,-0.1889779,-0.3650799,1.957857,-0.1958213,-0.5772814,1.846631,0.1204298,-0.5728638,1.90301,0.1511657,-0.8585312,1.866082,0.1636454,-1.243976,1.975929,-0.0267255,-0.5772898,1.883672,-0.04898257,-0.8598588,1.854366,-0.02145989,-1.247241,1.967112,0.1820615,-1.308483,1.864113,0.003471702,-1.311313,1.856036,0.3069091,-0.6564309,1.907138,-0.1964113,-0.6289558,1.818009,0.3076102,-0.727422,1.897077,-0.2024613,-0.7142961,1.80935,0.04764342,-0.5852817,1.926943,0.03215468,-0.2764979,1.950842,0.02174339,-0.04949741,1.960306,1,-1,Low,High,0.2821361,-0.6658418,1.877786,-0.2349178,-0.63078,1.830714,-0.02268894,0.9971544,0.002549005,0.07184696,0.785557,0.6057537,0.1038863,0.07190447,0.6597198,0.09241422,0.7426913,-0.0681105,0.8629375,0.2015293,-0.4512659,-0.1052798,0.7939034,-0.6077099,0.008345854,-0.01834369,0.7828282,-0.06886887,-0.6168321,-0.04421738,-0.6350304,-0.1711577,0.7344449,0.1674278,0.6425884,0.748238,-0.08419295,-0.1418855,0.6565831,-0.01303927,0.7496489,-0.08218914,0.6517841,0.1144751,0.7455193,0.07920896,-0.6576593,0.7041048,-0.1457423,0.2246769,0.7478558,0.004788219,-0.6607001,-0.06452934,0.7569253,-0.06442467,-0.6372056,0.1299333,0.8664036,0.07043085,-0.4821396,-0.1092044,-0.6349127,-0.1855202,0.730924,0.1679824,-0.02244563,0.9968389,0.04011646,0.06480005,-0.02232141,0.9966336,0.04018572,0.06788384,-0.02135297,0.9969646,0.02239888,0.07144257,-10,25,0
0.2996592,0.01790356,0.1760919,1.941895,0.01857999,0.02509751,1.960766,0.1839661,-0.09390251,2.002264,0.2452919,-0.3654154,2.014976,0.3054055,-0.5793598,1.929264,-0.1434191,-0.09438635,1.95363,-0.1893873,-0.3654,1.956318,-0.1963256,-0.5774439,1.844771,0.121068,-0.5728745,1.902546,0.1511107,-0.8564669,1.864599,0.1627222,-1.242942,1.977856,-0.02607726,-0.577095,1.882953,-0.04878058,-0.8603683,1.853774,-0.02373533,-1.24729,1.966186,0.1812238,-1.308889,1.867476,0.0008630976,-1.311525,1.855175,0.3063856,-0.656832,1.907645,-0.1973531,-0.6291391,1.816891,0.3069251,-0.7287909,1.899396,-0.20676,-0.7081819,1.804877,0.04831731,-0.5851882,1.926323,0.0325626,-0.2763257,1.950806,0.02200924,-0.04926425,1.960542,-1,-1,Low,High,0.2823768,-0.6670492,1.874883,-0.2329029,-0.6141869,1.8402,-0.02286887,0.9970857,0.003178222,0.07271248,0.7860453,0.6048359,0.1052195,0.07235422,0.6574511,0.09049862,0.7449594,-0.06785001,0.8663166,0.1996666,-0.4456554,-0.1049774,0.7946038,-0.6067755,0.00843703,-0.01890233,0.7857215,-0.06917847,-0.6128435,-0.0477358,-0.4073943,-0.2113132,0.8811078,0.1141303,0.6431702,0.7478788,-0.08313729,-0.1417659,0.6558924,-0.01533419,0.7501191,-0.0830145,0.650674,0.1165798,0.7458182,0.08238659,-0.6573521,0.7041319,-0.1452697,0.2257945,0.748467,0.003981635,-0.6599942,-0.06472224,0.7569364,-0.06664766,-0.6373922,0.1278143,0.8681359,0.0707458,-0.4773937,-0.1158893,-0.4082212,-0.2182061,0.8794135,0.1112357,-0.02276626,0.9967325,0.04108995,0.06570887,-0.02264031,0.9965266,0.04115948,0.0687612,-0.02159491,0.996883,0.02302941,0.07230209,-10,25,0
0.3506597,0.01846614,0.1766724,1.943266,0.01887555,0.0251831,1.961165,0.184614,-0.09396399,2.002866,0.2452152,-0.3660167,2.01528,0.3052598,-0.5802349,1.930321,-0.1427845,-0.09446225,1.953581,-0.1894413,-0.3655264,1.955962,-0.1966944,-0.5774037,1.844091,0.1215901,-0.5729821,1.902206,0.1511475,-0.8565221,1.864384,0.1632922,-1.242387,1.979667,-0.0255483,-0.5772569,1.882472,-0.04867517,-0.8606801,1.853353,-0.04649537,-1.251532,1.955369,0.1822048,-1.309117,1.870179,-0.0274129,-1.313849,1.841195,0.3063177,-0.6586042,1.907519,-0.199242,-0.6306864,1.817718,0.3037077,-0.7303298,1.90096,-0.2064216,-0.7149644,1.811135,0.04886576,-0.5853221,1.925888,0.03296641,-0.2763251,1.950832,0.02232806,-0.04920002,1.960846,-1,-1,Low,High,0.3077256,-0.6462305,1.870673,-0.2328533,-0.6139897,1.8365,-0.02296799,0.9970192,0.00384611,0.07355621,0.7859457,0.6047933,0.1062248,0.07232511,0.6551216,0.0888802,0.7472422,-0.06741879,0.9728464,0.1182855,0.05774783,-0.1903774,0.794979,-0.606245,0.008805282,-0.01994854,0.7860531,-0.06982297,-0.6122549,-0.04888051,-0.4499936,-0.205798,0.8599162,0.1252878,0.6430999,0.7480036,-0.08234754,-0.1418873,0.6556323,-0.0157645,0.750421,-0.08225575,0.6492766,0.1191061,0.7465237,0.0834016,-0.6575669,0.7038078,-0.1449224,0.226402,0.7487495,0.003323802,-0.6596403,-0.06509788,0.7512992,-0.08105691,-0.6475604,0.09820873,0.9887877,-0.0003709964,0.04848032,-0.1412393,-0.4498915,-0.191705,0.863306,0.1246974,-0.02291898,0.9966683,0.04183415,0.06615765,-0.02278271,0.9964477,0.04190851,0.06940085,-0.02170982,0.9968044,0.02366384,0.07314269,-10,25,0
0.3637317,0.01891378,0.1769396,1.943869,0.01896563,0.02522653,1.961326,0.1849698,-0.09409253,2.003283,0.2451307,-0.366535,2.015318,0.3050977,-0.5808301,1.93053,-0.1430463,-0.0944627,1.953587,-0.189432,-0.3657593,1.953719,-0.1971044,-0.5781872,1.843055,0.1220976,-0.5728821,1.901792,0.151519,-0.8567626,1.863583,0.1616107,-1.241969,1.980024,-0.02489222,-0.5771669,1.881467,-0.04859039,-0.8608249,1.852702,-0.02046564,-1.243111,1.976301,0.1801568,-1.3094,1.871165,0.005689217,-1.311391,1.869877,0.3056127,-0.6575289,1.905365,-0.1995912,-0.6311737,1.818123,0.2992704,-0.7318037,1.898009,-0.2075764,-0.7165582,1.815074,0.0494672,-0.5852185,1.925184,0.0332547,-0.2762585,1.950739,0.02244584,-0.04915533,1.960951,-1,-1,Low,High,0.2794244,-0.6660492,1.878778,-0.2331363,-0.6165287,1.839774,-0.02312399,0.9969772,0.004244227,0.07405255,0.7859821,0.6045685,0.107098,0.0725188,0.6537967,0.08762173,0.7485549,-0.06736448,0.8524796,0.2015354,-0.4724684,-0.09713688,0.7948787,-0.6063647,0.008647682,-0.02037217,0.7867907,-0.06692473,-0.6113988,-0.05170168,-0.3831384,-0.2119548,0.8924199,0.1089348,0.6431843,0.7482058,-0.08070792,-0.1413798,0.6541204,-0.01657217,0.7517079,-0.08238371,0.6493777,0.1186134,0.74617,0.08642814,-0.6575837,0.703088,-0.145307,0.2283346,0.7501216,0.002023451,-0.6580705,-0.06524269,0.7584708,-0.0723171,-0.6319119,0.1420546,0.8473104,0.08383191,-0.5070878,-0.1337875,-0.3834754,-0.1918923,0.8971952,0.1056633,-0.02326931,0.9964785,0.04289698,0.06818362,-0.02316281,0.9963062,0.04295458,0.07065581,-0.02204093,0.9967498,0.0241353,0.07363063,-10,25,0
