time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0257633,0.188225,0.1884775,1.962157,0.1990735,0.04401683,1.983245,0.3648985,-0.07301,1.990074,0.4420337,-0.3315734,2.0136,0.4814879,-0.5544531,1.91752,0.03165694,-0.07417354,2.012177,-0.002714437,-0.3430121,2.02418,-0.02455468,-0.5549864,1.925458,0.2845569,-0.5441317,1.91053,0.3206701,-0.8311427,1.879287,0.3547467,-1.202766,1.991565,0.1405008,-0.5542497,1.920429,0.1403997,-0.8642134,1.907367,0.1765297,-1.214519,2.017913,0.3520772,-1.269872,1.884323,0.1766923,-1.281415,1.910301,0.4823914,-0.6244101,1.886123,-0.0250376,-0.6147554,1.889674,0.4785699,-0.7020001,1.891212,-0.0261573,-0.6836451,1.881705,0.2160764,-0.5584189,1.947685,0.2080536,-0.2536019,1.972467,0.2015024,-0.02941056,1.982874,-1,-1,Low,High,0.4654691,-0.6305407,1.896363,-0.03407962,-0.5973421,1.853377,-0.01660141,0.9993992,0.002018709,-0.03035947,0.7926279,0.6092021,0.02303473,0.009126248,0.7679658,0.1395569,0.6225363,-0.05657673,-0.2069781,-0.2129797,0.9541304,-0.03788184,0.7877078,-0.6098777,-0.07213879,0.04859709,0.7213517,-0.06122203,-0.689296,-0.02783249,0.9706411,-0.02631372,-0.09563533,-0.2191284,0.6247373,0.7389258,-0.1397068,-0.2101762,0.7283296,0.008735374,0.6802616,-0.0818762,0.7189947,0.1321887,0.6781186,0.07568309,-0.6826818,0.7084104,-0.08963019,0.1551345,-0.6807248,-0.01531049,0.7322365,0.01445582,-0.6843583,0.07495545,0.711467,-0.1408904,-0.1936027,-0.2064026,0.9584636,0.0355452,0.9604195,0.01883559,-0.08109088,-0.2658265,-0.01459192,0.9984289,0.04003465,-0.03638744,-0.01448349,0.9985237,0.04007401,-0.03368432,-0.01529904,0.9991538,0.02272532,-0.03067861,-15,5,10
0.0590071,0.188962,0.1886521,1.962479,0.2000468,0.04424351,1.983618,0.3654338,-0.07290518,1.990137,0.4421969,-0.3314859,2.013626,0.4819919,-0.5526787,1.915527,0.03220822,-0.07418329,2.011948,-0.002434123,-0.3417683,2.022708,-0.02488682,-0.5545483,1.924659,0.2853895,-0.5439593,1.910369,0.3209595,-0.8307899,1.879197,0.3520599,-1.201606,1.995327,0.1412485,-0.5540028,1.920128,0.1411197,-0.8668725,1.907689,0.1810216,-1.214329,2.016589,0.3488798,-1.27028,1.889696,0.1822066,-1.280722,1.908506,0.4824287,-0.6224543,1.882584,-0.02545136,-0.6142414,1.890767,0.4772905,-0.7005149,1.88248,-0.02605731,-0.6804439,1.875014,0.2168826,-0.5582057,1.947448,0.208925,-0.2533747,1.972513,0.2024479,-0.02918266,1.983158,-1,-1,Low,High,0.5129229,-0.6105067,1.8839,-0.02638618,-0.5946058,1.853271,-0.01642927,0.999416,0.002637204,-0.0298447,0.7930338,0.6086811,0.02315571,0.00827986,0.7641795,0.1386565,0.6273337,-0.05706555,0.4807817,-0.1374285,0.8484434,-0.1735109,0.7880319,-0.609655,-0.07149143,0.04706846,0.7211401,-0.06026804,-0.6895106,-0.02999669,0.9746641,-0.03888826,-0.04545239,-0.2155264,0.6250572,0.7387821,-0.1391136,-0.2101235,0.7280558,0.008102717,0.6806415,-0.08121745,0.7192904,0.1327624,0.6769405,0.08213987,-0.6825621,0.7084342,-0.08951408,0.1556191,-0.6811351,-0.01440266,0.7318881,0.01368496,-0.6857662,0.06997818,0.7099299,-0.1443164,0.499701,-0.1864172,0.8381121,-0.1145235,0.9663103,0.004241806,-0.03215813,-0.2553276,-0.01448063,0.9984295,0.04050422,-0.03589078,-0.01437041,0.9985235,0.04054346,-0.03317495,-0.01513777,0.9991595,0.02326862,-0.03015967,-20,5,10
0.0940947,0.1895279,0.1889249,1.96278,0.2003837,0.04443501,1.983823,0.3658327,-0.07287949,1.990277,0.4425016,-0.3315566,2.013736,0.4822913,-0.5513222,1.912618,0.03296343,-0.07405461,2.011836,-0.002194878,-0.3413883,2.0225,-0.02510628,-0.5545784,1.924228,0.285933,-0.5439299,1.910364,0.3218077,-0.8312142,1.879207,0.3513854,-1.202159,1.99395,0.141936,-0.5537937,1.919871,0.1414542,-0.8667238,1.906959,0.1802322,-1.213927,2.016964,0.3478453,-1.270306,1.887761,0.1812635,-1.280763,1.909326,0.4820141,-0.6196902,1.878578,-0.02646852,-0.6145937,1.890665,0.4758245,-0.6998523,1.880375,-0.02623189,-0.6842028,1.883364,0.2174986,-0.558093,1.947324,0.2093833,-0.2532146,1.972566,0.2028122,-0.02899933,1.983326,-1,-1,Low,High,0.4878532,-0.6219731,1.839561,-0.02743993,-0.5959982,1.852577,-0.01662057,0.9994202,0.002892899,-0.02957341,0.7932879,0.6083469,0.02331061,0.00805196,0.7614416,0.1381976,0.6307074,-0.05758816,0.9493808,0.03416024,0.2165154,-0.2250119,0.7883322,-0.609338,-0.07125496,0.04649796,0.7211598,-0.06088588,-0.6894002,-0.03080445,0.973312,-0.03482369,-0.06779294,-0.2164607,0.6254296,0.7386048,-0.1387867,-0.2098546,0.7274415,0.008419226,0.6812686,-0.08143075,0.7198424,0.1301421,0.6768431,0.08230019,-0.6820745,0.7086427,-0.0898535,0.1566087,-0.6817402,-0.01455652,0.7313034,0.01462177,-0.6855362,0.07219976,0.7099364,-0.144283,0.9527647,-0.04875783,0.1995649,-0.2236868,0.9660164,0.004343823,-0.05587776,-0.2523315,-0.01471034,0.9984455,0.04078958,-0.0350191,-0.01461167,0.9985273,0.04082503,-0.03260463,-0.01534636,0.9991586,0.02351789,-0.02989255,-20,5,5
0.1361726,0.1901903,0.1891482,1.963048,0.2004803,0.04451271,1.98394,0.3661951,-0.07287886,1.990493,0.4427571,-0.3314822,2.013915,0.4824907,-0.5505273,1.911276,0.03341244,-0.07394898,2.01176,-0.002118116,-0.3411479,2.021549,-0.02520733,-0.5545301,1.924026,0.2865176,-0.5439332,1.910427,0.3226111,-0.8312403,1.879093,0.3531068,-1.202422,1.992792,0.1426121,-0.5537256,1.919831,0.1416401,-0.8665996,1.906713,0.1808486,-1.213742,2.017022,0.3498642,-1.27016,1.886186,0.1821026,-1.280681,1.9095,0.4814018,-0.6177422,1.876401,-0.02569834,-0.615451,1.890434,0.4772041,-0.6985412,1.879125,-0.02518396,-0.6830418,1.880409,0.218142,-0.5580595,1.947332,0.2096885,-0.2531422,1.972648,0.2029487,-0.028923,1.983435,-1,-1,Low,High,0.4852274,-0.6204128,1.838395,-0.02735839,-0.5983238,1.853172,-0.01689308,0.9994258,0.00294496,-0.0292251,0.7933038,0.6083136,0.02358189,0.008206873,0.7601992,0.1379339,0.6322415,-0.05781095,0.9647691,0.05461901,0.1264662,-0.2241508,0.7884544,-0.6092303,-0.07099868,0.04623016,0.7219437,-0.06032747,-0.6885551,-0.0324019,0.9738476,-0.03600854,-0.06473281,-0.2147884,0.6255352,0.7385746,-0.1388103,-0.2096302,0.7271622,0.008453718,0.6815104,-0.08189836,0.7193739,0.1301336,0.6775743,0.08037122,-0.6819118,0.7086895,-0.08987198,0.1570939,-0.6819854,-0.01426092,0.7310641,0.01542637,-0.6859145,0.07198958,0.7094399,-0.145031,0.965718,-0.03312794,0.1056315,-0.2348046,0.967056,0.009592423,-0.05139876,-0.2491362,-0.01524975,0.9984463,0.04089031,-0.03464876,-0.01515155,0.9985265,0.0409268,-0.03225178,-0.01571488,0.9991617,0.02357109,-0.02955135,-15,5,5
0.1592421,0.1905857,0.1891449,1.963176,0.2007535,0.04455882,1.984185,0.3664678,-0.07279711,1.990668,0.443046,-0.3315836,2.014189,0.4826471,-0.550239,1.909897,0.03362802,-0.07376179,2.011854,-0.002019231,-0.3408695,2.020817,-0.02519553,-0.5544797,1.92374,0.2870347,-0.5438728,1.910538,0.3230226,-0.83156,1.87911,0.3540817,-1.202338,1.992797,0.1432,-0.5535872,1.919756,0.1421613,-0.8678171,1.906885,0.1788019,-1.213997,2.016705,0.351037,-1.270096,1.886217,0.1794043,-1.280816,1.909034,0.4806174,-0.6145031,1.87534,-0.02558098,-0.6158609,1.892598,0.4763748,-0.6934031,1.873289,-0.02481572,-0.6871552,1.889718,0.2186997,-0.5579591,1.947347,0.210103,-0.2530658,1.972785,0.2032561,-0.0288691,1.983654,-1,-1,Low,High,0.4886067,-0.6215272,1.83678,0.0002415547,-0.6135693,1.862,-0.017132,0.9994255,0.003121017,-0.02907688,0.7932699,0.6083575,0.02367298,0.007978323,0.759333,0.1379005,0.6332866,-0.05783621,0.9253131,0.01184809,0.2986266,-0.2334042,0.7882107,-0.6095881,-0.07089245,0.04583075,0.7223459,-0.05946617,-0.6881486,-0.03364118,0.8783048,-0.137347,0.4261152,-0.1677564,0.6257255,0.7385425,-0.1385114,-0.209373,0.7267429,0.008149903,0.6819741,-0.08179034,0.7190117,0.1308158,0.6778866,0.07986923,-0.681713,0.7087117,-0.09007541,0.157739,-0.6824753,-0.01382896,0.7306201,0.01517787,-0.6851965,0.07439788,0.7104167,-0.1424041,0.9284808,-0.08409911,0.2795028,-0.2296278,0.8695332,-0.1067685,0.4356593,-0.2066723,-0.01546461,0.9984568,0.0410923,-0.03400411,-0.01537624,0.9985276,0.04112544,-0.03185757,-0.01595671,0.9991578,0.02375151,-0.02940818,-15,-5,5
0.196154,0.1912969,0.1896053,1.963982,0.2008823,0.04468672,1.984487,0.3669699,-0.07276212,1.991123,0.4432644,-0.3314959,2.014529,0.4825677,-0.549562,1.908542,0.0343127,-0.07352613,2.011636,-0.001958092,-0.3408806,2.02077,-0.0252027,-0.5544779,1.923746,0.2875811,-0.5439125,1.91078,0.3230789,-0.8315937,1.879157,0.3549615,-1.20211,1.993613,0.1437069,-0.5534349,1.919725,0.1424238,-0.8685515,1.907123,0.1777639,-1.213882,2.017112,0.352411,-1.270169,1.887358,0.1782786,-1.280796,1.90953,0.4806221,-0.6152207,1.875091,-0.02483935,-0.615832,1.894575,0.4744552,-0.694041,1.872279,-0.02499655,-0.6847962,1.883782,0.219216,-0.5578989,1.94744,0.2104003,-0.2529697,1.972973,0.2034255,-0.02875075,1.983922,-1,-1,Low,High,0.4837946,-0.6120122,1.83397,-0.02716411,-0.6027552,1.856964,-0.01740922,0.9994439,0.003358201,-0.02824115,0.793237,0.6083738,0.02428805,0.008150543,0.7584535,0.1373303,0.6344583,-0.05789202,0.9580444,0.04431082,0.1614139,-0.2326652,0.7883326,-0.609575,-0.07020573,0.0449566,0.7235558,-0.0605173,-0.6867638,-0.03405957,0.9730656,-0.0333881,-0.07849304,-0.214167,0.6262919,0.7383755,-0.1379855,-0.2086147,0.7261081,0.007226497,0.6826978,-0.08147625,0.7178797,0.1324097,0.6787989,0.07967696,-0.6812744,0.7089325,-0.09032343,0.1584978,-0.6832253,-0.01319963,0.7299312,0.01514191,-0.6854081,0.07596065,0.710201,-0.1416347,0.9618949,-0.04746942,0.1418357,-0.2288831,0.9731732,0.01784929,-0.06698999,-0.2193801,-0.01578401,0.9984793,0.04124564,-0.03299592,-0.01569901,0.9985452,0.04127806,-0.03093914,-0.01622467,0.9991733,0.02393121,-0.02857698,-15,0,5
0.2311509,0.1917039,0.1896931,1.964073,0.2010701,0.04485181,1.984774,0.3674069,-0.07287414,1.991374,0.4434963,-0.3315057,2.014822,0.4825478,-0.5492184,1.907396,0.0348069,-0.07347874,2.011368,-0.001814173,-0.3409009,2.020543,-0.02519885,-0.5544947,1.923755,0.2879414,-0.5438873,1.910731,0.3237387,-0.8323523,1.879451,0.3492243,-1.200368,2.000063,0.1440471,-0.5533767,1.919645,0.1431136,-0.8695725,1.907223,0.1777654,-1.214122,2.016423,0.3454346,-1.270887,1.896417,0.1782673,-1.280776,1.908579,0.4801849,-0.6150445,1.874575,-0.02390368,-0.6156586,1.895648,0.4752229,-0.6937281,1.872212,-0.02372394,-0.6884979,1.892118,0.2195804,-0.5578551,1.947371,0.2106604,-0.252872,1.973065,0.2036325,-0.02860562,1.984151,-1,-1,Low,High,0.4862913,-0.6178775,1.836726,-0.02712056,-0.6066005,1.857813,-0.01754343,0.9994587,0.003755224,-0.0275736,0.7935637,0.6079363,0.02464271,0.007925489,0.75782,0.1370983,0.635277,-0.05775883,0.9516395,0.03554217,0.1925529,-0.2367328,0.7887147,-0.6092353,-0.06954394,0.04387454,0.7239773,-0.06104157,-0.6862562,-0.03439758,0.9713091,-0.02930215,-0.09866427,-0.2143955,0.6264037,0.7382996,-0.137841,-0.2086433,0.7260514,0.007977274,0.6827847,-0.08118249,0.7187774,0.1321145,0.6763632,0.09185629,-0.6812419,0.7089366,-0.09012678,0.1587307,-0.6833367,-0.01332236,0.7298379,0.01449452,-0.6857824,0.07598852,0.7100431,-0.1405952,0.9574782,-0.05731943,0.1745557,-0.222442,0.9730044,0.02875665,-0.08662309,-0.2119715,-0.01595459,0.9984701,0.04149491,-0.03287918,-0.01585779,0.9985441,0.04153199,-0.03055087,-0.0163318,0.9991831,0.02423813,-0.02791032,-15,10,5
0.2592645,0.1921148,0.1896497,1.964257,0.2014012,0.04492053,1.985183,0.3679487,-0.07305137,1.991892,0.443598,-0.3315474,2.015039,0.4825593,-0.5491834,1.907022,0.03530663,-0.07356934,2.011335,-0.001615578,-0.3409835,2.020482,-0.02510296,-0.5545983,1.923834,0.2883238,-0.5439842,1.910864,0.3239852,-0.8322845,1.87951,0.3504654,-1.200577,1.999655,0.1443908,-0.5533627,1.919665,0.1432891,-0.8707561,1.907616,0.1785124,-1.213395,2.018566,0.3471244,-1.270935,1.895842,0.1794511,-1.280794,1.911492,0.4803445,-0.6151859,1.875994,-0.02256176,-0.6167207,1.89779,0.4760406,-0.6928877,1.871905,-0.02403277,-0.6871969,1.890045,0.2199487,-0.5578926,1.947442,0.2110287,-0.2528538,1.973284,0.2039775,-0.02854876,1.984511,-1,-1,Low,High,0.4874232,-0.6176091,1.837611,-0.02318668,-0.6020946,1.860433,-0.01764072,0.9994762,0.004100063,-0.02681965,0.7938532,0.6075317,0.02526857,0.008000571,0.7572089,0.1361656,0.6361958,-0.0578656,0.9383689,0.02098835,0.2483659,-0.239453,0.789104,-0.6088557,-0.06900689,0.04298524,0.7244353,-0.06143053,-0.685719,-0.03477401,0.9741399,-0.03677831,-0.06577872,-0.2130069,0.6267568,0.738114,-0.1374925,-0.2084694,0.7257673,0.007689946,0.6830921,-0.08116693,0.7179204,0.1326918,0.6773697,0.09029706,-0.6810204,0.7090681,-0.09011304,0.1591019,-0.6836658,-0.01265704,0.7295465,0.01423822,-0.6862206,0.07733107,0.7088904,-0.1435119,0.9472986,-0.06741776,0.2343275,-0.207776,0.9787266,0.02999818,-0.05369997,-0.1957312,-0.01594185,0.9984739,0.04173694,-0.03246048,-0.01583757,0.9985518,0.04177662,-0.02996697,-0.0163704,0.9991955,0.02455594,-0.02715703,-15,0,5
0.2930327,0.1927839,0.1901734,1.965352,0.2016701,0.04499961,1.985515,0.3686632,-0.07312594,1.992723,0.4436575,-0.3315288,2.015513,0.4825811,-0.5491907,1.906846,0.03574901,-0.07353175,2.0116,-0.001542606,-0.3410341,2.020444,-0.02475375,-0.5545627,1.92467,0.2885737,-0.5439504,1.911058,0.3245862,-0.8331367,1.880069,0.3536538,-1.199347,2.002726,0.1446546,-0.5533175,1.919838,0.1434729,-0.8713238,1.90798,0.1800371,-1.214065,2.016363,0.3513671,-1.270732,1.900081,0.1814181,-1.280464,1.908292,0.4801205,-0.6158699,1.87766,-0.02190647,-0.6173908,1.901812,0.4763233,-0.6933179,1.873059,-0.02440375,-0.6882171,1.896632,0.2202144,-0.5578507,1.947624,0.211326,-0.252786,1.973546,0.2042589,-0.0284705,1.984829,-1,-1,Low,High,0.4851851,-0.6177326,1.837507,-0.02710545,-0.6045359,1.864152,-0.01772438,0.9994949,0.004205526,-0.02604269,0.7938667,0.6074529,0.02638821,0.008962677,0.7561663,0.134817,0.6377187,-0.0578929,0.9607503,0.04857445,0.1367062,-0.2364544,0.7892558,-0.6086723,-0.06889842,0.04296794,0.7264441,-0.06162111,-0.6835384,-0.03545443,0.9723327,-0.03055877,-0.09247981,-0.2123269,0.6267991,0.7380707,-0.1374016,-0.2085557,0.7257374,0.008528048,0.6831478,-0.08087895,0.7157096,0.1380778,0.6786278,0.09032548,-0.6810111,0.7090566,-0.09007812,0.1592123,-0.6837236,-0.01232679,0.7295007,0.01409858,-0.6874936,0.07332567,0.7082634,-0.1426143,0.9709976,-0.04270221,0.1222549,-0.2009819,0.9810636,0.03622627,-0.08342241,-0.1710046,-0.01589025,0.9984714,0.04186516,-0.03239779,-0.01577088,0.9985597,0.04191027,-0.02955217,-0.01638937,0.9992126,0.0246923,-0.02638118,-15,-10,10
0.3269527,0.1930754,0.1902716,1.965701,0.2017355,0.04508692,1.985887,0.3689092,-0.07325371,1.992966,0.4437934,-0.3316002,2.015674,0.4825948,-0.5492048,1.906826,0.03607106,-0.07367008,2.011634,-0.001322462,-0.3412147,2.020206,-0.02445431,-0.554825,1.924903,0.2888595,-0.5440416,1.911141,0.3246116,-0.8332121,1.880119,0.3516087,-1.199933,2.002001,0.1449113,-0.5533807,1.919838,0.1438338,-0.871797,1.908173,0.17963,-1.213966,2.017168,0.3487978,-1.27103,1.899019,0.1809205,-1.28065,1.90938,0.4799694,-0.6163681,1.878236,-0.02082065,-0.6158824,1.900974,0.4760929,-0.6929715,1.872136,-0.02229562,-0.6884143,1.894729,0.2204923,-0.5579277,1.947662,0.2114874,-0.2527818,1.973706,0.2043543,-0.02840766,1.985135,-1,-1,Low,High,0.4513122,-0.6204587,1.859045,0.006283831,-0.617209,1.872416,-0.0179335,0.9994954,0.004653589,-0.02580096,0.7941209,0.6071199,0.02652344,0.008602564,0.7562222,0.1346048,0.6376978,-0.05788852,0.8214766,0.189863,-0.5165001,-0.1495184,0.7897316,-0.6081275,-0.06866931,0.04230193,0.7271585,-0.06143995,-0.6827723,-0.03588117,0.8820878,-0.134674,0.4199052,-0.1657217,0.6269068,0.7380634,-0.1371706,-0.2084097,0.7255656,0.008143072,0.6833648,-0.08062778,0.7164954,0.1352654,0.6782043,0.09152384,-0.6809633,0.7090405,-0.09002879,0.1595161,-0.6839619,-0.01219688,0.7292861,0.01375723,-0.6873745,0.07479762,0.7082234,-0.1426221,0.8138812,0.09595639,-0.5452995,-0.1761763,0.8785603,-0.05774782,0.4392523,-0.1784779,-0.01606961,0.9984705,0.04204969,-0.03209558,-0.01595102,0.9985571,0.04209482,-0.02928094,-0.01653367,0.9992085,0.02501138,-0.02614081,-15,5,5
