time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0147672,-0.04074723,0.1748643,1.824061,-0.03241941,0.03328946,1.857082,0.1341012,-0.07563012,1.892766,0.2054218,-0.3326307,1.917004,0.268657,-0.5362795,1.814781,-0.199234,-0.07001486,1.863349,-0.2465127,-0.3379247,1.860373,-0.2548429,-0.5530163,1.762581,0.07613753,-0.5452777,1.817694,0.1166653,-0.8462138,1.778533,0.1682972,-1.22921,1.765638,-0.07035971,-0.5510219,1.802468,-0.07461339,-0.8329177,1.762156,-0.08219837,-1.24093,1.747114,0.1765067,-1.249017,1.627761,-0.07009307,-1.260435,1.609354,0.2718032,-0.606823,1.776412,-0.2382798,-0.609063,1.73045,0.2691933,-0.6779768,1.763561,-0.2256807,-0.6756524,1.716553,0.002932998,-0.5581173,1.843019,-0.0153553,-0.2586688,1.85702,-0.02826887,-0.03866941,1.859412,-1,-1,Low,High,0.2404738,-0.614333,1.75703,-0.270108,-0.6041299,1.740941,-0.02949009,0.9984437,-0.01484932,0.04494511,0.7767403,0.621837,0.07409806,0.06710231,0.6765402,0.1253118,0.7225706,-0.06694931,0.7677177,0.24597,-0.584123,-0.09438494,0.7681777,-0.6401364,-0.006993726,0.008912166,0.8010466,-0.06687345,-0.5921879,-0.05626518,-0.4724476,-0.1765468,0.8553802,0.1181067,0.6389824,0.7506449,-0.09969573,-0.1352573,0.666169,-0.003265929,0.7400509,-0.09237376,0.6919726,0.03437958,0.7186207,-0.05980079,-0.6605551,0.7062071,-0.1465042,0.2085065,0.7378563,0.04220661,-0.6711761,-0.05752644,0.7384179,0.005558208,-0.6740277,-0.01986776,0.7466247,0.1725965,-0.6176153,-0.1769555,-0.50466,-0.2816576,0.8157832,0.02202394,-0.02922822,0.9979393,0.02486487,0.05142613,-0.02932192,0.9981264,0.0247543,0.04765655,-0.02904024,0.9985708,0.006722793,0.04436045,-20,0,0
0.0458035,-0.03957338,0.1750057,1.824355,-0.03103939,0.03339242,1.8573,0.1350099,-0.0754853,1.893188,0.2059451,-0.3331829,1.916564,0.2683952,-0.5365753,1.813236,-0.1985943,-0.07009447,1.863708,-0.2457576,-0.3379979,1.859913,-0.2513976,-0.5520675,1.759374,0.07637982,-0.5452735,1.817753,0.1170296,-0.8460439,1.778533,0.1688619,-1.229165,1.765559,-0.07000062,-0.5509645,1.802523,-0.07416698,-0.8331868,1.762342,-0.08160656,-1.240881,1.747497,0.1770671,-1.248968,1.627681,-0.06950608,-1.260385,1.609734,0.2697976,-0.6066022,1.775069,-0.2364805,-0.6054903,1.725539,0.2677471,-0.676167,1.758702,-0.2220781,-0.6727899,1.710149,0.003237916,-0.5580881,1.843075,-0.01452952,-0.258599,1.857192,-0.02703173,-0.03857411,1.859629,-1,-1,Low,High,0.2397536,-0.6184966,1.755449,-0.2711832,-0.6035941,1.74389,-0.02850195,0.9984633,-0.01488407,0.04513435,0.7767127,0.6217452,0.0746315,0.0676787,0.6776698,0.1234657,0.7218037,-0.06722568,0.770597,0.2455685,-0.5797723,-0.09869379,0.7682928,-0.6399918,-0.00720328,0.00921547,0.8058958,-0.06627686,-0.5855867,-0.05681319,-0.4040487,-0.1931399,0.8883622,0.1012632,0.6390871,0.7505078,-0.09949591,-0.1356699,0.666036,-0.003220865,0.7401385,-0.09263168,0.6920027,0.03447738,0.7185677,-0.06003319,-0.6603606,0.7063456,-0.1467343,0.2084918,0.73799,0.04210964,-0.6710634,-0.05719783,0.7383875,0.005532538,-0.6740695,-0.01958489,0.7472448,0.1641863,-0.6169137,-0.1846228,-0.4325189,-0.2976675,0.8509129,0.01639318,-0.02834879,0.997959,0.0250113,0.05146418,-0.02844081,0.998142,0.02490661,0.04778455,-0.02810046,0.9985881,0.006790667,0.0445664,-20,0,5
0.0792196,-0.0384597,0.1753816,1.824843,-0.03017116,0.03361594,1.857581,0.1355961,-0.07552733,1.893481,0.2063002,-0.3338576,1.916321,0.2683116,-0.5371984,1.812591,-0.1978698,-0.07010464,1.864037,-0.2452393,-0.3375666,1.859543,-0.2490028,-0.5502445,1.755612,0.07671948,-0.54523,1.81792,0.1175064,-0.8460667,1.778727,0.1694906,-1.229089,1.76579,-0.06967939,-0.550969,1.802653,-0.07368363,-0.8362965,1.763223,-0.08075359,-1.240894,1.749526,0.1776816,-1.248891,1.627909,-0.06867219,-1.260408,1.61175,0.2682531,-0.6072105,1.77677,-0.2356384,-0.6042246,1.721568,0.265582,-0.6790533,1.760454,-0.2211049,-0.6696367,1.703431,0.00357609,-0.5580678,1.843221,-0.01388254,-0.2584829,1.857448,-0.02621319,-0.03837774,1.859912,-1,-1,Low,High,0.2382367,-0.6137525,1.756959,-0.2690972,-0.6145458,1.731375,-0.02814864,0.9984728,-0.01491171,0.04513761,0.7772267,0.6210802,0.07471853,0.06778821,0.6781817,0.1222264,0.7215182,-0.06739225,0.7810428,0.2434564,-0.5654994,-0.1044592,0.768633,-0.6395808,-0.007251553,0.009331098,0.8082716,-0.06616519,-0.5822093,-0.05789214,-0.4480189,-0.1963138,0.8651312,0.1108511,0.6390192,0.7505758,-0.09917892,-0.135845,0.6658982,-0.003052747,0.740249,-0.09274512,0.6920539,0.03466026,0.7184997,-0.06015268,-0.6604568,0.7062512,-0.1468389,0.2084332,0.7383221,0.04097978,-0.6709141,-0.0554564,0.7382954,0.004959948,-0.6742087,-0.01838094,0.7589023,0.1461137,-0.6076102,-0.1831066,-0.470425,-0.2904779,0.8322486,0.04105216,-0.02781519,0.9979652,0.02516316,0.05156144,-0.02790877,0.9981504,0.02505932,0.04784199,-0.02769943,0.9985985,0.006833225,0.0445773,-20,5,0
0.1167453,-0.03754409,0.1756387,1.82524,-0.02986941,0.03367871,1.857728,0.1363264,-0.07533146,1.894062,0.2066667,-0.3348015,1.916357,0.2682448,-0.5380468,1.81214,-0.1971845,-0.07002483,1.864193,-0.24455,-0.3365386,1.858764,-0.2480169,-0.5486334,1.753478,0.07704969,-0.5452536,1.818155,0.1177612,-0.8458901,1.778711,0.1697222,-1.229135,1.765455,-0.06919329,-0.5508991,1.802913,-0.07356396,-0.8362815,1.763258,-0.08112381,-1.24082,1.74925,0.1780385,-1.248938,1.62759,-0.0689072,-1.260337,1.611489,0.2671445,-0.6077755,1.779005,-0.2365651,-0.6026179,1.719306,0.2659741,-0.6770294,1.761261,-0.2235191,-0.6690918,1.703143,0.003987853,-0.5580463,1.843466,-0.01347644,-0.2584312,1.857679,-0.0258823,-0.03831623,1.860083,-1,-1,Low,High,0.2385558,-0.6167929,1.758055,-0.2703374,-0.5904658,1.73525,-0.0283643,0.9984424,-0.0150574,0.04562433,0.7767334,0.6215425,0.07532382,0.06853012,0.6781113,0.1205393,0.7218695,-0.06737712,0.8052303,0.2383942,-0.530269,-0.1165637,0.7687197,-0.6394768,-0.00709284,0.009439816,0.8086087,-0.06541043,-0.5816691,-0.05945191,-0.4617242,-0.197456,0.8570982,0.1149111,0.6391478,0.7504178,-0.09938003,-0.1359663,0.6658984,-0.003441181,0.7402172,-0.09298333,0.691735,0.03429426,0.7188036,-0.06039802,-0.6602005,0.7064374,-0.1468952,0.2085744,0.738245,0.04076402,-0.6709539,-0.05615537,0.7386901,0.004761579,-0.6737583,-0.01907789,0.7868415,0.1241273,-0.576575,-0.1817529,-0.4793474,-0.2842382,0.8282944,0.05799209,-0.02782345,0.9979664,0.02513618,0.05154795,-0.0279108,0.9981397,0.02503916,0.04807318,-0.02787111,0.9985728,0.006719123,0.04506073,-20,0,5
0.1509865,-0.03682764,0.1758412,1.825484,-0.0296327,0.03377825,1.857851,0.1369075,-0.07528885,1.8945,0.2067357,-0.3353924,1.916603,0.267835,-0.5386903,1.812191,-0.1964884,-0.07001285,1.864453,-0.2442819,-0.3364491,1.858521,-0.2472388,-0.5472487,1.750346,0.07750703,-0.5453025,1.818476,0.117963,-0.8458511,1.778762,0.1696534,-1.229263,1.765162,-0.06874552,-0.5509145,1.803198,-0.07359073,-0.8365425,1.763472,-0.08177984,-1.240821,1.749373,0.1780294,-1.249074,1.627309,-0.06949434,-1.26035,1.611621,0.2650343,-0.6082036,1.781638,-0.2376286,-0.6018106,1.716415,0.2651714,-0.6780674,1.763926,-0.2249012,-0.6667289,1.698363,0.004451646,-0.5580765,1.843768,-0.01310165,-0.2583792,1.85791,-0.02561208,-0.03822531,1.860234,-1,-1,Low,High,0.2379543,-0.6174696,1.760695,-0.2359073,-0.6445162,1.7384,-0.02860315,0.9984262,-0.01523273,0.04577094,0.7766458,0.6215518,0.07561556,0.06911479,0.6781822,0.1193904,0.7220469,-0.06680753,0.7904114,0.2408688,-0.5522042,-0.1109178,0.7690037,-0.6391287,-0.007133713,0.009847128,0.8080082,-0.0654571,-0.5823652,-0.0607354,-0.01774408,-0.2346775,0.9718524,0.01070473,0.6392218,0.7503862,-0.09942286,-0.1357617,0.6658375,-0.004060138,0.7402676,-0.09299425,0.6915674,0.03370272,0.7189893,-0.06043923,-0.6601323,0.7064885,-0.14694,0.2085858,0.738274,0.04019699,-0.6709059,-0.05675315,0.7389385,0.004258135,-0.6734713,-0.01969844,0.7700986,0.1119339,-0.6036345,-0.173333,-0.04000291,-0.2752483,0.9582916,-0.06569175,-0.02796649,0.9979585,0.02502392,0.05167698,-0.02805334,0.9981322,0.02492652,0.04820643,-0.02810996,0.9985608,0.006549905,0.04520248,-20,5,0
0.1880851,-0.03610256,0.1761274,1.825698,-0.02904735,0.03395449,1.857911,0.1372718,-0.07522815,1.894951,0.2067641,-0.3367824,1.91676,0.2669108,-0.5403647,1.812361,-0.1959681,-0.06992476,1.864652,-0.2438812,-0.3359658,1.857743,-0.2472686,-0.5455657,1.747018,0.07784031,-0.5452215,1.818725,0.1181548,-0.8456643,1.778816,0.1697147,-1.229229,1.764968,-0.06843729,-0.5507733,1.803248,-0.07331994,-0.8361162,1.763731,-0.08156813,-1.240685,1.749914,0.1781753,-1.249046,1.627127,-0.06920026,-1.260227,1.61217,0.2636538,-0.6105583,1.784574,-0.239563,-0.6009036,1.713957,0.263059,-0.6817328,1.766488,-0.2266539,-0.6661485,1.696401,0.004769978,-0.557964,1.843908,-0.01262376,-0.2582296,1.85804,-0.02505081,-0.03805541,1.860318,-1,-1,Low,High,0.2334194,-0.6174934,1.766537,-0.272117,-0.5937814,1.727789,-0.02844769,0.9984095,-0.01538765,0.04617948,0.7768224,0.6211424,0.07630202,0.07005055,0.6796982,0.1181017,0.7208909,-0.06617103,0.78274,0.2406355,-0.5635678,-0.1086458,0.7691363,-0.6389625,-0.007187238,0.01022901,0.8053285,-0.0643812,-0.5859768,-0.0627083,-0.4631215,-0.2079306,0.8529812,0.1212703,0.6394358,0.750353,-0.09891827,-0.1353042,0.665329,-0.004517946,0.7407134,-0.09306274,0.691343,0.033322,0.7192154,-0.06052819,-0.6599455,0.7065184,-0.147293,0.2088265,0.7387653,0.0399081,-0.6703935,-0.05661804,0.7391461,0.003960072,-0.6732518,-0.01947682,0.7642795,0.1004941,-0.6167192,-0.1594839,-0.4763677,-0.2604178,0.8362227,0.07738248,-0.02768268,0.9979321,0.02500932,0.05234237,-0.02777259,0.9981142,0.02490945,0.04874761,-0.02792106,0.998548,0.006447319,0.04561483,-20,5,0
0.2332157,-0.03547521,0.1763488,1.82579,-0.02879081,0.03402698,1.857801,0.1373906,-0.07523159,1.89505,0.2066859,-0.3380344,1.917204,0.2660199,-0.5418566,1.812843,-0.1956006,-0.06990887,1.864713,-0.2436571,-0.3350846,1.856604,-0.2478542,-0.5447563,1.74608,0.07802854,-0.5452639,1.818842,0.1183258,-0.8453246,1.778706,0.1699825,-1.229267,1.76456,-0.06817864,-0.5508054,1.803378,-0.07331455,-0.836156,1.763831,-0.08190434,-1.24071,1.749973,0.1784575,-1.249099,1.626731,-0.06951243,-1.26027,1.612237,0.2621517,-0.6111236,1.787992,-0.2417653,-0.6006688,1.712866,0.263121,-0.6806532,1.768787,-0.2288528,-0.6647031,1.69368,0.004999143,-0.5580014,1.844031,-0.01238846,-0.2582141,1.85806,-0.02480397,-0.03799941,1.860247,1,-1,Low,High,0.2353984,-0.6195872,1.763762,-0.2747536,-0.5866511,1.728682,-0.02838778,0.9984034,-0.01565978,0.04625576,0.7769473,0.6208996,0.07648928,0.07061088,0.6811031,0.1179139,0.7197053,-0.06495548,0.8073133,0.2339672,-0.5282707,-0.1201446,0.7692477,-0.6388204,-0.007249158,0.01067877,0.804911,-0.06343731,-0.5864145,-0.06490055,-0.4907128,-0.2025987,0.8375219,0.1292746,0.6394013,0.7503628,-0.09911017,-0.135273,0.6653202,-0.004818603,0.7406768,-0.09340065,0.6913254,0.03309726,0.7192178,-0.06082352,-0.6598802,0.7065713,-0.1474283,0.2087577,0.7387256,0.03961767,-0.6704267,-0.0569477,0.7392492,0.003679384,-0.6731309,-0.01979963,0.7942669,0.07973774,-0.5823396,-0.1538259,-0.5005796,-0.2506383,0.8230562,0.09580742,-0.02767737,0.9979375,0.02483268,0.05232657,-0.02776552,0.9981173,0.02473408,0.04877679,-0.02789884,0.9985465,0.006241827,0.04568978,-20,10,5
0.2538504,-0.03500348,0.1764752,1.825766,-0.02843725,0.03414048,1.857769,0.1375412,-0.0751743,1.895237,0.2063196,-0.339339,1.918151,0.2650263,-0.5434663,1.814093,-0.1954138,-0.0698304,1.864755,-0.2436253,-0.3342958,1.855953,-0.2488654,-0.5438995,1.745357,0.07821956,-0.5453166,1.819031,0.1185267,-0.8452901,1.778757,0.1702259,-1.229321,1.764434,-0.06799499,-0.550817,1.803418,-0.07330294,-0.8385251,1.76448,-0.08200016,-1.240713,1.751522,0.1787442,-1.249163,1.626615,-0.06956036,-1.260297,1.613787,0.2611642,-0.6139905,1.791537,-0.2453761,-0.5986096,1.713115,0.2599128,-0.6821684,1.772614,-0.2332641,-0.6641964,1.692397,0.005186203,-0.5580301,1.844135,-0.01211551,-0.2581801,1.858117,-0.02447128,-0.03790778,1.860243,1,-1,Low,High,0.2309062,-0.6272265,1.767421,-0.2767894,-0.5963093,1.727888,-0.02824759,0.9983925,-0.01584261,0.04651363,0.7770323,0.6206871,0.07682124,0.07118242,0.6812419,0.1177256,0.7197793,-0.06299124,0.8035374,0.233309,-0.5346463,-0.1185239,0.7692224,-0.6388479,-0.007187407,0.0108902,0.8032126,-0.06288166,-0.588625,-0.06645276,-0.457917,-0.2065367,0.8558159,0.1234253,0.6395491,0.7503533,-0.09878169,-0.1348668,0.6649223,-0.005026443,0.7410096,-0.0935839,0.6912251,0.03295392,0.719305,-0.06101085,-0.6597516,0.7065869,-0.1477187,0.2089066,0.7392231,0.03834435,-0.6700367,-0.05594425,0.7393804,0.002846358,-0.6730086,-0.01918071,0.7933348,0.07056002,-0.5883953,-0.1393991,-0.4642721,-0.2440597,0.8453196,0.1015924,-0.02752099,0.9979171,0.02475593,0.05283143,-0.02761185,0.9981047,0.02465455,0.0491609,-0.02776141,0.9985393,0.006102006,0.04594994,-20,10,5
0.2849334,-0.03441248,0.1767838,1.825851,-0.02800759,0.03422016,1.857544,0.1379408,-0.07529437,1.895742,0.2058523,-0.3410445,1.919711,0.2636685,-0.5460882,1.817159,-0.1950994,-0.06965964,1.864892,-0.2437781,-0.333943,1.855378,-0.2505362,-0.5435342,1.744876,0.07853121,-0.5453384,1.819395,0.1186065,-0.8452687,1.778703,0.1700463,-1.229419,1.763851,-0.06755943,-0.550752,1.803507,-0.07329117,-0.838441,1.764497,-0.08255403,-1.240637,1.751442,0.1786906,-1.249287,1.626059,-0.06998185,-1.260252,1.613731,0.2599803,-0.6152512,1.79626,-0.2482827,-0.5984079,1.714218,0.2634322,-0.6837353,1.777843,-0.237592,-0.6654636,1.69551,0.005550281,-0.558007,1.844347,-0.01174181,-0.2581339,1.85813,-0.02406185,-0.03783818,1.860089,-1,-1,Low,High,0.2320567,-0.6278619,1.767299,-0.2799633,-0.5839018,1.729087,-0.02813457,0.9983641,-0.01632653,0.04702147,0.7772277,0.6201339,0.07775758,0.07283401,0.6815929,0.1174292,0.7197391,-0.0601415,0.8423274,0.2202748,-0.4733874,-0.1336711,0.7690032,-0.6390932,-0.007392891,0.01180201,0.8008339,-0.06255615,-0.5916801,-0.06831094,-0.4853398,-0.2006252,0.8405707,0.1327991,0.6397418,0.7503816,-0.09843728,-0.1340445,0.6642048,-0.005881223,0.7416243,-0.0937601,0.6908965,0.03219079,0.7196355,-0.06124117,-0.6594043,0.706631,-0.1484276,0.2093514,0.7398332,0.0378332,-0.66934,-0.05656273,0.7397784,0.002396069,-0.6725566,-0.01974377,0.840284,0.05511196,-0.5214667,-0.1376877,-0.4912949,-0.2263997,0.833571,0.111946,-0.02749677,0.9978725,0.02445163,0.05382046,-0.02759236,0.9980757,0.02434371,0.04991072,-0.02769243,0.9985199,0.005733013,0.04645675,-20,10,5
0.3270466,-0.03382164,0.1768847,1.825959,-0.02786679,0.03429466,1.857657,0.1383796,-0.07538493,1.896339,0.2054385,-0.3420434,1.920467,0.2630223,-0.5476267,1.819012,-0.1945207,-0.06926551,1.864949,-0.243875,-0.333786,1.854968,-0.2523538,-0.5432657,1.744395,0.07882023,-0.5452927,1.819737,0.1188369,-0.8450088,1.778515,0.1702781,-1.229404,1.762985,-0.0672112,-0.5506169,1.803598,-0.07325933,-0.8382027,1.764459,-0.08294963,-1.24051,1.751224,0.1791139,-1.249267,1.625218,-0.07017507,-1.260125,1.613534,0.2593568,-0.6172997,1.800362,-0.250595,-0.6000127,1.716148,0.2622681,-0.6858566,1.783904,-0.2408723,-0.6666718,1.69823,0.005866684,-0.5579157,1.844552,-0.0114944,-0.2580432,1.858303,-0.02389393,-0.03775842,1.860218,-1,-1,Low,High,0.2301889,-0.6291214,1.777,-0.2402948,-0.6486748,1.7395,-0.02833966,0.9983253,-0.01640431,0.04769034,0.7773072,0.6198349,0.07853335,0.07369307,0.6802939,0.1161324,0.7212809,-0.05888357,0.8081374,0.2271494,-0.5308294,-0.1163504,0.7685745,-0.639612,-0.007215363,0.01173028,0.7977595,-0.06262303,-0.5956171,-0.06998871,0.04727682,-0.2409518,0.9693617,0.006699832,0.6399789,0.7503536,-0.09797481,-0.133407,0.6635238,-0.006680665,0.7421564,-0.09431541,0.6904144,0.03149777,0.7200785,-0.06182792,-0.6591287,0.7066423,-0.1488288,0.2098951,0.7403697,0.03754181,-0.6687137,-0.05714234,0.7403272,0.002135647,-0.6719379,-0.02026154,0.8025008,0.05572537,-0.5816917,-0.1205064,0.04043121,-0.2280295,0.9725247,-0.02373967,-0.02759246,0.997822,0.02442842,0.05470907,-0.02769069,0.9980344,0.02431701,0.05068718,-0.02787424,0.998484,0.00566138,0.04712252,-20,10,5
