time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0254781,0.04354492,0.2101737,1.936432,0.04604707,0.03850844,1.965918,0.2150549,-0.08495592,1.986524,0.2787205,-0.3451455,1.998044,0.328672,-0.5686263,1.899591,-0.1194344,-0.08595439,1.97133,-0.1570849,-0.348917,1.936715,-0.1626499,-0.5609999,1.831619,0.1362396,-0.5541866,1.906159,0.168209,-0.8479609,1.86625,0.1634242,-1.222392,2.00008,-0.0120085,-0.5597827,1.902239,-0.02266697,-0.8545416,1.868148,-0.04461537,-1.249023,1.935063,0.1655074,-1.297245,1.89494,-0.04334572,-1.299315,1.807662,0.3167185,-0.6435916,1.872589,-0.1617458,-0.6063619,1.80014,0.3130775,-0.7160506,1.860208,-0.1646661,-0.6895159,1.781833,0.06333206,-0.567304,1.939549,0.05483455,-0.2604132,1.960424,0.04828567,-0.03514385,1.967099,-1,-1,Low,High,0.3079553,-0.6273097,1.83482,-0.2071258,-0.6166008,1.808625,-0.01536791,0.9995959,-0.007664501,0.02264952,0.7998803,0.5972567,0.04904997,0.0327096,0.71482,0.1011595,0.6886624,-0.0674033,0.969939,0.1205251,-0.08661499,-0.1928466,0.8029595,-0.59586,-0.01347598,0.00502945,0.8063929,-0.01914184,-0.5835527,-0.09396988,-0.4493053,-0.1966677,0.8637191,0.1159131,0.6358428,0.7403405,-0.1224197,-0.1805914,0.6801908,-0.01234369,0.7279657,-0.08517089,0.6889092,0.1178301,0.7044142,0.1237771,-0.662247,0.7119631,-0.1299065,0.1940662,0.7130013,0.02740498,-0.6985688,-0.0536647,0.713318,-0.07819328,-0.6952667,0.04083379,0.9750049,-0.05397416,-0.1207254,-0.1785431,-0.4441518,-0.2683412,0.8446617,0.1314108,-0.01339571,0.9992518,0.03411038,0.012361,-0.01323155,0.9991809,0.03417439,0.01716543,-0.01419163,0.999535,0.01512764,0.02235276,-15,-10,5
0.0585767,0.04257343,0.2102526,1.936354,0.04400096,0.03872501,1.965673,0.2139605,-0.08522591,1.986875,0.274793,-0.347905,2.001263,0.3235058,-0.5689778,1.901452,-0.1194541,-0.08609252,1.97139,-0.1587468,-0.3475205,1.935066,-0.1628732,-0.5603319,1.831535,0.1348654,-0.554417,1.90607,0.1678493,-0.8479451,1.866187,0.1906214,-1.236696,1.9551,-0.0132632,-0.5599095,1.901705,-0.02315589,-0.854966,1.868299,-0.04491086,-1.249021,1.935878,0.199003,-1.293601,1.833125,-0.04348354,-1.299538,1.808633,0.3104524,-0.6431359,1.87307,-0.1609162,-0.6067019,1.798366,0.3062335,-0.7139237,1.858679,-0.1654,-0.6876535,1.778059,0.06199069,-0.5674833,1.939216,0.05313667,-0.2604024,1.960131,0.04632374,-0.0349796,1.966841,-1,-1,High,High,0.3021078,-0.6283234,1.834082,-0.1744814,-0.599355,1.750276,-0.01592691,0.9995837,-0.00755964,0.02284218,0.8000809,0.5968515,0.04995758,0.03380812,0.7077314,0.09964222,0.6968017,-0.06045726,0.9670723,0.123462,-0.1075038,-0.1948621,0.8044075,-0.5938833,-0.01398676,0.005964809,0.8201616,-0.02227859,-0.5631864,-0.09828307,0.9332669,0.05598878,-0.2802885,-0.2175233,0.636123,0.7404805,-0.1216901,-0.179521,0.6928936,-0.009621691,0.7157534,-0.08662008,0.6864342,0.1008198,0.7179342,0.05669191,-0.6618937,0.7118549,-0.1305418,0.1952384,0.7142051,0.02741511,-0.6974678,-0.05194278,0.7136522,-0.07864641,-0.6948224,0.04167908,0.9691574,-0.05488998,-0.1466922,-0.1902692,0.9143955,0.1023504,-0.2651553,-0.2882675,-0.01391264,0.999222,0.03418266,0.01390556,-0.01377144,0.9991561,0.0342398,0.01802955,-0.01476222,0.9995214,0.01520954,0.02253304,-15,5,5
0.0920905,0.04133052,0.2101508,1.936279,0.04301874,0.03884083,1.965537,0.2125737,-0.08547642,1.986878,0.272077,-0.3500309,2.00364,0.3177457,-0.5707668,1.901067,-0.1216848,-0.08571412,1.969526,-0.1597908,-0.3468019,1.93387,-0.1631937,-0.5600073,1.831213,0.1335313,-0.55454,1.90604,0.1671587,-0.8475909,1.865703,0.1642016,-1.22819,1.98457,-0.01436913,-0.5600548,1.901127,-0.02353672,-0.8553076,1.868117,-0.04628875,-1.248253,1.939659,0.1676147,-1.297021,1.872838,-0.04446025,-1.300119,1.813353,0.3053987,-0.6439719,1.872876,-0.1619953,-0.6066079,1.798411,0.3023612,-0.7142848,1.858605,-0.1645848,-0.6890147,1.778734,0.0607624,-0.5676169,1.938895,0.05201557,-0.2603925,1.959911,0.04530427,-0.03488687,1.966686,-1,-1,High,High,0.3027049,-0.6296386,1.83466,-0.2064906,-0.6010143,1.813583,-0.01568775,0.9995197,-0.007385295,0.02568357,0.8007368,0.595884,0.05109068,0.03365482,0.7117039,0.100639,0.6930812,-0.05466048,0.9724498,0.0947791,0.0001678258,-0.212975,0.8034047,-0.5953333,-0.01068205,0.002211556,0.8203307,-0.02118733,-0.5633464,-0.09617414,-0.6502476,-0.1608394,0.7263814,0.1538791,0.6361142,0.7408545,-0.1205941,-0.1787466,0.690043,-0.009768632,0.7183318,-0.08800374,0.6885075,0.1055835,0.7093725,0.1077052,-0.6617301,0.7114673,-0.1316429,0.1964631,0.7156177,0.02771066,-0.6961025,-0.0506416,0.7147499,-0.08302806,-0.6930005,0.04460032,0.9798431,-0.07394606,-0.02882821,-0.1833259,-0.6381,-0.2316255,0.708239,0.1938441,-0.01366618,0.9991922,0.03435178,0.01575422,-0.01350718,0.9991087,0.03441461,0.02037456,-0.01448469,0.9994545,0.01538447,0.02538183,-15,5,5
0.1309073,0.04014402,0.2098281,1.936143,0.0420514,0.03874435,1.965421,0.2119278,-0.08571217,1.987385,0.2704569,-0.3506562,2.00245,0.313356,-0.5704535,1.901436,-0.1236375,-0.08530762,1.968256,-0.1606099,-0.3471626,1.933405,-0.163281,-0.5602618,1.830473,0.1329428,-0.5545145,1.906027,0.166694,-0.8478988,1.865342,0.2005329,-1.23732,1.948808,-0.01489006,-0.5600037,1.900648,-0.02370834,-0.8555651,1.867895,-0.04625033,-1.248193,1.939533,0.2124463,-1.291745,1.825433,-0.04374968,-1.300139,1.813297,0.3013956,-0.6439705,1.873729,-0.1619165,-0.6073419,1.799496,0.2982094,-0.7120113,1.858316,-0.1652197,-0.6898978,1.779622,0.06021473,-0.5675805,1.938662,0.05126198,-0.2604085,1.959727,0.04439006,-0.03496066,1.966551,-1,-1,High,High,0.2739924,-0.6452904,1.843111,-0.2064098,-0.6061965,1.811214,-0.01606799,0.9994452,-0.007212256,0.02826712,0.800718,0.595709,0.05284711,0.0344779,0.7174958,0.09754471,0.6875156,-0.05483697,0.8623262,0.1774276,-0.4513665,-0.1455379,0.8021443,-0.5970705,-0.008444268,-0.0002292098,0.8182077,-0.01985301,-0.5669054,-0.09359699,-0.6628582,-0.1596302,0.7147159,0.1559432,0.6362088,0.7410964,-0.1198446,-0.1779095,0.690228,-0.01000764,0.7180957,-0.08845134,0.6799819,0.1057797,0.7244073,0.04085809,-0.6615477,0.7111799,-0.1324048,0.1976033,0.7167733,0.02772338,-0.6949644,-0.04991902,0.7164429,-0.08287645,-0.6912352,0.04510886,0.8429539,0.02500854,-0.5019708,-0.1919078,-0.6537942,-0.2182488,0.700091,0.1865291,-0.01394651,0.999158,0.03446569,0.01734489,-0.0137702,0.9990563,0.03453651,0.02245052,-0.01480116,0.9993786,0.01554365,0.02795981,-15,0,5
0.1591981,0.03913869,0.2096603,1.936038,0.04100811,0.03877495,1.965597,0.2113193,-0.08591394,1.987802,0.2692839,-0.3509932,2.002488,0.3103349,-0.5705117,1.902138,-0.1249671,-0.08585512,1.967419,-0.1611767,-0.3472148,1.933084,-0.1633779,-0.5604009,1.830339,0.1320182,-0.5546426,1.90586,0.1663671,-0.8478448,1.86509,0.1862356,-1.234149,1.963882,-0.0156996,-0.5600322,1.900167,-0.02441674,-0.856634,1.867671,-0.04571312,-1.247481,1.942797,0.1960017,-1.294574,1.844973,-0.04261085,-1.300638,1.817441,0.2974058,-0.6451931,1.874478,-0.1616654,-0.6074959,1.802162,0.2935581,-0.715912,1.861167,-0.1672426,-0.6899386,1.781122,0.05932075,-0.5676603,1.938323,0.05030615,-0.2604266,1.959644,0.04337025,-0.03494169,1.96666,-1,-1,High,High,0.2747891,-0.6421534,1.843386,-0.2046512,-0.6047216,1.80815,-0.0162234,0.9993954,-0.006721936,0.03000858,0.8007799,0.5955191,0.05401855,0.03450168,0.7216704,0.09661819,0.6833274,-0.05404153,0.8848,0.1661179,-0.4067307,-0.1552545,0.8029331,-0.5960261,-0.006766553,-0.002335414,0.8177988,-0.01918445,-0.5677446,-0.09221318,-0.6772387,-0.1568501,0.7012464,0.1581117,0.6365114,0.7410634,-0.1190466,-0.1775002,0.6893428,-0.009520965,0.7188472,-0.08930112,0.6809224,0.1079251,0.7212176,0.06739341,-0.6612473,0.7111071,-0.132745,0.1986386,0.7175831,0.02739583,-0.6941817,-0.04935333,0.7175356,-0.08497784,-0.6895309,0.04968406,0.8687388,0.008922548,-0.4561874,-0.1926301,0.6931185,0.1966223,-0.6696613,-0.180223,-0.01399837,0.9991232,0.03488876,0.01843095,-0.01380864,0.9990084,0.03496429,0.02385796,-0.01490034,0.9993198,0.01599522,0.02969991,-15,10,5
0.1914611,0.03835236,0.2094332,1.935895,0.03973282,0.03844794,1.965293,0.2108694,-0.08620769,1.988016,0.2681985,-0.3512458,2.001905,0.307255,-0.5704333,1.90267,-0.1257839,-0.08578277,1.966894,-0.1617172,-0.3477662,1.932618,-0.1634415,-0.5610409,1.830074,0.1310381,-0.5546828,1.90553,0.1656737,-0.846651,1.864095,0.1896772,-1.234671,1.960265,-0.01667526,-0.5598665,1.899291,-0.02543512,-0.8554786,1.866933,0.01197993,-1.229905,1.995103,0.2005627,-1.293967,1.840579,0.02997644,-1.3005,1.887077,0.2935954,-0.6439901,1.874152,-0.1616423,-0.6098912,1.803167,0.289747,-0.7167668,1.862111,-0.1680616,-0.6891056,1.780221,0.05831921,-0.5676051,1.937727,0.04916562,-0.2605497,1.959197,0.04212773,-0.03521509,1.966321,-1,-1,High,High,0.2312685,-0.6164792,1.87675,-0.2050282,-0.6126097,1.807412,-0.01645614,0.999365,-0.006464733,0.03093679,0.8003166,0.5959923,0.0551994,0.03520908,0.7264619,0.09518071,0.6784626,-0.05368651,0.7219328,0.2012113,-0.6545385,-0.09953047,0.8025826,-0.596499,-0.006501578,-0.002793817,0.8185948,-0.01889769,-0.5667053,-0.09159951,-0.6653249,-0.1598849,0.7127063,0.1543671,0.6370999,0.7409878,-0.1179454,-0.1764361,0.6878349,-0.0102127,0.7200995,-0.0907505,0.6792669,0.1088855,0.723215,0.06083122,-0.6606528,0.7111204,-0.133473,0.2000764,0.7167957,0.02732944,-0.694996,-0.0493697,0.7317253,-0.07410832,-0.6599473,0.1534781,-0.6757505,-0.07153492,0.709025,0.1884874,-0.6639244,-0.1926601,0.7049387,0.1585809,-0.01416068,0.9990739,0.03518103,0.02032337,-0.01398634,0.9989611,0.03525072,0.02526934,-0.01511383,0.9992844,0.01626558,0.0306232,-15,5,0
0.2245457,0.03753746,0.2093158,1.935832,0.03893535,0.03854569,1.965894,0.2105448,-0.08665808,1.988325,0.2670924,-0.351601,2.001047,0.3040919,-0.5698771,1.902338,-0.1263768,-0.08571051,1.966361,-0.1618357,-0.3478453,1.932401,-0.1634634,-0.5614586,1.830657,0.1304265,-0.5546913,1.905253,0.1643731,-0.8442633,1.862786,0.1630949,-1.223868,1.993484,-0.01730949,-0.5598344,1.898407,-0.02575224,-0.8561218,1.86572,-0.04637028,-1.248454,1.93588,0.1685418,-1.297613,1.887367,-0.04245769,-1.300051,1.809463,0.2900875,-0.6444287,1.875037,-0.1600364,-0.6106017,1.807406,0.2852277,-0.7181609,1.863242,-0.1685254,-0.6910008,1.785103,0.05767786,-0.5675965,1.937171,0.04859217,-0.2605034,1.959197,0.04140727,-0.03513354,1.966731,-1,-1,High,High,0.2307484,-0.6172718,1.876759,-0.1949321,-0.6118092,1.784988,-0.01694056,0.9993274,-0.005131609,0.03211541,0.8009386,0.5951515,0.05592402,0.03412688,0.7308579,0.09307635,0.6740141,-0.05374603,0.7141494,0.1995267,-0.6635007,-0.09973211,0.8026689,-0.596377,-0.005379905,-0.005311267,0.8184754,-0.01846522,-0.5670554,-0.09058291,0.7872598,0.127291,-0.5758666,-0.1799909,0.6374252,0.7411,-0.1162597,-0.1759078,0.6742049,-0.01408611,0.7327083,-0.09158543,0.6814685,0.1181901,0.7129948,0.1151968,-0.6604748,0.7106595,-0.1341266,0.2018569,0.7203013,0.02778294,-0.6913404,-0.04942291,0.7197252,-0.07975398,-0.6881354,0.04587692,-0.668535,-0.06597731,0.7179359,0.1824172,0.7909207,0.1541842,-0.5705397,-0.1586064,-0.01395597,0.9990008,0.03610303,0.02234411,-0.01379226,0.9988893,0.03616588,0.02686997,-0.01538825,0.9992278,0.01719832,0.0318004,-15,10,5
0.2611077,0.03649819,0.2088152,1.936059,0.0382583,0.03823466,1.965986,0.2101849,-0.08703203,1.988861,0.2659903,-0.3518519,2.001997,0.3019632,-0.569742,1.902136,-0.1268046,-0.08576375,1.966193,-0.1618682,-0.347907,1.932232,-0.1633636,-0.5620707,1.831805,0.1298493,-0.5548117,1.904755,0.1642266,-0.8440983,1.862707,0.1805574,-1.229985,1.975591,-0.01784976,-0.5597464,1.897547,-0.02612913,-0.8567307,1.864567,-0.04696697,-1.248043,1.936175,0.1906478,-1.29601,1.861855,-0.04287066,-1.300182,1.810155,0.2872365,-0.6452815,1.876014,-0.1598001,-0.611901,1.810933,0.2863967,-0.7161872,1.863747,-0.1701162,-0.6913714,1.786809,0.0570951,-0.5676222,1.936483,0.04799677,-0.2606554,1.958953,0.04075927,-0.03539703,1.966739,-1,-1,High,High,0.229442,-0.6324974,1.871882,-0.1988945,-0.6086986,1.795655,-0.0171349,0.9992954,-0.004548311,0.03308402,0.8008408,0.5951083,0.05738945,0.03473406,0.7315945,0.09271166,0.6733863,-0.0522017,0.7557046,0.1925334,-0.6151519,-0.1158854,0.8024341,-0.5966876,-0.005340525,-0.005914258,0.819848,-0.01806599,-0.5651545,-0.09012952,0.7508953,0.1364529,-0.6235756,-0.1693825,0.6380227,0.7408427,-0.1151457,-0.1755583,0.6853158,-0.01167288,0.7223272,-0.09192071,0.6774181,0.1173587,0.7215247,0.08206061,-0.6599582,0.7107396,-0.1342743,0.2031623,0.721169,0.0281909,-0.6904127,-0.04950515,0.7201923,-0.08133621,-0.6873736,0.04716923,0.71974,0.04374057,-0.6683537,-0.1826592,0.7582895,0.1505757,-0.6206257,-0.1309502,-0.01391854,0.9989449,0.03685423,0.02360282,-0.01375686,0.9988319,0.03691489,0.02798139,-0.01547689,0.9991849,0.01778513,0.03276663,-15,5,5
0.2932587,0.03601032,0.2085788,1.936091,0.03761489,0.03787407,1.966186,0.2098345,-0.08730777,1.989049,0.2647159,-0.352422,2.003266,0.3000618,-0.5701239,1.901981,-0.1271545,-0.08580191,1.966056,-0.1618839,-0.3479569,1.932163,-0.1629528,-0.5629165,1.833679,0.1292549,-0.5548742,1.904269,0.1629534,-0.8433549,1.862179,0.1814483,-1.233889,1.962933,-0.018372,-0.5597676,1.896777,-0.02664598,-0.8564418,1.863502,0.007360183,-1.233514,1.982563,0.1918856,-1.295302,1.845011,0.02485467,-1.300955,1.871132,0.2842641,-0.6454779,1.87504,-0.1584721,-0.6128954,1.814135,0.2836462,-0.7172194,1.863989,-0.1673605,-0.6948444,1.795543,0.05651295,-0.5676666,1.935839,0.04743047,-0.260833,1.958772,0.04014385,-0.03570188,1.966839,-1,-1,High,High,0.2270759,-0.6344483,1.861278,-0.2023449,-0.618726,1.809781,-0.01731707,0.9992804,-0.003858013,0.03352554,0.8006122,0.5953681,0.05807423,0.03441223,0.7303696,0.09264554,0.6749116,-0.04971213,0.7710465,0.1900845,-0.5949727,-0.1239469,0.8021275,-0.5970901,-0.005363839,-0.006786103,0.8233174,-0.01816902,-0.5601751,-0.08956655,-0.6767738,-0.1521324,0.7046533,0.149321,0.6382397,0.7408384,-0.1140992,-0.1754705,0.6846846,-0.01264186,0.7229773,-0.09138358,0.6785186,0.107557,0.7233616,0.0692257,-0.6598397,0.7105211,-0.1343614,0.2042507,0.7218036,0.02851828,-0.6897053,-0.04992995,0.733289,-0.06951264,-0.6613096,0.1418617,0.7343104,0.03769601,-0.650144,-0.1915204,0.6954958,0.1604674,-0.6930614,-0.101004,-0.01384374,0.9988939,0.03763134,0.02456226,-0.01368843,0.9987841,0.03768811,0.02868143,-0.01556542,0.9991574,0.01842805,0.03320581,-20,10,5
0.3263454,0.03552889,0.2084893,1.936071,0.03710852,0.03751772,1.966347,0.2094464,-0.0873812,1.989208,0.2642746,-0.3525486,2.002885,0.2983844,-0.5701409,1.901502,-0.1275527,-0.08593275,1.96582,-0.161899,-0.3479653,1.93215,-0.1627716,-0.5636577,1.835507,0.1287275,-0.5548958,1.903703,0.1621359,-0.8421413,1.861164,0.188149,-1.235094,1.956469,-0.018917,-0.5598422,1.895741,-0.02696856,-0.8559246,1.86219,0.01967975,-1.224241,2.002002,0.2002915,-1.294222,1.836882,0.0418013,-1.298986,1.900018,0.2824505,-0.6450927,1.873504,-0.1567113,-0.6133618,1.816891,0.2815298,-0.7168037,1.862744,-0.1680554,-0.6950409,1.797201,0.05595383,-0.5677148,1.935034,0.04694325,-0.2610188,1.958538,0.03965399,-0.03600392,1.9669,-1,-1,High,High,0.225605,-0.6362373,1.8557,-0.199022,-0.6128827,1.806444,-0.01742105,0.9992617,-0.003168524,0.03409411,0.8001331,0.5959505,0.05886815,0.03412512,0.7339337,0.092149,0.6710891,-0.04989257,0.79626,0.182658,-0.5609648,-0.1338821,0.8018917,-0.5973954,-0.005270817,-0.007786172,0.8256961,-0.01819141,-0.5567855,-0.08879673,-0.6856218,-0.1477502,0.697288,0.1479256,0.6383474,0.7410649,-0.1124949,-0.1751579,0.6835003,-0.01374254,0.7240106,-0.09190685,0.6764691,0.1087574,0.7261541,0.05710953,-0.6599278,0.7099702,-0.1346962,0.2056564,-0.6975927,-0.03087337,0.7141452,0.04906911,0.736367,-0.07381533,-0.6495961,0.1741834,0.7625874,0.03231677,-0.6146772,-0.1989674,0.7063429,0.1647757,-0.6828573,-0.08737633,-0.01364939,0.9988208,0.03859184,0.02610007,-0.01350875,0.9987192,0.0386413,0.02973757,-0.01554616,0.999126,0.019099,0.03377395,-15,5,5
