time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0080115,0.01951578,0.1781575,1.898616,0.02195492,0.03443832,1.928492,0.1915733,-0.08751179,1.956924,0.2386469,-0.3634091,1.944579,0.2719149,-0.5771933,1.852041,-0.1436171,-0.08072545,1.932494,-0.1730742,-0.352966,1.916135,-0.1670671,-0.5717525,1.829787,0.1193005,-0.5515496,1.865695,0.1593139,-0.878913,1.824246,0.1116392,-1.173827,2.154464,-0.02671811,-0.557507,1.853283,-0.02856308,-0.8864803,1.834353,0.04064892,-1.294076,2.010768,0.1502157,-1.117438,1.998746,0.07802612,-1.371176,1.943428,0.260671,-0.6389645,1.824196,-0.1538269,-0.6209302,1.810185,0.2702306,-0.6999832,1.801555,-0.1627547,-0.7063022,1.806279,0.04717283,-0.5645398,1.893021,0.0345898,-0.2612152,1.91791,0.02511579,-0.03843547,1.928272,-1,-1,High,High,0.3066808,-0.6367688,1.829336,-0.2002147,-0.6114336,1.812903,-0.02160197,0.9990907,0.002303026,0.03668571,0.796221,0.5986196,0.07443392,0.04633005,0.7189991,0.04556051,0.6895208,-0.07433432,0.539467,-0.127844,0.8143856,-0.1714858,0.7881375,-0.6152063,-0.01897693,0.0005776873,0.8280646,-0.02795082,-0.5572457,-0.05481691,-0.5518363,-0.1618383,0.8126584,0.09418824,0.6384213,0.7465397,-0.09683982,-0.1603704,0.6239336,-0.01095088,0.7766204,-0.08630002,0.601403,0.266928,0.6851684,0.3124229,-0.6632706,0.7048492,-0.1352985,0.2120237,0.7089059,0.01827196,-0.7047119,-0.02235317,0.7809879,-0.05755903,-0.5860459,0.2080748,0.5811107,-0.2170649,0.782297,-0.05661051,-0.573037,-0.2221638,0.7888055,0.007601199,-0.01896585,0.9980932,0.04171881,0.04134888,-0.01907889,0.9982017,0.04166724,0.03864274,-0.02037518,0.9988469,0.0239774,0.03625875,-25,5,5
0.0397952,0.02013261,0.1782845,1.898759,0.02235325,0.03454706,1.928617,0.19214,-0.0873612,1.957174,0.2393165,-0.3633225,1.944681,0.273464,-0.5765173,1.850972,-0.1433834,-0.08072218,1.932675,-0.1713794,-0.35267,1.915988,-0.164234,-0.571068,1.828586,0.1193511,-0.5515265,1.865583,0.1594498,-0.8788772,1.824505,0.1107041,-1.170229,2.157649,-0.02669365,-0.5575064,1.853368,-0.02834027,-0.8865042,1.834123,0.03646346,-1.29395,2.012348,0.1491789,-1.115486,2.001366,0.07258049,-1.372095,1.947947,0.2634552,-0.6387833,1.824105,-0.1496103,-0.6219327,1.809562,0.2728496,-0.7000889,1.80283,-0.15776,-0.7067935,1.80703,0.04718469,-0.5645363,1.89302,0.03472257,-0.2611731,1.917959,0.0254334,-0.03834548,1.928377,-1,-1,High,High,0.308271,-0.626573,1.8318,-0.1979104,-0.6103739,1.813668,-0.02103915,0.9991019,0.002419733,0.03670193,0.7959684,0.5989101,0.074688,0.04650582,0.7151496,0.04508107,0.6934848,-0.07488399,0.55555,-0.1253896,0.8026551,-0.1771619,0.788245,-0.615063,-0.01915524,0.000713697,0.8269942,-0.02532501,-0.559042,-0.05395615,-0.5329469,-0.1672295,0.8245972,0.08967281,0.6383417,0.7464557,-0.09714844,-0.1608909,0.6237209,-0.0104595,0.7768251,-0.08605616,0.5998899,0.2694747,0.6836012,0.3165515,-0.6633173,0.7049468,-0.1350395,0.2117184,0.7089856,0.01881783,-0.7046133,-0.02248005,0.7804978,-0.06298818,-0.5866239,0.2067077,0.5960081,-0.2045439,0.7739141,-0.06319299,-0.5580439,-0.2183763,0.8004969,-0.01017855,-0.01879058,0.9981227,0.04177383,0.04065795,-0.01888877,0.9982155,0.04172952,0.03831064,-0.0199522,0.9988521,0.02408174,0.03628414,-20,5,5
0.0731052,0.02078747,0.1784684,1.899225,0.0227029,0.03455615,1.928813,0.1929024,-0.08730911,1.957708,0.2401132,-0.3632374,1.944905,0.274547,-0.5761036,1.850468,-0.1428784,-0.08066571,1.932905,-0.1694637,-0.3523113,1.915469,-0.1613514,-0.5703804,1.827199,0.1194233,-0.5514602,1.865533,0.1595069,-0.8788133,1.824532,0.1136174,-1.183365,2.146377,-0.02663306,-0.5574908,1.853381,-0.02818761,-0.8865004,1.833986,-0.04497981,-1.322776,1.94883,0.1538815,-1.122773,1.992671,-0.04070121,-1.388659,1.845707,0.2644065,-0.6378409,1.823467,-0.1465998,-0.6231906,1.808571,0.273047,-0.6996283,1.802382,-0.1543298,-0.7041622,1.800541,0.04724582,-0.5645016,1.89301,0.03489136,-0.2611361,1.918033,0.02573237,-0.03832588,1.928539,-1,-1,High,High,0.3078441,-0.6314218,1.828879,-0.1948244,-0.6195572,1.81515,-0.02068625,0.9990978,0.00264296,0.03699571,0.795602,0.5992705,0.07538521,0.0470045,0.7138537,0.0446021,0.6947925,-0.07541275,0.5641688,-0.1243849,0.7961401,-0.1800076,0.7882645,-0.6150312,-0.01936333,0.0008177088,0.8262092,-0.02236898,-0.5603467,-0.05375328,-0.5427942,-0.168872,0.8176615,0.09103001,0.6382071,0.7465028,-0.09715428,-0.161203,0.6227261,-0.01049389,0.7776336,-0.08595372,0.6067205,0.258228,0.6882758,0.3024648,-0.6634179,0.7048933,-0.1349449,0.2116412,0.7345436,0.01823027,-0.6779187,-0.0232318,0.7196212,-0.1018624,-0.6821572,0.08019304,0.6052429,-0.2064895,0.7659532,-0.0660219,-0.5682989,-0.2095765,0.7956168,-0.0103886,-0.01861805,0.9981303,0.04189973,0.04041753,-0.01870517,0.9982123,0.04186091,0.03834105,-0.01964783,0.9988424,0.02427685,0.03658461,-25,10,0
0.1162148,0.02148584,0.178726,1.899851,0.02321891,0.03462507,1.929142,0.1933015,-0.08738204,1.957841,0.2411047,-0.3634008,1.944981,0.2754629,-0.5761291,1.850162,-0.1422382,-0.08048394,1.933137,-0.168086,-0.3519009,1.915447,-0.158862,-0.5693087,1.825421,0.1196101,-0.5513676,1.865569,0.1595669,-0.8787385,1.824558,0.1151993,-1.186679,2.143464,-0.02649907,-0.5574329,1.853374,-0.02802247,-0.8864502,1.83389,-0.02810528,-1.319115,1.961254,0.1530535,-1.122743,1.99022,-0.01810972,-1.389003,1.864519,0.2652363,-0.6384284,1.822957,-0.1437197,-0.622622,1.806515,0.2736245,-0.6991553,1.80143,-0.150815,-0.7040402,1.799775,0.04740725,-0.5644262,1.893027,0.0352089,-0.2610486,1.918195,0.02619671,-0.03824943,1.928825,-1,-1,High,High,0.3085977,-0.6311639,1.831056,-0.1940185,-0.6322459,1.812333,-0.02032408,0.9991091,0.00292489,0.03686764,0.7958978,0.5989221,0.07530318,0.04656552,0.7157752,0.04548232,0.6926857,-0.07605033,0.5475408,-0.1288623,0.8074639,-0.177752,0.7881567,-0.6151654,-0.01949963,0.0005312046,0.8257804,-0.0209673,-0.5610618,-0.05344885,-0.53847,-0.1738746,0.8195459,0.09034476,0.6381871,0.7465363,-0.09682641,-0.1613238,0.6233953,-0.01055218,0.7771112,-0.08582102,0.6087656,0.2558559,0.6891977,0.2982428,-0.6635112,0.7047854,-0.1349313,0.2117168,0.7346139,0.01835338,-0.6778367,-0.0233001,0.7302098,-0.0963697,-0.6681643,0.1051812,0.5891613,-0.2075899,0.7784635,-0.06156208,-0.5645846,-0.2112415,0.7977864,-0.01257141,-0.01834676,0.9981216,0.04212698,0.0405213,-0.01843891,0.9982079,0.04208672,0.03833684,-0.01931289,0.9988469,0.02454077,0.03646346,-20,10,5
0.1372314,0.02236425,0.1791211,1.900498,0.02344593,0.03468329,1.929263,0.193696,-0.08747064,1.95796,0.2419769,-0.3637386,1.945043,0.2765733,-0.5761769,1.849594,-0.1417763,-0.08054051,1.933309,-0.16718,-0.3513132,1.915576,-0.1577208,-0.5685459,1.825079,0.1199375,-0.5513977,1.86547,0.1596155,-0.8788003,1.824647,0.1157798,-1.187049,2.14333,-0.02624545,-0.5574085,1.853311,-0.02783936,-0.8864167,1.833955,0.04870674,-1.293632,2.008472,0.153073,-1.122126,1.990295,0.08905474,-1.368728,1.939879,0.2651865,-0.6382477,1.822434,-0.1419709,-0.6223239,1.806067,0.2738255,-0.7018479,1.802129,-0.145885,-0.7072394,1.801974,0.04769952,-0.5644274,1.892953,0.03545713,-0.2610157,1.918241,0.0264291,-0.03819735,1.928928,-1,-1,High,High,0.3089525,-0.6279107,1.825917,-0.1900706,-0.6140277,1.813536,-0.020355,0.9991128,0.003043497,0.03674203,0.7960484,0.5987235,0.07533398,0.04649597,0.7158523,0.04598798,0.6925091,-0.07662603,0.5598713,-0.1269297,0.7985448,-0.180995,0.7884364,-0.6148001,-0.01971164,0.00064116,0.8250139,-0.02022454,-0.5622376,-0.0532162,-0.5339379,-0.1755074,0.8222464,0.08954545,0.6383662,0.7463579,-0.09679592,-0.1614589,0.6240933,-0.01052099,0.7766055,-0.08532694,0.6091009,0.2559379,0.6891517,0.2975931,-0.6634625,0.7048684,-0.1346636,0.2117638,-0.7041661,-0.01914633,0.7094232,0.02241297,0.7865866,-0.04746676,-0.5780534,0.2118553,0.6047026,-0.2116476,0.7655503,-0.05893066,-0.5611033,-0.2128497,0.7997292,-0.01706862,-0.01841396,0.9981175,0.04231863,0.04039133,-0.01850649,0.9982035,0.04227825,0.03820781,-0.01934489,0.9988478,0.02466697,0.03633685,-20,5,5
0.1724207,0.02298353,0.1792526,1.90066,0.02354401,0.03476017,1.929348,0.1940856,-0.08751546,1.95798,0.2426079,-0.3637013,1.944866,0.2773217,-0.5760253,1.849178,-0.1412393,-0.08054236,1.93337,-0.1664896,-0.3513767,1.915548,-0.1560525,-0.5683179,1.824362,0.1205776,-0.5512991,1.86515,0.1603865,-0.8786815,1.824759,0.116187,-1.186777,2.143543,-0.02573186,-0.5574222,1.853055,-0.02774751,-0.8864112,1.833907,0.04762448,-1.293193,2.009808,0.152434,-1.120826,1.990591,0.08772831,-1.368866,1.942533,0.2659838,-0.6364964,1.821418,-0.1411718,-0.6213792,1.804399,0.2755009,-0.7027777,1.803245,-0.1470082,-0.702632,1.796725,0.04828158,-0.5643889,1.892673,0.0357074,-0.2609479,1.918227,0.0265532,-0.03812496,1.928992,-1,-1,High,High,0.3086631,-0.6297849,1.825623,-0.190254,-0.6278303,1.810222,-0.02052688,0.9991135,0.003192573,0.03661383,0.796124,0.5986507,0.0752869,0.04621415,0.7160711,0.04609063,0.6922156,-0.07717242,0.5600452,-0.1271648,0.7982571,-0.1815605,0.7887394,-0.6144065,-0.01985782,0.0005626018,0.8268232,-0.02006584,-0.5595885,-0.05311799,-0.5370818,-0.1775852,0.8197733,0.08932209,0.6381449,0.7464989,-0.09670085,-0.1617386,0.6235422,-0.009952155,0.777083,-0.08507749,0.6087657,0.2558787,0.6893224,0.2979348,-0.6638308,0.7045833,-0.1340807,0.2119277,-0.7027661,-0.01851696,0.7108204,0.02260943,0.7866455,-0.04940785,-0.5776011,0.2124256,0.6043524,-0.2191377,0.7633536,-0.06346802,-0.5612163,-0.2175319,0.7985481,-0.006084737,-0.018949,0.9980995,0.04276476,0.04011883,-0.01903976,0.9981824,0.04272442,0.03799931,-0.01962345,0.9988428,0.02484632,0.0362022,-20,5,5
0.214186,0.02362776,0.1795051,1.901044,0.02365116,0.03481986,1.929427,0.1950505,-0.08767885,1.958284,0.2431886,-0.3637497,1.944823,0.2777509,-0.5760488,1.849009,-0.1404257,-0.08052862,1.933438,-0.165347,-0.3521084,1.915351,-0.1543099,-0.5688076,1.823592,0.1211609,-0.5512303,1.864992,0.1604415,-0.8786757,1.824873,0.1163133,-1.187077,2.143369,-0.0252481,-0.5573594,1.852935,-0.02770828,-0.8863456,1.833791,0.03247086,-1.296608,2.007463,0.1553417,-1.123725,1.990289,0.06675541,-1.374599,1.939705,0.2670087,-0.6362033,1.821851,-0.1391958,-0.6217505,1.804773,0.274725,-0.7020692,1.80224,-0.1465966,-0.7026639,1.797291,0.04882449,-0.5643222,1.89254,0.0359855,-0.2608779,1.918249,0.02669385,-0.03806298,1.929061,-1,-1,High,High,0.3086199,-0.6239215,1.824143,-0.1905974,-0.6266811,1.815082,-0.02075386,0.9991045,0.003270338,0.03672586,0.7960628,0.5986895,0.07555144,0.04633389,0.715618,0.04513576,0.692742,-0.07721429,0.5654372,-0.126344,0.7944056,-0.182312,0.7891145,-0.6139225,-0.01992382,0.0005782725,0.8271445,-0.01926963,-0.5591498,-0.05302905,-0.5225899,-0.1808885,0.8287446,0.08579914,0.6381751,0.7464536,-0.09668598,-0.1618375,0.6239675,-0.01009027,0.7768347,-0.08420526,0.6087674,0.2556745,0.6895703,0.2975323,-0.6639521,0.7045141,-0.1336483,0.212051,0.7179076,0.0175371,-0.6955217,-0.02346817,0.7766989,-0.06565291,-0.5941703,0.1984694,0.6086196,-0.2142075,0.7611662,-0.06575187,-0.5486066,-0.2115585,0.8086914,-0.01708467,-0.01937822,0.9980857,0.04303052,0.03997312,-0.01946437,0.9981638,0.04299162,0.03797388,-0.0199249,0.99883,0.02496683,0.03630715,-20,10,5
0.238531,0.02434002,0.1796711,1.901604,0.02412289,0.03479287,1.929669,0.1959289,-0.0874691,1.958831,0.2436531,-0.3635933,1.944885,0.2783536,-0.5758289,1.848966,-0.1396394,-0.08028229,1.934062,-0.1646143,-0.3521078,1.915468,-0.1529977,-0.5690451,1.823274,0.121807,-0.5511556,1.865049,0.1607345,-0.8786449,1.824885,0.1170432,-1.181197,2.148821,-0.02459796,-0.5572459,1.853128,-0.02723862,-0.8862566,1.833664,0.03783272,-1.294045,2.011059,0.1561727,-1.122044,1.994244,0.07434435,-1.371976,1.946376,0.2664199,-0.6367693,1.823126,-0.1387022,-0.6220614,1.806552,0.2754912,-0.7023131,1.801822,-0.1447687,-0.7057553,1.798397,0.04948412,-0.5642259,1.892669,0.0365831,-0.2608417,1.918458,0.02720102,-0.03807468,1.929299,-1,-1,High,High,0.3101634,-0.6341693,1.824346,-0.1909291,-0.6362771,1.821182,-0.02100036,0.9991073,0.003306291,0.03650441,0.7954643,0.5993883,0.07597879,0.04687539,0.713817,0.04379188,0.6946592,-0.07743466,0.5691149,-0.1255022,0.7916833,-0.1832895,0.7887651,-0.6143429,-0.02074838,0.001377171,0.8290421,-0.0189971,-0.5562741,-0.05373481,-0.510767,-0.1832433,0.8358998,0.08252599,0.6382492,0.7462731,-0.09696074,-0.1622131,0.6265815,-0.01019569,0.7747636,-0.08386225,0.6065748,0.2620224,0.68681,0.3028254,-0.6639426,0.7046271,-0.1332777,0.2119386,0.7079316,0.01801552,-0.7056516,-0.02375061,0.7816895,-0.0617935,-0.5853431,0.2061957,0.616893,-0.2099272,0.7566158,-0.05390905,-0.5368734,-0.1938036,0.8207219,-0.02495227,-0.01949741,0.9980953,0.04316504,0.03952714,-0.01957927,0.9981685,0.04312797,0.03763344,-0.02013471,0.9988323,0.02503782,0.03608036,-20,0,5
0.2723578,0.02480588,0.1798943,1.901949,0.02449947,0.03486595,1.929771,0.1966549,-0.08735344,1.959113,0.2443407,-0.3638749,1.944713,0.2792052,-0.5759169,1.848381,-0.1388517,-0.08030879,1.934044,-0.1638288,-0.3523968,1.915324,-0.1513534,-0.5694607,1.822531,0.1225483,-0.5509962,1.864735,0.1621086,-0.8784062,1.82477,0.1180905,-1.184279,2.145616,-0.02376319,-0.5569993,1.85268,-0.02675227,-0.8859941,1.833447,0.03800258,-1.293144,2.012275,0.1564921,-1.122015,1.991925,0.07477047,-1.371374,1.949275,0.267324,-0.6369281,1.82148,-0.1373762,-0.6222214,1.80496,0.2754864,-0.7021362,1.800501,-0.1430832,-0.7060378,1.799113,0.05028558,-0.5640229,1.892296,0.037147,-0.2607103,1.918383,0.02761882,-0.03798846,1.929364,-1,-1,High,High,0.3140352,-0.6403795,1.829637,-0.1862338,-0.6036123,1.822,-0.02127561,0.9990878,0.003580324,0.03685428,0.7951983,0.5996552,0.07658682,0.04698695,0.7127275,0.04299157,0.6957723,-0.0779239,0.5303656,-0.1347298,0.8178755,-0.1778759,0.7891226,-0.6138831,-0.02078336,0.00108945,0.831004,-0.0190449,-0.5533304,-0.05380774,-0.5044509,-0.1856532,0.8394289,0.08013343,0.638449,0.74613,-0.09662345,-0.1622862,0.6245849,-0.009577541,0.7763235,-0.0844032,0.6074721,0.258505,0.6886925,0.2997588,-0.6637757,0.7045582,-0.1331554,0.2127656,-0.7063967,-0.01744766,0.7071993,0.02384022,0.783185,-0.06246385,-0.5827803,0.2075733,0.5782311,-0.2173761,0.7848915,-0.04839232,-0.5287679,-0.1987774,0.8249112,-0.02033486,-0.01984881,0.9980457,0.0436847,0.04003047,-0.01993536,0.998123,0.04364527,0.03805218,-0.02044515,0.9988051,0.0253741,0.03642215,-20,5,5
0.3142864,0.0252541,0.1799553,1.902044,0.02469476,0.03487203,1.929776,0.1973734,-0.08725362,1.959357,0.2447207,-0.3633844,1.944687,0.2792331,-0.5755736,1.848568,-0.1384772,-0.08030294,1.934206,-0.163155,-0.3524782,1.915439,-0.150722,-0.569491,1.822398,0.1230707,-0.5508679,1.864705,0.1624651,-0.8782972,1.825013,0.1177013,-1.182691,2.147116,-0.02321689,-0.5568858,1.852678,-0.02651315,-0.8858909,1.833292,0.04099295,-1.294739,2.00755,0.153569,-1.119379,1.993018,0.07865623,-1.37136,1.940585,0.2669097,-0.6371125,1.821811,-0.1372322,-0.6220629,1.805961,0.2745698,-0.7033638,1.803007,-0.1437334,-0.7077219,1.803205,0.05083177,-0.5638992,1.892283,0.03752308,-0.2606512,1.918386,0.02785751,-0.03797114,1.929369,-1,-1,High,High,0.3128015,-0.6428,1.822454,-0.1849665,-0.6068135,1.818418,-0.02157615,0.9990819,0.00358899,0.03683828,0.7947977,0.6001246,0.07686707,0.04731364,0.7134901,0.04236975,0.6950293,-0.07791668,0.5617544,-0.1277816,0.7968463,-0.1820432,0.7891922,-0.6137825,-0.02108593,0.001449368,0.8298739,-0.01842547,-0.5550645,-0.05360166,-0.5132314,-0.1851871,0.8339682,0.08243959,0.6383915,0.7461457,-0.09676921,-0.1623534,0.6243519,-0.009440904,0.7765616,-0.08395054,0.6064803,0.259501,0.6883789,0.3016213,-0.6638466,0.7044981,-0.1330191,0.2128288,0.7104102,0.01714154,-0.7031548,-0.02442994,0.7839027,-0.05676625,-0.583305,0.2050111,0.6096371,-0.21484,0.7611389,-0.05342246,-0.5377958,-0.1898917,0.8211562,-0.02047772,-0.02013438,0.9980413,0.04372898,0.03994867,-0.02021987,0.9981176,0.04368951,0.03799643,-0.02075671,0.998799,0.02539496,0.03639928,-20,5,0
