time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0210321,0.2047159,0.1838921,2.043062,0.2167388,0.03826243,2.060692,0.3797899,-0.08340162,2.059883,0.456217,-0.3386089,2.087323,0.5024496,-0.560545,1.966326,0.04622987,-0.08470605,2.096124,0.01914567,-0.3567784,2.077913,-0.001281243,-0.5707212,1.984657,0.3035298,-0.5507349,1.972963,0.3404172,-0.8441169,1.921116,0.3824444,-1.220353,1.995947,0.1605482,-0.5624007,1.985057,0.1700645,-0.8827808,1.960378,0.1974507,-1.228119,2.062165,0.3756498,-1.275356,1.877803,0.1904117,-1.293391,1.952695,0.495756,-0.6320374,1.940353,0.005693016,-0.6304513,1.956432,0.4923547,-0.7033494,1.926494,0.01146589,-0.709703,1.949011,0.2358544,-0.5656239,2.011086,0.2265791,-0.2603779,2.042325,0.2193974,-0.03538096,2.058331,-1,-1,Low,High,0.4989057,-0.6802642,1.95934,0.05230937,-0.6109645,1.975714,-0.01879563,0.9985143,0.01511089,-0.04886321,0.801952,0.5971225,0.01657465,-0.006562529,0.7391109,0.1424129,0.655879,-0.05706449,0.01133242,-0.2427796,0.9652485,-0.0960463,0.7904024,-0.6023024,-0.09651426,0.056399,0.7108766,-0.01188681,-0.7007818,-0.05846259,0.4042412,-0.2037215,0.8906139,-0.04351697,0.6216856,0.7380062,-0.1392074,-0.2224303,0.7318437,-0.01331099,0.6730857,-0.1057504,0.7337369,0.1062605,0.670155,0.03508715,-0.6882269,0.7039525,-0.07832029,0.1570373,-0.673987,-0.03835267,0.737595,0.01497835,-0.6682477,0.07915815,0.7291533,-0.1245572,0.02906493,-0.1740896,0.9835111,0.0394202,0.3902532,-0.1781925,0.8929004,-0.1366705,-0.01741672,0.9975656,0.05021559,-0.04514346,-0.01752375,0.9974671,0.05017834,-0.04727031,-0.01765196,0.9980305,0.0346634,-0.0492131,-15,-5,10
0.0554657,0.2046992,0.1839317,2.04319,0.2167848,0.03826942,2.060739,0.3796184,-0.08338386,2.059564,0.4560041,-0.338735,2.087077,0.5019765,-0.5605378,1.96635,0.04621961,-0.08441654,2.096485,0.01919079,-0.3567814,2.077958,-0.001282871,-0.5706511,1.984525,0.3034952,-0.5507134,1.973022,0.3400885,-0.8452274,1.92099,0.3790892,-1.220589,1.996414,0.160505,-0.562407,1.985267,0.1695439,-0.8816774,1.960269,0.1950926,-1.223979,2.075081,0.3714392,-1.275763,1.878421,0.1877847,-1.294417,1.970979,0.4952106,-0.6312592,1.9395,0.00565442,-0.6313679,1.956368,0.4915949,-0.7031814,1.926844,0.01104966,-0.7113299,1.952922,0.2358098,-0.5656104,2.011218,0.2266054,-0.2603515,2.042443,0.219441,-0.03537245,2.058398,-1,-1,Low,High,0.4971225,-0.6781862,1.953513,0.06158014,-0.5920874,1.9613,-0.01878826,0.9984695,0.01496653,-0.04981718,0.8020681,0.5969857,0.01556898,-0.00723921,0.7395113,0.1424066,0.6554522,-0.05679605,0.01818859,-0.2417979,0.9652615,-0.09733111,0.7898337,-0.6029082,-0.09707505,0.05692793,0.710354,-0.01135294,-0.7012967,-0.05874675,0.5979248,-0.1886609,0.7738979,-0.08930247,0.621636,0.7379193,-0.1394396,-0.2227115,0.732267,-0.01377166,0.6726926,-0.1052622,0.7352268,0.1040616,0.6686699,0.03864139,-0.6883423,0.7039552,-0.07804982,0.1566529,-0.6735575,-0.03835822,0.7379677,0.01589453,-0.6649307,0.09464464,0.7285125,-0.1348304,0.03804353,-0.1815069,0.9819056,0.0383315,0.5881897,-0.1392473,0.7779559,-0.1715449,-0.01732631,0.9975443,0.05018815,-0.04567574,-0.01744381,0.9974346,0.05014744,-0.04801201,-0.01764264,0.9979876,0.0345355,-0.05016713,-15,5,5
0.0878944,0.2047034,0.1839606,2.04323,0.2167904,0.03827293,2.060728,0.3796812,-0.08342849,2.059699,0.4560485,-0.3391218,2.08654,0.5014989,-0.5607327,1.966474,0.04623828,-0.08490207,2.095962,0.01922055,-0.3567762,2.077996,-0.001236346,-0.5706525,1.984576,0.3034671,-0.5507618,1.973068,0.3401717,-0.8455737,1.920745,0.376757,-1.220679,1.996989,0.1604302,-0.5624933,1.985591,0.1694328,-0.8818243,1.960289,0.1953011,-1.223985,2.075323,0.3687843,-1.276067,1.879171,0.1882864,-1.294484,1.971272,0.4951726,-0.6337146,1.939611,0.005692125,-0.6323541,1.95689,0.4934451,-0.703698,1.929371,0.01194158,-0.7123932,1.952102,0.2357565,-0.5656815,2.01138,0.2266062,-0.260357,2.042485,0.2194426,-0.03537212,2.058397,-1,-1,Low,High,0.4940504,-0.6851464,1.9482,0.05949938,-0.5978397,1.966891,-0.01874332,0.9985147,0.01491117,-0.04893715,0.8021057,0.5969278,0.01595086,-0.007021009,0.7408854,0.1415069,0.6540427,-0.05738082,0.002362596,-0.2424926,0.9657331,-0.09247354,0.790797,-0.6019037,-0.09600165,0.05599777,0.7105324,-0.0120944,-0.7011567,-0.05811024,0.4851998,-0.1991501,0.8491344,-0.06238016,0.621496,0.7378614,-0.1399009,-0.2230048,0.7328539,-0.01385057,0.6719924,-0.1056381,0.7354428,0.1025174,0.6684923,0.0416204,-0.6884663,0.7040873,-0.07751513,0.1557776,-0.6728376,-0.03867745,0.7386005,0.01621601,-0.6656064,0.0944557,0.7277972,-0.1354902,0.01946136,-0.1757707,0.9835148,0.03774154,0.4747618,-0.1568454,0.8534663,-0.1469557,-0.01727347,0.9975124,0.04997111,-0.04662161,-0.01734528,0.9974443,0.04994623,-0.04805524,-0.01760539,0.9980348,0.03445662,-0.04928588,-15,0,5
0.1215198,0.2046839,0.1838866,2.043365,0.2168837,0.03825938,2.060952,0.3802318,-0.08350161,2.060595,0.456038,-0.3393275,2.086525,0.5011918,-0.5607123,1.966482,0.04623358,-0.08492395,2.096043,0.01934933,-0.3565963,2.078077,-0.001053668,-0.5704674,1.98463,0.3035085,-0.5507797,1.973412,0.3403053,-0.8469588,1.920663,0.3753875,-1.220767,1.997254,0.1604439,-0.5625167,1.985856,0.1688903,-0.8800828,1.95999,0.1949428,-1.22398,2.075289,0.3674187,-1.276193,1.879464,0.1882638,-1.294526,1.971273,0.4953875,-0.6337494,1.940463,0.005113762,-0.6308305,1.958117,0.4959842,-0.701753,1.929762,0.007837559,-0.7100105,1.950641,0.2357812,-0.5657019,2.011705,0.2266983,-0.2603542,2.042832,0.2195392,-0.03538695,2.058662,-1,-1,Low,High,0.4874659,-0.6685996,1.954167,0.06129285,-0.5906478,1.961318,-0.01873468,0.9985775,0.01465983,-0.04771937,0.8019429,0.597125,0.01723959,-0.005651812,0.7408968,0.1395916,0.6543853,-0.05801687,-0.0679147,-0.2487416,0.963343,-0.07406375,0.7908639,-0.6019393,-0.09531937,0.0558355,0.7103763,-0.01191601,-0.7013282,-0.05798646,0.6052331,-0.1877341,0.768197,-0.09122626,0.6215242,0.7378828,-0.1397393,-0.2229563,0.7326476,-0.01418059,0.6721907,-0.1057645,0.7350116,0.1017481,0.668973,0.04336317,-0.688459,0.7040184,-0.07774979,0.1560039,-0.6729807,-0.038951,0.738425,0.01755528,-0.6665908,0.09392235,0.7269828,-0.135394,-0.05587929,-0.1674984,0.9831413,0.04748691,0.5970017,-0.1330714,0.7742015,-0.1627663,-0.01715051,0.997525,0.05001438,-0.04634973,-0.01719911,0.9974795,0.04999768,-0.0473192,-0.01754623,0.9981008,0.0342992,-0.04806943,-15,0,5
0.1543809,0.2047671,0.1838753,2.043907,0.2171758,0.03828104,2.061504,0.3802395,-0.0834925,2.060635,0.4551209,-0.3377119,2.087265,0.5008298,-0.5608208,1.966577,0.04613024,-0.08460397,2.097289,0.019378,-0.3565662,2.078268,-0.0007606776,-0.57055,1.985051,0.3033472,-0.550844,1.973774,0.3403532,-0.8472062,1.920636,0.3727552,-1.221002,1.997435,0.1603831,-0.5625008,1.986095,0.1686793,-0.8825268,1.960549,0.1912619,-1.224161,2.075878,0.3638073,-1.276501,1.879741,0.1832622,-1.294697,1.971932,0.4952902,-0.6341056,1.940955,0.004801396,-0.6320702,1.960797,0.4957607,-0.7014383,1.928896,0.007966488,-0.7109518,1.953134,0.2356676,-0.5657209,2.012018,0.2267824,-0.2603319,2.043302,0.2197776,-0.03537072,2.059204,-1,-1,Low,High,0.4945811,-0.6773412,1.955267,0.05951619,-0.5976754,1.965813,-0.0183956,0.9985058,0.01471014,-0.04930956,0.8020995,0.5969363,0.01609589,-0.00665421,0.7393951,0.139923,0.6561384,-0.05655771,0.02775656,-0.2396712,0.9654213,-0.09873736,0.7899905,-0.6027612,-0.09676226,0.05684181,0.7111112,-0.01044029,-0.7005129,-0.05910691,0.5859943,-0.1891834,0.7831396,-0.08667576,0.6217484,0.7376997,-0.1394573,-0.223114,0.732279,-0.01439971,0.6724905,-0.1063799,0.7369051,0.09924711,0.6670716,0.04622131,-0.6882648,0.7040652,-0.07802266,0.1565127,-0.6733018,-0.03812235,0.7381823,0.0172741,-0.6641138,0.09830805,0.7292198,-0.1323896,0.04343212,-0.1684858,0.9843279,0.02871942,0.5799252,-0.1249821,0.7919627,-0.1444351,-0.01681824,0.997535,0.05028262,-0.04596411,-0.01691606,0.9974437,0.0502498,-0.04790517,-0.01726747,0.9980227,0.03445023,-0.04965498,-15,5,5
0.1880465,0.2047915,0.1838299,2.043827,0.217188,0.03827865,2.061512,0.3802165,-0.08348498,2.060677,0.4550847,-0.3379853,2.087341,0.5005485,-0.5607923,1.966733,0.04616133,-0.08494757,2.097179,0.01952597,-0.3566228,2.078474,-0.0006904263,-0.5705879,1.98523,0.303233,-0.5509471,1.973898,0.3401287,-0.8485562,1.920573,0.3720115,-1.221186,1.997373,0.1601009,-0.5626976,1.986631,0.1681859,-0.8863172,1.963225,0.1905074,-1.225906,2.073592,0.3630046,-1.276626,1.879637,0.1823421,-1.294515,1.967552,0.4955076,-0.6332614,1.940886,0.006127561,-0.6311898,1.961863,0.4970123,-0.7017485,1.930157,0.008851821,-0.7116851,1.955302,0.2354694,-0.5658723,2.012326,0.2267563,-0.2603676,2.043421,0.2197871,-0.03537828,2.059228,-1,-1,Low,High,0.501203,-0.6754473,1.945,0.06044637,-0.5932929,1.963082,-0.01836906,0.9985164,0.01460995,-0.04913319,0.8020918,0.5969501,0.01602049,-0.006528992,0.7396122,0.1398194,0.65593,-0.05639306,0.07960861,-0.2342076,0.9625286,-0.1111215,0.7905979,-0.6020427,-0.09634823,0.05671463,0.710429,-0.01064633,-0.7012422,-0.05862322,0.6228402,-0.1849694,0.7541394,-0.09555181,0.621533,0.7376422,-0.1400439,-0.2235362,0.7332427,-0.01453619,0.6714857,-0.10607,0.7368945,0.09904942,0.6670706,0.04682467,-0.6885582,0.7041709,-0.07726039,0.1551188,-0.6724129,-0.03507994,0.7391909,0.01506132,-0.6648369,0.09421859,0.7297821,-0.1285799,0.0979161,-0.172643,0.9799732,0.01610643,0.6169719,-0.1083327,0.7637525,-0.1558583,-0.01658787,0.9974908,0.04994916,-0.04735183,-0.01664633,0.9974347,0.04992972,-0.04851932,-0.01717032,0.9980404,0.03424316,-0.04947595,-15,5,5
0.220508,0.2048123,0.1838564,2.04385,0.2171945,0.03829636,2.061522,0.3803054,-0.08347711,2.060905,0.4551095,-0.3383278,2.087418,0.500505,-0.5609416,1.966779,0.04617859,-0.0848316,2.09763,0.01962363,-0.3566528,2.078639,-0.0005272782,-0.5707234,1.985656,0.3031979,-0.5509292,1.974,0.3400282,-0.8497792,1.920521,0.3828003,-1.220807,1.994041,0.1601514,-0.5626487,1.986815,0.1671451,-0.8807243,1.962377,0.1880209,-1.230897,2.057676,0.3761255,-1.27522,1.875453,0.1789329,-1.293364,1.945697,0.4953717,-0.6348767,1.941414,0.006384856,-0.6319764,1.96197,0.4961302,-0.7059325,1.934006,0.009468398,-0.7083372,1.953017,0.2354686,-0.5658392,2.012474,0.2267705,-0.2603274,2.043509,0.2197954,-0.03535715,2.059252,-1,-1,Low,High,0.4860221,-0.6689734,1.950167,0.0600385,-0.5931674,1.961104,-0.01838077,0.9985046,0.01450833,-0.04939741,0.8020685,0.5969829,0.01620108,-0.005909487,0.7394559,0.1393553,0.6561956,-0.056502,-0.08928278,-0.2502067,0.9616284,-0.06852673,0.7903371,-0.6021971,-0.09694766,0.05768081,0.7104626,-0.01017281,-0.7011955,-0.05885724,0.7218073,-0.169372,0.660228,-0.1200258,0.6215317,0.7375312,-0.140348,-0.2237151,0.7334847,-0.01469309,0.671267,-0.1057585,0.7335229,0.1072993,0.6702998,0.0336027,-0.6884767,0.7042811,-0.07724471,0.1549871,-0.6720758,-0.03573718,0.7394086,0.01766181,-0.6666788,0.07836963,0.7329363,-0.1104621,-0.07998391,-0.16099,0.9826125,0.04644953,0.6945416,-0.0913963,0.6938271,-0.1669213,-0.01657358,0.997482,0.04984725,-0.04764679,-0.01663117,0.9974263,0.04982806,-0.04879943,-0.01718707,0.998032,0.03409983,-0.04973964,-15,0,5
0.2544567,0.2048319,0.1838252,2.043769,0.2172188,0.03837391,2.061658,0.3803027,-0.08357952,2.060722,0.4550181,-0.3385929,2.087482,0.5003026,-0.56078,1.967005,0.04638815,-0.08501543,2.097296,0.0196405,-0.356677,2.078653,-0.0002066247,-0.5708836,1.985955,0.3031662,-0.5509719,1.974004,0.3398105,-0.8501312,1.920309,0.3773738,-1.220929,1.99613,0.1601091,-0.5627539,1.987017,0.16677,-0.8810593,1.96286,0.1893077,-1.231663,2.055494,0.3696528,-1.276081,1.878129,0.1806082,-1.293174,1.942624,0.4950959,-0.6351992,1.940738,0.007704826,-0.6300606,1.963709,0.4941511,-0.7060406,1.930653,0.01278669,-0.7138516,1.960535,0.2354289,-0.5659069,2.012551,0.2267681,-0.2603201,2.043629,0.2198126,-0.035301,2.059389,-1,-1,Low,High,0.5209219,-0.6152622,1.941286,0.06013211,-0.5987365,1.96245,-0.0183263,0.9985101,0.01450004,-0.04931033,0.8023617,0.5965954,0.0156522,-0.006681899,0.7391562,0.1394304,0.656554,-0.05607324,0.573719,-0.1411637,0.7768522,-0.2177611,0.7909288,-0.6016153,-0.09627871,0.05675467,0.7126073,-0.01105652,-0.6990196,-0.05865359,0.6462758,-0.1804366,0.7345427,-0.1010805,0.6214067,0.7374973,-0.1405385,-0.2240545,0.7339652,-0.01506612,0.6707402,-0.1057143,0.7349601,0.104266,0.6688066,0.04074239,-0.6886989,0.7042377,-0.07672235,0.1544567,-0.6715646,-0.03504919,0.7399045,0.01771447,-0.6676809,0.07397624,0.7325864,-0.1097587,0.617957,-0.1522382,0.767201,-0.0797198,0.64073,-0.09347497,0.7442205,-0.1639008,-0.01654716,0.9974462,0.0498966,-0.04834894,-0.01658531,0.997409,0.04988393,-0.04911144,-0.01713865,0.998036,0.03413303,-0.04965223,-20,20,5
0.2876218,0.2048587,0.1838642,2.043813,0.2173052,0.03846704,2.061798,0.3803477,-0.08367914,2.060689,0.4548412,-0.3390819,2.08778,0.5000566,-0.5607073,1.967318,0.04646905,-0.08493096,2.097725,0.01965835,-0.3565668,2.078805,0.0004085057,-0.5710787,1.986771,0.3027373,-0.5510851,1.974209,0.3397397,-0.8502039,1.920202,0.3733591,-1.221624,1.995003,0.1598022,-0.5627435,1.98736,0.1652827,-0.8845325,1.966999,0.1880225,-1.230662,2.062029,0.364553,-1.276346,1.876714,0.1793146,-1.293287,1.950127,0.4946817,-0.6356986,1.941205,0.009107388,-0.6313315,1.964128,0.4933444,-0.7064271,1.931475,0.01438223,-0.7140526,1.962002,0.2350544,-0.5659578,2.01284,0.2266985,-0.2602763,2.043828,0.2198599,-0.03522628,2.05954,-1,-1,Low,High,0.5225127,-0.6254051,1.942444,0.0602314,-0.6094135,1.97,-0.01806349,0.9984829,0.01442668,-0.04997579,0.8026719,0.5961906,0.01505785,-0.006912588,0.7382907,0.1392691,0.6576148,-0.05544344,0.5683743,-0.1429929,0.7806149,-0.2171268,0.7908412,-0.601597,-0.09677178,0.05732825,0.7157384,-0.01105065,-0.6957799,-0.05904867,0.4912659,-0.1946974,0.846521,-0.06444451,0.6216097,0.7371101,-0.1409648,-0.2244975,0.7341548,-0.01493711,0.670414,-0.1064837,0.7368245,0.09934822,0.6673305,0.04346969,-0.6883995,0.7045889,-0.07677437,0.1541634,-0.6714107,-0.02910955,0.7403631,0.01492104,-0.6668336,0.07713894,0.7324796,-0.1133848,0.6129872,-0.1516573,0.7715962,-0.0767208,0.4839496,-0.1208499,0.8541771,-0.1468656,-0.01606415,0.9974372,0.04975251,-0.04884209,-0.01610627,0.9973955,0.04973889,-0.04968673,-0.01689513,0.9980108,0.03402528,-0.05031206,-15,10,5
0.3226995,0.2048813,0.1838714,2.043855,0.2173259,0.0384552,2.061803,0.3803565,-0.08383244,2.060652,0.4546804,-0.3395104,2.087826,0.49976,-0.5606025,1.967505,0.04650903,-0.08474094,2.098105,0.01969817,-0.3564855,2.078936,0.000521665,-0.571282,1.987643,0.3021884,-0.5512137,1.974221,0.3397304,-0.8502145,1.92013,0.3690768,-1.221767,1.996195,0.1594238,-0.5627484,1.987567,0.162871,-0.8770265,1.965285,0.1921713,-1.22696,2.071602,0.3592172,-1.276853,1.878235,0.1853228,-1.294026,1.96386,0.4945897,-0.6352355,1.940606,0.009356508,-0.6322448,1.965857,0.4907533,-0.7057287,1.928304,0.01686046,-0.7118347,1.957651,0.234595,-0.5660205,2.012966,0.2266212,-0.2602959,2.043877,0.2198643,-0.03523528,2.059548,-1,-1,Low,High,0.5253346,-0.6267846,1.9475,0.06121464,-0.5928722,1.95252,-0.01796029,0.9984564,0.01439517,-0.05054705,0.8029214,0.5958635,0.01474127,-0.006838752,0.7378793,0.1389717,0.658163,-0.05515935,0.49242,-0.163032,0.8305549,-0.2027847,0.7904257,-0.6019648,-0.0974113,0.05810853,0.7162749,-0.01077513,-0.6952071,-0.05934082,0.7844678,-0.1526322,0.5858554,-0.1344887,0.6217846,0.7366403,-0.14153,-0.2251984,0.7344829,-0.01431695,0.6699522,-0.1072102,0.7384559,0.09615344,0.6656303,0.04872254,-0.6881192,0.7049506,-0.07674844,0.1537734,-0.6706746,-0.02990374,0.7408872,0.01968636,-0.6671684,0.08088391,0.7292226,-0.1287573,0.533017,-0.1623496,0.8278148,-0.06525316,0.7674772,-0.0522959,0.6144035,-0.1753633,-0.01547038,0.997417,0.04964145,-0.04955554,-0.01550895,0.9973782,0.04962941,-0.05033066,-0.01672844,0.997988,0.03393257,-0.05087999,-20,5,5
