time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0229694,0.05266446,0.1964924,1.859361,0.05148216,0.04845465,1.883154,0.2248482,-0.06969983,1.921126,0.2910757,-0.3331986,1.935129,0.3414685,-0.5407451,1.837169,-0.108111,-0.07083002,1.878532,-0.1518112,-0.3367901,1.860978,-0.1715113,-0.5472946,1.757152,0.1540304,-0.53944,1.812158,0.1930432,-0.8578941,1.775461,0.2093252,-1.272047,1.929012,0.008604531,-0.5435635,1.799066,-0.004517544,-0.8639857,1.772471,-0.02211941,-1.311018,1.777504,0.2216218,-1.350885,1.855375,-0.01011082,-1.342058,1.643145,0.339221,-0.6190566,1.810705,-0.1696083,-0.6066814,1.721649,0.3370916,-0.6894861,1.797273,-0.1573711,-0.6785874,1.705177,0.08277471,-0.5515531,1.839201,0.06696633,-0.2475336,1.868502,0.05534497,-0.02444896,1.881919,-1,-1,High,High,0.3113995,-0.6260805,1.781093,-0.1382814,-0.610118,1.69736,-0.02588982,0.9977106,0.01007401,0.06165853,0.784491,0.6087452,0.1021451,0.05974542,0.7048201,0.1054147,0.6982149,-0.06791448,0.8524309,0.1997188,-0.4636869,-0.1358984,0.7977635,-0.6027049,-0.005847312,-0.01691015,0.7607829,-0.04096185,-0.6430789,-0.07733718,0.8435088,-0.1501762,0.4851228,-0.174917,0.6423439,0.7427758,-0.09440354,-0.1636045,0.6683618,-0.001638552,0.7391665,-0.08320194,0.6595335,0.1435435,0.7304192,0.1043966,-0.6603237,0.7062048,-0.1296705,0.220075,0.736056,0.01292684,-0.6753473,-0.0442794,0.7406091,-0.01835333,-0.6716244,-0.009050233,0.8507121,0.07027555,-0.4997982,-0.1468062,0.8274038,-0.1242347,0.4943663,-0.2357343,-0.02372049,0.9975222,0.04908033,0.04447286,-0.02332572,0.9971331,0.04926918,0.05247936,-0.02410107,0.9973398,0.0315337,0.0611394,-20,5,5
0.0552964,0.0527422,0.1964653,1.859501,0.05153212,0.04843673,1.883308,0.2249315,-0.06969787,1.921161,0.2909119,-0.3333424,1.935315,0.3411608,-0.5411129,1.837837,-0.1078997,-0.07077666,1.878579,-0.1520902,-0.3363889,1.859255,-0.172419,-0.5467407,1.75524,0.1542767,-0.5394117,1.812186,0.1930704,-0.8578966,1.775351,0.21085,-1.272275,1.928181,0.008816557,-0.5434532,1.798963,-0.004418035,-0.863856,1.772703,-0.02216758,-1.310861,1.778197,0.2237779,-1.350809,1.854038,-0.01017923,-1.342013,1.643882,0.3392223,-0.6191558,1.811218,-0.1702742,-0.6072925,1.720592,0.3335526,-0.6894557,1.797024,-0.1589937,-0.6780986,1.703859,0.08300494,-0.5514869,1.839164,0.06708203,-0.247512,1.868565,0.05541103,-0.02445556,1.882045,-1,-1,High,High,0.3112929,-0.6205622,1.78375,-0.1397139,-0.6086981,1.693989,-0.02599148,0.9977059,0.01027787,0.06165756,0.7844826,0.6087908,0.1021128,0.05944668,0.7047913,0.1052404,0.6983223,-0.06737696,0.855369,0.1981161,-0.458832,-0.1362616,0.7977308,-0.6027402,-0.00583158,-0.01719883,0.7607649,-0.03957822,-0.6428001,-0.08048835,0.8663315,-0.1427704,0.442714,-0.1819084,0.6425735,0.7426763,-0.09406798,-0.1633477,0.6686146,-0.001998091,0.7389498,-0.08308838,0.6581573,0.1442619,0.7318201,0.1022591,-0.6601466,0.7062373,-0.1296799,0.2204958,0.7364078,0.01242506,-0.6749895,-0.04402516,0.7405859,-0.01882265,-0.6716406,-0.008779914,0.8538988,0.07159394,-0.4939185,-0.1475659,0.8525742,-0.1068746,0.4548521,-0.234104,-0.02387995,0.9974882,0.04926764,0.04494164,-0.02349525,0.9971076,0.04945226,0.05271419,-0.02420586,0.9973327,0.03168396,0.06113685,-15,10,5
0.0893751,0.05284792,0.1966094,1.859798,0.05159531,0.04849692,1.883458,0.2248837,-0.06963211,1.921247,0.2908453,-0.3335799,1.935597,0.3409822,-0.5418602,1.839322,-0.1077609,-0.07088818,1.878685,-0.1523272,-0.336467,1.858138,-0.1731344,-0.5469545,1.754565,0.154844,-0.539427,1.812404,0.1930852,-0.8579839,1.775431,0.2092107,-1.272412,1.928322,0.009330855,-0.543424,1.799088,-0.004214441,-0.8638182,1.772789,-0.02237371,-1.31081,1.778229,0.22155,-1.351086,1.854388,-0.01045631,-1.341959,1.643903,0.3392757,-0.6194277,1.813943,-0.1711618,-0.608086,1.722424,0.3369811,-0.6875625,1.797571,-0.1608073,-0.6778062,1.703131,0.08356799,-0.5514793,1.839334,0.06734794,-0.2474608,1.868742,0.05551441,-0.02439718,1.882201,-1,-1,High,High,0.3141649,-0.6203615,1.782375,-0.1653877,-0.5869017,1.684836,-0.02626739,0.9976969,0.01025292,0.06169222,0.7845488,0.6087229,0.1020514,0.05937311,0.705348,0.1054056,0.6977773,-0.06693839,0.8807104,0.1886212,-0.409569,-0.1449984,0.7980385,-0.602332,-0.005691046,-0.01726995,0.7610812,-0.0386876,-0.6422085,-0.08262559,0.9707902,-0.06076596,0.06663955,-0.2223356,0.6426903,0.7426633,-0.093973,-0.163001,0.6682105,-0.00277984,0.7393692,-0.08258454,0.659417,0.1428608,0.7307208,0.1039581,-0.6600978,0.7062262,-0.1295794,0.2207369,0.7366042,0.01209657,-0.6747566,-0.04440021,0.7404706,-0.01911966,-0.6717544,-0.009135718,0.8832342,0.06092916,-0.4415938,-0.1455335,0.9673359,-0.005461522,0.08149892,-0.2399778,-0.02434445,0.9974602,0.0493014,0.04527594,-0.02396716,0.9970852,0.04948591,0.05289355,-0.02456924,0.9973229,0.03165802,0.06116483,-20,5,5
0.1301311,0.05292611,0.1966108,1.859856,0.05177085,0.04856049,1.883627,0.2249113,-0.06962455,1.921265,0.2905089,-0.3339624,1.936649,0.3406382,-0.5422374,1.840385,-0.1076184,-0.07087197,1.878715,-0.1524673,-0.3362505,1.856762,-0.1737241,-0.5469987,1.753911,0.1551802,-0.5393162,1.812574,0.1931285,-0.8579167,1.775352,0.2090195,-1.272099,1.928871,0.009747896,-0.5431388,1.798933,-0.004127779,-0.86352,1.772749,-0.02272557,-1.310489,1.778347,0.2212891,-1.350995,1.855607,-0.01087242,-1.341686,1.644033,0.3389977,-0.6209229,1.813288,-0.171664,-0.6075567,1.721375,0.3374452,-0.6900487,1.802244,-0.1607921,-0.6777714,1.70304,0.08392802,-0.5512987,1.839351,0.06762671,-0.2473371,1.868856,0.05571565,-0.02431955,1.88236,-1,-1,High,High,0.312746,-0.6233701,1.781616,-0.1424544,-0.6082278,1.693057,-0.02644252,0.9976873,0.01034066,0.06175578,0.7847596,0.6084902,0.101994,0.05907035,0.7040798,0.1060101,0.6991282,-0.06521706,0.8641514,0.1940902,-0.4434509,-0.1375592,0.7981145,-0.6022224,-0.005547313,-0.01762498,0.7616881,-0.0375101,-0.6412553,-0.08494539,0.8751053,-0.1399405,0.4262635,-0.1814023,0.6430685,0.7425416,-0.09332844,-0.1624337,0.667281,-0.003475708,0.7402154,-0.08249222,0.6593137,0.1432448,0.7306387,0.1046582,-0.6595536,0.7063307,-0.1300609,0.2217434,0.7374049,0.01154401,-0.673876,-0.04463063,0.7403786,-0.0196009,-0.6718394,-0.009336532,0.8631868,0.07108596,-0.4770427,-0.1492837,0.8640903,-0.09692734,0.4400041,-0.224387,-0.0244151,0.9973941,0.0495006,0.04646209,-0.02406417,0.9970402,0.04967215,0.05351954,-0.0247387,0.9973114,0.03177701,0.06122384,-20,20,0
0.1562624,0.05302119,0.1966623,1.859969,0.05183765,0.04857689,1.883679,0.2250167,-0.06958248,1.921434,0.2903855,-0.3342239,1.937184,0.3403887,-0.54263,1.841192,-0.1074846,-0.0708507,1.878693,-0.1526156,-0.3362733,1.855813,-0.1742771,-0.5470692,1.753189,0.155445,-0.5392481,1.81264,0.193102,-0.8578874,1.775347,0.2101156,-1.271715,1.929616,0.00996675,-0.5430766,1.798843,-0.003367609,-0.8634806,1.772664,-0.02122613,-1.310479,1.778268,0.2229407,-1.350747,1.85691,-0.00921476,-1.341662,1.643967,0.3394544,-0.6199927,1.814161,-0.1723385,-0.6073113,1.720297,0.3368706,-0.6889994,1.800736,-0.1628081,-0.6776463,1.702572,0.08417298,-0.5512336,1.839336,0.06778388,-0.247295,1.868891,0.05580275,-0.02429753,1.88241,-1,-1,High,High,0.3139788,-0.622565,1.781029,-0.1425157,-0.6118553,1.693745,-0.02657986,0.9976666,0.01036453,0.06202783,0.7846701,0.6085415,0.1022787,0.059238,0.7038165,0.1060546,0.6994605,-0.06441841,0.8857714,0.1863194,-0.3989184,-0.1468273,0.7981386,-0.6021868,-0.005409628,-0.01779284,0.7616479,-0.03678882,-0.6411296,-0.08655504,0.8501997,-0.1503095,0.4741404,-0.1725066,0.6431045,0.7426372,-0.09292137,-0.1620871,0.6671935,-0.003872299,0.740322,-0.08222529,0.6576065,0.1450122,0.7319227,0.1039914,-0.6595681,0.7061971,-0.1301783,0.2220567,0.7377881,0.0121365,-0.6734835,-0.04406329,0.7406611,-0.01899715,-0.671553,-0.00876789,0.8874061,0.06767323,-0.4295304,-0.1530829,0.8376286,-0.1116362,0.486879,-0.2210533,-0.02453024,0.9973617,0.04960645,0.04698065,-0.02418483,0.9970109,0.04977576,0.05391214,-0.02488634,0.9972895,0.03182893,0.06149219,-20,10,-5
0.1887702,0.05308744,0.1967073,1.860062,0.05184458,0.04858676,1.88371,0.2250264,-0.06959672,1.921481,0.2901912,-0.33421,1.937776,0.340162,-0.5426916,1.841974,-0.1074127,-0.07082049,1.878677,-0.1526557,-0.3356604,1.855156,-0.1749927,-0.5463629,1.752498,0.1556169,-0.5392485,1.812648,0.1933528,-0.8578736,1.775575,0.2010057,-1.259242,1.958324,0.01013889,-0.543086,1.798775,-0.003245045,-0.8634788,1.772766,-0.02116834,-1.310501,1.778607,0.2090666,-1.345103,1.911239,-0.009140749,-1.34174,1.644323,0.3393565,-0.6204033,1.813609,-0.1730895,-0.6075305,1.72076,0.336194,-0.6874691,1.798473,-0.165301,-0.6774482,1.70319,0.08435427,-0.5512381,1.839304,0.06785266,-0.2472864,1.868908,0.05582059,-0.02428843,1.882437,-1,-1,High,High,0.3141138,-0.6222942,1.781793,-0.1682022,-0.5882987,1.684139,-0.02665113,0.9976578,0.01040113,0.06213221,0.784699,0.6084888,0.1023651,0.05924844,0.7034132,0.1064734,0.6998852,-0.06351352,0.8674906,0.1923296,-0.4374712,-0.1381602,0.7981288,-0.6021969,-0.005344164,-0.01790756,0.7600542,-0.03604275,-0.6428841,-0.08785538,0.9643624,-0.0786918,0.1321563,-0.215285,0.6430908,0.7426988,-0.0927595,-0.1619513,0.6573063,-0.004625967,0.7491306,-0.08203876,0.6607416,0.1621893,0.7200023,0.1367913,-0.6595981,0.7060981,-0.1301946,0.2222732,0.737982,0.01188915,-0.6732844,-0.04392535,0.7407118,-0.01922766,-0.6714923,-0.008618799,0.8656757,0.07863003,-0.4693317,-0.1554046,0.9601067,-0.0220064,0.147786,-0.2363683,-0.02469581,0.9973407,0.0496962,0.04724261,-0.02435379,0.9969926,0.0498647,0.05409379,-0.024995,0.9972794,0.03186151,0.06159461,-20,25,-5
0.2293856,0.05320649,0.1967885,1.86022,0.05183256,0.04859565,1.883741,0.2250844,-0.06968021,1.921553,0.2900274,-0.3344083,1.938274,0.3400177,-0.5429665,1.842701,-0.1073375,-0.07082599,1.878661,-0.1527413,-0.3354371,1.854565,-0.1753888,-0.5461658,1.752064,0.1558743,-0.5392275,1.812781,0.1932989,-0.8578934,1.775606,0.2018643,-1.259221,1.95848,0.01043828,-0.5431008,1.798751,-0.003095233,-0.8635052,1.772407,-0.02121622,-1.310582,1.777786,0.2104217,-1.345057,1.911381,-0.009182443,-1.341713,1.643452,0.3397188,-0.6200775,1.814272,-0.173196,-0.6073678,1.720201,0.3370602,-0.6889457,1.801625,-0.1658618,-0.677853,1.703506,0.08463693,-0.5512338,1.839357,0.06793179,-0.2472752,1.868951,0.05582434,-0.02428039,1.882465,-1,-1,High,High,0.3126636,-0.6265147,1.784487,-0.1444993,-0.610994,1.692643,-0.02675632,0.9976475,0.01042462,0.06224884,0.7848159,0.6083223,0.1024259,0.05930346,0.7027562,0.1066413,0.7005883,-0.06274883,0.8477259,0.197948,-0.474852,-0.1292013,0.7981869,-0.6021186,-0.005227824,-0.01798512,0.7599031,-0.03558845,-0.6429405,-0.08892786,0.83982,-0.1557065,0.4921869,-0.167958,0.6430025,0.7428871,-0.09251902,-0.161576,0.6581451,-0.004974447,0.7484199,-0.08178058,0.659173,0.1632977,0.7213841,0.1357565,-0.6596491,0.7058884,-0.1304112,0.2226602,0.7382985,0.01204581,-0.6728987,-0.04446907,0.7407501,-0.01904329,-0.6714484,-0.009146922,0.8441072,0.08882242,-0.5065693,-0.1515959,0.8285407,-0.1100299,0.5067449,-0.2112419,-0.02500091,0.9973063,0.04970798,0.04779105,-0.02466957,0.9969663,0.04987326,0.05442669,-0.02516172,0.9972687,0.03184218,0.06170928,-20,5,5
0.2589683,0.05326611,0.1967967,1.860251,0.05183658,0.04858803,1.883743,0.2252356,-0.06980015,1.921824,0.2899292,-0.3346392,1.938554,0.3400293,-0.5431048,1.842845,-0.1072314,-0.07084895,1.878524,-0.1528361,-0.3352289,1.853897,-0.1758534,-0.5459422,1.751475,0.1561289,-0.5392454,1.812737,0.1933621,-0.8579332,1.775594,0.2008093,-1.256955,1.963213,0.0107226,-0.5430913,1.798545,-0.003039569,-0.8634819,1.772285,-0.02146555,-1.310574,1.777781,0.208727,-1.343269,1.921182,-0.009335983,-1.341742,1.643466,0.3397343,-0.6202478,1.813824,-0.1749685,-0.6073348,1.721405,0.3353347,-0.6878663,1.79854,-0.1656368,-0.6801936,1.707536,0.08491605,-0.551239,1.839237,0.0680333,-0.2472869,1.868923,0.05583979,-0.02428955,1.882465,-1,-1,High,High,0.3121779,-0.6249198,1.785918,-0.1460636,-0.6081782,1.692346,-0.02682719,0.9976111,0.01045772,0.06279326,0.784842,0.6081565,0.1029904,0.05968005,0.7017065,0.1062038,0.7017226,-0.06256363,0.8434033,0.1994631,-0.482291,-0.1275956,0.7982548,-0.602022,-0.004942557,-0.01828286,0.7595456,-0.03521633,-0.6432347,-0.08999651,0.8760453,-0.1426223,0.4243594,-0.1792274,0.6430713,0.7429212,-0.0922079,-0.1613231,0.6566288,-0.005300434,0.7497774,-0.08151385,0.658965,0.1666213,0.7198458,0.1407994,-0.6595763,0.7057681,-0.1305297,0.2231873,0.7386859,0.01166948,-0.67247,-0.0446204,0.7410352,-0.01938622,-0.6711223,-0.009270362,0.838728,0.09199007,-0.5143075,-0.1534959,0.87015,-0.09556429,0.4379852,-0.204635,-0.02525456,0.9972633,0.04988568,0.04836979,-0.02492311,0.9969204,0.05005209,0.05498377,-0.02533182,0.997228,0.0319293,0.06224969,-20,5,5
0.3010811,0.05334553,0.196854,1.860329,0.05185545,0.04860297,1.883746,0.2253606,-0.06981952,1.922171,0.2898488,-0.3349937,1.939555,0.3400367,-0.5432369,1.843378,-0.1069794,-0.07063729,1.878424,-0.1528598,-0.3350077,1.85375,-0.1760757,-0.5457442,1.751452,0.1564416,-0.5391073,1.812945,0.1934637,-0.8578221,1.775918,0.2013451,-1.25695,1.963384,0.01099737,-0.5430001,1.798451,-0.003171368,-0.8633916,1.77189,-0.02214411,-1.310516,1.776974,0.2097801,-1.343338,1.92059,-0.009920524,-1.341602,1.642629,0.3402733,-0.6202211,1.814735,-0.1745929,-0.608559,1.722978,0.3367247,-0.6884606,1.800827,-0.1637616,-0.6824155,1.706286,0.08519678,-0.551132,1.839278,0.06817508,-0.2472262,1.868945,0.05588136,-0.02426489,1.882473,-1,-1,High,High,0.3137753,-0.6233581,1.784468,-0.1442395,-0.6145902,1.696867,-0.02698092,0.9975675,0.0104579,0.06341652,0.7847601,0.6080937,0.1036451,0.06026126,0.7004713,0.1065531,0.7029914,-0.06155969,0.8669373,0.1932887,-0.4380136,-0.1385762,0.7980381,-0.6023048,-0.004669915,-0.01850179,0.7597181,-0.03557745,-0.6429582,-0.09037458,0.8499474,-0.153043,0.474553,-0.1701964,0.6430002,0.7432446,-0.09148035,-0.1605287,0.6569641,-0.005346376,0.7495226,-0.08115071,0.6571892,0.1671597,0.7215234,0.1398712,-0.6595942,0.7055101,-0.1309423,0.2237074,0.7393011,0.01147166,-0.6717449,-0.04539766,0.7413463,-0.01953293,-0.6707638,-0.01001143,0.8657439,0.08554447,-0.4680816,-0.155143,0.8455679,-0.09639448,0.4902091,-0.1881969,-0.02543651,0.9972088,0.04989759,0.04937484,-0.02511464,0.9968701,0.05006037,0.05579592,-0.02554139,0.9971838,0.03193185,0.06286903,-20,5,5
0.3466642,0.05341102,0.1969239,1.860389,0.05196227,0.04867093,1.883806,0.225454,-0.06981606,1.922458,0.2896986,-0.3351891,1.94028,0.3400517,-0.5433361,1.843992,-0.1066947,-0.07060786,1.878024,-0.1529023,-0.3348613,1.852823,-0.1763306,-0.545822,1.75112,0.1565933,-0.5390799,1.813051,0.1934921,-0.8578122,1.775923,0.1954842,-1.275659,1.921507,0.01118232,-0.542972,1.79842,-0.003131909,-0.863359,1.771843,-0.02229783,-1.310477,1.776904,0.2034333,-1.352974,1.842355,-0.009863728,-1.34157,1.642585,0.3408755,-0.6204305,1.814888,-0.1750163,-0.6086417,1.722287,0.3379676,-0.6893895,1.803078,-0.1636311,-0.6841403,1.709882,0.08536565,-0.5511037,1.839313,0.06834412,-0.2471681,1.869,0.05600815,-0.02419707,1.882534,-1,-1,High,High,0.3140815,-0.6233712,1.784142,-0.1734924,-0.6382254,1.676353,-0.02710732,0.9974988,0.01048103,0.06443291,0.7847753,0.6079365,0.1042728,0.06056543,0.6991399,0.1066236,0.7043675,-0.06083849,0.8739738,0.1914256,-0.4235668,-0.1418343,0.7981801,-0.6020932,-0.003674009,-0.01946497,0.7607406,-0.03556957,-0.6415932,-0.09147073,0.9720187,-0.0378626,-0.05775305,-0.2245232,0.643015,0.7433206,-0.09118297,-0.1602864,0.665034,-0.004711131,0.742375,-0.08116064,0.6700878,0.1239442,0.7232841,0.1117161,-0.6595547,0.7054108,-0.1311829,0.223996,0.7396097,0.01130008,-0.6713962,-0.04557386,0.741901,-0.01968433,-0.6701435,-0.01015885,0.873588,0.08704528,-0.4523256,-0.1570628,0.9758148,0.01979174,-0.04609498,-0.2127649,-0.02540838,0.997184,0.0499382,0.04984571,-0.02507283,0.9968272,0.05010752,0.05653365,-0.02560106,0.9971164,0.03197496,0.06388315,-15,0,0
