time,headposX,headposY,headposZ,neckposX,neckposY,neckposZ,rshoulderposX,rshoulderposY,rshoulderposZ,relbowposX,relbowposY,relbowposZ,rwristposX,rwristposY,rwristposZ,lshoulderposX,lshoulderposY,lshoulderposZ,lelbowposX,lelbowposY,lelbowposZ,lwristposX,lwristposY,lwristposZ,rhipposX,rhipposY,rhipposZ,rkneeposX,rkneeposY,rkneeposZ,rankleposX,rankleposY,rankleposZ,lhipposX,lhipposY,lhipposZ,lkneeposX,lkneeposY,lkneeposZ,lankleposX,lankleposY,lankleposZ,rfootposX,rfootposY,rfootposZ,lfootposX,lfootposY,lfootposZ,rhandposX,rhandposY,rhandposZ,lhandposX,lhandposY,lhandposZ,rhandtipposX,rhandtipposY,rhandtipposZ,lhandtipposX,lhandtipposY,lhandttipposZ,spinebaseposX,spinebaseposY,spinebaseposZ,spinemidposX,spinemidposY,spinemidposZ,spineshoulderposX,spineshoulderposY,spineshoulderposZ,rhandState,lhandState,rhandconfidence,lhandconfidence,rthumbposX,rthumbposY,rthumbposZ,lthumbposX,lthumbposY,lthumbposZ,neckoriX,neckoriY,neckoriZ,neckoriW,rshoulderoriX,rshoulderoriY,rshoulderoriZ,rshoulderoriW,relboworiX,relboxoriY,relboxoriZ,relboworiW,rwristoriX,rwristoriY,rwristoriZ,rwristoriW,lshoulderoriX,lshoulderoriY,lshoulderoriZ,lshoulderoriW,lelboworiX,lelboworiY,lelboworiZ,lelboworiW,lwristoriX,lwristoriY,lwristoriZ,lwristoriW,rhiporiX,rhiporiY,rhiporiZ,rhiporiW,rkneeoriX,rkneeoriY,rkneeoriZ,rkneeoriW,rankleoriX,rankleoriY,rankleoriZ,rankleoriW,lhiporiX,lhiporiY,lhiporiZ,lhiporiW,lkneeoriX,lkneeoriY,lkneeoriZ,lkneeoriW,lankleoriX,lankleoriY,lankleoriZ,lankleoriW,rhandoriX,rhandoriY,rhandoriZ,rhandoriW,lhandoriX,lhandoriY,lhandoriZ,lhandoriW,spinebaseoriX,spinebaseoriY,spinebaseoriZ,spinebaseoriW,spinemidoriX,spinemidoriY,spinemidoriZ,spinemidoriW,spineshoulderoriX,spineshoulderoriY,spineshoulderoriZ,spineshoulderoriW,facepitch,faceyaw,faceroll
0.0100311,0.1859816,0.1868765,1.970056,0.1958206,0.04208783,1.990744,0.3640395,-0.0735649,1.987424,0.4413548,-0.3334072,2.005979,0.4745392,-0.5388529,1.89595,0.03005211,-0.07647093,2.01412,0.01223606,-0.3428101,2.021672,0.01385824,-0.5585712,1.923571,0.2886998,-0.5396799,1.915423,0.334819,-0.8269846,1.866791,0.3743348,-1.201828,1.944015,0.1469542,-0.5506491,1.926942,0.1426819,-0.8571852,1.894087,0.1715273,-1.214445,1.985107,0.3699125,-1.256386,1.825799,0.1674017,-1.273834,1.870605,0.469613,-0.6161433,1.858038,0.02885738,-0.6207153,1.894977,0.4646328,-0.6835231,1.844473,0.02435252,-0.6946615,1.883653,0.2216705,-0.5542742,1.953155,0.2091008,-0.252603,1.977821,0.1992201,-0.03059609,1.98971,-1,-1,Low,High,0.4404788,-0.6188681,1.838937,-0.01535781,-0.6427156,1.904364,-0.02361474,0.9989964,0.006224236,-0.03754702,0.7912487,0.6112959,0.007026068,-0.01390776,0.7665903,0.1333084,0.6248649,-0.06412491,0.7545009,0.208013,-0.605883,-0.1427051,0.7905717,-0.607584,-0.06788805,0.03506122,0.7581481,-0.03454293,-0.6510738,-0.01101196,-0.4556885,-0.1889551,0.8645798,0.09563337,0.62075,0.740005,-0.1465108,-0.2135341,0.7291889,0.001405572,0.6746925,-0.114331,0.7263842,0.1067026,0.6778583,0.0385841,-0.6854898,0.7066093,-0.0850675,0.1535271,-0.6740585,-0.0346823,0.7367157,0.04113699,-0.6794983,0.06343162,0.7220306,-0.1137114,0.7379714,0.1250536,-0.635272,-0.190235,-0.4800506,-0.2371768,0.844532,0.008015362,-0.02248464,0.9980472,0.03983302,-0.04253882,-0.02240105,0.9981342,0.03988007,-0.04044565,-0.02321299,0.9986733,0.02586369,-0.03800011,-20,0,5
0.0419835,0.1860014,0.186633,1.970481,0.195878,0.04211895,1.991671,0.3639399,-0.07359729,1.987556,0.4412874,-0.3335489,2.005672,0.4744886,-0.539067,1.895813,0.02996315,-0.07638936,2.014576,0.01247967,-0.3430513,2.02183,0.01396168,-0.5582178,1.924728,0.2882978,-0.5395804,1.915319,0.3346635,-0.826798,1.866387,0.3478905,-1.201879,1.95096,0.1465733,-0.5505235,1.926945,0.1428256,-0.8560883,1.893813,0.1709214,-1.213762,1.987095,0.3376745,-1.258756,1.834688,0.1666066,-1.274062,1.873379,0.4697703,-0.6167597,1.858785,0.02753658,-0.620255,1.896785,0.4641906,-0.6832223,1.846546,0.02104978,-0.6949598,1.88905,0.221245,-0.5541587,1.953122,0.2089173,-0.2525153,1.978229,0.1992126,-0.03054713,1.990505,-1,-1,Low,High,0.4409882,-0.6171433,1.838393,-0.01659252,-0.6365458,1.900025,-0.02321295,0.9989814,0.007136228,-0.03803238,0.7914322,0.6110169,0.006404902,-0.01588576,0.7669522,0.1328295,0.6244632,-0.06470135,0.8059986,0.1941566,-0.5356413,-0.1604928,0.7904867,-0.6077516,-0.06807522,0.03368418,0.7573542,-0.03365394,-0.6520427,-0.01106043,-0.4781204,-0.185069,0.8527209,0.100087,0.6209452,0.739659,-0.1462406,-0.2143485,0.7293457,0.001402384,0.6744092,-0.1150002,0.7345077,0.08728537,0.6693017,0.07010534,-0.6854907,0.7065953,-0.08459478,0.1538484,-0.6737713,-0.03571514,0.7369407,0.04092608,-0.6788132,0.06631203,0.7222451,-0.1147929,0.794182,0.1049344,-0.5656489,-0.1957168,-0.4997908,-0.2291801,0.8350359,0.02001525,-0.02213391,0.9980072,0.04056822,-0.04296309,-0.0220497,0.9980943,0.04061405,-0.04089233,-0.02286648,0.9986398,0.02674161,-0.03847732,-20,0,5
0.0754194,0.1859877,0.1866872,1.970762,0.1957724,0.04218801,1.991999,0.3638428,-0.07353332,1.987776,0.4412366,-0.3339342,2.005327,0.4744674,-0.5396133,1.895829,0.02991368,-0.07629497,2.01495,0.0125074,-0.3430667,2.021849,0.01409754,-0.5583904,1.926098,0.2880451,-0.5395313,1.91524,0.3346483,-0.8268171,1.866102,0.3655204,-1.200738,1.950262,0.1463689,-0.5504542,1.927073,0.1426979,-0.8551673,1.893601,0.1706115,-1.213684,1.987064,0.3592857,-1.257789,1.833989,0.1662142,-1.27407,1.873427,0.4697393,-0.6180596,1.861576,0.02627581,-0.621994,1.901182,0.4644043,-0.6847193,1.849163,0.02023375,-0.6966258,1.893,0.2210119,-0.5541023,1.953159,0.2087402,-0.2524351,1.9785,0.1990961,-0.03047565,1.990834,-1,-1,Low,High,0.4404313,-0.6183819,1.838797,-0.02079314,-0.6579051,1.908167,-0.02314059,0.998974,0.007130568,-0.03827021,0.7914367,0.6110049,0.006263739,-0.01617711,0.7673998,0.1320701,0.6240032,-0.06538421,0.8037171,0.1944769,-0.5394158,-0.1588964,0.7904548,-0.6077659,-0.06831305,0.03369486,0.7583145,-0.03311511,-0.6509472,-0.0114175,-0.4713229,-0.183648,0.8571523,0.09704656,0.6209577,0.7393767,-0.1464999,-0.2151077,0.7297741,0.001541139,0.6738625,-0.1154848,0.7288522,0.1045183,0.6745344,0.05342087,-0.6854881,0.7066852,-0.08403429,0.1537543,-0.6731834,-0.03633645,0.7374272,0.04128995,-0.6786441,0.0665384,0.7224294,-0.114502,0.7948433,0.09618606,-0.5707459,-0.182268,-0.4920319,-0.2036144,0.8463038,0.01468557,-0.02208639,0.9979607,0.04093752,-0.04371281,-0.02199106,0.9980597,0.04098881,-0.0413902,-0.02274242,0.99863,0.02687124,-0.03871626,-15,0,5
0.1181574,0.1859345,0.1868263,1.971151,0.1958121,0.04220537,1.992142,0.3636538,-0.0734176,1.98829,0.4411299,-0.3339713,2.005428,0.4743506,-0.53977,1.896187,0.02968997,-0.0762134,2.015663,0.01252986,-0.3431471,2.021791,0.01350604,-0.5597079,1.929593,0.2878704,-0.5394737,1.915154,0.3345118,-0.8269238,1.866006,0.3520224,-1.200556,1.954296,0.1462049,-0.5503972,1.927102,0.1425298,-0.8552707,1.893637,0.1716893,-1.212476,1.990739,0.3427511,-1.258903,1.839166,0.1676445,-1.274266,1.878328,0.4691871,-0.6182162,1.864102,0.02499725,-0.6225964,1.902563,0.4666777,-0.6826206,1.849714,0.02230444,-0.6998608,1.89719,0.2208307,-0.5540454,1.953144,0.2086926,-0.2523967,1.97861,0.1991183,-0.03045341,1.990975,-1,-1,Low,High,0.4408442,-0.6180264,1.846339,-0.01954799,-0.6231929,1.912313,-0.02302417,0.9989686,0.007142347,-0.03847959,0.7913674,0.6111092,0.006934542,-0.01532993,0.7679501,0.131691,0.623349,-0.06592545,0.7723384,0.2027016,-0.5837028,-0.1472966,0.7901248,-0.6080192,-0.06929992,0.03482621,0.758041,-0.03180495,-0.6513164,-0.01221977,-0.4530384,-0.1782196,0.8687895,0.09054739,0.6209735,0.7392142,-0.146577,-0.2155679,0.7300413,0.001621236,0.6735743,-0.1154762,0.7330284,0.09496746,0.669898,0.06991009,-0.6855113,0.706708,-0.08378924,0.1536798,-0.6728889,-0.03632152,0.7376989,0.04125157,-0.6783936,0.06903363,0.7216528,-0.1193055,0.7620474,0.09718232,-0.617425,-0.1691915,-0.4702243,-0.2156351,0.8555215,0.0217621,-0.0218933,0.9979378,0.04114653,-0.04413363,-0.02179316,0.9980422,0.04119965,-0.04170635,-0.02259572,0.9986232,0.02694512,-0.03892445,-20,-5,5
0.1412314,0.1859738,0.1869722,1.971429,0.1958051,0.04242694,1.992579,0.3635759,-0.07333214,1.989092,0.4410404,-0.3343463,2.005811,0.4741066,-0.5405566,1.896569,0.02973117,-0.07614657,2.016191,0.01247912,-0.3430736,2.022231,0.0126141,-0.5606142,1.932769,0.2875659,-0.5394008,1.915151,0.3341843,-0.8265891,1.865494,0.3665207,-1.201296,1.946503,0.1459465,-0.5502962,1.927156,0.142388,-0.8558881,1.893693,0.1597551,-1.21651,1.978848,0.360544,-1.257276,1.829388,0.1527245,-1.27372,1.862667,0.4691031,-0.6194938,1.868178,0.02240275,-0.6244675,1.907449,0.4668118,-0.6824325,1.851079,0.01626968,-0.6993722,1.902157,0.2205232,-0.5539548,1.953182,0.2085366,-0.2522392,1.978902,0.1990791,-0.03024958,1.991384,-1,-1,Low,High,0.4401211,-0.6213093,1.847244,-0.02260849,-0.6240025,1.919823,-0.02280116,0.9989876,0.00734836,-0.03807842,0.7915843,0.6108339,0.007909453,-0.01461613,0.7686236,0.1310445,0.6226171,-0.06628018,0.7990532,0.1949615,-0.5467855,-0.1566195,0.7903508,-0.6076752,-0.06964206,0.03501919,0.7571089,-0.03181078,-0.6523939,-0.01250212,-0.4533409,-0.1720421,0.8700034,0.08931779,0.6211119,0.7389784,-0.1464556,-0.2160592,0.7300913,0.001025434,0.6734033,-0.1161625,0.7286679,0.1030601,0.675295,0.0489729,-0.6854776,0.706714,-0.08358274,0.153915,-0.6727498,-0.03637066,0.7378371,0.04100592,-0.6765336,0.06855188,0.7269015,-0.09600572,0.7952232,0.07675831,-0.5807568,-0.1563639,-0.4682748,-0.1979762,0.8607327,0.02575474,-0.02166614,0.997915,0.04155977,-0.04437158,-0.02155171,0.9980334,0.04161923,-0.04162573,-0.02232783,0.9986374,0.02722163,-0.03851987,-15,0,5
0.1756227,0.1859857,0.1869199,1.971551,0.1958524,0.04236978,1.99268,0.3634566,-0.07342333,1.989265,0.4409246,-0.3347584,2.005845,0.4737213,-0.5408365,1.897067,0.02969431,-0.07605692,2.016621,0.01227261,-0.3434162,2.023069,0.01188899,-0.5615748,1.934669,0.2875157,-0.5394105,1.91515,0.3339758,-0.8264334,1.86535,0.3670401,-1.201246,1.946451,0.1459108,-0.5502902,1.927146,0.1421116,-0.8558832,1.893729,0.1624687,-1.21625,1.979305,0.361149,-1.257282,1.829381,0.1560541,-1.273685,1.863273,0.4684082,-0.6200037,1.869654,0.02103887,-0.6257455,1.910199,0.4676189,-0.686825,1.857038,0.01629046,-0.7006391,1.905085,0.2204732,-0.5539566,1.953181,0.2085294,-0.252258,1.978978,0.1991161,-0.03029796,1.991486,-1,-1,Low,High,0.4403769,-0.6190705,1.844054,-0.02491573,-0.6309261,1.92675,-0.02273609,0.9989763,0.007340277,-0.03841178,0.7917295,0.6106493,0.007992787,-0.01441801,0.7693745,0.1308163,0.6217395,-0.06625754,0.8167874,0.1889132,-0.5203096,-0.1626288,0.7900108,-0.6080077,-0.07027634,0.03564702,0.7562136,-0.03247774,-0.6534052,-0.01215567,-0.4375061,-0.1708809,0.8786292,0.08601619,0.6211713,0.7389172,-0.146368,-0.2161575,0.7300677,0.0006583813,0.6734185,-0.1162239,0.7286347,0.1037959,0.6752598,0.04839415,-0.6854417,0.7067223,-0.083561,0.1540482,-0.6727567,-0.03605147,0.737833,0.04124595,-0.6771373,0.06611735,0.7261016,-0.09944855,0.8153021,0.06653234,-0.5539059,-0.1550614,-0.4518164,-0.1907173,0.8711799,0.02311637,-0.02160119,0.9979119,0.04169344,-0.0443508,-0.02149372,0.9980227,0.04174894,-0.04178018,-0.02224287,0.9986248,0.02728062,-0.03885324,-20,5,5
0.2162848,0.1860226,0.186849,1.971799,0.195895,0.04227311,1.992872,0.3633922,-0.07347307,1.989505,0.4407482,-0.3349494,2.005943,0.4733796,-0.5413958,1.897894,0.02970153,-0.07604565,2.016823,0.01217769,-0.3436311,2.023497,0.01104122,-0.5622157,1.935319,0.2872654,-0.5394531,1.915102,0.333784,-0.8265188,1.865141,0.3669293,-1.201154,1.946742,0.1456818,-0.5502593,1.927089,0.1418017,-0.8559986,1.893764,0.1640502,-1.216628,1.977412,0.3610991,-1.257384,1.829827,0.158051,-1.273428,1.860851,0.4682065,-0.6209759,1.870967,0.02014867,-0.6270258,1.91135,0.4673873,-0.688306,1.858901,0.01619382,-0.7022313,1.908831,0.2202166,-0.5539634,1.953137,0.2084633,-0.2522906,1.979079,0.1991312,-0.03037627,1.991656,-1,-1,Low,High,0.439553,-0.6250468,1.8514,-0.02393793,-0.6130897,1.923143,-0.02255862,0.9989814,0.007499848,-0.03835376,0.7917139,0.6106672,0.00826092,-0.01437099,0.7702609,0.1305286,0.6207154,-0.06612739,0.8071489,0.190716,-0.5359332,-0.1578405,0.7898406,-0.6082103,-0.07044996,0.0356214,0.7539757,-0.03282875,-0.6559706,-0.01206183,-0.4500824,-0.1682117,0.8724176,0.08954418,0.6214001,0.7386941,-0.1461799,-0.2163892,0.7299925,0.0005347785,0.6734583,-0.116467,0.7284855,0.1043499,0.6753064,0.04879946,-0.6852657,0.7068457,-0.08354577,0.1542729,-0.6727983,-0.03583247,0.7378069,0.04122447,-0.6779526,0.06235881,0.7256532,-0.09959479,0.8052194,0.0682121,-0.5695159,-0.1504006,-0.4648364,-0.1856806,0.8653684,0.02423932,-0.02129818,0.9979085,0.04195113,-0.04432841,-0.02118926,0.9980202,0.04200625,-0.04173902,-0.02206928,0.9986264,0.02744919,-0.03879195,-20,5,5
0.2427435,0.1860734,0.1868234,1.972,0.1958459,0.04227873,1.993149,0.3633043,-0.07366111,1.989758,0.4404426,-0.3356154,2.006215,0.4730796,-0.542477,1.899067,0.02958906,-0.07617702,2.01754,0.01215487,-0.3446124,2.024467,0.01017613,-0.5626305,1.936411,0.2871509,-0.5395174,1.91519,0.3335882,-0.8263312,1.865024,0.361238,-1.198831,1.957339,0.145592,-0.5503248,1.927217,0.1417133,-0.856175,1.893727,0.1714273,-1.214669,1.983017,0.3543323,-1.258922,1.843604,0.1671604,-1.273647,1.86818,0.4688235,-0.6228669,1.875475,0.0188098,-0.6285853,1.916077,0.4685276,-0.6887909,1.861461,0.01118978,-0.7023098,1.913707,0.2201005,-0.5540326,1.953257,0.2083695,-0.252325,1.979374,0.1990774,-0.0303816,1.991949,-1,-1,Low,High,0.4407165,-0.6252269,1.85378,-0.02660856,-0.630241,1.925028,-0.02252303,0.9989585,0.007377543,-0.03899097,0.7920495,0.6102366,0.008006583,-0.01431488,0.7704652,0.1300513,0.6206057,-0.06571624,0.8098373,0.1889078,-0.5327725,-0.1569427,0.7899268,-0.6079567,-0.07123116,0.03647318,0.7505135,-0.03284763,-0.659934,-0.01173165,-0.4580598,-0.1667065,0.8682041,0.09279981,0.6214033,0.7386079,-0.1461295,-0.2167083,0.7300677,0.0002135312,0.6733332,-0.1167208,0.7294933,0.1085857,0.6722376,0.06438438,-0.6852636,0.7068275,-0.08337157,0.1544596,-0.6726651,-0.0360258,0.7379101,0.04138179,-0.6790571,0.06084543,0.7228397,-0.1126147,0.812797,0.05998911,-0.5643677,-0.1313453,-0.4739819,-0.1601061,0.865709,0.01596947,-0.02127802,0.9978899,0.04223054,-0.04449297,-0.02117839,0.997992,0.04228059,-0.04214,-0.0219941,0.9986035,0.02743226,-0.03943034,-20,0,5
0.2734872,0.1861224,0.1869347,1.972364,0.195901,0.04232611,1.993393,0.3632024,-0.07364786,1.990071,0.4402472,-0.3357984,2.00614,0.4723166,-0.5434459,1.900499,0.02949916,-0.07626484,2.018091,0.01188584,-0.3447586,2.024856,0.00932936,-0.5634903,1.937806,0.2870505,-0.5394574,1.915208,0.3335457,-0.8263471,1.864792,0.3705722,-1.201261,1.944497,0.1455135,-0.5502701,1.927226,0.1416473,-0.8561807,1.893787,0.1698595,-1.21526,1.981203,0.3653158,-1.256897,1.827121,0.1651008,-1.273559,1.865814,0.4678356,-0.6243602,1.876538,0.01723279,-0.6293253,1.917327,0.4673057,-0.6914092,1.864163,0.01297649,-0.7034808,1.916129,0.2200013,-0.5539725,1.953276,0.2083386,-0.2522618,1.97953,0.1991142,-0.0303298,1.992177,-1,-1,Low,High,0.4396297,-0.6279534,1.856417,-0.02716478,-0.6292104,1.927431,-0.02240532,0.9989484,0.007485085,-0.0392938,0.7921786,0.6100702,0.00819949,-0.01414713,0.773215,0.1296822,0.6172703,-0.06556197,0.7923378,0.1909953,-0.5600716,-0.1484632,0.7900207,-0.6077223,-0.07190494,0.03702043,0.7496591,-0.03287461,-0.6608943,-0.012218,-0.4502847,-0.1647555,0.8727991,0.09121943,0.6214386,0.7385503,-0.1459801,-0.2169036,0.7300074,-9.052874E-06,0.6733401,-0.117057,0.7280222,0.1063508,0.6758606,0.04342459,-0.6852908,0.7067643,-0.08332321,0.1546547,-0.6726853,-0.03597076,0.7378986,0.04130402,-0.6785769,0.06047571,0.7238338,-0.1092737,0.7923059,0.06435528,-0.5924499,-0.1308157,-0.4648783,-0.159032,0.8707562,0.01950942,-0.02117427,0.9978826,0.04246128,-0.04448698,-0.02108055,0.9979783,0.04250788,-0.04228565,-0.02185774,0.9985902,0.02759234,-0.03973174,-15,15,5
0.3162642,0.1861857,0.1870795,1.972618,0.1959034,0.04233071,1.993395,0.3630861,-0.07378529,1.990364,0.4400027,-0.3366157,2.006702,0.4719811,-0.5445462,1.901662,0.02951006,-0.07651351,2.018423,0.01168574,-0.3453627,2.026716,0.008646827,-0.5635969,1.938913,0.2869899,-0.5394723,1.915219,0.3333125,-0.8262876,1.864627,0.3561306,-1.198807,1.958257,0.1454756,-0.5502797,1.927231,0.1414836,-0.8562508,1.893872,0.1703264,-1.215568,1.980042,0.3479981,-1.259332,1.844935,0.1656557,-1.273425,1.864287,0.4678503,-0.624825,1.879391,0.01626856,-0.6287361,1.918921,0.4684252,-0.6923919,1.867972,0.0123157,-0.7037714,1.916279,0.2199451,-0.5539861,1.953288,0.2083246,-0.2522591,1.979556,0.1991155,-0.03032558,1.992183,-1,-1,Low,High,0.4389849,-0.629499,1.856014,-0.02961046,-0.6286961,1.93525,-0.02239706,0.9989476,0.007458435,-0.03932498,0.7924758,0.6096948,0.008634677,-0.01340887,0.7733054,0.1295019,0.6172686,-0.06486634,0.805233,0.1866056,-0.5419781,-0.151782,0.7903781,-0.6071522,-0.07239652,0.03778221,0.747447,-0.03496219,-0.6633187,-0.01044542,-0.4402887,-0.1669449,0.8774799,0.09112772,0.6214465,0.738533,-0.1459616,-0.2169526,0.7299922,-0.0004310462,0.6733478,-0.1171061,0.7313176,0.1049023,0.670253,0.07022176,-0.6852626,0.706772,-0.08337941,0.1547139,-0.6726986,-0.03573018,0.7378951,0.04136108,-0.6788205,0.05862665,0.7238384,-0.1087364,0.8082246,0.05752151,-0.5727003,-0.1244132,-0.4549608,-0.156977,0.8763803,0.01807026,-0.02110409,0.9978837,0.04248407,-0.04447398,-0.02101127,0.9979784,0.04253005,-0.04229482,-0.0218223,0.9985908,0.02755017,-0.03976202,-15,15,5
